date,price,volume
2013-11-29 01:00:00,3.41,1
2013-11-30 01:00:00,4.07,3
2013-12-01 01:00:00,2.679,4
2013-12-03 01:00:00,1.934,2
2013-12-04 01:00:00,0.712,3
2013-12-05 01:00:00,0.94,1
2013-12-06 01:00:00,0.723,3
2013-12-07 01:00:00,0.861,3
2013-12-08 01:00:00,0.614,7
2013-12-09 01:00:00,0.7,3
2013-12-10 01:00:00,0.657,3
2013-12-11 01:00:00,0.532,7
2013-12-12 01:00:00,0.65,1
2013-12-13 01:00:00,0.576,1
2013-12-14 01:00:00,0.464,4
2013-12-15 01:00:00,0.294,5
2013-12-16 01:00:00,0.299,1
2013-12-17 01:00:00,0.285,3
2013-12-18 01:00:00,0.189,3
2013-12-19 01:00:00,0.276,4
2013-12-20 01:00:00,0.223,7
2013-12-21 01:00:00,0.327,10
2013-12-22 01:00:00,0.567,5
2013-12-23 01:00:00,0.479,1
2013-12-24 01:00:00,0.49,6
2013-12-25 01:00:00,0.487,4
2013-12-26 01:00:00,0.273,3
2013-12-27 01:00:00,0.239,7
2013-12-28 01:00:00,0.213,10
2013-12-29 01:00:00,0.267,7
2013-12-30 01:00:00,0.226,7
2013-12-31 01:00:00,0.187,10
2014-01-01 01:00:00,0.186,8
2014-01-02 01:00:00,0.238,9
2014-01-03 01:00:00,0.29,5
2014-01-04 01:00:00,0.552,8
2014-01-05 01:00:00,0.585,6
2014-01-06 01:00:00,0.444,6
2014-01-07 01:00:00,0.406,3
2014-01-08 01:00:00,0.309,7
2014-01-09 01:00:00,0.354,4
2014-01-10 01:00:00,0.185,5
2014-01-11 01:00:00,0.262,9
2014-01-12 01:00:00,0.242,15
2014-01-13 01:00:00,0.202,5
2014-01-14 01:00:00,0.236,12
2014-01-15 01:00:00,0.203,5
2014-01-16 01:00:00,0.185,5
2014-01-17 01:00:00,0.18,5
2014-01-18 01:00:00,0.166,16
2014-01-19 01:00:00,0.152,16
2014-01-20 01:00:00,0.159,7
2014-01-21 01:00:00,0.196,13
2014-01-22 01:00:00,0.203,5
2014-01-23 01:00:00,0.169,9
2014-01-24 01:00:00,0.137,8
2014-01-25 01:00:00,0.11,11
2014-01-26 01:00:00,0.177,14
2014-01-27 01:00:00,0.211,6
2014-01-28 01:00:00,0.159,11
2014-01-29 01:00:00,0.156,9
2014-01-30 01:00:00,0.127,13
2014-01-31 01:00:00,0.196,13
2014-02-01 01:00:00,0.202,9
2014-02-02 01:00:00,0.205,10
2014-02-03 01:00:00,0.177,5
2014-02-04 01:00:00,0.206,8
2014-02-05 01:00:00,0.157,3
2014-02-06 01:00:00,0.117,8
2014-02-07 01:00:00,0.179,12
2014-02-08 01:00:00,0.159,7
2014-02-09 01:00:00,0.14,10
2014-02-10 01:00:00,0.151,9
2014-02-11 01:00:00,0.113,7
2014-02-12 01:00:00,0.118,14
2014-02-13 01:00:00,0.09,11
2014-02-14 01:00:00,0.138,19
2014-02-15 01:00:00,0.159,11
2014-02-16 01:00:00,0.153,10
2014-02-17 01:00:00,0.13,11
2014-02-18 01:00:00,0.108,11
2014-02-19 01:00:00,0.077,14
2014-02-20 01:00:00,0.106,11
2014-02-21 01:00:00,0.099,18
2014-02-22 01:00:00,0.179,11
2014-02-23 01:00:00,0.096,24
2014-02-24 01:00:00,0.143,23
2014-02-25 01:00:00,0.186,11
2014-02-26 01:00:00,0.17,9
2014-02-27 01:00:00,0.142,9
2014-02-28 01:00:00,0.151,19
2014-03-01 01:00:00,0.103,19
2014-03-02 01:00:00,0.133,14
2014-03-03 01:00:00,0.081,9
2014-03-04 01:00:00,0.114,11
2014-03-05 01:00:00,0.095,15
2014-03-06 01:00:00,0.204,7
2014-03-07 01:00:00,0.084,8
2014-03-08 01:00:00,0.092,37
2014-03-09 01:00:00,0.118,20
2014-03-10 01:00:00,0.108,5
2014-03-11 01:00:00,0.13,20
2014-03-12 01:00:00,0.159,12
2014-03-13 01:00:00,0.207,15
2014-03-14 01:00:00,0.113,7
2014-03-15 01:00:00,0.128,23
2014-03-16 01:00:00,0.135,23
2014-03-17 01:00:00,0.129,13
2014-03-18 01:00:00,0.125,7
2014-03-19 01:00:00,0.13,7
2014-03-20 01:00:00,0.128,17
2014-03-21 01:00:00,0.097,28
2014-03-22 01:00:00,0.073,32
2014-03-23 01:00:00,0.105,11
2014-03-24 01:00:00,0.128,8
2014-03-25 01:00:00,0.109,17
2014-03-26 01:00:00,0.121,29
2014-03-27 01:00:00,0.128,12
2014-03-28 01:00:00,0.119,11
2014-03-29 01:00:00,0.141,18
2014-03-30 01:00:00,0.197,26
2014-03-31 01:00:00,0.239,23
2014-04-01 01:00:00,0.217,7
2014-04-02 01:00:00,0.143,18
2014-04-03 01:00:00,0.151,13
2014-04-04 01:00:00,0.159,15
2014-04-05 01:00:00,0.126,13
2014-04-06 01:00:00,0.098,12
2014-04-07 01:00:00,0.106,23
2014-04-08 01:00:00,0.167,11
2014-04-09 01:00:00,0.136,11
2014-04-10 01:00:00,0.121,13
2014-04-11 01:00:00,0.137,28
2014-04-12 01:00:00,0.14,20
2014-04-13 01:00:00,0.149,13
2014-04-14 01:00:00,0.141,18
2014-04-15 01:00:00,0.138,9
2014-04-16 01:00:00,0.123,18
2014-04-17 01:00:00,0.135,28
2014-04-18 01:00:00,0.212,17
2014-04-19 01:00:00,0.175,15
2014-04-20 01:00:00,0.177,16
2014-04-21 01:00:00,0.182,25
2014-04-22 01:00:00,0.159,14
2014-04-23 01:00:00,0.187,10
2014-04-24 01:00:00,0.151,16
2014-04-25 01:00:00,0.151,20
2014-04-26 01:00:00,0.143,21
2014-04-27 01:00:00,0.156,13
2014-04-28 01:00:00,0.157,11
2014-04-29 01:00:00,0.171,11
2014-04-30 01:00:00,0.161,14
2014-05-01 01:00:00,0.159,21
2014-05-02 01:00:00,0.154,12
2014-05-03 01:00:00,0.115,17
2014-05-04 01:00:00,0.114,35
2014-05-05 01:00:00,0.11,13
2014-05-06 01:00:00,0.122,33
2014-05-07 01:00:00,0.151,35
2014-05-08 01:00:00,0.16,5
2014-05-09 01:00:00,0.118,30
2014-05-10 01:00:00,0.123,15
2014-05-11 01:00:00,0.093,29
2014-05-12 01:00:00,0.12,27
2014-05-13 01:00:00,0.117,36
2014-05-14 01:00:00,0.13,16
2014-05-15 01:00:00,0.133,12
2014-05-16 01:00:00,0.159,24
2014-05-17 01:00:00,0.131,18
2014-05-18 01:00:00,0.117,26
2014-05-19 01:00:00,0.133,12
2014-05-20 01:00:00,0.135,17
2014-05-21 01:00:00,0.117,40
2014-05-22 01:00:00,0.146,15
2014-05-23 01:00:00,0.116,81
2014-05-24 01:00:00,0.389,27
2014-05-25 01:00:00,0.361,34
2014-05-26 01:00:00,0.272,13
2014-05-27 01:00:00,0.556,58
2014-05-28 01:00:00,0.391,12
2014-05-29 01:00:00,0.361,17
