date,price,volume
2019-11-18 01:00:00,2.431,3
2019-11-19 01:00:00,2.1,3125
2019-11-20 01:00:00,2.023,2260
2019-11-21 01:00:00,1.882,1880
2019-11-22 01:00:00,1.808,1771
2019-11-23 01:00:00,1.991,1583
2019-11-24 01:00:00,1.97,1278
2019-11-25 01:00:00,1.801,1016
2019-11-26 01:00:00,1.646,1022
2019-11-27 01:00:00,1.553,1111
2019-11-28 01:00:00,1.543,897
2019-11-29 01:00:00,1.554,956
2019-11-30 01:00:00,1.553,984
2019-12-01 01:00:00,1.538,913
2019-12-02 01:00:00,1.465,668
2019-12-03 01:00:00,1.402,655
2019-12-04 01:00:00,1.342,730
2019-12-05 01:00:00,1.336,728
2019-12-06 01:00:00,1.335,734
2019-12-07 01:00:00,1.415,765
2019-12-08 01:00:00,1.391,702
2019-12-09 01:00:00,1.407,556
2019-12-10 01:00:00,1.419,576
2019-12-11 01:00:00,1.624,889
2019-12-12 01:00:00,1.669,665
2019-12-13 01:00:00,1.646,669
2019-12-14 01:00:00,1.712,740
2019-12-15 01:00:00,1.675,630
2019-12-16 01:00:00,1.695,478
2019-12-17 01:00:00,1.57,524
2019-12-18 01:00:00,1.411,588
2019-12-19 01:00:00,1.436,583
2019-12-20 01:00:00,1.345,634
2019-12-21 01:00:00,1.454,720
2019-12-22 01:00:00,1.467,603
2019-12-23 01:00:00,1.554,575
2019-12-24 01:00:00,1.564,473
2019-12-25 01:00:00,1.386,733
2019-12-26 01:00:00,1.424,670
2019-12-27 01:00:00,1.454,623
2019-12-28 01:00:00,1.448,662
2019-12-29 01:00:00,1.502,601
2019-12-30 01:00:00,1.523,634
2019-12-31 01:00:00,1.587,510
2020-01-01 01:00:00,1.429,787
2020-01-02 01:00:00,1.425,791
2020-01-03 01:00:00,1.445,690
2020-01-04 01:00:00,1.5,680
2020-01-05 01:00:00,1.491,638
2020-01-06 01:00:00,1.505,594
2020-01-07 01:00:00,1.46,1333
2020-01-08 01:00:00,1.121,4985
2020-01-09 01:00:00,1.0,2313
2020-01-10 01:00:00,0.958,1888
2020-01-11 01:00:00,0.941,1966
2020-01-12 01:00:00,0.977,1576
2020-01-13 01:00:00,0.987,1160
2020-01-14 01:00:00,0.987,1485
2020-01-15 01:00:00,0.901,1603
2020-01-16 01:00:00,0.852,1408
2020-01-17 01:00:00,0.818,1358
2020-01-18 01:00:00,0.784,1487
2020-01-19 01:00:00,0.77,1300
2020-01-20 01:00:00,0.727,1135
2020-01-21 01:00:00,0.712,1286
2020-01-22 01:00:00,0.69,1392
2020-01-23 01:00:00,0.654,1257
2020-01-24 01:00:00,0.603,1403
2020-01-25 01:00:00,0.597,1514
2020-01-26 01:00:00,0.597,1377
2020-01-27 01:00:00,0.596,1141
2020-01-28 01:00:00,0.613,1041
2020-01-29 01:00:00,0.629,1094
2020-01-30 01:00:00,0.648,1013
2020-01-31 01:00:00,0.66,1270
2020-02-01 01:00:00,0.697,1404
2020-02-02 01:00:00,0.718,1276
2020-02-03 01:00:00,0.695,1018
2020-02-04 01:00:00,0.707,1175
2020-02-05 01:00:00,0.663,1973
2020-02-06 01:00:00,0.611,1524
2020-02-07 01:00:00,0.549,1960
2020-02-08 01:00:00,0.498,1974
2020-02-09 01:00:00,0.503,1890
