date,price,volume
2013-11-28 01:00:00,18.967,4
2013-11-29 01:00:00,16.748,6
2013-11-30 01:00:00,14.664,16
2013-12-01 01:00:00,18.52,7
2013-12-02 01:00:00,12.429,14
2013-12-03 01:00:00,12.363,20
2013-12-04 01:00:00,12.734,11
2013-12-05 01:00:00,12.042,12
2013-12-06 01:00:00,11.223,13
2013-12-07 01:00:00,11.863,15
2013-12-08 01:00:00,10.958,14
2013-12-09 01:00:00,9.951,13
2013-12-10 01:00:00,9.685,25
2013-12-11 01:00:00,10.316,17
2013-12-12 01:00:00,9.238,16
2013-12-13 01:00:00,10.533,9
2013-12-14 01:00:00,10.431,21
2013-12-15 01:00:00,8.902,19
2013-12-16 01:00:00,10.205,16
2013-12-17 01:00:00,8.594,17
2013-12-18 01:00:00,7.332,21
2013-12-19 01:00:00,6.068,21
2013-12-20 01:00:00,4.358,43
2013-12-21 01:00:00,4.781,44
2013-12-22 01:00:00,4.8,48
2013-12-23 01:00:00,5.204,26
2013-12-24 01:00:00,5.563,40
2013-12-25 01:00:00,5.93,27
2013-12-26 01:00:00,6.42,27
2013-12-27 01:00:00,6.202,42
2013-12-28 01:00:00,6.569,34
2013-12-29 01:00:00,6.352,27
2013-12-30 01:00:00,6.106,29
2013-12-31 01:00:00,5.366,28
2014-01-01 01:00:00,5.493,36
2014-01-02 01:00:00,5.261,45
2014-01-03 01:00:00,5.111,25
2014-01-04 01:00:00,4.999,46
2014-01-05 01:00:00,5.167,49
2014-01-06 01:00:00,5.256,40
2014-01-07 01:00:00,5.472,43
2014-01-08 01:00:00,5.605,29
2014-01-09 01:00:00,5.707,35
2014-01-10 01:00:00,5.27,39
2014-01-11 01:00:00,5.505,46
2014-01-12 01:00:00,4.965,35
2014-01-13 01:00:00,4.991,34
2014-01-14 01:00:00,4.931,49
2014-01-15 01:00:00,4.917,44
2014-01-16 01:00:00,4.989,29
2014-01-17 01:00:00,5.057,38
2014-01-18 01:00:00,4.569,43
2014-01-19 01:00:00,4.748,60
2014-01-20 01:00:00,4.764,45
2014-01-21 01:00:00,4.948,38
2014-01-22 01:00:00,4.79,41
2014-01-23 01:00:00,4.911,39
2014-01-24 01:00:00,4.95,50
2014-01-25 01:00:00,4.583,47
2014-01-26 01:00:00,4.434,55
2014-01-27 01:00:00,4.333,50
2014-01-28 01:00:00,4.401,52
2014-01-29 01:00:00,4.68,45
2014-01-30 01:00:00,4.841,46
2014-01-31 01:00:00,4.772,60
2014-02-01 01:00:00,4.679,56
2014-02-02 01:00:00,4.538,76
2014-02-03 01:00:00,4.586,41
2014-02-04 01:00:00,4.799,50
2014-02-05 01:00:00,5.042,40
2014-02-06 01:00:00,4.321,55
2014-02-07 01:00:00,4.71,51
2014-02-08 01:00:00,4.529,47
2014-02-09 01:00:00,4.695,67
2014-02-10 01:00:00,4.703,44
2014-02-11 01:00:00,4.777,40
2014-02-12 01:00:00,4.947,50
2014-02-13 01:00:00,4.304,42
2014-02-14 01:00:00,3.556,69
2014-02-15 01:00:00,3.25,65
2014-02-16 01:00:00,3.289,61
2014-02-17 01:00:00,3.039,54
2014-02-18 01:00:00,3.156,52
2014-02-19 01:00:00,3.228,43
2014-02-20 01:00:00,3.017,48
2014-02-21 01:00:00,2.611,82
2014-02-22 01:00:00,2.556,87
2014-02-23 01:00:00,2.707,83
2014-02-24 01:00:00,2.677,68
2014-02-25 01:00:00,2.997,73
2014-02-26 01:00:00,2.947,61
2014-02-27 01:00:00,3.023,62
2014-02-28 01:00:00,2.961,69
2014-03-01 01:00:00,2.871,73
2014-03-02 01:00:00,2.835,72
2014-03-03 01:00:00,2.831,75
2014-03-04 01:00:00,2.795,64
2014-03-05 01:00:00,2.858,55
2014-03-06 01:00:00,3.149,55
2014-03-07 01:00:00,2.824,73
2014-03-08 01:00:00,2.836,91
2014-03-09 01:00:00,3.003,68
2014-03-10 01:00:00,2.717,75
2014-03-11 01:00:00,2.827,48
2014-03-12 01:00:00,2.553,68
2014-03-13 01:00:00,2.955,62
2014-03-14 01:00:00,3.11,54
2014-03-15 01:00:00,2.798,119
2014-03-16 01:00:00,2.744,99
2014-03-17 01:00:00,2.83,88
2014-03-18 01:00:00,2.951,74
2014-03-19 01:00:00,3.158,87
2014-03-20 01:00:00,3.057,68
2014-03-21 01:00:00,3.07,73
2014-03-22 01:00:00,3.085,94
2014-03-23 01:00:00,2.93,78
2014-03-24 01:00:00,3.111,67
2014-03-25 01:00:00,3.311,65
2014-03-26 01:00:00,3.402,55
2014-03-27 01:00:00,3.377,89
2014-03-28 01:00:00,3.429,68
2014-03-29 01:00:00,3.236,79
2014-03-30 01:00:00,3.212,91
2014-03-31 01:00:00,3.263,81
2014-04-01 01:00:00,3.346,56
2014-04-02 01:00:00,3.527,85
2014-04-03 01:00:00,3.613,88
2014-04-04 01:00:00,3.488,82
2014-04-05 01:00:00,3.561,89
2014-04-06 01:00:00,3.5,96
2014-04-07 01:00:00,3.889,70
2014-04-08 01:00:00,4.079,94
2014-04-09 01:00:00,4.131,58
2014-04-10 01:00:00,3.835,60
2014-04-11 01:00:00,3.606,89
2014-04-12 01:00:00,3.797,79
2014-04-13 01:00:00,3.758,88
2014-04-14 01:00:00,3.578,86
2014-04-15 01:00:00,3.498,87
2014-04-16 01:00:00,3.359,74
2014-04-17 01:00:00,3.333,85
2014-04-18 01:00:00,3.416,97
2014-04-19 01:00:00,3.706,93
2014-04-20 01:00:00,3.775,104
2014-04-21 01:00:00,3.841,84
2014-04-22 01:00:00,3.907,106
2014-04-23 01:00:00,4.29,88
2014-04-24 01:00:00,4.081,75
2014-04-25 01:00:00,3.889,86
2014-04-26 01:00:00,3.861,105
2014-04-27 01:00:00,3.722,106
2014-04-28 01:00:00,3.72,93
2014-04-29 01:00:00,3.965,94
2014-04-30 01:00:00,4.032,109
2014-05-01 01:00:00,4.001,106
2014-05-02 01:00:00,3.779,104
2014-05-03 01:00:00,3.579,136
2014-05-04 01:00:00,3.482,128
2014-05-05 01:00:00,3.167,124
2014-05-06 01:00:00,3.191,122
2014-05-07 01:00:00,3.279,96
2014-05-08 01:00:00,3.269,103
2014-05-09 01:00:00,2.982,115
2014-05-10 01:00:00,2.903,142
2014-05-11 01:00:00,2.775,135
2014-05-12 01:00:00,2.919,99
2014-05-13 01:00:00,2.923,96
2014-05-14 01:00:00,2.964,105
2014-05-15 01:00:00,2.815,153
2014-05-16 01:00:00,2.708,142
2014-05-17 01:00:00,2.656,149
2014-05-18 01:00:00,2.611,150
2014-05-19 01:00:00,2.543,117
2014-05-20 01:00:00,2.597,112
2014-05-21 01:00:00,2.689,113
2014-05-22 01:00:00,2.597,113
2014-05-23 01:00:00,2.395,129
2014-05-24 01:00:00,2.343,133
2014-05-25 01:00:00,2.298,158
2014-05-26 01:00:00,2.358,116
2014-05-27 01:00:00,2.444,119
2014-05-28 01:00:00,2.382,135
2014-05-29 01:00:00,2.423,140
2014-05-30 01:00:00,2.398,128
2014-05-31 01:00:00,2.304,142
2014-06-01 01:00:00,2.336,158
2014-06-02 01:00:00,2.341,137
2014-06-03 01:00:00,2.374,118
2014-06-04 01:00:00,2.174,129
2014-06-05 01:00:00,2.17,109
2014-06-06 01:00:00,2.142,126
2014-06-07 01:00:00,2.187,144
2014-06-08 01:00:00,2.201,126
2014-06-09 01:00:00,2.164,113
2014-06-10 01:00:00,2.189,96
2014-06-11 01:00:00,2.228,129
2014-06-12 01:00:00,1.693,191
2014-06-13 01:00:00,1.67,144
2014-06-14 01:00:00,1.669,176
2014-06-15 01:00:00,1.573,159
2014-06-16 01:00:00,1.547,166
2014-06-17 01:00:00,1.396,183
2014-06-18 01:00:00,1.357,148
2014-06-19 01:00:00,1.417,133
2014-06-20 01:00:00,1.16,184
2014-06-21 01:00:00,1.102,146
2014-06-22 01:00:00,1.101,196
2014-06-23 01:00:00,1.032,154
2014-06-24 01:00:00,1.03,145
2014-06-25 01:00:00,1.053,156
2014-06-26 01:00:00,1.101,149
2014-06-27 01:00:00,1.171,175
2014-06-28 01:00:00,1.229,175
2014-06-29 01:00:00,1.17,165
2014-06-30 01:00:00,1.189,161
2014-07-01 01:00:00,1.253,174
2014-07-02 01:00:00,0.82,253
2014-07-03 01:00:00,0.868,221
2014-07-04 01:00:00,0.973,174
2014-07-05 01:00:00,1.126,150
2014-07-06 01:00:00,1.055,153
2014-07-07 01:00:00,1.074,173
2014-07-08 01:00:00,1.141,188
2014-07-09 01:00:00,1.099,192
2014-07-10 01:00:00,1.13,174
2014-07-11 01:00:00,1.082,179
2014-07-12 01:00:00,1.086,189
2014-07-13 01:00:00,1.127,186
2014-07-14 01:00:00,1.197,159
2014-07-15 01:00:00,1.206,196
2014-07-16 01:00:00,1.194,171
2014-07-17 01:00:00,1.148,184
2014-07-18 01:00:00,1.148,140
2014-07-19 01:00:00,1.088,189
2014-07-20 01:00:00,0.958,194
2014-07-21 01:00:00,1.014,186
2014-07-22 01:00:00,1.083,180
2014-07-23 01:00:00,1.131,146
2014-07-24 01:00:00,1.046,197
2014-07-25 01:00:00,1.07,185
2014-07-26 01:00:00,1.098,210
2014-07-27 01:00:00,1.119,197
2014-07-28 01:00:00,1.194,219
2014-07-29 01:00:00,1.132,188
2014-07-30 01:00:00,1.153,176
2014-07-31 01:00:00,1.215,188
2014-08-01 01:00:00,1.133,232
2014-08-02 01:00:00,1.185,216
2014-08-03 01:00:00,1.198,214
2014-08-04 01:00:00,1.068,223
2014-08-05 01:00:00,0.88,218
2014-08-06 01:00:00,0.846,225
2014-08-07 01:00:00,1.008,198
2014-08-08 01:00:00,1.018,193
2014-08-09 01:00:00,1.043,217
2014-08-10 01:00:00,1.078,216
2014-08-11 01:00:00,1.167,156
2014-08-12 01:00:00,1.092,201
2014-08-13 01:00:00,1.119,174
2014-08-14 01:00:00,1.204,211
2014-08-15 01:00:00,1.153,241
2014-08-16 01:00:00,1.183,257
2014-08-17 01:00:00,0.979,328
2014-08-18 01:00:00,1.079,215
2014-08-19 01:00:00,1.216,203
2014-08-20 01:00:00,1.419,209
2014-08-21 01:00:00,1.39,185
2014-08-22 01:00:00,1.37,195
2014-08-23 01:00:00,1.302,209
2014-08-24 01:00:00,1.422,243
2014-08-25 01:00:00,1.516,223
2014-08-26 01:00:00,1.412,213
2014-08-27 01:00:00,1.457,209
2014-08-28 01:00:00,1.342,205
2014-08-29 01:00:00,1.353,221
2014-08-30 01:00:00,1.416,247
2014-08-31 01:00:00,1.532,241
2014-09-01 01:00:00,1.538,233
2014-09-02 01:00:00,1.518,221
2014-09-03 01:00:00,1.659,249
2014-09-04 01:00:00,1.797,159
2014-09-05 01:00:00,1.505,204
2014-09-06 01:00:00,1.448,266
2014-09-07 01:00:00,1.695,217
2014-09-08 01:00:00,1.643,189
2014-09-09 01:00:00,2.523,309
2014-09-10 01:00:00,2.034,187
2014-09-11 01:00:00,1.933,186
2014-09-12 01:00:00,1.729,267
2014-09-13 01:00:00,1.75,232
2014-09-14 01:00:00,1.762,217
2014-09-15 01:00:00,1.83,213
2014-09-16 01:00:00,1.771,258
2014-09-17 01:00:00,1.729,256
2014-09-18 01:00:00,1.83,233
2014-09-19 01:00:00,1.715,232
2014-09-20 01:00:00,1.612,255
2014-09-21 01:00:00,1.543,231
2014-09-22 01:00:00,1.525,239
2014-09-23 01:00:00,1.476,224
2014-09-24 01:00:00,1.554,188
2014-09-25 01:00:00,1.57,170
2014-09-26 01:00:00,1.54,197
2014-09-27 01:00:00,1.29,261
2014-09-28 01:00:00,1.428,268
2014-09-29 01:00:00,1.434,188
2014-09-30 01:00:00,1.413,212
2014-10-01 01:00:00,1.454,220
2014-10-02 01:00:00,1.474,219
2014-10-03 01:00:00,1.454,233
2014-10-04 01:00:00,1.424,293
2014-10-05 01:00:00,1.415,269
2014-10-06 01:00:00,1.383,219
2014-10-07 01:00:00,1.415,214
2014-10-08 01:00:00,1.643,255
2014-10-09 01:00:00,1.63,239
2014-10-10 01:00:00,1.617,265
2014-10-11 01:00:00,1.586,299
2014-10-12 01:00:00,1.647,245
2014-10-13 01:00:00,1.4,269
2014-10-14 01:00:00,1.474,287
2014-10-15 01:00:00,1.565,244
2014-10-16 01:00:00,1.746,219
2014-10-17 01:00:00,1.513,250
2014-10-18 01:00:00,1.36,270
2014-10-19 01:00:00,1.381,261
2014-10-20 01:00:00,1.425,219
2014-10-21 01:00:00,1.466,198
2014-10-22 01:00:00,1.534,191
2014-10-23 01:00:00,1.45,211
2014-10-24 01:00:00,1.433,241
2014-10-25 01:00:00,1.527,253
2014-10-26 01:00:00,1.281,325
2014-10-27 01:00:00,1.293,243
2014-10-28 01:00:00,1.315,264
2014-10-29 01:00:00,1.318,239
2014-10-30 01:00:00,1.915,196
2014-10-31 01:00:00,1.313,298
2014-11-01 01:00:00,1.259,323
2014-11-02 01:00:00,1.23,277
2014-11-03 01:00:00,1.218,212
2014-11-04 01:00:00,1.192,229
