date,price,volume
2020-12-03 01:00:00,0.098,179
2020-12-04 01:00:00,0.077,3605
2020-12-05 01:00:00,0.069,2235
2020-12-06 01:00:00,0.067,1644
2020-12-07 01:00:00,0.069,1598
2020-12-08 01:00:00,0.066,1150
2020-12-09 01:00:00,0.059,1584
2020-12-10 01:00:00,0.058,998
2020-12-11 01:00:00,0.057,1014
2020-12-12 01:00:00,0.057,1074
2020-12-13 01:00:00,0.055,1047
2020-12-14 01:00:00,0.056,781
2020-12-15 01:00:00,0.054,925
2020-12-16 01:00:00,0.051,1246
2020-12-17 01:00:00,0.053,949
2020-12-18 01:00:00,0.055,966
2020-12-19 01:00:00,0.054,976
2020-12-20 01:00:00,0.055,744
2020-12-21 01:00:00,0.053,717
2020-12-22 01:00:00,0.049,762
2020-12-23 01:00:00,0.051,1108
2020-12-24 01:00:00,0.052,924
2020-12-25 01:00:00,0.056,866
2020-12-26 01:00:00,0.056,557
2020-12-27 01:00:00,0.053,517
2020-12-28 01:00:00,0.059,725
2020-12-29 01:00:00,0.057,830
2020-12-30 01:00:00,0.055,1022
2020-12-31 01:00:00,0.054,771
2021-01-01 01:00:00,0.056,788
2021-01-02 01:00:00,0.053,749
2021-01-03 01:00:00,0.053,820
2021-01-04 01:00:00,0.052,816
2021-01-05 01:00:00,0.062,835
2021-01-06 01:00:00,0.062,1065
2021-01-07 01:00:00,0.054,850
2021-01-08 01:00:00,0.06,789
2021-01-09 01:00:00,0.058,712
2021-01-10 01:00:00,0.062,629
2021-01-11 01:00:00,0.062,618
2021-01-12 01:00:00,0.058,728
2021-01-13 01:00:00,0.062,1267
2021-01-14 01:00:00,0.061,979
2021-01-15 01:00:00,0.067,885
2021-01-16 01:00:00,0.067,645
2021-01-17 01:00:00,0.065,628
2021-01-18 01:00:00,0.066,569
2021-01-19 01:00:00,0.064,680
2021-01-20 01:00:00,0.062,943
2021-01-21 01:00:00,0.065,813
2021-01-22 01:00:00,0.064,1028
2021-01-23 01:00:00,0.068,709
2021-01-24 01:00:00,0.058,583
2021-01-25 01:00:00,0.058,553
2021-01-26 01:00:00,0.063,629
2021-01-27 01:00:00,0.059,982
2021-01-28 01:00:00,0.054,1444
2021-01-29 01:00:00,0.054,936
2021-01-30 01:00:00,0.055,906
2021-01-31 01:00:00,0.056,682
2021-02-01 01:00:00,0.059,664
2021-02-02 01:00:00,0.058,649
2021-02-03 01:00:00,0.054,922
2021-02-04 01:00:00,0.052,751
2021-02-05 01:00:00,0.054,660
2021-02-06 01:00:00,0.05,653
2021-02-07 01:00:00,0.053,833
2021-02-08 01:00:00,0.057,897
2021-02-09 01:00:00,0.056,810
2021-02-10 01:00:00,0.052,1219
2021-02-11 01:00:00,0.054,1092
2021-02-12 01:00:00,0.052,1093
2021-02-13 01:00:00,0.044,1102
2021-02-14 01:00:00,0.049,938
2021-02-15 01:00:00,0.052,937
2021-02-16 01:00:00,0.051,609
2021-02-17 01:00:00,0.049,954
2021-02-18 01:00:00,0.05,933
2021-02-19 01:00:00,0.045,591
2021-02-20 01:00:00,0.052,828
2021-02-21 01:00:00,0.056,1027
2021-02-22 01:00:00,0.049,723
2021-02-23 01:00:00,0.051,716
2021-02-24 01:00:00,0.056,1680
2021-02-25 01:00:00,0.054,800
2021-02-26 01:00:00,0.06,859
2021-02-27 01:00:00,0.06,883
2021-02-28 01:00:00,0.067,657
2021-03-01 01:00:00,0.058,567
2021-03-02 01:00:00,0.054,637
2021-03-03 01:00:00,0.063,1275
2021-03-04 01:00:00,0.056,750
2021-03-05 01:00:00,0.059,791
2021-03-06 01:00:00,0.062,1026
2021-03-07 01:00:00,0.065,1013
2021-03-08 01:00:00,0.063,816
2021-03-09 01:00:00,0.066,941
2021-03-10 01:00:00,0.076,1289
2021-03-11 01:00:00,0.088,1126
2021-03-12 01:00:00,0.086,940
2021-03-13 01:00:00,0.082,898
2021-03-14 01:00:00,0.081,1112
2021-03-15 01:00:00,0.083,756
2021-03-16 01:00:00,0.085,1148
2021-03-17 01:00:00,0.084,1668
2021-03-18 01:00:00,0.086,1364
2021-03-19 01:00:00,0.086,1484
2021-03-20 01:00:00,0.084,1569
2021-03-21 01:00:00,0.096,1171
2021-03-22 01:00:00,0.104,1052
2021-03-23 01:00:00,0.104,827
2021-03-24 01:00:00,0.115,945
2021-03-25 01:00:00,0.113,718
2021-03-26 01:00:00,0.1,733
2021-03-27 01:00:00,0.102,829
2021-03-28 01:00:00,0.111,799
2021-03-29 01:00:00,0.108,772
2021-03-30 01:00:00,0.108,878
2021-03-31 01:00:00,0.109,939
2021-04-01 01:00:00,0.109,1431
2021-04-02 01:00:00,0.111,699
2021-04-03 01:00:00,0.116,837
2021-04-04 01:00:00,0.121,716
2021-04-05 01:00:00,0.118,733
2021-04-06 01:00:00,0.124,677
2021-04-07 01:00:00,0.111,1083
2021-04-08 01:00:00,0.112,1160
2021-04-09 01:00:00,0.09,1116
2021-04-10 01:00:00,0.098,1048
2021-04-11 01:00:00,0.099,643
2021-04-12 01:00:00,0.1,698
2021-04-13 01:00:00,0.102,651
2021-04-14 01:00:00,0.098,283
2021-04-15 01:00:00,0.095,661
2021-04-16 01:00:00,0.099,890
2021-04-17 01:00:00,0.104,714
2021-04-18 01:00:00,0.093,397
2021-04-19 01:00:00,0.095,525
2021-04-20 01:00:00,0.091,422
2021-04-21 01:00:00,0.087,571
2021-04-22 01:00:00,0.098,714
2021-04-23 01:00:00,0.106,463
2021-04-24 01:00:00,0.111,527
2021-04-25 01:00:00,0.109,421
2021-04-26 01:00:00,0.105,441
2021-04-27 01:00:00,0.118,582
2021-04-28 01:00:00,0.128,1407
2021-04-29 01:00:00,0.153,754
2021-04-30 01:00:00,0.162,1064
2021-05-01 01:00:00,0.159,565
2021-05-02 01:00:00,0.147,654
2021-05-03 01:00:00,0.125,573
2021-05-04 01:00:00,0.155,811
2021-05-05 01:00:00,0.155,601
2021-05-06 01:00:00,0.129,582
2021-05-07 01:00:00,0.121,437
2021-05-08 01:00:00,0.121,536
2021-05-09 01:00:00,0.125,947
2021-05-10 01:00:00,0.137,508
2021-05-11 01:00:00,0.129,383
2021-05-12 01:00:00,0.122,423
2021-05-13 01:00:00,0.12,401
2021-05-14 01:00:00,0.122,392
2021-05-15 01:00:00,0.118,1380
2021-05-16 01:00:00,0.11,404
2021-05-17 01:00:00,0.114,343
2021-05-18 01:00:00,0.106,336
2021-05-19 01:00:00,0.115,588
2021-05-20 01:00:00,0.116,304
2021-05-21 01:00:00,0.107,345
2021-05-22 01:00:00,0.112,249
2021-05-23 01:00:00,0.113,232
2021-05-24 01:00:00,0.111,362
2021-05-25 01:00:00,0.123,513
2021-05-26 01:00:00,0.154,315
2021-05-27 01:00:00,0.185,476
2021-05-28 01:00:00,0.211,661
2021-05-29 01:00:00,0.184,626
2021-05-30 01:00:00,0.189,377
2021-05-31 01:00:00,0.18,447
2021-06-01 01:00:00,0.191,238
2021-06-02 01:00:00,0.198,547
2021-06-03 01:00:00,0.216,799
2021-06-04 01:00:00,0.225,1291
2021-06-05 01:00:00,0.255,577
2021-06-06 01:00:00,0.258,384
2021-06-07 01:00:00,0.237,414
2021-06-08 01:00:00,0.244,290
2021-06-09 01:00:00,0.245,337
2021-06-10 01:00:00,0.24,240
2021-06-11 01:00:00,0.239,287
2021-06-12 01:00:00,0.238,297
2021-06-13 01:00:00,0.235,327
2021-06-14 01:00:00,0.222,345
2021-06-15 01:00:00,0.22,264
2021-06-16 01:00:00,0.219,303
2021-06-17 01:00:00,0.218,224
2021-06-18 01:00:00,0.213,221
