date,price,volume
2014-05-02 01:00:00,13.262,58
2014-05-03 01:00:00,8.521,71
2014-05-04 01:00:00,6.892,81
2014-05-05 01:00:00,6.817,56
2014-05-06 01:00:00,5.096,66
2014-05-07 01:00:00,5.121,63
2014-05-08 01:00:00,4.423,67
2014-05-09 01:00:00,4.162,60
2014-05-10 01:00:00,4.161,73
2014-05-11 01:00:00,3.41,72
2014-05-12 01:00:00,3.331,70
2014-05-13 01:00:00,3.078,49
2014-05-14 01:00:00,2.757,92
2014-05-15 01:00:00,3.241,74
2014-05-16 01:00:00,3.241,98
2014-05-17 01:00:00,2.876,86
2014-05-18 01:00:00,2.877,111
2014-05-19 01:00:00,2.835,73
2014-05-20 01:00:00,2.931,76
2014-05-21 01:00:00,2.733,87
2014-05-22 01:00:00,2.75,83
2014-05-23 01:00:00,2.702,79
2014-05-24 01:00:00,2.671,101
2014-05-25 01:00:00,2.456,83
2014-05-26 01:00:00,2.357,101
2014-05-27 01:00:00,2.341,124
2014-05-28 01:00:00,2.386,116
2014-05-29 01:00:00,2.23,104
2014-05-30 01:00:00,2.407,116
2014-05-31 01:00:00,2.368,130
2014-06-01 01:00:00,2.527,92
2014-06-02 01:00:00,2.488,90
2014-06-03 01:00:00,2.371,86
2014-06-04 01:00:00,2.166,144
2014-06-05 01:00:00,2.143,138
2014-06-06 01:00:00,2.056,135
2014-06-07 01:00:00,1.992,195
2014-06-08 01:00:00,2.057,217
2014-06-09 01:00:00,2.098,171
2014-06-10 01:00:00,2.042,160
2014-06-11 01:00:00,1.924,208
2014-06-12 01:00:00,1.9,316
2014-06-13 01:00:00,2.052,225
2014-06-14 01:00:00,2.046,180
2014-06-15 01:00:00,1.978,202
2014-06-16 01:00:00,2.09,195
2014-06-17 01:00:00,1.989,198
2014-06-18 01:00:00,2.041,200
2014-06-19 01:00:00,1.861,179
2014-06-20 01:00:00,1.612,204
2014-06-21 01:00:00,1.555,221
2014-06-22 01:00:00,1.469,236
2014-06-23 01:00:00,1.409,242
2014-06-24 01:00:00,1.29,299
2014-06-25 01:00:00,1.338,283
2014-06-26 01:00:00,1.425,287
2014-06-27 01:00:00,1.398,252
2014-06-28 01:00:00,1.48,228
2014-06-29 01:00:00,1.333,335
2014-06-30 01:00:00,1.409,356
2014-07-01 01:00:00,1.562,261
2014-07-02 01:00:00,1.109,424
2014-07-03 01:00:00,1.267,454
2014-07-04 01:00:00,1.273,387
2014-07-05 01:00:00,1.411,388
2014-07-06 01:00:00,1.531,413
2014-07-07 01:00:00,1.503,338
2014-07-08 01:00:00,1.616,293
2014-07-09 01:00:00,1.648,395
2014-07-10 01:00:00,1.497,315
2014-07-11 01:00:00,1.513,511
2014-07-12 01:00:00,1.588,541
2014-07-13 01:00:00,1.642,504
2014-07-14 01:00:00,1.586,487
2014-07-15 01:00:00,1.654,355
2014-07-16 01:00:00,1.717,416
2014-07-17 01:00:00,1.618,393
2014-07-18 01:00:00,1.538,401
2014-07-19 01:00:00,1.547,424
2014-07-20 01:00:00,1.437,539
2014-07-21 01:00:00,1.417,404
2014-07-22 01:00:00,1.496,392
2014-07-23 01:00:00,1.712,294
2014-07-24 01:00:00,1.544,394
2014-07-25 01:00:00,1.547,516
2014-07-26 01:00:00,1.573,525
2014-07-27 01:00:00,1.663,489
2014-07-28 01:00:00,1.653,338
2014-07-29 01:00:00,1.638,473
2014-07-30 01:00:00,1.602,529
2014-07-31 01:00:00,1.632,573
2014-08-01 01:00:00,1.6,623
2014-08-02 01:00:00,1.745,627
2014-08-03 01:00:00,1.726,501
2014-08-04 01:00:00,1.641,618
2014-08-05 01:00:00,1.504,537
2014-08-06 01:00:00,1.539,651
2014-08-07 01:00:00,1.696,606
2014-08-08 01:00:00,1.782,550
2014-08-09 01:00:00,1.808,492
2014-08-10 01:00:00,1.708,501
2014-08-11 01:00:00,1.739,546
2014-08-12 01:00:00,1.824,501
2014-08-13 01:00:00,1.739,502
2014-08-14 01:00:00,1.708,465
2014-08-15 01:00:00,1.664,603
2014-08-16 01:00:00,1.668,514
2014-08-17 01:00:00,1.375,581
2014-08-18 01:00:00,1.49,641
2014-08-19 01:00:00,1.56,687
2014-08-20 01:00:00,1.554,676
2014-08-21 01:00:00,1.562,608
2014-08-22 01:00:00,1.532,522
2014-08-23 01:00:00,1.575,739
2014-08-24 01:00:00,1.724,518
2014-08-25 01:00:00,1.704,699
2014-08-26 01:00:00,1.732,573
2014-08-27 01:00:00,1.594,625
2014-08-28 01:00:00,1.59,635
2014-08-29 01:00:00,1.71,603
2014-08-30 01:00:00,1.602,795
2014-08-31 01:00:00,1.531,617
2014-09-01 01:00:00,1.474,721
2014-09-02 01:00:00,1.575,779
2014-09-03 01:00:00,2.172,801
2014-09-04 01:00:00,2.216,306
2014-09-05 01:00:00,2.092,438
2014-09-06 01:00:00,2.139,446
2014-09-07 01:00:00,2.108,504
2014-09-08 01:00:00,2.048,402
2014-09-09 01:00:00,2.067,426
2014-09-10 01:00:00,2.049,356
2014-09-11 01:00:00,1.97,407
2014-09-12 01:00:00,2.059,434
2014-09-13 01:00:00,1.885,639
2014-09-14 01:00:00,1.987,476
2014-09-15 01:00:00,2.002,388
2014-09-16 01:00:00,1.992,363
2014-09-17 01:00:00,1.917,426
2014-09-18 01:00:00,1.921,497
2014-09-19 01:00:00,1.914,549
2014-09-20 01:00:00,1.942,686
2014-09-21 01:00:00,1.904,488
2014-09-22 01:00:00,1.882,359
2014-09-23 01:00:00,1.891,506
2014-09-24 01:00:00,1.826,541
2014-09-25 01:00:00,1.887,366
2014-09-26 01:00:00,1.868,455
2014-09-27 01:00:00,1.867,577
2014-09-28 01:00:00,1.899,456
2014-09-29 01:00:00,1.813,396
2014-09-30 01:00:00,1.903,427
2014-10-01 01:00:00,1.956,434
2014-10-02 01:00:00,1.899,352
2014-10-03 01:00:00,1.842,529
2014-10-04 01:00:00,1.942,529
2014-10-05 01:00:00,1.884,546
2014-10-06 01:00:00,1.902,521
2014-10-07 01:00:00,1.905,548
2014-10-08 01:00:00,1.932,372
2014-10-09 01:00:00,1.951,314
2014-10-10 01:00:00,1.823,521
2014-10-11 01:00:00,1.804,529
2014-10-12 01:00:00,1.807,572
2014-10-13 01:00:00,1.771,514
2014-10-14 01:00:00,1.853,478
2014-10-15 01:00:00,1.837,501
2014-10-16 01:00:00,1.878,501
2014-10-17 01:00:00,1.913,470
2014-10-18 01:00:00,1.75,597
2014-10-19 01:00:00,1.687,516
2014-10-20 01:00:00,1.676,454
2014-10-21 01:00:00,1.733,443
2014-10-22 01:00:00,1.831,434
2014-10-23 01:00:00,1.75,509
2014-10-24 01:00:00,1.782,506
2014-10-25 01:00:00,1.812,602
2014-10-26 01:00:00,1.692,608
2014-10-27 01:00:00,1.627,384
2014-10-28 01:00:00,1.716,569
2014-10-29 01:00:00,1.679,431
2014-10-30 01:00:00,1.903,529
2014-10-31 01:00:00,1.659,625
2014-11-01 01:00:00,1.673,633
2014-11-02 01:00:00,1.624,719
2014-11-03 01:00:00,1.726,455
2014-11-04 01:00:00,1.756,585
2014-11-05 01:00:00,1.656,457
2014-11-06 01:00:00,1.7,411
2014-11-07 01:00:00,1.729,462
2014-11-08 01:00:00,1.661,593
2014-11-09 01:00:00,1.672,567
2014-11-10 01:00:00,1.622,456
2014-11-11 01:00:00,1.609,402
2014-11-12 01:00:00,1.276,816
2014-11-13 01:00:00,1.342,651
2014-11-14 01:00:00,1.375,600
2014-11-15 01:00:00,1.447,633
2014-11-16 01:00:00,1.418,712
2014-11-17 01:00:00,1.403,556
2014-11-18 01:00:00,1.415,507
2014-11-19 01:00:00,1.354,419
2014-11-20 01:00:00,1.307,560
2014-11-21 01:00:00,1.222,553
2014-11-22 01:00:00,1.269,541
2014-11-23 01:00:00,1.35,489
2014-11-24 01:00:00,1.251,535
2014-11-25 01:00:00,1.331,500
2014-11-26 01:00:00,1.353,592
2014-11-27 01:00:00,1.422,603
2014-11-28 01:00:00,1.384,659
2014-11-29 01:00:00,1.817,274
2014-11-30 01:00:00,1.259,985
2014-12-01 01:00:00,1.052,782
2014-12-02 01:00:00,1.137,721
2014-12-03 01:00:00,1.226,719
2014-12-04 01:00:00,1.35,560
2014-12-05 01:00:00,1.372,753
2014-12-06 01:00:00,1.634,653
2014-12-07 01:00:00,1.459,700
2014-12-08 01:00:00,1.492,526
2014-12-09 01:00:00,1.559,436
2014-12-10 01:00:00,1.478,640
2014-12-11 01:00:00,1.479,784
2014-12-12 01:00:00,1.515,613
2014-12-13 01:00:00,1.48,710
2014-12-14 01:00:00,1.555,924
2014-12-15 01:00:00,1.532,584
2014-12-16 01:00:00,1.521,553
2014-12-17 01:00:00,1.627,707
2014-12-18 01:00:00,1.662,570
2014-12-19 01:00:00,1.702,637
2014-12-20 01:00:00,1.585,680
2014-12-21 01:00:00,1.468,760
2014-12-22 01:00:00,1.381,771
2014-12-23 01:00:00,1.4,887
2014-12-24 01:00:00,1.55,727
2014-12-25 01:00:00,1.735,889
2014-12-26 01:00:00,1.84,868
2014-12-27 01:00:00,1.862,954
2014-12-28 01:00:00,1.728,887
2014-12-29 01:00:00,1.751,992
2014-12-30 01:00:00,1.796,1046
2014-12-31 01:00:00,1.811,944
2015-01-01 01:00:00,1.781,785
2015-01-02 01:00:00,1.765,1118
2015-01-03 01:00:00,1.888,1054
2015-01-04 01:00:00,1.82,971
2015-01-05 01:00:00,1.792,836
2015-01-06 01:00:00,1.906,782
2015-01-07 01:00:00,1.893,598
2015-01-08 01:00:00,1.83,842
2015-01-09 01:00:00,1.737,1116
2015-01-10 01:00:00,1.755,1231
2015-01-11 01:00:00,1.701,1136
2015-01-12 01:00:00,1.7,1013
2015-01-13 01:00:00,1.72,925
2015-01-14 01:00:00,1.698,910
2015-01-15 01:00:00,1.757,911
2015-01-16 01:00:00,1.764,1010
2015-01-17 01:00:00,1.662,1194
2015-01-18 01:00:00,1.769,1280
2015-01-19 01:00:00,1.766,873
2015-01-20 01:00:00,1.781,822
2015-01-21 01:00:00,1.688,812
2015-01-22 01:00:00,1.762,825
2015-01-23 01:00:00,1.764,1039
2015-01-24 01:00:00,1.764,1130
2015-01-25 01:00:00,1.606,1035
2015-01-26 01:00:00,1.552,1015
2015-01-27 01:00:00,1.554,1052
2015-01-28 01:00:00,1.599,816
2015-01-29 01:00:00,1.531,943
2015-01-30 01:00:00,1.567,1100
2015-01-31 01:00:00,1.565,1272
2015-02-01 01:00:00,1.46,1328
2015-02-02 01:00:00,1.453,1008
2015-02-03 01:00:00,1.525,1065
2015-02-04 01:00:00,1.562,1001
2015-02-05 01:00:00,1.528,1077
2015-02-06 01:00:00,1.463,1063
2015-02-07 01:00:00,1.566,1381
2015-02-08 01:00:00,1.416,1194
2015-02-09 01:00:00,1.429,883
2015-02-10 01:00:00,1.481,939
