date,price,volume
2013-11-07 01:00:00,24.316,2
2013-11-08 01:00:00,5.332,408
2013-11-09 01:00:00,1.133,491
2013-11-10 01:00:00,0.737,581
2013-11-11 01:00:00,0.604,440
2013-11-12 01:00:00,0.514,393
2013-11-13 01:00:00,0.552,278
2013-11-14 01:00:00,0.471,334
2013-11-15 01:00:00,0.425,430
2013-11-16 01:00:00,0.381,388
2013-11-17 01:00:00,0.337,456
2013-11-18 01:00:00,0.296,368
2013-11-19 01:00:00,0.281,329
2013-11-20 01:00:00,0.365,244
2013-11-21 01:00:00,0.293,286
2013-11-22 01:00:00,0.266,346
2013-11-23 01:00:00,0.267,406
2013-11-24 01:00:00,0.257,423
2013-11-25 01:00:00,0.236,356
2013-11-26 01:00:00,0.212,412
2013-11-27 01:00:00,0.209,352
2013-11-28 01:00:00,0.196,442
2013-11-29 01:00:00,0.228,400
2013-11-30 01:00:00,0.202,584
2013-12-01 01:00:00,0.221,612
2013-12-02 01:00:00,0.209,451
2013-12-03 01:00:00,0.189,451
2013-12-04 01:00:00,0.204,488
2013-12-05 01:00:00,0.208,413
2013-12-06 01:00:00,0.195,430
2013-12-07 01:00:00,0.217,586
2013-12-08 01:00:00,0.204,599
2013-12-09 01:00:00,0.177,472
2013-12-10 01:00:00,0.182,495
2013-12-11 01:00:00,0.18,486
2013-12-12 01:00:00,0.173,424
2013-12-13 01:00:00,0.169,443
2013-12-14 01:00:00,0.166,567
2013-12-15 01:00:00,0.178,519
2013-12-16 01:00:00,0.158,425
2013-12-17 01:00:00,0.148,417
2013-12-18 01:00:00,0.136,381
2013-12-19 01:00:00,0.128,451
2013-12-20 01:00:00,0.132,514
2013-12-21 01:00:00,0.154,570
2013-12-22 01:00:00,0.15,534
2013-12-23 01:00:00,0.146,598
2013-12-24 01:00:00,0.156,540
2013-12-25 01:00:00,0.151,384
2013-12-26 01:00:00,0.163,598
2013-12-27 01:00:00,0.154,552
2013-12-28 01:00:00,0.155,601
2013-12-29 01:00:00,0.158,610
2013-12-30 01:00:00,0.152,592
2013-12-31 01:00:00,0.168,541
2014-01-01 01:00:00,0.164,511
2014-01-02 01:00:00,0.154,602
2014-01-03 01:00:00,0.157,461
2014-01-04 01:00:00,0.166,734
2014-01-05 01:00:00,0.168,708
2014-01-06 01:00:00,0.165,682
2014-01-07 01:00:00,0.158,605
2014-01-08 01:00:00,0.167,517
2014-01-09 01:00:00,0.165,673
2014-01-10 01:00:00,0.178,710
2014-01-11 01:00:00,0.183,579
2014-01-12 01:00:00,0.169,657
2014-01-13 01:00:00,0.151,615
2014-01-14 01:00:00,0.153,556
2014-01-15 01:00:00,0.169,561
2014-01-16 01:00:00,0.171,515
2014-01-17 01:00:00,0.164,515
2014-01-18 01:00:00,0.169,711
2014-01-19 01:00:00,0.177,710
2014-01-20 01:00:00,0.179,656
2014-01-21 01:00:00,0.174,607
2014-01-22 01:00:00,0.178,598
2014-01-23 01:00:00,0.175,584
2014-01-24 01:00:00,0.164,810
2014-01-25 01:00:00,0.16,801
2014-01-26 01:00:00,0.163,812
2014-01-27 01:00:00,0.156,623
2014-01-28 01:00:00,0.151,659
2014-01-29 01:00:00,0.152,654
2014-01-30 01:00:00,0.149,707
2014-01-31 01:00:00,0.147,758
2014-02-01 01:00:00,0.153,882
2014-02-02 01:00:00,0.151,855
2014-02-03 01:00:00,0.143,682
2014-02-04 01:00:00,0.146,668
