date,price,volume
2013-12-19 01:00:00,10.833,8
2013-12-20 01:00:00,5.42,40
2013-12-21 01:00:00,5.813,43
2013-12-22 01:00:00,5.07,44
2013-12-23 01:00:00,4.865,62
2013-12-24 01:00:00,5.428,51
2013-12-25 01:00:00,5.479,31
2013-12-26 01:00:00,4.96,55
2013-12-27 01:00:00,5.473,60
2013-12-28 01:00:00,4.801,51
2013-12-29 01:00:00,4.329,67
2013-12-30 01:00:00,3.995,68
2013-12-31 01:00:00,3.629,59
2014-01-01 01:00:00,3.727,74
2014-01-02 01:00:00,3.771,67
2014-01-03 01:00:00,3.725,51
2014-01-04 01:00:00,4.034,105
2014-01-05 01:00:00,3.877,63
2014-01-06 01:00:00,3.783,70
2014-01-07 01:00:00,3.874,85
2014-01-08 01:00:00,3.48,60
2014-01-09 01:00:00,3.688,102
2014-01-10 01:00:00,3.802,73
2014-01-11 01:00:00,4.179,96
2014-01-12 01:00:00,3.872,94
2014-01-13 01:00:00,3.964,102
2014-01-14 01:00:00,3.804,104
2014-01-15 01:00:00,3.574,75
2014-01-16 01:00:00,3.496,73
2014-01-17 01:00:00,4.163,78
2014-01-18 01:00:00,3.512,116
2014-01-19 01:00:00,3.577,120
2014-01-20 01:00:00,3.927,114
2014-01-21 01:00:00,4.075,80
2014-01-22 01:00:00,3.945,88
2014-01-23 01:00:00,3.629,97
2014-01-24 01:00:00,3.552,83
2014-01-25 01:00:00,3.542,121
2014-01-26 01:00:00,3.59,123
2014-01-27 01:00:00,3.516,105
2014-01-28 01:00:00,3.468,100
2014-01-29 01:00:00,3.522,93
2014-01-30 01:00:00,3.416,99
2014-01-31 01:00:00,3.327,135
2014-02-01 01:00:00,3.368,116
2014-02-02 01:00:00,3.608,175
2014-02-03 01:00:00,3.217,106
2014-02-04 01:00:00,3.452,115
2014-02-05 01:00:00,3.349,97
2014-02-06 01:00:00,3.231,99
2014-02-07 01:00:00,3.268,132
2014-02-08 01:00:00,3.125,143
2014-02-09 01:00:00,3.199,108
2014-02-10 01:00:00,3.479,124
2014-02-11 01:00:00,3.459,108
2014-02-12 01:00:00,3.249,144
2014-02-13 01:00:00,2.885,136
2014-02-14 01:00:00,2.938,132
2014-02-15 01:00:00,2.647,186
2014-02-16 01:00:00,2.895,143
2014-02-17 01:00:00,2.791,103
2014-02-18 01:00:00,2.849,160
2014-02-19 01:00:00,2.831,120
2014-02-20 01:00:00,2.974,120
2014-02-21 01:00:00,2.274,170
2014-02-22 01:00:00,2.599,217
2014-02-23 01:00:00,2.767,179
2014-02-24 01:00:00,2.786,147
2014-02-25 01:00:00,3.001,131
2014-02-26 01:00:00,3.023,137
2014-02-27 01:00:00,2.941,147
2014-02-28 01:00:00,3.186,181
2014-03-01 01:00:00,2.901,180
2014-03-02 01:00:00,2.805,180
2014-03-03 01:00:00,2.801,174
2014-03-04 01:00:00,2.934,151
2014-03-05 01:00:00,2.998,150
2014-03-06 01:00:00,3.091,149
2014-03-07 01:00:00,3.102,164
2014-03-08 01:00:00,3.074,181
2014-03-09 01:00:00,3.058,176
2014-03-10 01:00:00,3.293,176
2014-03-11 01:00:00,3.246,151
2014-03-12 01:00:00,3.137,142
2014-03-13 01:00:00,3.443,105
2014-03-14 01:00:00,3.429,149
2014-03-15 01:00:00,3.17,215
2014-03-16 01:00:00,3.011,234
2014-03-17 01:00:00,3.167,178
2014-03-18 01:00:00,3.046,154
2014-03-19 01:00:00,3.279,164
2014-03-20 01:00:00,2.978,104
2014-03-21 01:00:00,3.261,185
2014-03-22 01:00:00,3.119,164
2014-03-23 01:00:00,3.054,186
2014-03-24 01:00:00,3.414,168
2014-03-25 01:00:00,3.513,108
2014-03-26 01:00:00,3.881,144
2014-03-27 01:00:00,3.229,164
2014-03-28 01:00:00,3.155,157
2014-03-29 01:00:00,3.183,234
2014-03-30 01:00:00,3.17,198
2014-03-31 01:00:00,3.383,200
2014-04-01 01:00:00,3.812,109
2014-04-02 01:00:00,3.274,153
2014-04-03 01:00:00,3.266,164
2014-04-04 01:00:00,3.402,202
2014-04-05 01:00:00,3.404,181
2014-04-06 01:00:00,3.47,173
2014-04-07 01:00:00,3.305,182
2014-04-08 01:00:00,3.656,158
2014-04-09 01:00:00,3.402,198
2014-04-10 01:00:00,3.439,194
2014-04-11 01:00:00,3.764,288
2014-04-12 01:00:00,3.816,204
2014-04-13 01:00:00,3.883,196
2014-04-14 01:00:00,3.702,235
2014-04-15 01:00:00,3.798,183
2014-04-16 01:00:00,3.524,231
2014-04-17 01:00:00,3.474,184
2014-04-18 01:00:00,3.523,199
2014-04-19 01:00:00,3.725,222
2014-04-20 01:00:00,3.449,228
2014-04-21 01:00:00,3.664,223
2014-04-22 01:00:00,3.86,186
2014-04-23 01:00:00,3.713,244
2014-04-24 01:00:00,3.753,168
2014-04-25 01:00:00,3.747,203
2014-04-26 01:00:00,3.946,213
2014-04-27 01:00:00,3.947,245
2014-04-28 01:00:00,3.859,212
2014-04-29 01:00:00,4.116,207
2014-04-30 01:00:00,4.139,166
2014-05-01 01:00:00,4.128,199
2014-05-02 01:00:00,3.58,233
2014-05-03 01:00:00,3.299,223
2014-05-04 01:00:00,3.11,323
2014-05-05 01:00:00,3.097,290
2014-05-06 01:00:00,3.146,244
2014-05-07 01:00:00,3.513,303
2014-05-08 01:00:00,3.412,196
2014-05-09 01:00:00,3.33,303
2014-05-10 01:00:00,3.267,274
2014-05-11 01:00:00,3.065,290
2014-05-12 01:00:00,3.145,237
2014-05-13 01:00:00,2.98,189
2014-05-14 01:00:00,2.939,184
2014-05-15 01:00:00,3.437,358
2014-05-16 01:00:00,3.443,265
2014-05-17 01:00:00,3.491,290
2014-05-18 01:00:00,3.53,311
2014-05-19 01:00:00,3.621,271
2014-05-20 01:00:00,3.588,169
2014-05-21 01:00:00,3.34,193
2014-05-22 01:00:00,3.22,222
2014-05-23 01:00:00,3.309,257
2014-05-24 01:00:00,3.203,287
2014-05-25 01:00:00,3.276,250
2014-05-26 01:00:00,3.215,218
2014-05-27 01:00:00,3.389,242
2014-05-28 01:00:00,3.219,222
2014-05-29 01:00:00,3.23,212
2014-05-30 01:00:00,3.362,245
2014-05-31 01:00:00,3.383,245
2014-06-01 01:00:00,3.277,202
2014-06-02 01:00:00,3.055,222
2014-06-03 01:00:00,3.183,201
2014-06-04 01:00:00,3.193,226
2014-06-05 01:00:00,3.044,180
2014-06-06 01:00:00,3.012,223
2014-06-07 01:00:00,3.127,220
2014-06-08 01:00:00,2.966,210
2014-06-09 01:00:00,3.035,202
2014-06-10 01:00:00,2.875,164
2014-06-11 01:00:00,2.9,218
2014-06-12 01:00:00,2.771,233
2014-06-13 01:00:00,2.967,243
2014-06-14 01:00:00,3.132,229
2014-06-15 01:00:00,3.044,248
2014-06-16 01:00:00,2.988,243
2014-06-17 01:00:00,2.815,260
2014-06-18 01:00:00,2.893,240
2014-06-19 01:00:00,2.776,216
2014-06-20 01:00:00,2.514,267
2014-06-21 01:00:00,2.634,286
2014-06-22 01:00:00,2.653,218
2014-06-23 01:00:00,2.567,232
2014-06-24 01:00:00,2.506,228
2014-06-25 01:00:00,2.485,217
2014-06-26 01:00:00,2.615,189
2014-06-27 01:00:00,2.61,194
2014-06-28 01:00:00,2.59,222
2014-06-29 01:00:00,2.549,250
2014-06-30 01:00:00,2.559,262
2014-07-01 01:00:00,2.894,218
2014-07-02 01:00:00,2.16,314
2014-07-03 01:00:00,2.395,286
2014-07-04 01:00:00,2.7,244
2014-07-05 01:00:00,2.743,204
2014-07-06 01:00:00,2.817,209
2014-07-07 01:00:00,2.883,230
2014-07-08 01:00:00,2.791,213
2014-07-09 01:00:00,2.791,285
2014-07-10 01:00:00,2.852,208
2014-07-11 01:00:00,2.748,211
2014-07-12 01:00:00,2.705,295
2014-07-13 01:00:00,2.843,201
2014-07-14 01:00:00,2.702,232
2014-07-15 01:00:00,2.862,298
2014-07-16 01:00:00,2.861,237
2014-07-17 01:00:00,2.82,236
2014-07-18 01:00:00,2.804,247
2014-07-19 01:00:00,2.752,180
2014-07-20 01:00:00,2.665,270
2014-07-21 01:00:00,2.63,199
2014-07-22 01:00:00,2.717,202
2014-07-23 01:00:00,2.727,239
2014-07-24 01:00:00,2.882,212
2014-07-25 01:00:00,2.851,276
2014-07-26 01:00:00,2.856,203
2014-07-27 01:00:00,2.877,210
2014-07-28 01:00:00,2.762,235
2014-07-29 01:00:00,2.745,284
2014-07-30 01:00:00,2.817,276
2014-07-31 01:00:00,2.976,287
2014-08-01 01:00:00,2.998,253
2014-08-02 01:00:00,3.279,313
