date,price,volume
2023-02-10 01:00:00,3.856,140
2023-02-11 01:00:00,2.742,186
2023-02-12 01:00:00,2.469,141
2023-02-13 01:00:00,2.38,112
2023-02-14 01:00:00,2.261,98
2023-02-15 01:00:00,2.12,82
2023-02-16 01:00:00,1.872,86
2023-02-17 01:00:00,1.794,96
2023-02-18 01:00:00,1.755,106
2023-02-19 01:00:00,1.471,120
2023-02-20 01:00:00,1.339,92
2023-02-21 01:00:00,1.245,97
2023-02-22 01:00:00,1.206,99
2023-02-23 01:00:00,1.354,60
2023-02-24 01:00:00,1.332,64
2023-02-25 01:00:00,1.354,79
2023-02-26 01:00:00,1.351,92
2023-02-27 01:00:00,1.261,97
2023-02-28 01:00:00,1.248,99
2023-03-01 01:00:00,1.36,67
2023-03-02 01:00:00,1.272,70
2023-03-03 01:00:00,1.288,78
2023-03-04 01:00:00,1.292,101
2023-03-05 01:00:00,1.291,94
2023-03-06 01:00:00,1.278,85
2023-03-07 01:00:00,1.237,71
2023-03-08 01:00:00,1.194,67
2023-03-09 01:00:00,1.126,74
2023-03-10 01:00:00,1.088,102
2023-03-11 01:00:00,1.161,105
2023-03-12 01:00:00,1.126,109
2023-03-13 01:00:00,1.066,95
2023-03-14 01:00:00,1.041,93
2023-03-15 01:00:00,1.018,93
2023-03-16 01:00:00,0.999,81
2023-03-17 01:00:00,1.011,110
2023-03-18 01:00:00,1.009,98
2023-03-19 01:00:00,1.004,117
2023-03-20 01:00:00,0.976,107
2023-03-21 01:00:00,1.003,101
2023-03-22 01:00:00,1.003,116
2023-03-23 01:00:00,1.001,95
2023-03-24 01:00:00,1.052,126
2023-03-25 01:00:00,1.117,126
2023-03-26 01:00:00,1.191,115
2023-03-27 01:00:00,1.18,87
2023-03-28 01:00:00,1.124,97
2023-03-29 01:00:00,1.105,88
2023-03-30 01:00:00,1.094,91
2023-03-31 01:00:00,1.125,65
2023-04-01 01:00:00,1.116,109
2023-04-02 01:00:00,1.11,88
2023-04-03 01:00:00,1.124,111
2023-04-04 01:00:00,1.122,88
2023-04-05 01:00:00,1.311,69
2023-04-06 01:00:00,1.098,125
2023-04-07 01:00:00,1.102,73
2023-04-08 01:00:00,1.166,93
2023-04-09 01:00:00,1.096,128
2023-04-10 01:00:00,1.133,81
2023-04-11 01:00:00,1.224,88
2023-04-12 01:00:00,1.163,91
2023-04-13 01:00:00,1.197,114
2023-04-14 01:00:00,1.295,83
2023-04-15 01:00:00,1.45,81
2023-04-16 01:00:00,1.305,94
2023-04-17 01:00:00,1.289,109
2023-04-18 01:00:00,1.341,77
2023-04-19 01:00:00,1.298,66
2023-04-20 01:00:00,1.32,138
2023-04-21 01:00:00,1.261,134
2023-04-22 01:00:00,1.283,131
2023-04-23 01:00:00,1.264,123
2023-04-24 01:00:00,1.247,123
2023-04-25 01:00:00,1.199,177
2023-04-26 01:00:00,1.104,120
2023-04-27 01:00:00,1.067,118
2023-04-28 01:00:00,1.028,113
2023-04-29 01:00:00,1.029,107
2023-04-30 01:00:00,1.066,114
2023-05-01 01:00:00,1.071,115
2023-05-02 01:00:00,1.039,103
2023-05-03 01:00:00,1.019,99
2023-05-04 01:00:00,0.962,94
2023-05-05 01:00:00,0.957,111
2023-05-06 01:00:00,0.938,87
2023-05-07 01:00:00,0.886,137
2023-05-08 01:00:00,0.862,106
2023-05-09 01:00:00,0.851,97
2023-05-10 01:00:00,0.832,99
2023-05-11 01:00:00,0.847,94
2023-05-12 01:00:00,0.835,70
2023-05-13 01:00:00,0.762,89
2023-05-14 01:00:00,0.718,123
2023-05-15 01:00:00,0.697,138
2023-05-16 01:00:00,0.747,109
2023-05-17 01:00:00,0.755,113
2023-05-18 01:00:00,0.779,123
2023-05-19 01:00:00,0.779,112
2023-05-20 01:00:00,0.779,95
2023-05-21 01:00:00,0.774,117
2023-05-22 01:00:00,0.765,124
2023-05-23 01:00:00,0.754,98
2023-05-24 01:00:00,0.733,95
2023-05-25 01:00:00,0.707,98
2023-05-26 01:00:00,0.688,111
2023-05-27 01:00:00,0.689,147
2023-05-28 01:00:00,0.709,117
2023-05-29 01:00:00,0.672,102
2023-05-30 01:00:00,0.678,84
2023-05-31 01:00:00,0.68,91
2023-06-01 01:00:00,0.677,102
2023-06-02 01:00:00,0.669,109
2023-06-03 01:00:00,0.635,83
2023-06-04 01:00:00,0.62,84
2023-06-05 01:00:00,0.639,109
2023-06-06 01:00:00,0.628,84
2023-06-07 01:00:00,0.637,91
2023-06-08 01:00:00,0.638,104
2023-06-09 01:00:00,0.627,90
2023-06-10 01:00:00,0.624,112
2023-06-11 01:00:00,0.618,120
2023-06-12 01:00:00,0.609,110
2023-06-13 01:00:00,0.631,113
2023-06-14 01:00:00,0.632,103
2023-06-15 01:00:00,0.608,88
2023-06-16 01:00:00,0.609,95
2023-06-17 01:00:00,0.588,116
2023-06-18 01:00:00,0.639,73
2023-06-19 01:00:00,0.616,79
2023-06-20 01:00:00,0.623,82
2023-06-21 01:00:00,0.599,92
2023-06-22 01:00:00,0.599,94
2023-06-23 01:00:00,0.582,96
2023-06-24 01:00:00,0.573,107
2023-06-25 01:00:00,0.549,75
2023-06-26 01:00:00,0.539,59
2023-06-27 01:00:00,0.547,60
2023-06-28 01:00:00,0.533,78
2023-06-29 01:00:00,0.515,71
2023-06-30 01:00:00,0.513,93
2023-07-01 01:00:00,0.483,67
2023-07-02 01:00:00,0.451,98
2023-07-03 01:00:00,0.414,71
2023-07-04 01:00:00,0.432,88
2023-07-05 01:00:00,0.464,51
2023-07-06 01:00:00,0.425,45
2023-07-07 01:00:00,0.402,33
2023-07-08 01:00:00,0.496,54
2023-07-09 01:00:00,0.421,74
2023-07-10 01:00:00,0.544,95
2023-07-11 01:00:00,0.534,67
2023-07-12 01:00:00,0.43,91
2023-07-13 01:00:00,0.436,75
2023-07-14 01:00:00,0.441,73
2023-07-15 01:00:00,0.445,60
2023-07-16 01:00:00,0.441,96
2023-07-17 01:00:00,0.443,74
2023-07-18 01:00:00,0.449,62
2023-07-19 01:00:00,0.43,78
2023-07-20 01:00:00,0.435,69
2023-07-21 01:00:00,0.458,56
2023-07-22 01:00:00,0.419,82
2023-07-23 01:00:00,0.416,67
2023-07-24 01:00:00,0.456,47
2023-07-25 01:00:00,0.407,56
2023-07-26 01:00:00,0.411,95
2023-07-27 01:00:00,0.407,68
2023-07-28 01:00:00,0.458,59
2023-07-29 01:00:00,0.423,63
2023-07-30 01:00:00,0.425,90
2023-07-31 01:00:00,0.426,60
2023-08-01 01:00:00,0.406,68
2023-08-02 01:00:00,0.419,111
2023-08-03 01:00:00,0.412,81
2023-08-04 01:00:00,0.407,103
2023-08-05 01:00:00,0.419,88
2023-08-06 01:00:00,0.421,98
2023-08-07 01:00:00,0.413,70
2023-08-08 01:00:00,0.395,60
2023-08-09 01:00:00,0.399,86
2023-08-10 01:00:00,0.413,104
2023-08-11 01:00:00,0.414,146
2023-08-12 01:00:00,0.401,65
2023-08-13 01:00:00,0.421,74
2023-08-14 01:00:00,0.514,65
2023-08-15 01:00:00,0.401,60
2023-08-16 01:00:00,0.405,79
2023-08-17 01:00:00,0.403,92
2023-08-18 01:00:00,0.399,85
2023-08-19 01:00:00,0.413,101
2023-08-20 01:00:00,0.4,72
2023-08-21 01:00:00,0.421,79
2023-08-22 01:00:00,0.412,90
2023-08-23 01:00:00,0.391,87
2023-08-24 01:00:00,0.397,80
2023-08-25 01:00:00,0.386,72
2023-08-26 01:00:00,0.395,121
2023-08-27 01:00:00,0.401,94
2023-08-28 01:00:00,0.414,72
2023-08-29 01:00:00,0.407,73
2023-08-30 01:00:00,0.416,111
2023-08-31 01:00:00,0.413,69
2023-09-01 01:00:00,0.426,101
2023-09-02 01:00:00,0.467,86
2023-09-03 01:00:00,0.457,114
2023-09-04 01:00:00,0.438,75
2023-09-05 01:00:00,0.447,91
2023-09-06 01:00:00,0.455,83
2023-09-07 01:00:00,0.443,99
2023-09-08 01:00:00,0.481,94
2023-09-09 01:00:00,0.489,171
2023-09-10 01:00:00,0.523,93
2023-09-11 01:00:00,0.464,75
2023-09-12 01:00:00,0.459,69
2023-09-13 01:00:00,0.469,98
2023-09-14 01:00:00,0.48,86
2023-09-15 01:00:00,0.461,98
2023-09-16 01:00:00,0.49,118
2023-09-17 01:00:00,0.464,77
2023-09-18 01:00:00,0.48,98
2023-09-19 01:00:00,0.481,79
2023-09-20 01:00:00,0.472,73
2023-09-21 01:00:00,0.473,63
2023-09-22 01:00:00,0.472,60
2023-09-23 01:00:00,0.458,70
2023-09-24 01:00:00,0.483,86
2023-09-25 01:00:00,0.455,75
2023-09-26 01:00:00,0.467,65
2023-09-27 01:00:00,0.473,118
2023-09-28 01:00:00,0.459,134
2023-09-29 01:00:00,0.456,120
2023-09-30 01:00:00,0.466,137
2023-10-01 01:00:00,0.461,139
2023-10-02 01:00:00,0.462,108
2023-10-03 01:00:00,0.475,94
2023-10-04 01:00:00,0.446,113
2023-10-05 01:00:00,0.459,120
2023-10-06 01:00:00,0.457,151
2023-10-07 01:00:00,0.459,112
2023-10-08 01:00:00,0.46,81
2023-10-09 01:00:00,0.457,88
2023-10-10 01:00:00,0.457,76
2023-10-11 01:00:00,0.474,103
2023-10-12 01:00:00,0.435,119
2023-10-13 01:00:00,0.446,149
2023-10-14 01:00:00,0.474,110
2023-10-15 01:00:00,0.462,105
2023-10-16 01:00:00,0.463,97
2023-10-17 01:00:00,0.485,84
2023-10-18 01:00:00,0.449,102
2023-10-19 01:00:00,0.478,123
2023-10-20 01:00:00,0.589,221
2023-10-21 01:00:00,0.467,92
2023-10-22 01:00:00,0.456,95
2023-10-23 01:00:00,0.466,72
2023-10-24 01:00:00,0.452,97
