date,price,volume
2023-02-10 01:00:00,1.63,497
2023-02-11 01:00:00,0.835,470
2023-02-12 01:00:00,0.699,415
2023-02-13 01:00:00,0.701,349
2023-02-14 01:00:00,0.679,330
2023-02-15 01:00:00,0.567,341
2023-02-16 01:00:00,0.473,350
2023-02-17 01:00:00,0.516,383
2023-02-18 01:00:00,0.635,437
2023-02-19 01:00:00,0.501,344
2023-02-20 01:00:00,0.427,269
2023-02-21 01:00:00,0.402,341
2023-02-22 01:00:00,0.41,287
2023-02-23 01:00:00,0.443,331
2023-02-24 01:00:00,0.433,314
2023-02-25 01:00:00,0.412,361
2023-02-26 01:00:00,0.401,371
2023-02-27 01:00:00,0.404,344
2023-02-28 01:00:00,0.392,324
2023-03-01 01:00:00,0.401,311
2023-03-02 01:00:00,0.405,307
2023-03-03 01:00:00,0.385,282
2023-03-04 01:00:00,0.361,327
2023-03-05 01:00:00,0.375,408
2023-03-06 01:00:00,0.363,342
2023-03-07 01:00:00,0.344,347
2023-03-08 01:00:00,0.333,313
2023-03-09 01:00:00,0.329,389
2023-03-10 01:00:00,0.317,347
2023-03-11 01:00:00,0.311,345
2023-03-12 01:00:00,0.304,443
2023-03-13 01:00:00,0.315,384
2023-03-14 01:00:00,0.321,397
2023-03-15 01:00:00,0.335,396
2023-03-16 01:00:00,0.331,319
2023-03-17 01:00:00,0.313,413
2023-03-18 01:00:00,0.305,447
2023-03-19 01:00:00,0.296,409
2023-03-20 01:00:00,0.29,351
2023-03-21 01:00:00,0.292,393
2023-03-22 01:00:00,0.282,306
2023-03-23 01:00:00,0.267,351
2023-03-24 01:00:00,0.253,341
2023-03-25 01:00:00,0.255,355
2023-03-26 01:00:00,0.246,406
2023-03-27 01:00:00,0.246,378
2023-03-28 01:00:00,0.245,528
2023-03-29 01:00:00,0.258,449
2023-03-30 01:00:00,0.269,340
2023-03-31 01:00:00,0.289,359
2023-04-01 01:00:00,0.307,439
2023-04-02 01:00:00,0.329,389
2023-04-03 01:00:00,0.324,376
2023-04-04 01:00:00,0.331,329
2023-04-05 01:00:00,0.337,407
2023-04-06 01:00:00,0.329,335
2023-04-07 01:00:00,0.332,343
2023-04-08 01:00:00,0.345,302
2023-04-09 01:00:00,0.35,383
2023-04-10 01:00:00,0.326,332
2023-04-11 01:00:00,0.323,354
2023-04-12 01:00:00,0.339,346
2023-04-13 01:00:00,0.322,309
2023-04-14 01:00:00,0.328,303
2023-04-15 01:00:00,0.333,305
2023-04-16 01:00:00,0.333,273
2023-04-17 01:00:00,0.338,332
2023-04-18 01:00:00,0.34,296
2023-04-19 01:00:00,0.353,357
2023-04-20 01:00:00,0.341,406
2023-04-21 01:00:00,0.336,496
2023-04-22 01:00:00,0.34,388
2023-04-23 01:00:00,0.35,454
2023-04-24 01:00:00,0.338,411
2023-04-25 01:00:00,0.331,553
2023-04-26 01:00:00,0.314,389
2023-04-27 01:00:00,0.294,406
2023-04-28 01:00:00,0.276,345
2023-04-29 01:00:00,0.268,450
2023-04-30 01:00:00,0.253,419
2023-05-01 01:00:00,0.241,327
2023-05-02 01:00:00,0.21,374
2023-05-03 01:00:00,0.214,449
2023-05-04 01:00:00,0.22,362
2023-05-05 01:00:00,0.229,476
2023-05-06 01:00:00,0.211,392
2023-05-07 01:00:00,0.196,427
2023-05-08 01:00:00,0.19,417
2023-05-09 01:00:00,0.177,327
2023-05-10 01:00:00,0.153,351
2023-05-11 01:00:00,0.151,531
2023-05-12 01:00:00,0.149,446
2023-05-13 01:00:00,0.146,459
2023-05-14 01:00:00,0.145,395
2023-05-15 01:00:00,0.142,436
2023-05-16 01:00:00,0.146,435
2023-05-17 01:00:00,0.146,468
2023-05-18 01:00:00,0.15,355
2023-05-19 01:00:00,0.152,362
2023-05-20 01:00:00,0.158,624
2023-05-21 01:00:00,0.162,422
2023-05-22 01:00:00,0.162,410
2023-05-23 01:00:00,0.157,315
2023-05-24 01:00:00,0.156,485
2023-05-25 01:00:00,0.151,307
2023-05-26 01:00:00,0.148,420
2023-05-27 01:00:00,0.15,415
2023-05-28 01:00:00,0.139,426
2023-05-29 01:00:00,0.145,524
2023-05-30 01:00:00,0.139,404
2023-05-31 01:00:00,0.138,359
2023-06-01 01:00:00,0.133,510
2023-06-02 01:00:00,0.13,583
2023-06-03 01:00:00,0.132,591
2023-06-04 01:00:00,0.123,322
2023-06-05 01:00:00,0.122,334
2023-06-06 01:00:00,0.128,358
2023-06-07 01:00:00,0.124,344
2023-06-08 01:00:00,0.122,395
2023-06-09 01:00:00,0.125,411
2023-06-10 01:00:00,0.123,327
2023-06-11 01:00:00,0.126,416
2023-06-12 01:00:00,0.125,452
2023-06-13 01:00:00,0.126,415
2023-06-14 01:00:00,0.126,569
2023-06-15 01:00:00,0.124,376
2023-06-16 01:00:00,0.127,481
2023-06-17 01:00:00,0.122,364
2023-06-18 01:00:00,0.123,286
2023-06-19 01:00:00,0.118,233
2023-06-20 01:00:00,0.12,217
2023-06-21 01:00:00,0.12,274
2023-06-22 01:00:00,0.119,344
2023-06-23 01:00:00,0.114,405
2023-06-24 01:00:00,0.109,394
2023-06-25 01:00:00,0.108,358
2023-06-26 01:00:00,0.102,210
2023-06-27 01:00:00,0.095,252
2023-06-28 01:00:00,0.093,355
2023-06-29 01:00:00,0.09,325
2023-06-30 01:00:00,0.087,386
2023-07-01 01:00:00,0.079,323
2023-07-02 01:00:00,0.078,299
2023-07-03 01:00:00,0.076,280
2023-07-04 01:00:00,0.075,192
2023-07-05 01:00:00,0.086,736
2023-07-06 01:00:00,0.1,315
2023-07-07 01:00:00,0.091,206
2023-07-08 01:00:00,0.092,191
2023-07-09 01:00:00,0.088,190
2023-07-10 01:00:00,0.099,192
2023-07-11 01:00:00,0.089,355
2023-07-12 01:00:00,0.085,367
2023-07-13 01:00:00,0.082,253
2023-07-14 01:00:00,0.083,277
2023-07-15 01:00:00,0.081,247
2023-07-16 01:00:00,0.083,276
2023-07-17 01:00:00,0.085,283
2023-07-18 01:00:00,0.086,387
2023-07-19 01:00:00,0.084,323
2023-07-20 01:00:00,0.082,305
2023-07-21 01:00:00,0.083,236
2023-07-22 01:00:00,0.085,205
2023-07-23 01:00:00,0.081,290
2023-07-24 01:00:00,0.079,294
2023-07-25 01:00:00,0.082,325
2023-07-26 01:00:00,0.081,438
2023-07-27 01:00:00,0.079,285
2023-07-28 01:00:00,0.084,386
2023-07-29 01:00:00,0.084,312
2023-07-30 01:00:00,0.083,270
2023-07-31 01:00:00,0.083,295
2023-08-01 01:00:00,0.076,237
2023-08-02 01:00:00,0.08,437
2023-08-03 01:00:00,0.088,427
2023-08-04 01:00:00,0.08,213
2023-08-05 01:00:00,0.08,318
2023-08-06 01:00:00,0.08,287
2023-08-07 01:00:00,0.078,319
2023-08-08 01:00:00,0.078,312
2023-08-09 01:00:00,0.076,293
2023-08-10 01:00:00,0.079,301
2023-08-11 01:00:00,0.079,390
2023-08-12 01:00:00,0.077,228
2023-08-13 01:00:00,0.077,307
2023-08-14 01:00:00,0.076,230
2023-08-15 01:00:00,0.076,290
