date,price,volume
2017-03-16 01:00:00,1.105,420
2017-03-17 01:00:00,0.656,447
2017-03-18 01:00:00,0.47,507
2017-03-19 01:00:00,0.426,565
2017-03-20 01:00:00,0.412,414
2017-03-21 01:00:00,0.388,367
2017-03-22 01:00:00,0.39,384
2017-03-23 01:00:00,0.385,370
2017-03-24 01:00:00,0.36,349
2017-03-25 01:00:00,0.34,458
2017-03-26 01:00:00,0.291,554
2017-03-27 01:00:00,0.293,397
2017-03-28 01:00:00,0.28,410
2017-03-29 01:00:00,0.278,398
2017-03-30 01:00:00,0.289,419
2017-03-31 01:00:00,0.277,461
2017-04-01 01:00:00,0.27,526
2017-04-02 01:00:00,0.263,545
2017-04-03 01:00:00,0.236,413
2017-04-04 01:00:00,0.24,451
2017-04-05 01:00:00,0.236,431
2017-04-06 01:00:00,0.231,457
2017-04-07 01:00:00,0.23,465
2017-04-08 01:00:00,0.234,499
2017-04-09 01:00:00,0.228,477
2017-04-10 01:00:00,0.22,395
2017-04-11 01:00:00,0.217,398
2017-04-12 01:00:00,0.208,503
2017-04-13 01:00:00,0.206,490
2017-04-14 01:00:00,0.21,465
2017-04-15 01:00:00,0.206,588
2017-04-16 01:00:00,0.204,458
2017-04-17 01:00:00,0.202,497
2017-04-18 01:00:00,0.203,485
2017-04-19 01:00:00,0.199,464
2017-04-20 01:00:00,0.199,439
2017-04-21 01:00:00,0.208,502
2017-04-22 01:00:00,0.207,563
2017-04-23 01:00:00,0.203,480
2017-04-24 01:00:00,0.196,470
2017-04-25 01:00:00,0.186,459
2017-04-26 01:00:00,0.18,484
2017-04-27 01:00:00,0.182,413
2017-04-28 01:00:00,0.188,479
2017-04-29 01:00:00,0.189,580
2017-04-30 01:00:00,0.192,609
2017-05-01 01:00:00,0.187,495
2017-05-02 01:00:00,0.185,436
2017-05-03 01:00:00,0.182,405
2017-05-04 01:00:00,0.183,462
2017-05-05 01:00:00,0.187,533
2017-05-06 01:00:00,0.184,558
2017-05-07 01:00:00,0.184,541
2017-05-08 01:00:00,0.168,562
2017-05-09 01:00:00,0.163,460
2017-05-10 01:00:00,0.167,416
2017-05-11 01:00:00,0.161,403
2017-05-12 01:00:00,0.166,467
2017-05-13 01:00:00,0.169,537
2017-05-14 01:00:00,0.173,553
2017-05-15 01:00:00,0.172,422
2017-05-16 01:00:00,0.173,413
2017-05-17 01:00:00,0.174,352
2017-05-18 01:00:00,0.176,398
2017-05-19 01:00:00,0.176,399
2017-05-20 01:00:00,0.179,456
2017-05-21 01:00:00,0.169,440
2017-05-22 01:00:00,0.171,426
2017-05-23 01:00:00,0.165,388
2017-05-24 01:00:00,0.115,628
2017-05-25 01:00:00,0.114,482
2017-05-26 01:00:00,0.132,527
2017-05-27 01:00:00,0.145,463
2017-05-28 01:00:00,0.143,506
2017-05-29 01:00:00,0.14,471
2017-05-30 01:00:00,0.142,451
2017-05-31 01:00:00,0.136,432
2017-06-01 01:00:00,0.135,451
2017-06-02 01:00:00,0.141,418
2017-06-03 01:00:00,0.147,465
2017-06-04 01:00:00,0.145,486
2017-06-05 01:00:00,0.141,455
2017-06-06 01:00:00,0.138,429
2017-06-07 01:00:00,0.139,415
2017-06-08 01:00:00,0.139,360
2017-06-09 01:00:00,0.139,412
2017-06-10 01:00:00,0.14,387
2017-06-11 01:00:00,0.136,426
2017-06-12 01:00:00,0.137,505
2017-06-13 01:00:00,0.134,392
2017-06-14 01:00:00,0.128,373
2017-06-15 01:00:00,0.122,385
2017-06-16 01:00:00,0.126,368
2017-06-17 01:00:00,0.123,407
2017-06-18 01:00:00,0.119,387
2017-06-19 01:00:00,0.123,428
2017-06-20 01:00:00,0.122,383
2017-06-21 01:00:00,0.117,402
2017-06-22 01:00:00,0.111,447
2017-06-23 01:00:00,0.097,482
2017-06-24 01:00:00,0.093,414
2017-06-25 01:00:00,0.102,436
2017-06-26 01:00:00,0.105,365
2017-06-27 01:00:00,0.103,377
2017-06-28 01:00:00,0.106,373
2017-06-29 01:00:00,0.107,393
2017-06-30 01:00:00,0.107,389
2017-07-01 01:00:00,0.114,440
2017-07-02 01:00:00,0.107,450
2017-07-03 01:00:00,0.11,430
2017-07-04 01:00:00,0.111,420
2017-07-05 01:00:00,0.109,448
2017-07-06 01:00:00,0.117,357
2017-07-07 01:00:00,0.118,428
2017-07-08 01:00:00,0.112,403
2017-07-09 01:00:00,0.115,395
2017-07-10 01:00:00,0.116,410
2017-07-11 01:00:00,0.117,336
2017-07-12 01:00:00,0.116,351
2017-07-13 01:00:00,0.117,441
2017-07-14 01:00:00,0.118,368
2017-07-15 01:00:00,0.118,447
2017-07-16 01:00:00,0.117,414
2017-07-17 01:00:00,0.12,425
2017-07-18 01:00:00,0.111,461
2017-07-19 01:00:00,0.116,474
2017-07-20 01:00:00,0.115,431
2017-07-21 01:00:00,0.119,442
2017-07-22 01:00:00,0.119,476
2017-07-23 01:00:00,0.112,514
2017-07-24 01:00:00,0.115,410
2017-07-25 01:00:00,0.12,449
2017-07-26 01:00:00,0.121,470
2017-07-27 01:00:00,0.123,463
2017-07-28 01:00:00,0.125,552
2017-07-29 01:00:00,0.123,399
2017-07-30 01:00:00,0.127,500
2017-07-31 01:00:00,0.122,522
2017-08-01 01:00:00,0.127,554
2017-08-02 01:00:00,0.129,524
2017-08-03 01:00:00,0.127,546
2017-08-04 01:00:00,0.128,489
2017-08-05 01:00:00,0.127,464
2017-08-06 01:00:00,0.126,563
2017-08-07 01:00:00,0.123,517
2017-08-08 01:00:00,0.122,421
2017-08-09 01:00:00,0.124,451
2017-08-10 01:00:00,0.122,482
2017-08-11 01:00:00,0.119,426
2017-08-12 01:00:00,0.117,488
2017-08-13 01:00:00,0.12,448
2017-08-14 01:00:00,0.121,448
2017-08-15 01:00:00,0.12,465
2017-08-16 01:00:00,0.117,442
2017-08-17 01:00:00,0.119,492
2017-08-18 01:00:00,0.119,443
2017-08-19 01:00:00,0.117,483
2017-08-20 01:00:00,0.119,465
2017-08-21 01:00:00,0.119,511
2017-08-22 01:00:00,0.117,508
2017-08-23 01:00:00,0.121,465
2017-08-24 01:00:00,0.122,505
2017-08-25 01:00:00,0.121,474
2017-08-26 01:00:00,0.116,508
2017-08-27 01:00:00,0.118,541
2017-08-28 01:00:00,0.118,513
2017-08-29 01:00:00,0.121,460
2017-08-30 01:00:00,0.119,498
2017-08-31 01:00:00,0.117,381
2017-09-01 01:00:00,0.116,461
2017-09-02 01:00:00,0.123,522
2017-09-03 01:00:00,0.122,516
2017-09-04 01:00:00,0.122,441
2017-09-05 01:00:00,0.123,438
2017-09-06 01:00:00,0.127,519
2017-09-07 01:00:00,0.129,480
2017-09-08 01:00:00,0.129,513
2017-09-09 01:00:00,0.126,554
2017-09-10 01:00:00,0.123,543
2017-09-11 01:00:00,0.119,464
2017-09-12 01:00:00,0.123,478
2017-09-13 01:00:00,0.124,400
2017-09-14 01:00:00,0.124,368
2017-09-15 01:00:00,0.122,529
2017-09-16 01:00:00,0.129,686
2017-09-17 01:00:00,0.131,738
2017-09-18 01:00:00,0.13,515
2017-09-19 01:00:00,0.13,413
2017-09-20 01:00:00,0.121,379
2017-09-21 01:00:00,0.125,442
2017-09-22 01:00:00,0.128,444
2017-09-23 01:00:00,0.128,531
2017-09-24 01:00:00,0.117,529
2017-09-25 01:00:00,0.116,382
2017-09-26 01:00:00,0.108,374
2017-09-27 01:00:00,0.107,382
2017-09-28 01:00:00,0.107,404
2017-09-29 01:00:00,0.111,416
2017-09-30 01:00:00,0.114,603
2017-10-01 01:00:00,0.113,512
2017-10-02 01:00:00,0.114,401
2017-10-03 01:00:00,0.108,339
2017-10-04 01:00:00,0.113,363
2017-10-05 01:00:00,0.109,334
2017-10-06 01:00:00,0.11,411
2017-10-07 01:00:00,0.106,449
2017-10-08 01:00:00,0.107,409
2017-10-09 01:00:00,0.107,356
2017-10-10 01:00:00,0.11,325
2017-10-11 01:00:00,0.103,315
2017-10-12 01:00:00,0.107,338
2017-10-13 01:00:00,0.108,382
2017-10-14 01:00:00,0.106,421
2017-10-15 01:00:00,0.105,454
2017-10-16 01:00:00,0.102,292
2017-10-17 01:00:00,0.1,309
2017-10-18 01:00:00,0.1,336
2017-10-19 01:00:00,0.099,511
2017-10-20 01:00:00,0.1,370
2017-10-21 01:00:00,0.104,511
2017-10-22 01:00:00,0.1,365
2017-10-23 01:00:00,0.098,329
2017-10-24 01:00:00,0.092,288
2017-10-25 01:00:00,0.098,318
2017-10-26 01:00:00,0.098,272
2017-10-27 01:00:00,0.091,335
2017-10-28 01:00:00,0.094,417
2017-10-29 01:00:00,0.093,420
2017-10-30 01:00:00,0.095,334
2017-10-31 01:00:00,0.096,325
2017-11-01 01:00:00,0.094,316
2017-11-02 01:00:00,0.096,317
2017-11-03 01:00:00,0.094,337
2017-11-04 01:00:00,0.095,394
2017-11-05 01:00:00,0.096,342
2017-11-06 01:00:00,0.094,274
2017-11-07 01:00:00,0.097,231
2017-11-08 01:00:00,0.094,254
2017-11-09 01:00:00,0.093,268
2017-11-10 01:00:00,0.095,267
2017-11-11 01:00:00,0.098,378
2017-11-12 01:00:00,0.092,328
2017-11-13 01:00:00,0.094,280
2017-11-14 01:00:00,0.089,342
2017-11-15 01:00:00,0.086,335
2017-11-16 01:00:00,0.087,306
2017-11-17 01:00:00,0.09,323
2017-11-18 01:00:00,0.091,402
2017-11-19 01:00:00,0.088,307
2017-11-20 01:00:00,0.089,253
2017-11-21 01:00:00,0.086,284
2017-11-22 01:00:00,0.088,273
2017-11-23 01:00:00,0.078,317
2017-11-24 01:00:00,0.076,340
2017-11-25 01:00:00,0.081,366
2017-11-26 01:00:00,0.081,326
2017-11-27 01:00:00,0.081,279
2017-11-28 01:00:00,0.086,246
2017-11-29 01:00:00,0.089,229
2017-11-30 01:00:00,0.089,227
2017-12-01 01:00:00,0.086,250
2017-12-02 01:00:00,0.089,360
2017-12-03 01:00:00,0.092,319
2017-12-04 01:00:00,0.087,236
2017-12-05 01:00:00,0.089,236
2017-12-06 01:00:00,0.091,291
2017-12-07 01:00:00,0.092,247
2017-12-08 01:00:00,0.092,296
2017-12-09 01:00:00,0.092,314
2017-12-10 01:00:00,0.093,298
2017-12-11 01:00:00,0.091,228
2017-12-12 01:00:00,0.094,204
2017-12-13 01:00:00,0.094,231
2017-12-14 01:00:00,0.085,235
2017-12-15 01:00:00,0.085,246
2017-12-16 01:00:00,0.087,267
2017-12-17 01:00:00,0.09,281
2017-12-18 01:00:00,0.087,242
2017-12-19 01:00:00,0.084,241
2017-12-20 01:00:00,0.083,262
2017-12-21 01:00:00,0.081,304
2017-12-22 01:00:00,0.08,366
2017-12-23 01:00:00,0.079,331
2017-12-24 01:00:00,0.083,293
2017-12-25 01:00:00,0.086,301
2017-12-26 01:00:00,0.086,334
2017-12-27 01:00:00,0.085,361
2017-12-28 01:00:00,0.087,387
2017-12-29 01:00:00,0.089,347
2017-12-30 01:00:00,0.087,342
2017-12-31 01:00:00,0.087,309
2018-01-01 01:00:00,0.088,345
2018-01-02 01:00:00,0.088,315
2018-01-03 01:00:00,0.088,336
2018-01-04 01:00:00,0.088,370
2018-01-05 01:00:00,0.093,347
2018-01-06 01:00:00,0.09,343
2018-01-07 01:00:00,0.09,337
2018-01-08 01:00:00,0.09,335
2018-01-09 01:00:00,0.09,286
2018-01-10 01:00:00,0.092,324
2018-01-11 01:00:00,0.092,322
2018-01-12 01:00:00,0.093,381
2018-01-13 01:00:00,0.094,447
2018-01-14 01:00:00,0.094,391
2018-01-15 01:00:00,0.092,395
2018-01-16 01:00:00,0.095,297
2018-01-17 01:00:00,0.091,355
2018-01-18 01:00:00,0.091,309
2018-01-19 01:00:00,0.094,331
2018-01-20 01:00:00,0.094,438
2018-01-21 01:00:00,0.091,397
2018-01-22 01:00:00,0.092,371
2018-01-23 01:00:00,0.093,356
2018-01-24 01:00:00,0.093,316
2018-01-25 01:00:00,0.093,374
2018-01-26 01:00:00,0.091,347
2018-01-27 01:00:00,0.091,457
2018-01-28 01:00:00,0.091,427
2018-01-29 01:00:00,0.088,341
2018-01-30 01:00:00,0.087,336
2018-01-31 01:00:00,0.088,308
2018-02-01 01:00:00,0.092,320
2018-02-02 01:00:00,0.095,357
2018-02-03 01:00:00,0.095,440
2018-02-04 01:00:00,0.094,378
2018-02-05 01:00:00,0.095,316
2018-02-06 01:00:00,0.095,304
2018-02-07 01:00:00,0.099,257
2018-02-08 01:00:00,0.098,267
2018-02-09 01:00:00,0.1,265
2018-02-10 01:00:00,0.098,318
2018-02-11 01:00:00,0.1,323
2018-02-12 01:00:00,0.099,282
2018-02-13 01:00:00,0.098,261
2018-02-14 01:00:00,0.102,230
2018-02-15 01:00:00,0.098,269
2018-02-16 01:00:00,0.096,384
2018-02-17 01:00:00,0.1,456
2018-02-18 01:00:00,0.102,434
2018-02-19 01:00:00,0.1,368
2018-02-20 01:00:00,0.107,360
2018-02-21 01:00:00,0.106,332
2018-02-22 01:00:00,0.106,337
2018-02-23 01:00:00,0.107,406
2018-02-24 01:00:00,0.107,500
2018-02-25 01:00:00,0.105,443
2018-02-26 01:00:00,0.105,356
2018-02-27 01:00:00,0.105,323
2018-02-28 01:00:00,0.103,329
2018-03-01 01:00:00,0.101,350
2018-03-02 01:00:00,0.102,365
2018-03-03 01:00:00,0.106,447
2018-03-04 01:00:00,0.101,434
2018-03-05 01:00:00,0.098,396
2018-03-06 01:00:00,0.101,319
2018-03-07 01:00:00,0.104,344
2018-03-08 01:00:00,0.102,363
2018-03-09 01:00:00,0.106,350
2018-03-10 01:00:00,0.104,427
2018-03-11 01:00:00,0.101,407
2018-03-12 01:00:00,0.1,312
2018-03-13 01:00:00,0.099,341
2018-03-14 01:00:00,0.1,295
2018-03-15 01:00:00,0.098,251
2018-03-16 01:00:00,0.098,310
2018-03-17 01:00:00,0.101,393
2018-03-18 01:00:00,0.097,408
2018-03-19 01:00:00,0.099,330
2018-03-20 01:00:00,0.095,268
2018-03-21 01:00:00,0.096,296
2018-03-22 01:00:00,0.099,254
2018-03-23 01:00:00,0.1,316
2018-03-24 01:00:00,0.103,332
2018-03-25 01:00:00,0.099,355
2018-03-26 01:00:00,0.099,288
2018-03-27 01:00:00,0.095,337
