date,price,volume
2015-05-27 01:00:00,0.779,3848
2015-05-28 01:00:00,0.55,3441
2015-05-29 01:00:00,0.573,2325
2015-05-30 01:00:00,0.638,1925
2015-05-31 01:00:00,0.652,1458
2015-06-01 01:00:00,0.718,1222
2015-06-02 01:00:00,0.677,1123
2015-06-03 01:00:00,0.55,1904
2015-06-04 01:00:00,0.342,2663
2015-06-05 01:00:00,0.31,2508
2015-06-06 01:00:00,0.348,2317
2015-06-07 01:00:00,0.378,2010
2015-06-08 01:00:00,0.366,1760
2015-06-09 01:00:00,0.378,1532
2015-06-10 01:00:00,0.349,1973
2015-06-11 01:00:00,0.284,1989
2015-06-12 01:00:00,0.214,2483
2015-06-13 01:00:00,0.219,2449
2015-06-14 01:00:00,0.199,2302
2015-06-15 01:00:00,0.203,2006
2015-06-16 01:00:00,0.208,1845
2015-06-17 01:00:00,0.206,2064
2015-06-18 01:00:00,0.188,2035
2015-06-19 01:00:00,0.172,2466
2015-06-20 01:00:00,0.169,2474
2015-06-21 01:00:00,0.167,2235
2015-06-22 01:00:00,0.159,2367
2015-06-23 01:00:00,0.169,2131
2015-06-24 01:00:00,0.179,2238
2015-06-25 01:00:00,0.187,2345
2015-06-26 01:00:00,0.183,2262
2015-06-27 01:00:00,0.177,2516
2015-06-28 01:00:00,0.169,2418
2015-06-29 01:00:00,0.168,2403
2015-06-30 01:00:00,0.164,2346
2015-07-01 01:00:00,0.161,2330
2015-07-02 01:00:00,0.159,2157
2015-07-03 01:00:00,0.15,2209
2015-07-04 01:00:00,0.144,2134
2015-07-05 01:00:00,0.137,2096
2015-07-06 01:00:00,0.133,2263
2015-07-07 01:00:00,0.128,2302
2015-07-08 01:00:00,0.124,2057
2015-07-09 01:00:00,0.121,2442
2015-07-10 01:00:00,0.123,2332
2015-07-11 01:00:00,0.125,2249
2015-07-12 01:00:00,0.119,2480
2015-07-13 01:00:00,0.117,2558
2015-07-14 01:00:00,0.116,2361
2015-07-15 01:00:00,0.115,2547
2015-07-16 01:00:00,0.115,2460
2015-07-17 01:00:00,0.115,2489
2015-07-18 01:00:00,0.114,2290
2015-07-19 01:00:00,0.115,2396
2015-07-20 01:00:00,0.114,2680
2015-07-21 01:00:00,0.113,2491
2015-07-22 01:00:00,0.114,2478
2015-07-23 01:00:00,0.111,2400
2015-07-24 01:00:00,0.106,2455
2015-07-25 01:00:00,0.106,2522
2015-07-26 01:00:00,0.107,2280
2015-07-27 01:00:00,0.107,2571
2015-07-28 01:00:00,0.105,2714
2015-07-29 01:00:00,0.102,2259
2015-07-30 01:00:00,0.101,2357
2015-07-31 01:00:00,0.095,2381
2015-08-01 01:00:00,0.095,2328
2015-08-02 01:00:00,0.093,2293
2015-08-03 01:00:00,0.094,2349
2015-08-04 01:00:00,0.093,2300
