date,price,volume
2018-10-04 01:00:00,4.509,19
2018-10-05 01:00:00,3.26,19
2018-10-06 01:00:00,2.531,15
2018-10-07 01:00:00,2.427,11
2018-10-08 01:00:00,2.404,7
2018-10-09 01:00:00,2.208,17
2018-10-10 01:00:00,1.646,8
2018-10-11 01:00:00,1.264,26
2018-10-12 01:00:00,1.277,19
2018-10-13 01:00:00,1.44,24
2018-10-14 01:00:00,1.743,26
2018-10-15 01:00:00,2.013,10
2018-10-17 01:00:00,1.634,7
2018-10-18 01:00:00,1.264,16
2018-10-19 01:00:00,1.351,21
2018-10-20 01:00:00,1.169,15
2018-10-21 01:00:00,1.204,22
2018-10-22 01:00:00,1.34,29
2018-10-23 01:00:00,1.364,10
2018-10-24 01:00:00,1.265,12
2018-10-25 01:00:00,1.04,19
2018-10-26 01:00:00,1.075,38
2018-10-27 01:00:00,1.032,11
2018-10-28 01:00:00,1.019,26
2018-10-29 01:00:00,1.04,10
2018-10-30 01:00:00,0.934,15
2018-10-31 01:00:00,0.752,23
2018-11-01 01:00:00,0.753,24
2018-11-02 01:00:00,0.761,21
2018-11-03 01:00:00,0.837,33
2018-11-04 01:00:00,0.995,21
2018-11-05 01:00:00,0.947,9
2018-11-06 01:00:00,1.091,8
2018-11-07 01:00:00,0.967,20
2018-11-08 01:00:00,1.026,16
2018-11-09 01:00:00,0.912,20
2018-11-10 01:00:00,0.827,32
2018-11-11 01:00:00,0.873,24
2018-11-12 01:00:00,0.955,24
2018-11-13 01:00:00,0.885,9
2018-11-14 01:00:00,0.859,36
2018-11-15 01:00:00,0.82,18
2018-11-16 01:00:00,0.755,30
2018-11-17 01:00:00,0.733,30
2018-11-18 01:00:00,0.764,22
2018-11-19 01:00:00,0.78,23
2018-11-20 01:00:00,0.786,15
2018-11-21 01:00:00,0.662,19
2018-11-22 01:00:00,0.598,25
2018-11-23 01:00:00,0.584,46
2018-11-24 01:00:00,0.604,22
2018-11-25 01:00:00,0.618,29
