date,price,volume
2013-11-28 01:00:00,5.474,2
2013-11-29 01:00:00,5.148,10
2013-11-30 01:00:00,3.546,16
2013-12-01 01:00:00,3.378,14
2013-12-02 01:00:00,3.14,8
2013-12-03 01:00:00,2.881,6
2013-12-04 01:00:00,2.775,10
2013-12-05 01:00:00,2.248,10
2013-12-06 01:00:00,2.064,15
2013-12-07 01:00:00,1.868,26
2013-12-08 01:00:00,1.561,25
2013-12-09 01:00:00,1.28,28
2013-12-10 01:00:00,1.609,23
2013-12-11 01:00:00,2.036,16
2013-12-12 01:00:00,1.54,13
2013-12-13 01:00:00,1.605,25
2013-12-14 01:00:00,1.425,24
2013-12-15 01:00:00,1.627,26
2013-12-16 01:00:00,1.427,22
2013-12-17 01:00:00,1.187,26
2013-12-18 01:00:00,1.183,22
2013-12-19 01:00:00,1.03,21
2013-12-20 01:00:00,0.718,28
2013-12-21 01:00:00,0.77,47
2013-12-22 01:00:00,0.68,33
2013-12-23 01:00:00,0.693,39
2013-12-24 01:00:00,0.752,32
2013-12-25 01:00:00,0.81,20
2013-12-26 01:00:00,0.764,33
2013-12-27 01:00:00,0.702,40
2013-12-28 01:00:00,0.748,33
2013-12-29 01:00:00,0.7,40
2013-12-30 01:00:00,0.564,37
2013-12-31 01:00:00,0.535,30
2014-01-01 01:00:00,0.56,47
2014-01-02 01:00:00,0.534,46
2014-01-03 01:00:00,0.537,22
2014-01-04 01:00:00,0.595,52
2014-01-05 01:00:00,0.657,43
2014-01-06 01:00:00,0.518,34
2014-01-07 01:00:00,0.498,30
2014-01-08 01:00:00,0.443,38
2014-01-09 01:00:00,0.529,44
2014-01-10 01:00:00,0.562,33
2014-01-11 01:00:00,0.571,33
2014-01-12 01:00:00,0.497,54
2014-01-13 01:00:00,0.502,44
2014-01-14 01:00:00,0.526,38
2014-01-15 01:00:00,0.465,34
2014-01-16 01:00:00,0.483,37
2014-01-17 01:00:00,0.476,46
2014-01-18 01:00:00,0.447,57
2014-01-19 01:00:00,0.453,33
2014-01-20 01:00:00,0.405,44
2014-01-21 01:00:00,0.465,45
2014-01-22 01:00:00,0.449,38
2014-01-23 01:00:00,0.457,39
2014-01-24 01:00:00,0.423,46
2014-01-25 01:00:00,0.417,42
2014-01-26 01:00:00,0.387,55
2014-01-27 01:00:00,0.359,48
2014-01-28 01:00:00,0.351,57
2014-01-29 01:00:00,0.354,62
2014-01-30 01:00:00,0.385,49
2014-01-31 01:00:00,0.376,46
2014-02-01 01:00:00,0.363,78
2014-02-02 01:00:00,0.373,79
2014-02-03 01:00:00,0.336,52
2014-02-04 01:00:00,0.353,43
2014-02-05 01:00:00,0.361,41
