date,price,volume
2024-10-10 01:00:00,1.213,157
2024-10-11 01:00:00,0.5,1665
2024-10-12 01:00:00,0.207,2260
2024-10-13 01:00:00,0.166,2185
2024-10-14 01:00:00,0.158,2061
2024-10-15 01:00:00,0.149,1984
2024-10-16 01:00:00,0.138,1873
2024-10-17 01:00:00,0.141,1912
2024-10-18 01:00:00,0.137,1956
2024-10-19 01:00:00,0.137,1858
2024-10-20 01:00:00,0.134,2097
2024-10-21 01:00:00,0.136,1809
2024-10-22 01:00:00,0.134,1493
2024-10-23 01:00:00,0.129,1513
2024-10-24 01:00:00,0.123,1381
2024-10-25 01:00:00,0.12,1239
2024-10-26 01:00:00,0.115,1190
2024-10-27 01:00:00,0.117,1301
2024-10-28 01:00:00,0.114,1097
2024-10-29 01:00:00,0.118,1111
2024-10-30 01:00:00,0.115,1271
2024-10-31 01:00:00,0.12,1036
2024-11-01 01:00:00,0.12,1067
2024-11-02 01:00:00,0.126,945
2024-11-03 01:00:00,0.129,1262
2024-11-04 01:00:00,0.141,1403
2024-11-05 01:00:00,0.152,696
2024-11-06 01:00:00,0.14,808
2024-11-07 01:00:00,0.143,961
2024-11-08 01:00:00,0.153,1056
2024-11-09 01:00:00,0.158,827
2024-11-10 01:00:00,0.17,1202
2024-11-11 01:00:00,0.182,822
2024-11-12 01:00:00,0.179,71
2024-11-12 05:00:00,0.184,12
2024-11-12 06:00:00,0.189,14
2024-11-12 07:00:00,0.187,17
2024-11-12 08:00:00,0.19,8
2024-11-12 09:00:00,0.186,24
2024-11-12 10:00:00,0.185,21
2024-11-12 11:00:00,0.173,13
2024-11-12 12:00:00,0.197,77
2024-11-12 13:00:00,0.173,33
2024-11-12 14:00:00,0.18,14
2024-11-12 15:00:00,0.18,33
2024-11-12 16:00:00,0.177,16
2024-11-12 17:00:00,0.18,32
2024-11-12 18:00:00,0.177,32
2024-11-12 19:00:00,0.18,51
2024-11-12 20:00:00,0.173,27
2024-11-12 21:00:00,0.173,17
2024-11-12 22:00:00,0.172,29
2024-11-12 23:00:00,0.18,73
2024-11-13 00:00:00,0.18,21
2024-11-13 01:00:00,0.171,5
2024-11-13 02:00:00,0.172,14
2024-11-13 03:00:00,0.173,10
2024-11-13 04:00:00,0.173,17
2024-11-13 05:00:00,0.174,10
2024-11-13 06:00:00,0.173,10
2024-11-13 07:00:00,0.171,9
2024-11-13 08:00:00,0.173,21
2024-11-13 09:00:00,0.175,26
2024-11-13 10:00:00,0.173,27
2024-11-13 11:00:00,0.172,32
2024-11-13 12:00:00,0.171,68
2024-11-13 13:00:00,0.176,54
2024-11-13 14:00:00,0.175,19
2024-11-13 15:00:00,0.17,21
2024-11-13 16:00:00,0.173,45
2024-11-13 17:00:00,0.173,48
2024-11-13 18:00:00,0.17,54
2024-11-13 19:00:00,0.173,62
2024-11-13 20:00:00,0.172,48
2024-11-13 21:00:00,0.17,45
2024-11-13 22:00:00,0.171,31
2024-11-13 23:00:00,0.171,26
2024-11-14 00:00:00,0.172,10
2024-11-14 01:00:00,0.159,10
2024-11-14 02:00:00,0.161,36
2024-11-14 03:00:00,0.17,31
2024-11-14 04:00:00,0.149,9
2024-11-14 05:00:00,0.161,9
2024-11-14 06:00:00,0.16,12
2024-11-14 07:00:00,0.164,19
2024-11-14 08:00:00,0.16,11
2024-11-14 09:00:00,0.169,74
2024-11-14 10:00:00,0.169,28
2024-11-14 11:00:00,0.169,36
2024-11-14 12:00:00,0.17,67
2024-11-14 13:00:00,0.159,22
2024-11-14 14:00:00,0.169,60
2024-11-14 15:00:00,0.171,72
2024-11-14 16:00:00,0.163,33
2024-11-14 17:00:00,0.162,43
2024-11-14 18:00:00,0.167,68
2024-11-14 19:00:00,0.172,75
2024-11-14 20:00:00,0.161,45
2024-11-14 21:00:00,0.162,48
2024-11-14 22:00:00,0.167,41
2024-11-14 23:00:00,0.161,23
2024-11-15 00:00:00,0.17,30
2024-11-15 01:00:00,0.158,18
2024-11-15 02:00:00,0.18,36
2024-11-15 03:00:00,0.173,13
