date,price,volume
2018-02-16 01:00:00,1.154,365
2018-02-17 01:00:00,0.663,433
2018-02-18 01:00:00,0.57,369
2018-02-19 01:00:00,0.571,342
2018-02-20 01:00:00,0.541,304
2018-02-21 01:00:00,0.54,304
2018-02-22 01:00:00,0.466,323
2018-02-23 01:00:00,0.468,304
2018-02-24 01:00:00,0.479,309
2018-02-25 01:00:00,0.428,381
2018-02-26 01:00:00,0.405,296
2018-02-27 01:00:00,0.418,272
2018-02-28 01:00:00,0.41,274
2018-03-01 01:00:00,0.398,283
2018-03-02 01:00:00,0.378,281
2018-03-03 01:00:00,0.355,351
2018-03-04 01:00:00,0.336,339
2018-03-05 01:00:00,0.307,296
2018-03-06 01:00:00,0.303,241
2018-03-07 01:00:00,0.289,233
2018-03-08 01:00:00,0.273,303
2018-03-09 01:00:00,0.263,303
2018-03-10 01:00:00,0.263,282
2018-03-11 01:00:00,0.262,312
2018-03-12 01:00:00,0.247,255
2018-03-13 01:00:00,0.239,263
2018-03-14 01:00:00,0.227,147
2018-03-15 01:00:00,0.22,194
2018-03-16 01:00:00,0.227,258
2018-03-17 01:00:00,0.225,231
2018-03-18 01:00:00,0.218,255
2018-03-19 01:00:00,0.208,198
2018-03-20 01:00:00,0.2,179
2018-03-21 01:00:00,0.202,167
2018-03-22 01:00:00,0.2,167
2018-03-23 01:00:00,0.197,211
2018-03-24 01:00:00,0.207,208
2018-03-25 01:00:00,0.195,184
2018-03-26 01:00:00,0.191,216
2018-03-27 01:00:00,0.18,227
2018-03-28 01:00:00,0.183,160
2018-03-29 01:00:00,0.174,201
2018-03-30 01:00:00,0.174,203
2018-03-31 01:00:00,0.168,258
2018-04-01 01:00:00,0.17,207
2018-04-02 01:00:00,0.165,212
2018-04-03 01:00:00,0.162,192
2018-04-04 01:00:00,0.175,191
2018-04-05 01:00:00,0.184,146
2018-04-06 01:00:00,0.196,187
2018-04-07 01:00:00,0.179,215
2018-04-08 01:00:00,0.176,181
2018-04-09 01:00:00,0.171,190
2018-04-10 01:00:00,0.165,216
2018-04-11 01:00:00,0.167,171
2018-04-12 01:00:00,0.16,157
2018-04-13 01:00:00,0.161,201
2018-04-14 01:00:00,0.167,210
2018-04-15 01:00:00,0.165,185
2018-04-16 01:00:00,0.167,235
2018-04-17 01:00:00,0.159,256
2018-04-18 01:00:00,0.162,191
2018-04-19 01:00:00,0.161,139
2018-04-20 01:00:00,0.163,189
2018-04-21 01:00:00,0.157,198
2018-04-22 01:00:00,0.16,173
2018-04-23 01:00:00,0.16,203
2018-04-24 01:00:00,0.161,186
2018-04-25 01:00:00,0.153,156
2018-04-26 01:00:00,0.15,189
2018-04-27 01:00:00,0.153,172
2018-04-28 01:00:00,0.159,180
2018-04-29 01:00:00,0.156,201
2018-04-30 01:00:00,0.163,181
2018-05-01 01:00:00,0.155,165
2018-05-02 01:00:00,0.158,174
2018-05-03 01:00:00,0.16,142
2018-05-04 01:00:00,0.152,185
2018-05-05 01:00:00,0.158,192
2018-05-06 01:00:00,0.157,183
2018-05-07 01:00:00,0.152,166
2018-05-08 01:00:00,0.159,190
