date,price,volume
2023-05-12 01:00:00,1.027,614
2023-05-13 01:00:00,0.838,5251
2023-05-14 01:00:00,0.819,3279
2023-05-15 01:00:00,0.821,4580
2023-05-16 01:00:00,0.899,2861
2023-05-17 01:00:00,0.851,5997
2023-05-18 01:00:00,0.803,7981
2023-05-19 01:00:00,0.79,9367
2023-05-20 01:00:00,0.796,10320
2023-05-21 01:00:00,0.74,9398
2023-05-22 01:00:00,0.625,8772
2023-05-23 01:00:00,0.627,8103
2023-05-24 01:00:00,0.578,9306
2023-05-25 01:00:00,0.579,11217
2023-05-26 01:00:00,0.609,8348
2023-05-27 01:00:00,0.689,4820
2023-05-28 01:00:00,0.69,5135
2023-05-29 01:00:00,0.623,7683
2023-05-30 01:00:00,0.624,5340
2023-05-31 01:00:00,0.62,5052
2023-06-01 01:00:00,0.626,6627
2023-06-02 01:00:00,0.625,6489
2023-06-03 01:00:00,0.637,5134
2023-06-04 01:00:00,0.636,5057
2023-06-05 01:00:00,0.63,3862
2023-06-06 01:00:00,0.624,4121
2023-06-07 01:00:00,0.614,5310
2023-06-08 01:00:00,0.608,4923
2023-06-09 01:00:00,0.653,3964
2023-06-10 01:00:00,0.729,2077
2023-06-11 01:00:00,0.714,2595
2023-06-12 01:00:00,0.705,2556
2023-06-13 01:00:00,0.712,2209
2023-06-14 01:00:00,0.712,2904
2023-06-15 01:00:00,0.752,2626
2023-06-16 01:00:00,0.768,2045
2023-06-17 01:00:00,0.821,1456
2023-06-18 01:00:00,0.856,1195
2023-06-19 01:00:00,0.793,1171
2023-06-20 01:00:00,0.765,1373
2023-06-21 01:00:00,0.785,1490
2023-06-22 01:00:00,0.809,1088
2023-06-23 01:00:00,0.564,4316
2023-06-24 01:00:00,0.587,1491
2023-06-25 01:00:00,0.598,1323
2023-06-26 01:00:00,0.599,1195
2023-06-27 01:00:00,0.582,787
2023-06-28 01:00:00,0.594,995
2023-06-29 01:00:00,0.594,759
2023-06-30 01:00:00,0.368,33387
2023-07-01 01:00:00,0.27,81440
2023-07-02 01:00:00,0.272,87342
2023-07-03 01:00:00,0.272,67834
2023-07-04 01:00:00,0.272,53368
2023-07-05 01:00:00,0.27,57670
2023-07-06 01:00:00,0.27,56206
2023-07-07 01:00:00,0.268,50221
2023-07-08 01:00:00,0.266,84639
2023-07-09 01:00:00,0.262,104153
2023-07-10 01:00:00,0.261,84530
2023-07-11 01:00:00,0.262,66834
2023-07-12 01:00:00,0.262,73335
2023-07-13 01:00:00,0.261,82806
2023-07-14 01:00:00,0.266,68701
2023-07-15 01:00:00,0.267,70765
2023-07-16 01:00:00,0.265,77978
2023-07-17 01:00:00,0.264,83423
2023-07-18 01:00:00,0.263,95849
2023-07-19 01:00:00,0.275,44054
2023-07-20 01:00:00,0.28,26669
2023-07-21 01:00:00,0.281,33006
2023-07-22 01:00:00,0.279,33416
2023-07-23 01:00:00,0.279,42120
2023-07-24 01:00:00,0.279,39295
2023-07-25 01:00:00,0.278,38045
2023-07-26 01:00:00,0.279,44772
2023-07-27 01:00:00,0.278,36387
2023-07-28 01:00:00,0.279,33624
2023-07-29 01:00:00,0.277,37356
2023-07-30 01:00:00,0.277,39750
2023-07-31 01:00:00,0.278,37039
2023-08-01 01:00:00,0.279,27542
2023-08-02 01:00:00,0.279,25586
2023-08-03 01:00:00,0.279,15708
2023-08-04 01:00:00,0.277,40296
2023-08-05 01:00:00,0.275,46773
2023-08-06 01:00:00,0.276,42123
2023-08-07 01:00:00,0.276,30792
2023-08-08 01:00:00,0.272,33127
2023-08-09 01:00:00,0.269,48067
2023-08-10 01:00:00,0.267,51962
2023-08-11 01:00:00,0.268,56319
2023-08-12 01:00:00,0.268,56762
2023-08-13 01:00:00,0.265,54252
2023-08-14 01:00:00,0.263,65470
2023-08-15 01:00:00,0.261,54696
2023-08-16 01:00:00,0.265,41771
2023-08-17 01:00:00,0.269,34064
2023-08-18 01:00:00,0.27,39833
2023-08-19 01:00:00,0.273,33444
2023-08-20 01:00:00,0.275,24249
2023-08-21 01:00:00,0.276,18854
2023-08-22 01:00:00,0.274,21072
2023-08-23 01:00:00,0.273,27111
2023-08-24 01:00:00,0.272,30611
2023-08-25 01:00:00,0.272,30820
2023-08-26 01:00:00,0.274,18572
2023-08-27 01:00:00,0.273,21646
2023-08-28 01:00:00,0.274,17538
2023-08-29 01:00:00,0.276,16877
2023-08-30 01:00:00,0.278,15344
2023-08-31 01:00:00,0.274,27089
2023-09-01 01:00:00,0.276,14653
2023-09-02 01:00:00,0.276,18355
2023-09-03 01:00:00,0.275,16148
2023-09-04 01:00:00,0.275,16368
2023-09-05 01:00:00,0.275,25508
2023-09-06 01:00:00,0.272,21196
2023-09-07 01:00:00,0.269,23809
2023-09-08 01:00:00,0.27,30873
2023-09-09 01:00:00,0.27,25067
2023-09-10 01:00:00,0.268,27942
2023-09-11 01:00:00,0.268,18527
2023-09-12 01:00:00,0.268,30449
2023-09-13 01:00:00,0.27,23495
2023-09-14 01:00:00,0.269,22545
2023-09-15 01:00:00,0.264,29771
2023-09-16 01:00:00,0.261,40428
2023-09-17 01:00:00,0.263,31264
2023-09-18 01:00:00,0.264,22557
2023-09-19 01:00:00,0.262,31101
2023-09-20 01:00:00,0.258,37598
2023-09-21 01:00:00,0.26,26851
2023-09-22 01:00:00,0.261,24605
2023-09-23 01:00:00,0.262,24828
2023-09-24 01:00:00,0.263,20614
2023-09-25 01:00:00,0.261,27409
2023-09-26 01:00:00,0.262,24467
2023-09-27 01:00:00,0.271,92703
2023-09-28 01:00:00,0.262,31613
2023-09-29 01:00:00,0.256,22847
2023-09-30 01:00:00,0.249,45327
2023-10-01 01:00:00,0.251,26516
2023-10-02 01:00:00,0.259,18669
2023-10-03 01:00:00,0.256,17216
2023-10-04 01:00:00,0.252,21146
2023-10-05 01:00:00,0.248,22590
2023-10-06 01:00:00,0.28,149925
2023-10-07 01:00:00,0.313,97921
2023-10-08 01:00:00,0.318,67306
2023-10-09 01:00:00,0.293,52529
2023-10-10 01:00:00,0.302,38716
2023-10-11 01:00:00,0.32,36769
2023-10-12 01:00:00,0.319,35746
2023-10-13 01:00:00,0.324,34083
2023-10-14 01:00:00,0.324,35708
2023-10-15 01:00:00,0.324,31861
2023-10-16 01:00:00,0.32,28887
2023-10-17 01:00:00,0.317,26761
2023-10-18 01:00:00,0.313,31573
2023-10-19 01:00:00,0.316,29301
2023-10-20 01:00:00,0.315,32227
2023-10-21 01:00:00,0.317,27855
2023-10-22 01:00:00,0.316,28612
2023-10-23 01:00:00,0.314,23011
2023-10-24 01:00:00,0.313,21776
2023-10-25 01:00:00,0.31,29258
2023-10-26 01:00:00,0.306,24551
2023-10-27 01:00:00,0.305,26913
2023-10-28 01:00:00,0.301,25871
2023-10-29 01:00:00,0.297,23886
2023-10-30 01:00:00,0.295,22734
2023-10-31 01:00:00,0.297,18911
2023-11-01 01:00:00,0.299,24905
2023-11-02 01:00:00,0.297,21100
2023-11-03 01:00:00,0.303,20341
2023-11-04 01:00:00,0.301,21228
2023-11-05 01:00:00,0.298,21139
2023-11-06 01:00:00,0.299,18468
2023-11-07 01:00:00,0.298,21245
2023-11-08 01:00:00,0.295,22218
2023-11-09 01:00:00,0.298,20211
2023-11-10 01:00:00,0.297,22202
2023-11-11 01:00:00,0.297,22229
