date,price,volume
2021-09-22 01:00:00,0.81,124
2021-09-23 01:00:00,0.582,103
2021-09-24 01:00:00,0.539,69
2021-09-25 01:00:00,0.535,91
2021-09-26 01:00:00,0.532,56
2021-09-27 01:00:00,0.577,72
2021-09-28 01:00:00,0.57,64
2021-09-29 01:00:00,0.508,90
2021-09-30 01:00:00,0.435,71
2021-10-01 01:00:00,0.443,51
2021-10-02 01:00:00,0.455,68
2021-10-03 01:00:00,0.493,67
2021-10-04 01:00:00,0.503,47
2021-10-05 01:00:00,0.524,56
2021-10-06 01:00:00,0.506,95
2021-10-07 01:00:00,0.529,59
2021-10-08 01:00:00,0.552,68
2021-10-09 01:00:00,0.599,65
2021-10-10 01:00:00,0.576,53
2021-10-11 01:00:00,0.573,43
2021-10-12 01:00:00,0.602,51
2021-10-13 01:00:00,0.497,98
2021-10-14 01:00:00,0.476,87
2021-10-15 01:00:00,0.478,74
2021-10-16 01:00:00,0.546,66
2021-10-17 01:00:00,0.556,43
2021-10-18 01:00:00,0.521,50
2021-10-19 01:00:00,0.525,45
2021-10-20 01:00:00,0.491,102
2021-10-21 01:00:00,0.45,69
2021-10-22 01:00:00,0.357,98
2021-10-23 01:00:00,0.352,76
2021-10-24 01:00:00,0.348,64
2021-10-25 01:00:00,0.365,46
2021-10-26 01:00:00,0.361,50
2021-10-27 01:00:00,0.325,109
2021-10-28 01:00:00,0.31,82
2021-10-29 01:00:00,0.306,60
2021-10-30 01:00:00,0.297,76
2021-10-31 01:00:00,0.303,58
2021-11-01 01:00:00,0.302,44
2021-11-02 01:00:00,0.321,79
2021-11-03 01:00:00,0.271,104
2021-11-04 01:00:00,0.261,67
2021-11-05 01:00:00,0.273,79
2021-11-06 01:00:00,0.26,64
2021-11-07 01:00:00,0.259,79
2021-11-08 01:00:00,0.261,61
2021-11-09 01:00:00,0.276,50
2021-11-10 01:00:00,0.244,134
2021-11-11 01:00:00,0.241,71
2021-11-12 01:00:00,0.247,79
2021-11-13 01:00:00,0.258,73
2021-11-14 01:00:00,0.3,53
2021-11-15 01:00:00,0.308,51
2021-11-16 01:00:00,0.317,48
2021-11-17 01:00:00,0.319,100
2021-11-18 01:00:00,0.297,61
2021-11-19 01:00:00,0.309,86
2021-11-20 01:00:00,0.329,58
2021-11-21 01:00:00,0.315,71
2021-11-22 01:00:00,0.302,40
2021-11-23 01:00:00,0.319,44
2021-11-24 01:00:00,0.272,69
2021-11-25 01:00:00,0.266,64
2021-11-26 01:00:00,0.283,45
2021-11-27 01:00:00,0.283,82
2021-11-28 01:00:00,0.271,55
2021-11-29 01:00:00,0.252,54
2021-11-30 01:00:00,0.251,73
2021-12-01 01:00:00,0.223,76
2021-12-02 01:00:00,0.219,83
2021-12-03 01:00:00,0.22,76
2021-12-04 01:00:00,0.223,72
2021-12-05 01:00:00,0.207,76
2021-12-06 01:00:00,0.217,50
2021-12-07 01:00:00,0.233,41
2021-12-08 01:00:00,0.242,58
2021-12-09 01:00:00,0.243,56
2021-12-10 01:00:00,0.252,52
2021-12-11 01:00:00,0.253,54
2021-12-12 01:00:00,0.253,51
2021-12-13 01:00:00,0.253,42
2021-12-14 01:00:00,0.262,44
2021-12-15 01:00:00,0.241,51
2021-12-16 01:00:00,0.242,46
2021-12-17 01:00:00,0.238,55
2021-12-18 01:00:00,0.252,51
2021-12-19 01:00:00,0.248,55
2021-12-20 01:00:00,0.233,39
2021-12-21 01:00:00,0.242,34
2021-12-22 01:00:00,0.237,68
2021-12-23 01:00:00,0.234,39
2021-12-24 01:00:00,0.235,55
2021-12-25 01:00:00,0.229,53
2021-12-26 01:00:00,0.239,66
2021-12-27 01:00:00,0.256,60
2021-12-28 01:00:00,0.264,52
2021-12-29 01:00:00,0.278,86
2021-12-30 01:00:00,0.314,77
2021-12-31 01:00:00,0.277,35
2022-01-01 01:00:00,0.299,51
2022-01-02 01:00:00,0.322,44
2022-01-03 01:00:00,0.317,49
2022-01-04 01:00:00,0.311,67
2022-01-05 01:00:00,0.289,83
