date,price,volume
2021-09-22 01:00:00,0.854,13937
2021-09-23 01:00:00,0.837,9292
2021-09-24 01:00:00,0.677,6818
2021-09-25 01:00:00,0.583,6784
2021-09-26 01:00:00,0.575,5306
2021-09-27 01:00:00,0.594,4642
2021-09-28 01:00:00,0.564,4471
2021-09-29 01:00:00,0.596,9652
2021-09-30 01:00:00,0.649,6212
2021-10-01 01:00:00,0.608,4539
2021-10-02 01:00:00,0.603,4809
2021-10-03 01:00:00,0.616,4092
2021-10-04 01:00:00,0.675,3138
2021-10-05 01:00:00,0.684,4429
2021-10-06 01:00:00,0.638,7408
2021-10-07 01:00:00,0.635,6553
2021-10-08 01:00:00,0.695,5897
2021-10-09 01:00:00,0.625,4209
2021-10-10 01:00:00,0.598,3980
2021-10-11 01:00:00,0.573,3208
2021-10-12 01:00:00,0.557,3582
2021-10-13 01:00:00,0.521,6150
2021-10-14 01:00:00,0.489,4498
2021-10-15 01:00:00,0.45,3823
2021-10-16 01:00:00,0.447,4027
2021-10-17 01:00:00,0.467,3146
2021-10-18 01:00:00,0.466,2576
2021-10-19 01:00:00,0.438,3148
2021-10-20 01:00:00,0.399,5460
2021-10-21 01:00:00,0.379,4148
2021-10-22 01:00:00,0.318,5908
2021-10-23 01:00:00,0.32,3937
2021-10-24 01:00:00,0.32,2892
2021-10-25 01:00:00,0.327,2769
2021-10-26 01:00:00,0.321,3171
2021-10-27 01:00:00,0.309,5350
2021-10-28 01:00:00,0.322,3895
2021-10-29 01:00:00,0.313,3664
2021-10-30 01:00:00,0.334,3865
2021-10-31 01:00:00,0.368,3800
2021-11-01 01:00:00,0.375,3061
2021-11-02 01:00:00,0.388,3671
2021-11-03 01:00:00,0.371,6384
2021-11-04 01:00:00,0.38,4594
2021-11-05 01:00:00,0.398,4803
2021-11-06 01:00:00,0.403,3843
2021-11-07 01:00:00,0.404,3816
2021-11-08 01:00:00,0.403,3263
2021-11-09 01:00:00,0.408,3328
2021-11-10 01:00:00,0.377,8774
2021-11-11 01:00:00,0.348,5772
2021-11-12 01:00:00,0.353,5214
2021-11-13 01:00:00,0.375,4732
2021-11-14 01:00:00,0.368,3659
2021-11-15 01:00:00,0.399,2884
2021-11-16 01:00:00,0.431,3580
2021-11-17 01:00:00,0.404,6221
2021-11-18 01:00:00,0.412,5358
2021-11-19 01:00:00,0.403,4408
2021-11-20 01:00:00,0.377,4081
2021-11-21 01:00:00,0.377,3634
2021-11-22 01:00:00,0.385,3396
2021-11-23 01:00:00,0.387,3314
2021-11-24 01:00:00,0.379,6243
2021-11-25 01:00:00,0.372,5244
2021-11-26 01:00:00,0.359,4581
2021-11-27 01:00:00,0.36,4437
2021-11-28 01:00:00,0.352,3771
2021-11-29 01:00:00,0.352,3445
2021-11-30 01:00:00,0.35,5185
2021-12-01 01:00:00,0.34,7508
2021-12-02 01:00:00,0.332,4414
2021-12-03 01:00:00,0.349,4214
2021-12-04 01:00:00,0.357,3953
2021-12-05 01:00:00,0.372,4479
2021-12-06 01:00:00,0.381,2985
2021-12-07 01:00:00,0.4,3821
2021-12-08 01:00:00,0.393,5994
2021-12-09 01:00:00,0.394,4685
2021-12-10 01:00:00,0.398,4237
2021-12-11 01:00:00,0.397,4183
2021-12-12 01:00:00,0.393,3611
2021-12-13 01:00:00,0.393,2542
2021-12-14 01:00:00,0.396,3088
2021-12-15 01:00:00,0.385,6081
2021-12-16 01:00:00,0.368,4560
2021-12-17 01:00:00,0.382,3460
2021-12-18 01:00:00,0.363,4233
2021-12-19 01:00:00,0.343,3572
2021-12-20 01:00:00,0.347,2901
2021-12-21 01:00:00,0.375,3541
2021-12-22 01:00:00,0.377,5541
2021-12-23 01:00:00,0.389,4560
2021-12-24 01:00:00,0.402,4402
2021-12-25 01:00:00,0.404,4084
2021-12-26 01:00:00,0.558,11951
2021-12-27 01:00:00,0.647,9717
2021-12-28 01:00:00,0.604,6598
2021-12-29 01:00:00,0.473,8652
2021-12-30 01:00:00,0.431,5818
2021-12-31 01:00:00,0.432,4175
2022-01-01 01:00:00,0.427,4928
2022-01-02 01:00:00,0.434,4421
2022-01-03 01:00:00,0.438,4473
2022-01-04 01:00:00,0.432,5192
2022-01-05 01:00:00,0.405,9397
2022-01-06 01:00:00,0.42,6207
2022-01-07 01:00:00,0.442,5289
2022-01-08 01:00:00,0.44,4654
2022-01-09 01:00:00,0.438,4527
2022-01-10 01:00:00,0.427,3964
2022-01-11 01:00:00,0.435,3966
2022-01-12 01:00:00,0.432,3896
2022-01-13 01:00:00,0.443,3794
2022-01-14 01:00:00,0.44,3672
2022-01-15 01:00:00,0.453,3860
2022-01-16 01:00:00,0.456,3713
2022-01-17 01:00:00,0.456,3042
2022-01-18 01:00:00,0.456,3219
2022-01-19 01:00:00,0.453,3106
2022-01-20 01:00:00,0.466,2917
2022-01-21 01:00:00,0.45,3804
2022-01-22 01:00:00,0.44,4251
2022-01-23 01:00:00,0.449,4441
2022-01-24 01:00:00,0.438,3271
