date,price,volume
2020-04-01 01:00:00,0.907,1560
2020-04-02 01:00:00,0.607,1270
2020-04-03 01:00:00,0.536,1253
2020-04-04 01:00:00,0.458,1227
2020-04-05 01:00:00,0.406,1092
2020-04-06 01:00:00,0.336,1248
2020-04-07 01:00:00,0.279,1132
2020-04-08 01:00:00,0.311,1480
2020-04-09 01:00:00,0.376,1282
2020-04-10 01:00:00,0.36,1233
2020-04-11 01:00:00,0.324,1300
2020-04-12 01:00:00,0.295,1223
2020-04-13 01:00:00,0.266,1392
2020-04-14 01:00:00,0.259,1616
2020-04-15 01:00:00,0.265,1294
2020-04-16 01:00:00,0.26,1069
2020-04-17 01:00:00,0.241,1160
2020-04-18 01:00:00,0.222,1455
2020-04-19 01:00:00,0.202,1334
2020-04-20 01:00:00,0.202,1295
2020-04-21 01:00:00,0.201,1217
2020-04-22 01:00:00,0.171,1012
2020-04-23 01:00:00,0.153,1323
2020-04-24 01:00:00,0.147,1525
2020-04-25 01:00:00,0.145,1261
2020-04-26 01:00:00,0.141,1112
2020-04-27 01:00:00,0.137,1187
2020-04-28 01:00:00,0.137,1171
2020-04-29 01:00:00,0.138,1205
2020-04-30 01:00:00,0.139,1488
2020-05-01 01:00:00,0.143,1470
2020-05-02 01:00:00,0.153,1716
2020-05-03 01:00:00,0.152,1357
2020-05-04 01:00:00,0.145,1205
2020-05-05 01:00:00,0.14,1126
2020-05-06 01:00:00,0.139,1218
2020-05-07 01:00:00,0.138,1325
2020-05-08 01:00:00,0.135,1299
2020-05-09 01:00:00,0.132,1126
2020-05-10 01:00:00,0.132,1074
2020-05-11 01:00:00,0.128,1177
2020-05-12 01:00:00,0.12,1229
2020-05-13 01:00:00,0.123,1064
2020-05-14 01:00:00,0.12,1205
2020-05-15 01:00:00,0.122,1183
2020-05-16 01:00:00,0.126,1134
2020-05-17 01:00:00,0.124,1076
2020-05-18 01:00:00,0.124,1060
2020-05-19 01:00:00,0.127,1046
2020-05-20 01:00:00,0.121,1139
2020-05-21 01:00:00,0.121,1061
2020-05-22 01:00:00,0.118,1119
2020-05-23 01:00:00,0.119,1281
2020-05-24 01:00:00,0.117,1287
2020-05-25 01:00:00,0.112,1149
2020-05-26 01:00:00,0.11,1089
2020-05-27 01:00:00,0.106,905
2020-05-28 01:00:00,0.102,921
2020-05-29 01:00:00,0.099,973
2020-05-30 01:00:00,0.101,1142
2020-05-31 01:00:00,0.097,1003
2020-06-01 01:00:00,0.097,940
2020-06-02 01:00:00,0.098,854
2020-06-03 01:00:00,0.095,912
2020-06-04 01:00:00,0.097,870
2020-06-05 01:00:00,0.095,962
2020-06-06 01:00:00,0.093,868
2020-06-07 01:00:00,0.093,703
2020-06-08 01:00:00,0.093,1019
2020-06-09 01:00:00,0.096,935
2020-06-10 01:00:00,0.097,925
2020-06-11 01:00:00,0.095,865
2020-06-12 01:00:00,0.096,835
2020-06-13 01:00:00,0.095,855
2020-06-14 01:00:00,0.094,991
2020-06-15 01:00:00,0.095,746
2020-06-16 01:00:00,0.098,798
2020-06-17 01:00:00,0.09,732
2020-06-18 01:00:00,0.092,791
2020-06-19 01:00:00,0.095,903
2020-06-20 01:00:00,0.092,826
2020-06-21 01:00:00,0.09,835
2020-06-22 01:00:00,0.091,761
2020-06-23 01:00:00,0.099,783
2020-06-24 01:00:00,0.1,817
2020-06-25 01:00:00,0.099,861
