date,price,volume
2018-10-04 01:00:00,1.457,26
2018-10-05 01:00:00,0.79,41
2018-10-06 01:00:00,0.653,78
2018-10-07 01:00:00,0.744,53
2018-10-08 01:00:00,0.892,41
2018-10-09 01:00:00,0.991,19
2018-10-10 01:00:00,0.655,45
2018-10-11 01:00:00,0.452,68
2018-10-12 01:00:00,0.526,57
2018-10-13 01:00:00,0.537,45
2018-10-14 01:00:00,0.52,44
2018-10-15 01:00:00,0.619,52
2018-10-16 01:00:00,0.677,19
2018-10-17 01:00:00,0.517,50
2018-10-18 01:00:00,0.504,54
2018-10-19 01:00:00,0.438,54
2018-10-20 01:00:00,0.422,69
2018-10-21 01:00:00,0.454,63
2018-10-22 01:00:00,0.516,59
2018-10-23 01:00:00,0.605,33
2018-10-24 01:00:00,0.471,51
2018-10-25 01:00:00,0.428,50
2018-10-26 01:00:00,0.391,59
2018-10-27 01:00:00,0.446,93
2018-10-28 01:00:00,0.45,54
2018-10-29 01:00:00,0.415,42
2018-10-30 01:00:00,0.38,35
2018-10-31 01:00:00,0.367,72
2018-11-01 01:00:00,0.355,74
2018-11-02 01:00:00,0.358,69
2018-11-03 01:00:00,0.406,90
2018-11-04 01:00:00,0.404,42
2018-11-05 01:00:00,0.389,57
2018-11-06 01:00:00,0.366,47
2018-11-07 01:00:00,0.361,76
2018-11-08 01:00:00,0.359,72
2018-11-09 01:00:00,0.331,66
2018-11-10 01:00:00,0.339,74
2018-11-11 01:00:00,0.346,90
2018-11-12 01:00:00,0.33,54
2018-11-13 01:00:00,0.379,43
2018-11-14 01:00:00,0.371,71
2018-11-15 01:00:00,0.343,74
2018-11-16 01:00:00,0.307,72
2018-11-17 01:00:00,0.303,118
2018-11-18 01:00:00,0.332,98
2018-11-19 01:00:00,0.313,59
2018-11-20 01:00:00,0.32,67
2018-11-21 01:00:00,0.289,91
2018-11-22 01:00:00,0.248,56
2018-11-23 01:00:00,0.248,82
2018-11-24 01:00:00,0.236,66
2018-11-25 01:00:00,0.248,74
2018-11-26 01:00:00,0.257,60
2018-11-27 01:00:00,0.254,32
2018-11-28 01:00:00,0.252,71
2018-11-29 01:00:00,0.254,61
2018-11-30 01:00:00,0.269,77
2018-12-01 01:00:00,0.236,87
2018-12-02 01:00:00,0.263,71
