date,price,volume
2018-10-04 01:00:00,0.05,1
2018-10-05 01:00:00,0.498,18
2018-10-06 01:00:00,0.42,40
2018-10-07 01:00:00,0.54,18
2018-10-08 01:00:00,0.463,7
2018-10-09 01:00:00,0.528,5
2018-10-10 01:00:00,0.39,20
2018-10-11 01:00:00,0.295,20
2018-10-12 01:00:00,0.323,31
2018-10-13 01:00:00,0.305,27
2018-10-14 01:00:00,0.349,22
2018-10-15 01:00:00,0.423,23
2018-10-16 01:00:00,0.439,11
2018-10-17 01:00:00,0.307,25
2018-10-18 01:00:00,0.263,22
2018-10-19 01:00:00,0.239,23
2018-10-20 01:00:00,0.252,36
2018-10-21 01:00:00,0.289,15
2018-10-22 01:00:00,0.284,40
2018-10-23 01:00:00,0.421,12
2018-10-24 01:00:00,0.301,14
2018-10-25 01:00:00,0.25,22
2018-10-26 01:00:00,0.225,28
2018-10-27 01:00:00,0.247,26
2018-10-28 01:00:00,0.225,43
2018-10-29 01:00:00,0.217,24
2018-10-30 01:00:00,0.239,36
2018-10-31 01:00:00,0.182,29
2018-11-01 01:00:00,0.161,56
2018-11-02 01:00:00,0.203,22
2018-11-03 01:00:00,0.232,38
2018-11-04 01:00:00,0.234,26
2018-11-05 01:00:00,0.246,30
2018-11-06 01:00:00,0.262,8
2018-11-07 01:00:00,0.229,16
2018-11-08 01:00:00,0.239,48
2018-11-09 01:00:00,0.21,30
2018-11-10 01:00:00,0.231,32
2018-11-11 01:00:00,0.217,45
2018-11-12 01:00:00,0.228,37
2018-11-13 01:00:00,0.206,22
2018-11-14 01:00:00,0.229,28
2018-11-15 01:00:00,0.206,29
2018-11-16 01:00:00,0.217,39
2018-11-17 01:00:00,0.203,38
2018-11-18 01:00:00,0.195,29
2018-11-19 01:00:00,0.203,14
2018-11-20 01:00:00,0.173,25
2018-11-21 01:00:00,0.169,22
2018-11-22 01:00:00,0.163,33
2018-11-23 01:00:00,0.15,41
2018-11-24 01:00:00,0.136,34
2018-11-25 01:00:00,0.126,69
2018-11-26 01:00:00,0.157,37
2018-11-27 01:00:00,0.166,23
2018-11-28 01:00:00,0.14,28
2018-11-29 01:00:00,0.135,27
2018-11-30 01:00:00,0.151,47
2018-12-01 01:00:00,0.147,40
2018-12-02 01:00:00,0.154,46
2018-12-03 01:00:00,0.159,50
2018-12-04 01:00:00,0.159,21
2018-12-05 01:00:00,0.169,49
2018-12-06 01:00:00,0.163,52
2018-12-07 01:00:00,0.136,59
2018-12-08 01:00:00,0.145,57
2018-12-09 01:00:00,0.143,57
2018-12-10 01:00:00,0.145,46
2018-12-11 01:00:00,0.158,60
2018-12-12 01:00:00,0.153,75
2018-12-13 01:00:00,0.139,58
2018-12-14 01:00:00,0.15,91
2018-12-15 01:00:00,0.15,67
2018-12-16 01:00:00,0.218,58
2018-12-17 01:00:00,0.159,55
2018-12-18 01:00:00,0.165,24
2018-12-19 01:00:00,0.159,30
2018-12-20 01:00:00,0.143,41
2018-12-21 01:00:00,0.138,54
2018-12-22 01:00:00,0.125,71
2018-12-23 01:00:00,0.229,45
2018-12-24 01:00:00,0.128,85
2018-12-25 01:00:00,0.143,34
2018-12-26 01:00:00,0.139,65
2018-12-27 01:00:00,0.126,45
2018-12-28 01:00:00,0.144,76
2018-12-29 01:00:00,0.133,73
2018-12-30 01:00:00,0.147,66
2018-12-31 01:00:00,0.154,58
2019-01-01 01:00:00,0.163,62
2019-01-02 01:00:00,0.152,68
2019-01-03 01:00:00,0.156,63
2019-01-04 01:00:00,0.162,58
2019-01-05 01:00:00,0.161,48
2019-01-06 01:00:00,0.174,69
2019-01-07 01:00:00,0.172,46
2019-01-08 01:00:00,0.175,48
2019-01-09 01:00:00,0.177,75
2019-01-10 01:00:00,0.16,41
2019-01-11 01:00:00,0.171,75
2019-01-12 01:00:00,0.162,55
2019-01-13 01:00:00,0.176,83
2019-01-14 01:00:00,0.155,46
2019-01-15 01:00:00,0.158,73
2019-01-16 01:00:00,0.154,59
2019-01-17 01:00:00,0.156,55
2019-01-18 01:00:00,0.164,42
2019-01-19 01:00:00,0.152,60
2019-01-20 01:00:00,0.151,41
2019-01-21 01:00:00,0.155,51
2019-01-22 01:00:00,0.151,41
2019-01-23 01:00:00,0.155,79
2019-01-24 01:00:00,0.144,98
2019-01-25 01:00:00,0.149,43
2019-01-26 01:00:00,0.142,76
2019-01-27 01:00:00,0.147,65
2019-01-28 01:00:00,0.154,70
2019-01-29 01:00:00,0.146,41
2019-01-30 01:00:00,0.154,43
2019-01-31 01:00:00,0.157,76
2019-02-01 01:00:00,0.166,44
2019-02-02 01:00:00,0.171,108
2019-02-03 01:00:00,0.165,80
2019-02-04 01:00:00,0.155,28
2019-02-05 01:00:00,0.151,51
2019-02-06 01:00:00,0.139,63
2019-02-07 01:00:00,0.136,62
2019-02-08 01:00:00,0.142,81
2019-02-09 01:00:00,0.155,102
2019-02-10 01:00:00,0.156,84
2019-02-11 01:00:00,0.166,65
2019-02-12 01:00:00,0.172,55
2019-02-13 01:00:00,0.156,64
2019-02-14 01:00:00,0.154,53
2019-02-15 01:00:00,0.143,76
2019-02-16 01:00:00,0.148,73
2019-02-17 01:00:00,0.15,48
2019-02-18 01:00:00,0.162,60
2019-02-19 01:00:00,0.164,43
2019-02-20 01:00:00,0.144,54
2019-02-21 01:00:00,0.149,45
2019-02-22 01:00:00,0.152,63
2019-02-23 01:00:00,0.15,75
2019-02-24 01:00:00,0.158,88
2019-02-25 01:00:00,0.155,31
2019-02-26 01:00:00,0.143,38
2019-02-27 01:00:00,0.141,53
2019-02-28 01:00:00,0.138,49
2019-03-01 01:00:00,0.148,82
2019-03-02 01:00:00,0.138,85
2019-03-03 01:00:00,0.134,51
2019-03-04 01:00:00,0.124,47
2019-03-05 01:00:00,0.128,58
2019-03-06 01:00:00,0.133,47
2019-03-07 01:00:00,0.133,72
2019-03-08 01:00:00,0.152,104
2019-03-09 01:00:00,0.135,50
2019-03-10 01:00:00,0.127,70
2019-03-11 01:00:00,0.136,86
2019-03-12 01:00:00,0.138,43
2019-03-13 01:00:00,0.145,72
2019-03-14 01:00:00,0.142,86
2019-03-15 01:00:00,0.128,57
2019-03-16 01:00:00,0.136,95
2019-03-17 01:00:00,0.143,102
2019-03-18 01:00:00,0.151,74
2019-03-19 01:00:00,0.154,63
2019-03-20 01:00:00,0.147,59
2019-03-21 01:00:00,0.15,83
2019-03-22 01:00:00,0.142,82
2019-03-23 01:00:00,0.144,97
2019-03-24 01:00:00,0.134,73
2019-03-25 01:00:00,0.137,61
2019-03-26 01:00:00,0.145,71
2019-03-27 01:00:00,0.137,105
2019-03-28 01:00:00,0.124,67
2019-03-29 01:00:00,0.135,104
2019-03-30 01:00:00,0.136,78
2019-03-31 01:00:00,0.131,75
2019-04-01 01:00:00,0.141,80
2019-04-02 01:00:00,0.133,37
2019-04-03 01:00:00,0.134,50
2019-04-04 01:00:00,0.129,52
2019-04-05 01:00:00,0.124,59
2019-04-06 01:00:00,0.128,86
2019-04-07 01:00:00,0.128,70
2019-04-08 01:00:00,0.127,46
2019-04-09 01:00:00,0.127,54
2019-04-10 01:00:00,0.128,73
2019-04-11 01:00:00,0.121,84
2019-04-12 01:00:00,0.121,67
2019-04-13 01:00:00,0.134,74
2019-04-14 01:00:00,0.142,119
2019-04-15 01:00:00,0.143,54
2019-04-16 01:00:00,0.134,78
2019-04-17 01:00:00,0.132,62
2019-04-18 01:00:00,0.127,60
2019-04-19 01:00:00,0.132,88
2019-04-20 01:00:00,0.133,94
2019-04-21 01:00:00,0.136,57
2019-04-22 01:00:00,0.128,53
2019-04-23 01:00:00,0.124,58
2019-04-24 01:00:00,0.135,89
2019-04-25 01:00:00,0.136,58
2019-04-26 01:00:00,0.131,78
2019-04-27 01:00:00,0.13,81
2019-04-28 01:00:00,0.139,102
2019-04-29 01:00:00,0.144,49
2019-04-30 01:00:00,0.149,72
2019-05-01 01:00:00,0.129,66
2019-05-02 01:00:00,0.137,65
2019-05-03 01:00:00,0.139,73
2019-05-04 01:00:00,0.123,61
2019-05-05 01:00:00,0.129,73
2019-05-06 01:00:00,0.138,66
2019-05-07 01:00:00,0.134,37
2019-05-08 01:00:00,0.124,77
2019-05-09 01:00:00,0.126,51
2019-05-10 01:00:00,0.128,54
2019-05-11 01:00:00,0.12,69
2019-05-12 01:00:00,0.119,52
2019-05-13 01:00:00,0.122,52
2019-05-14 01:00:00,0.119,71
2019-05-15 01:00:00,0.122,116
2019-05-16 01:00:00,0.145,50
2019-05-17 01:00:00,0.124,65
2019-05-18 01:00:00,0.126,75
2019-05-19 01:00:00,0.14,34
2019-05-20 01:00:00,0.128,56
2019-05-21 01:00:00,0.135,50
2019-05-22 01:00:00,0.126,64
2019-05-23 01:00:00,0.127,62
2019-05-24 01:00:00,0.134,66
2019-05-25 01:00:00,0.131,83
2019-05-26 01:00:00,0.127,61
2019-05-27 01:00:00,0.126,65
2019-05-28 01:00:00,0.122,35
2019-05-29 01:00:00,0.129,42
2019-05-30 01:00:00,0.125,59
2019-05-31 01:00:00,0.125,74
2019-06-01 01:00:00,0.125,83
2019-06-02 01:00:00,0.134,53
2019-06-03 01:00:00,0.126,59
2019-06-04 01:00:00,0.126,47
2019-06-05 01:00:00,0.12,46
2019-06-06 01:00:00,0.123,62
2019-06-07 01:00:00,0.127,119
2019-06-08 01:00:00,0.132,51
2019-06-09 01:00:00,0.129,67
2019-06-10 01:00:00,0.122,51
2019-06-11 01:00:00,0.137,66
2019-06-12 01:00:00,0.134,93
2019-06-13 01:00:00,0.122,73
2019-06-14 01:00:00,0.134,66
2019-06-15 01:00:00,0.131,59
2019-06-16 01:00:00,0.13,86
2019-06-17 01:00:00,0.136,59
2019-06-18 01:00:00,0.146,71
2019-06-19 01:00:00,0.126,81
2019-06-20 01:00:00,0.128,61
2019-06-21 01:00:00,0.13,86
2019-06-22 01:00:00,0.14,69
2019-06-23 01:00:00,0.142,51
2019-06-24 01:00:00,0.134,62
2019-06-25 01:00:00,0.132,59
2019-06-26 01:00:00,0.119,70
2019-06-27 01:00:00,0.11,86
2019-06-28 01:00:00,0.11,58
2019-06-29 01:00:00,0.109,54
2019-06-30 01:00:00,0.106,60
2019-07-01 01:00:00,0.11,71
2019-07-02 01:00:00,0.113,94
2019-07-03 01:00:00,0.112,69
2019-07-04 01:00:00,0.112,84
2019-07-05 01:00:00,0.116,70
2019-07-06 01:00:00,0.122,59
2019-07-07 01:00:00,0.118,59
2019-07-08 01:00:00,0.108,54
2019-07-09 01:00:00,0.125,102
2019-07-10 01:00:00,0.138,91
2019-07-11 01:00:00,0.131,44
2019-07-12 01:00:00,0.143,62
2019-07-13 01:00:00,0.127,47
2019-07-14 01:00:00,0.134,67
2019-07-15 01:00:00,0.139,49
2019-07-16 01:00:00,0.122,66
2019-07-17 01:00:00,0.13,88
2019-07-18 01:00:00,0.145,93
2019-07-19 01:00:00,0.153,95
2019-07-20 01:00:00,0.144,77
2019-07-21 01:00:00,0.149,74
2019-07-22 01:00:00,0.16,93
2019-07-23 01:00:00,0.154,63
2019-07-24 01:00:00,0.162,144
2019-07-25 01:00:00,0.186,129
2019-07-26 01:00:00,0.184,68
2019-07-27 01:00:00,0.184,81
2019-07-28 01:00:00,0.194,57
2019-07-29 01:00:00,0.17,44
2019-07-30 01:00:00,0.174,68
2019-07-31 01:00:00,0.167,80
2019-08-01 01:00:00,0.178,101
2019-08-02 01:00:00,0.176,75
