date,price,volume
2022-10-29 01:00:00,1.104,127
2022-10-30 01:00:00,1.051,371
2022-10-31 01:00:00,1.005,248
2022-11-01 01:00:00,1.064,150
2022-11-02 01:00:00,1.164,106
2022-11-03 01:00:00,1.289,100
2022-11-04 01:00:00,1.382,148
2022-11-05 01:00:00,1.402,103
2022-11-06 01:00:00,1.151,246
2022-11-07 01:00:00,1.099,129
2022-11-08 01:00:00,1.198,179
2022-11-09 01:00:00,1.203,94
2022-11-10 01:00:00,1.066,333
2022-11-11 01:00:00,1.023,293
2022-11-12 01:00:00,0.96,458
2022-11-13 01:00:00,0.94,482
2022-11-14 01:00:00,0.879,363
2022-11-15 01:00:00,0.884,306
2022-11-16 01:00:00,0.736,934
2022-11-17 01:00:00,0.681,665
2022-11-18 01:00:00,0.65,765
2022-11-19 01:00:00,0.72,483
2022-11-20 01:00:00,0.711,568
2022-11-21 01:00:00,0.638,696
2022-11-22 01:00:00,0.6,719
2022-11-23 01:00:00,0.619,399
2022-11-24 01:00:00,0.649,474
2022-11-25 01:00:00,0.645,408
2022-11-26 01:00:00,0.684,292
2022-11-27 01:00:00,0.685,244
2022-11-28 01:00:00,0.753,242
2022-11-29 01:00:00,0.853,182
2022-11-30 01:00:00,0.865,155
2022-12-01 01:00:00,0.915,136
2022-12-02 01:00:00,0.917,92
2022-12-03 01:00:00,0.939,111
2022-12-04 01:00:00,0.938,151
2022-12-05 01:00:00,0.956,120
2022-12-06 01:00:00,0.997,95
2022-12-07 01:00:00,0.879,185
2022-12-08 01:00:00,0.988,58
2022-12-09 01:00:00,1.007,100
2022-12-10 01:00:00,1.053,62
2022-12-11 01:00:00,1.084,51
2022-12-12 01:00:00,1.095,64
2022-12-13 01:00:00,1.018,48
2022-12-14 01:00:00,0.59,611
2022-12-15 01:00:00,0.65,183
2022-12-16 01:00:00,0.656,173
2022-12-17 01:00:00,0.825,83
2022-12-18 01:00:00,0.796,71
2022-12-19 01:00:00,0.881,33
2022-12-20 01:00:00,0.718,121
2022-12-21 01:00:00,0.358,2599
2022-12-22 01:00:00,0.253,7021
2022-12-23 01:00:00,0.243,6486
2022-12-24 01:00:00,0.249,4723
2022-12-25 01:00:00,0.26,4472
2022-12-26 01:00:00,0.258,4370
2022-12-27 01:00:00,0.256,6349
2022-12-28 01:00:00,0.245,11205
2022-12-29 01:00:00,0.244,9357
2022-12-30 01:00:00,0.241,6637
2022-12-31 01:00:00,0.239,6783
2023-01-01 01:00:00,0.244,6556
2023-01-02 01:00:00,0.249,5097
2023-01-03 01:00:00,0.253,4740
2023-01-04 01:00:00,0.249,7303
2023-01-05 01:00:00,0.25,6414
2023-01-06 01:00:00,0.259,2874
2023-01-07 01:00:00,0.267,3684
2023-01-08 01:00:00,0.268,3891
2023-01-09 01:00:00,0.272,2120
2023-01-10 01:00:00,0.274,4453
2023-01-11 01:00:00,0.271,5707
2023-01-12 01:00:00,0.275,3110
2023-01-13 01:00:00,0.281,3218
2023-01-14 01:00:00,0.282,3188
2023-01-15 01:00:00,0.283,2367
2023-01-16 01:00:00,0.28,2547
2023-01-17 01:00:00,0.285,1551
2023-01-18 01:00:00,0.284,1627
2023-01-19 01:00:00,0.286,1677
2023-01-20 01:00:00,0.285,1911
2023-01-21 01:00:00,0.286,1809
2023-01-22 01:00:00,0.285,2843
2023-01-23 01:00:00,0.286,2207
2023-01-24 01:00:00,0.283,3633
2023-01-25 01:00:00,0.279,2917
2023-01-26 01:00:00,0.279,2638
2023-01-27 01:00:00,0.281,2120
2023-01-28 01:00:00,0.28,1842
2023-01-29 01:00:00,0.277,2488
2023-01-30 01:00:00,0.277,2320
2023-01-31 01:00:00,0.277,1926
2023-02-01 01:00:00,0.28,1431
2023-02-02 01:00:00,0.274,9247
2023-02-03 01:00:00,0.282,1864
2023-02-04 01:00:00,0.281,2503
2023-02-05 01:00:00,0.282,2215
2023-02-06 01:00:00,0.281,2958
2023-02-07 01:00:00,0.278,2391
2023-02-08 01:00:00,0.28,1551
2023-02-09 01:00:00,0.28,1430
2023-02-10 01:00:00,0.278,3829
2023-02-11 01:00:00,0.28,3351
2023-02-12 01:00:00,0.28,3716
2023-02-13 01:00:00,0.281,2995
2023-02-14 01:00:00,0.278,3545
2023-02-15 01:00:00,0.27,4709
2023-02-16 01:00:00,0.278,6990
2023-02-17 01:00:00,0.281,6533
2023-02-18 01:00:00,0.285,6785
2023-02-19 01:00:00,0.282,9221
2023-02-20 01:00:00,0.286,4356
2023-02-21 01:00:00,0.284,4920
2023-02-22 01:00:00,0.304,13538
2023-02-23 01:00:00,0.313,12962
2023-02-24 01:00:00,0.338,12445
2023-02-25 01:00:00,0.361,6140
2023-02-26 01:00:00,0.332,6656
2023-02-27 01:00:00,0.335,4760
2023-02-28 01:00:00,0.353,4945
2023-03-01 01:00:00,0.372,6662
2023-03-02 01:00:00,0.392,9162
2023-03-03 01:00:00,0.424,8298
2023-03-04 01:00:00,0.441,5116
2023-03-05 01:00:00,0.45,5612
2023-03-06 01:00:00,0.43,3331
2023-03-07 01:00:00,0.417,4036
2023-03-08 01:00:00,0.403,4777
2023-03-09 01:00:00,0.411,3995
2023-03-10 01:00:00,0.433,3500
2023-03-11 01:00:00,0.441,4707
2023-03-12 01:00:00,0.456,4978
2023-03-13 01:00:00,0.462,4056
2023-03-14 01:00:00,0.472,3911
2023-03-15 01:00:00,0.511,6092
2023-03-16 01:00:00,0.568,10299
2023-03-17 01:00:00,0.617,8160
2023-03-18 01:00:00,0.612,4607
2023-03-19 01:00:00,0.598,10929
2023-03-20 01:00:00,0.62,4473
2023-03-21 01:00:00,0.664,4687
2023-03-22 01:00:00,0.68,7974
2023-03-23 01:00:00,0.746,9877
2023-03-24 01:00:00,0.739,3267
2023-03-25 01:00:00,0.766,5285
2023-03-26 01:00:00,0.825,5641
2023-03-27 01:00:00,0.854,8947
2023-03-28 01:00:00,0.854,4538
2023-03-29 01:00:00,0.825,4353
2023-03-30 01:00:00,0.886,3284
2023-03-31 01:00:00,0.911,2173
2023-04-01 01:00:00,0.927,2722
2023-04-02 01:00:00,0.893,2879
2023-04-03 01:00:00,0.827,3168
2023-04-04 01:00:00,0.806,3042
2023-04-05 01:00:00,0.83,2275
2023-04-06 01:00:00,0.8,2562
2023-04-07 01:00:00,0.772,2193
2023-04-08 01:00:00,0.75,2943
2023-04-09 01:00:00,0.745,5066
2023-04-10 01:00:00,0.803,4405
2023-04-11 01:00:00,0.785,2832
2023-04-12 01:00:00,0.715,2815
2023-04-13 01:00:00,0.723,2767
2023-04-14 01:00:00,0.753,3342
2023-04-15 01:00:00,0.789,2379
2023-04-16 01:00:00,0.804,3084
2023-04-17 01:00:00,0.823,3113
2023-04-18 01:00:00,0.815,2236
2023-04-19 01:00:00,0.804,2787
2023-04-20 01:00:00,0.799,3211
2023-04-21 01:00:00,0.789,3202
2023-04-22 01:00:00,0.778,3420
2023-04-23 01:00:00,0.767,4084
2023-04-24 01:00:00,0.752,2827
2023-04-25 01:00:00,0.722,2421
2023-04-26 01:00:00,0.701,1808
2023-04-27 01:00:00,0.698,2352
2023-04-28 01:00:00,0.711,2525
2023-04-29 01:00:00,0.716,1755
2023-04-30 01:00:00,0.706,2713
2023-05-01 01:00:00,0.713,1920
2023-05-02 01:00:00,0.707,2339
2023-05-03 01:00:00,0.719,1757
2023-05-04 01:00:00,0.736,1599
2023-05-05 01:00:00,0.561,5053
2023-05-06 01:00:00,0.563,1438
2023-05-07 01:00:00,0.491,2485
2023-05-08 01:00:00,0.459,2978
2023-05-09 01:00:00,0.517,1627
2023-05-10 01:00:00,0.495,1795
2023-05-11 01:00:00,0.502,1553
2023-05-12 01:00:00,0.494,1073
2023-05-13 01:00:00,0.479,1047
2023-05-14 01:00:00,0.447,2082
2023-05-15 01:00:00,0.449,1713
2023-05-16 01:00:00,0.444,2161
2023-05-17 01:00:00,0.448,1866
2023-05-18 01:00:00,0.442,1363
2023-05-19 01:00:00,0.457,1330
2023-05-20 01:00:00,0.451,1381
2023-05-21 01:00:00,0.438,1561
2023-05-22 01:00:00,0.414,2277
2023-05-23 01:00:00,0.414,2048
2023-05-24 01:00:00,0.417,1847
2023-05-25 01:00:00,0.411,2550
2023-05-26 01:00:00,0.424,2478
2023-05-27 01:00:00,0.443,2662
2023-05-28 01:00:00,0.466,3409
2023-05-29 01:00:00,0.473,2254
2023-05-30 01:00:00,0.474,1430
2023-05-31 01:00:00,0.461,1510
2023-06-01 01:00:00,0.439,2179
2023-06-02 01:00:00,0.452,1851
2023-06-03 01:00:00,0.459,1245
2023-06-04 01:00:00,0.452,1523
2023-06-05 01:00:00,0.458,1596
2023-06-06 01:00:00,0.444,1115
2023-06-07 01:00:00,0.43,1580
2023-06-08 01:00:00,0.456,1766
2023-06-09 01:00:00,0.452,2582
2023-06-10 01:00:00,0.473,1923
2023-06-11 01:00:00,0.479,1046
2023-06-12 01:00:00,0.475,1060
2023-06-13 01:00:00,0.461,1315
2023-06-14 01:00:00,0.473,1342
2023-06-15 01:00:00,0.467,1580
2023-06-16 01:00:00,0.465,1715
2023-06-17 01:00:00,0.465,1895
2023-06-18 01:00:00,0.467,1071
2023-06-19 01:00:00,0.461,1296
2023-06-20 01:00:00,0.466,1171
2023-06-21 01:00:00,0.459,1609
2023-06-22 01:00:00,0.451,2060
2023-06-23 01:00:00,0.423,2079
2023-06-24 01:00:00,0.42,1583
2023-06-25 01:00:00,0.416,1473
2023-06-26 01:00:00,0.419,1391
2023-06-27 01:00:00,0.424,948
2023-06-28 01:00:00,0.416,1377
2023-06-29 01:00:00,0.384,1979
2023-06-30 01:00:00,0.361,1234
2023-07-01 01:00:00,0.359,504
2023-07-02 01:00:00,0.351,611
2023-07-03 01:00:00,0.352,2185
2023-07-04 01:00:00,0.358,874
2023-07-05 01:00:00,0.342,837
2023-07-06 01:00:00,0.335,678
2023-07-07 01:00:00,0.339,685
2023-07-08 01:00:00,0.342,584
2023-07-09 01:00:00,0.34,767
2023-07-10 01:00:00,0.341,1386
2023-07-11 01:00:00,0.351,1285
2023-07-12 01:00:00,0.345,882
2023-07-13 01:00:00,0.342,434
2023-07-14 01:00:00,0.352,378
2023-07-15 01:00:00,0.359,1119
2023-07-16 01:00:00,0.381,330
2023-07-17 01:00:00,0.38,449
2023-07-18 01:00:00,0.365,638
2023-07-19 01:00:00,0.352,896
2023-07-20 01:00:00,0.356,618
2023-07-21 01:00:00,0.35,741
2023-07-22 01:00:00,0.36,614
2023-07-23 01:00:00,0.389,599
2023-07-24 01:00:00,0.4,772
2023-07-25 01:00:00,0.384,388
2023-07-26 01:00:00,0.387,655
2023-07-27 01:00:00,0.383,495
2023-07-28 01:00:00,0.374,692
2023-07-29 01:00:00,0.361,674
2023-07-30 01:00:00,0.368,443
2023-07-31 01:00:00,0.375,427
2023-08-01 01:00:00,0.372,208
2023-08-02 01:00:00,0.372,487
2023-08-03 01:00:00,0.366,361
2023-08-04 01:00:00,0.365,360
2023-08-05 01:00:00,0.362,589
2023-08-06 01:00:00,0.364,502
2023-08-07 01:00:00,0.357,701
2023-08-08 01:00:00,0.364,506
2023-08-09 01:00:00,0.35,469
2023-08-10 01:00:00,0.346,806
2023-08-11 01:00:00,0.339,599
2023-08-12 01:00:00,0.334,523
2023-08-13 01:00:00,0.327,356
2023-08-14 01:00:00,0.324,779
2023-08-15 01:00:00,0.317,252
2023-08-16 01:00:00,0.322,313
2023-08-17 01:00:00,0.335,399
2023-08-18 01:00:00,0.334,1263
2023-08-19 01:00:00,0.33,258
2023-08-20 01:00:00,0.336,214
2023-08-21 01:00:00,0.337,1021
2023-08-22 01:00:00,0.331,472
2023-08-23 01:00:00,0.337,292
2023-08-24 01:00:00,0.328,724
2023-08-25 01:00:00,0.341,137
2023-08-26 01:00:00,0.349,223
2023-08-27 01:00:00,0.349,174
2023-08-28 01:00:00,0.346,241
2023-08-29 01:00:00,0.335,258
2023-08-30 01:00:00,0.335,280
2023-08-31 01:00:00,0.342,554
2023-09-01 01:00:00,0.352,559
2023-09-02 01:00:00,0.35,403
2023-09-03 01:00:00,0.355,1391
2023-09-04 01:00:00,0.363,696
2023-09-05 01:00:00,0.365,873
2023-09-06 01:00:00,0.358,813
2023-09-07 01:00:00,0.347,347
2023-09-08 01:00:00,0.339,1016
2023-09-09 01:00:00,0.349,224
2023-09-10 01:00:00,0.35,324
2023-09-11 01:00:00,0.358,424
