date,price,volume
2014-05-02 01:00:00,14.685,72
2014-05-03 01:00:00,14.691,93
2014-05-04 01:00:00,11.009,87
2014-05-05 01:00:00,10.48,100
2014-05-06 01:00:00,9.67,97
2014-05-07 01:00:00,10.161,88
2014-05-08 01:00:00,10.147,121
2014-05-09 01:00:00,9.498,117
2014-05-10 01:00:00,8.968,151
2014-05-11 01:00:00,8.311,120
2014-05-12 01:00:00,7.764,96
2014-05-13 01:00:00,8.073,103
2014-05-14 01:00:00,8.695,91
2014-05-15 01:00:00,8.48,134
2014-05-16 01:00:00,8.946,130
2014-05-17 01:00:00,8.525,155
2014-05-18 01:00:00,7.972,134
2014-05-19 01:00:00,7.272,121
2014-05-20 01:00:00,7.246,141
2014-05-21 01:00:00,7.602,111
2014-05-22 01:00:00,7.252,114
2014-05-23 01:00:00,7.512,125
2014-05-24 01:00:00,7.928,130
2014-05-25 01:00:00,7.645,114
2014-05-26 01:00:00,7.374,125
2014-05-27 01:00:00,6.91,90
2014-05-28 01:00:00,7.125,144
2014-05-29 01:00:00,7.368,119
2014-05-30 01:00:00,6.992,102
2014-05-31 01:00:00,6.407,151
2014-06-01 01:00:00,6.55,127
2014-06-02 01:00:00,6.663,107
2014-06-03 01:00:00,6.041,130
2014-06-04 01:00:00,5.996,124
2014-06-05 01:00:00,6.319,124
2014-06-06 01:00:00,6.573,149
2014-06-07 01:00:00,6.825,148
2014-06-08 01:00:00,6.491,136
2014-06-09 01:00:00,6.852,155
2014-06-10 01:00:00,6.889,125
2014-06-11 01:00:00,6.846,117
2014-06-12 01:00:00,8.26,208
2014-06-13 01:00:00,7.442,126
2014-06-14 01:00:00,6.777,171
2014-06-15 01:00:00,6.886,135
2014-06-16 01:00:00,6.691,145
2014-06-17 01:00:00,6.134,161
2014-06-18 01:00:00,5.985,126
2014-06-19 01:00:00,5.816,121
2014-06-20 01:00:00,5.705,162
2014-06-21 01:00:00,5.639,155
2014-06-22 01:00:00,5.228,109
2014-06-23 01:00:00,5.239,127
2014-06-24 01:00:00,5.166,109
2014-06-25 01:00:00,5.365,100
2014-06-26 01:00:00,5.53,87
2014-06-27 01:00:00,5.119,109
2014-06-28 01:00:00,5.36,117
2014-06-29 01:00:00,5.405,159
2014-06-30 01:00:00,5.397,135
2014-07-01 01:00:00,5.76,121
2014-07-02 01:00:00,4.432,157
2014-07-03 01:00:00,4.333,168
2014-07-04 01:00:00,5.015,175
2014-07-05 01:00:00,5.266,135
2014-07-06 01:00:00,5.373,143
2014-07-07 01:00:00,5.07,159
2014-07-08 01:00:00,5.217,149
2014-07-09 01:00:00,5.142,123
