date,price,volume
2018-12-06 01:00:00,2.381,2
2018-12-07 01:00:00,1.427,38
2018-12-08 01:00:00,1.178,40
2018-12-09 01:00:00,1.118,48
2018-12-10 01:00:00,0.958,36
2018-12-11 01:00:00,1.079,31
2018-12-12 01:00:00,0.836,37
2018-12-13 01:00:00,0.855,34
2018-12-14 01:00:00,0.826,30
2018-12-15 01:00:00,0.827,32
2018-12-16 01:00:00,0.81,33
2018-12-17 01:00:00,0.725,42
2018-12-18 01:00:00,0.648,31
2018-12-19 01:00:00,0.638,29
2018-12-20 01:00:00,0.47,31
2018-12-21 01:00:00,0.493,44
2018-12-22 01:00:00,0.512,34
2018-12-23 01:00:00,0.517,28
2018-12-24 01:00:00,0.499,38
2018-12-25 01:00:00,0.497,43
2018-12-26 01:00:00,0.527,51
2018-12-27 01:00:00,0.485,44
2018-12-28 01:00:00,0.547,44
2018-12-29 01:00:00,0.586,45
2018-12-30 01:00:00,0.56,50
2018-12-31 01:00:00,0.511,48
2019-01-01 01:00:00,0.47,60
2019-01-02 01:00:00,0.532,45
2019-01-03 01:00:00,0.554,43
2019-01-04 01:00:00,0.566,46
2019-01-05 01:00:00,0.554,47
2019-01-06 01:00:00,0.504,27
2019-01-07 01:00:00,0.491,38
2019-01-08 01:00:00,0.495,46
2019-01-09 01:00:00,0.482,32
2019-01-10 01:00:00,0.482,54
2019-01-11 01:00:00,0.496,55
2019-01-12 01:00:00,0.524,49
2019-01-13 01:00:00,0.476,54
2019-01-14 01:00:00,0.476,44
2019-01-15 01:00:00,0.488,43
2019-01-16 01:00:00,0.46,46
2019-01-17 01:00:00,0.505,47
2019-01-18 01:00:00,0.53,40
2019-01-19 01:00:00,0.541,59
2019-01-20 01:00:00,0.508,46
2019-01-21 01:00:00,0.489,49
2019-01-22 01:00:00,0.482,48
2019-01-23 01:00:00,0.509,41
2019-01-24 01:00:00,0.539,37
2019-01-25 01:00:00,0.525,63
2019-01-26 01:00:00,0.494,48
2019-01-27 01:00:00,0.461,58
2019-01-28 01:00:00,0.429,47
2019-01-29 01:00:00,0.423,39
2019-01-30 01:00:00,0.464,44
2019-01-31 01:00:00,0.411,41
2019-02-01 01:00:00,0.452,47
2019-02-02 01:00:00,0.433,44
2019-02-03 01:00:00,0.41,63
2019-02-04 01:00:00,0.433,34
2019-02-05 01:00:00,0.405,38
2019-02-06 01:00:00,0.412,48
2019-02-07 01:00:00,0.412,46
2019-02-08 01:00:00,0.428,55
2019-02-09 01:00:00,0.429,55
2019-02-10 01:00:00,0.431,54
2019-02-11 01:00:00,0.438,49
2019-02-12 01:00:00,0.457,35
2019-02-13 01:00:00,0.385,41
2019-02-14 01:00:00,0.378,29
2019-02-15 01:00:00,0.387,55
2019-02-16 01:00:00,0.376,57
2019-02-17 01:00:00,0.38,53
2019-02-18 01:00:00,0.376,53
2019-02-19 01:00:00,0.384,53
2019-02-20 01:00:00,0.378,45
2019-02-21 01:00:00,0.402,41
2019-02-22 01:00:00,0.412,63
2019-02-23 01:00:00,0.395,65
2019-02-24 01:00:00,0.415,53
2019-02-25 01:00:00,0.421,36
2019-02-26 01:00:00,0.392,52
2019-02-27 01:00:00,0.437,38
2019-02-28 01:00:00,0.414,59
2019-03-01 01:00:00,0.405,53
2019-03-02 01:00:00,0.394,78
2019-03-03 01:00:00,0.372,56
2019-03-04 01:00:00,0.358,60
2019-03-05 01:00:00,0.358,57
2019-03-06 01:00:00,0.349,44
2019-03-07 01:00:00,0.349,43
2019-03-08 01:00:00,0.361,41
2019-03-09 01:00:00,0.338,46
2019-03-10 01:00:00,0.348,66
2019-03-11 01:00:00,0.36,43
2019-03-12 01:00:00,0.37,47
2019-03-13 01:00:00,0.354,70
2019-03-14 01:00:00,0.336,96
2019-03-15 01:00:00,0.348,74
2019-03-16 01:00:00,0.344,89
2019-03-17 01:00:00,0.334,98
2019-03-18 01:00:00,0.337,66
2019-03-19 01:00:00,0.337,64
2019-03-20 01:00:00,0.326,76
2019-03-21 01:00:00,0.337,70
2019-03-22 01:00:00,0.33,80
2019-03-23 01:00:00,0.337,111
2019-03-24 01:00:00,0.315,92
2019-03-25 01:00:00,0.336,63
2019-03-26 01:00:00,0.331,56
2019-03-27 01:00:00,0.335,75
