date,price,volume
2020-04-01 01:00:00,5.795,248
2020-04-02 01:00:00,4.573,222
2020-04-03 01:00:00,3.773,190
2020-04-04 01:00:00,3.571,201
2020-04-05 01:00:00,3.325,223
2020-04-06 01:00:00,2.827,229
2020-04-07 01:00:00,2.583,224
2020-04-08 01:00:00,2.781,217
2020-04-09 01:00:00,2.857,229
2020-04-10 01:00:00,2.767,301
2020-04-11 01:00:00,2.212,281
2020-04-12 01:00:00,1.802,230
2020-04-13 01:00:00,1.533,284
2020-04-14 01:00:00,1.479,200
2020-04-15 01:00:00,1.497,254
2020-04-16 01:00:00,1.485,232
2020-04-17 01:00:00,1.454,218
2020-04-18 01:00:00,1.397,222
2020-04-19 01:00:00,1.292,230
2020-04-20 01:00:00,1.259,244
2020-04-21 01:00:00,1.193,225
2020-04-22 01:00:00,1.112,201
2020-04-23 01:00:00,0.987,210
2020-04-24 01:00:00,0.987,220
2020-04-25 01:00:00,1.045,227
2020-04-26 01:00:00,0.973,262
2020-04-27 01:00:00,0.885,219
2020-04-28 01:00:00,0.925,235
2020-04-29 01:00:00,0.922,205
2020-04-30 01:00:00,0.96,271
2020-05-01 01:00:00,0.949,268
2020-05-02 01:00:00,0.952,239
2020-05-03 01:00:00,0.971,228
2020-05-04 01:00:00,0.971,224
2020-05-05 01:00:00,0.919,195
2020-05-06 01:00:00,0.927,238
2020-05-07 01:00:00,0.897,210
2020-05-08 01:00:00,0.883,204
2020-05-09 01:00:00,0.851,229
2020-05-10 01:00:00,0.877,261
2020-05-11 01:00:00,0.849,221
2020-05-12 01:00:00,0.855,265
2020-05-13 01:00:00,0.849,218
2020-05-14 01:00:00,0.819,198
2020-05-15 01:00:00,0.83,243
2020-05-16 01:00:00,0.841,218
2020-05-17 01:00:00,0.818,222
2020-05-18 01:00:00,0.828,202
2020-05-19 01:00:00,0.858,198
2020-05-20 01:00:00,0.896,222
2020-05-21 01:00:00,0.868,162
2020-05-22 01:00:00,0.858,229
2020-05-23 01:00:00,0.892,194
2020-05-24 01:00:00,0.873,216
2020-05-25 01:00:00,0.835,149
2020-05-26 01:00:00,0.787,192
2020-05-27 01:00:00,0.77,192
2020-05-28 01:00:00,0.739,196
2020-05-29 01:00:00,0.703,267
2020-05-30 01:00:00,0.72,190
2020-05-31 01:00:00,0.708,225
2020-06-01 01:00:00,0.717,199
2020-06-02 01:00:00,0.721,197
2020-06-03 01:00:00,0.731,171
2020-06-04 01:00:00,0.733,151
2020-06-05 01:00:00,0.731,164
2020-06-06 01:00:00,0.725,157
2020-06-07 01:00:00,0.74,147
2020-06-08 01:00:00,0.722,193
2020-06-09 01:00:00,0.715,187
2020-06-10 01:00:00,0.698,188
2020-06-11 01:00:00,0.708,179
2020-06-12 01:00:00,0.693,194
2020-06-13 01:00:00,0.688,188
2020-06-14 01:00:00,0.689,180
2020-06-15 01:00:00,0.681,185
2020-06-16 01:00:00,0.653,177
2020-06-17 01:00:00,0.667,181
2020-06-18 01:00:00,0.679,167
2020-06-19 01:00:00,0.65,166
2020-06-20 01:00:00,0.651,184
2020-06-21 01:00:00,0.646,149
2020-06-22 01:00:00,0.645,146
2020-06-23 01:00:00,0.638,156
2020-06-24 01:00:00,0.641,169
2020-06-25 01:00:00,0.756,176
2020-06-26 01:00:00,0.618,198
2020-06-27 01:00:00,0.617,139
2020-06-28 01:00:00,0.603,145
2020-06-29 01:00:00,0.644,176
2020-06-30 01:00:00,0.613,165
2020-07-01 01:00:00,0.603,153
2020-07-02 01:00:00,0.61,167
2020-07-03 01:00:00,0.637,171
2020-07-04 01:00:00,0.648,171
2020-07-05 01:00:00,0.607,132
2020-07-06 01:00:00,0.625,158
2020-07-07 01:00:00,0.626,171
2020-07-08 01:00:00,0.623,156
2020-07-09 01:00:00,0.595,126
2020-07-10 01:00:00,0.644,182
2020-07-11 01:00:00,0.639,148
2020-07-12 01:00:00,0.644,130
2020-07-13 01:00:00,0.645,144
2020-07-14 01:00:00,0.639,164
2020-07-15 01:00:00,0.636,185
2020-07-16 01:00:00,0.627,131
2020-07-17 01:00:00,0.615,147
2020-07-18 01:00:00,0.613,198
2020-07-19 01:00:00,0.62,156
2020-07-20 01:00:00,0.615,207
2020-07-21 01:00:00,0.628,179
2020-07-22 01:00:00,0.619,163
2020-07-23 01:00:00,0.609,148
2020-07-24 01:00:00,0.599,171
2020-07-25 01:00:00,0.607,129
2020-07-26 01:00:00,0.616,167
2020-07-27 01:00:00,0.634,206
2020-07-28 01:00:00,0.625,220
2020-07-29 01:00:00,0.627,170
2020-07-30 01:00:00,0.631,209
2020-07-31 01:00:00,0.627,174
2020-08-01 01:00:00,0.626,143
2020-08-02 01:00:00,0.599,154
2020-08-03 01:00:00,0.608,171
2020-08-04 01:00:00,0.609,132
2020-08-05 01:00:00,0.604,176
2020-08-06 01:00:00,0.605,142
2020-08-07 01:00:00,0.605,214
2020-08-08 01:00:00,0.594,232
2020-08-09 01:00:00,0.609,176
2020-08-10 01:00:00,0.585,164
2020-08-11 01:00:00,0.595,178
2020-08-12 01:00:00,0.595,217
2020-08-13 01:00:00,0.589,225
2020-08-14 01:00:00,0.578,193
2020-08-15 01:00:00,0.565,201
2020-08-16 01:00:00,0.558,225
2020-08-17 01:00:00,0.554,193
2020-08-18 01:00:00,0.551,206
2020-08-19 01:00:00,0.554,216
2020-08-20 01:00:00,0.539,224
2020-08-21 01:00:00,0.531,208
