date,price,volume
2020-08-07 01:00:00,3.679,316
2020-08-08 01:00:00,2.126,208
2020-08-09 01:00:00,1.657,193
2020-08-10 01:00:00,1.306,205
2020-08-11 01:00:00,1.223,178
2020-08-12 01:00:00,1.001,152
2020-08-13 01:00:00,1.016,180
2020-08-14 01:00:00,1.158,155
2020-08-15 01:00:00,1.167,151
2020-08-16 01:00:00,1.014,166
2020-08-17 01:00:00,0.986,159
2020-08-18 01:00:00,0.868,185
2020-08-19 01:00:00,0.787,158
2020-08-20 01:00:00,0.794,161
2020-08-21 01:00:00,0.826,148
2020-08-22 01:00:00,0.873,156
2020-08-23 01:00:00,0.876,147
2020-08-24 01:00:00,0.831,149
2020-08-25 01:00:00,0.752,180
2020-08-26 01:00:00,0.8,178
2020-08-27 01:00:00,0.706,131
2020-08-28 01:00:00,0.651,181
2020-08-29 01:00:00,0.59,157
2020-08-30 01:00:00,0.541,153
2020-08-31 01:00:00,0.483,173
2020-09-01 01:00:00,0.484,239
2020-09-02 01:00:00,0.528,143
2020-09-03 01:00:00,0.542,170
2020-09-04 01:00:00,0.508,175
2020-09-05 01:00:00,0.559,159
2020-09-06 01:00:00,0.513,193
2020-09-07 01:00:00,0.511,171
2020-09-08 01:00:00,0.506,196
2020-09-09 01:00:00,0.544,158
2020-09-10 01:00:00,0.497,154
2020-09-11 01:00:00,0.526,138
2020-09-12 01:00:00,0.519,173
2020-09-13 01:00:00,0.55,187
2020-09-14 01:00:00,0.571,139
2020-09-15 01:00:00,0.573,145
2020-09-16 01:00:00,0.6,149
2020-09-17 01:00:00,0.625,148
2020-09-18 01:00:00,0.616,165
2020-09-19 01:00:00,0.565,172
2020-09-20 01:00:00,0.523,178
2020-09-21 01:00:00,0.506,167
2020-09-22 01:00:00,0.477,148
2020-09-23 01:00:00,0.449,176
2020-09-24 01:00:00,0.414,173
2020-09-25 01:00:00,0.412,199
2020-09-26 01:00:00,0.389,193
2020-09-27 01:00:00,0.381,193
2020-09-28 01:00:00,0.382,212
2020-09-29 01:00:00,0.363,200
2020-09-30 01:00:00,0.349,184
2020-10-01 01:00:00,0.359,222
2020-10-02 01:00:00,0.359,200
2020-10-03 01:00:00,0.389,166
2020-10-04 01:00:00,0.368,242
2020-10-05 01:00:00,0.363,149
2020-10-06 01:00:00,0.35,209
2020-10-07 01:00:00,0.383,200
2020-10-08 01:00:00,0.388,190
2020-10-09 01:00:00,0.393,197
2020-10-10 01:00:00,0.398,138
2020-10-11 01:00:00,0.375,159
2020-10-12 01:00:00,0.387,188
2020-10-13 01:00:00,0.39,138
2020-10-14 01:00:00,0.381,147
2020-10-15 01:00:00,0.372,167
2020-10-16 01:00:00,0.368,142
2020-10-17 01:00:00,0.377,138
2020-10-18 01:00:00,0.368,150
2020-10-19 01:00:00,0.367,221
2020-10-20 01:00:00,0.352,134
2020-10-21 01:00:00,0.341,135
2020-10-22 01:00:00,0.336,180
2020-10-23 01:00:00,0.326,194
2020-10-24 01:00:00,0.333,217
2020-10-25 01:00:00,0.338,229
2020-10-26 01:00:00,0.334,212
2020-10-27 01:00:00,0.343,201
2020-10-28 01:00:00,0.331,240
2020-10-29 01:00:00,0.332,220
2020-10-30 01:00:00,0.327,268
2020-10-31 01:00:00,0.33,231
2020-11-01 01:00:00,0.313,232
2020-11-02 01:00:00,0.312,179
2020-11-03 01:00:00,0.314,161
2020-11-04 01:00:00,0.315,192
2020-11-05 01:00:00,0.309,184
2020-11-06 01:00:00,0.31,200
2020-11-07 01:00:00,0.312,177
2020-11-08 01:00:00,0.32,189
2020-11-09 01:00:00,0.319,182
2020-11-10 01:00:00,0.315,212
2020-11-11 01:00:00,0.324,217
2020-11-12 01:00:00,0.306,155
2020-11-13 01:00:00,0.313,176
2020-11-14 01:00:00,0.318,177
2020-11-15 01:00:00,0.321,206
2020-11-16 01:00:00,0.317,206
2020-11-17 01:00:00,0.304,173
2020-11-18 01:00:00,0.312,186
2020-11-19 01:00:00,0.331,189
2020-11-20 01:00:00,0.317,177
2020-11-21 01:00:00,0.313,211
2020-11-22 01:00:00,0.301,190
2020-11-23 01:00:00,0.296,188
2020-11-24 01:00:00,0.294,168
2020-11-25 01:00:00,0.292,219
2020-11-26 01:00:00,0.274,253
2020-11-27 01:00:00,0.279,274
2020-11-28 01:00:00,0.27,234
2020-11-29 01:00:00,0.262,234
2020-11-30 01:00:00,0.261,214
2020-12-01 01:00:00,0.26,209
2020-12-02 01:00:00,0.251,207
2020-12-03 01:00:00,0.255,191
2020-12-04 01:00:00,0.238,382
2020-12-05 01:00:00,0.265,276
2020-12-06 01:00:00,0.263,318
2020-12-07 01:00:00,0.273,314
2020-12-08 01:00:00,0.273,401
2020-12-09 01:00:00,0.371,724
2020-12-10 01:00:00,0.345,194
2020-12-11 01:00:00,0.321,222
2020-12-12 01:00:00,0.313,207
2020-12-13 01:00:00,0.301,227
2020-12-14 01:00:00,0.3,171
2020-12-15 01:00:00,0.287,138
2020-12-16 01:00:00,0.267,242
2020-12-17 01:00:00,0.283,294
2020-12-18 01:00:00,0.296,181
2020-12-19 01:00:00,0.293,250
2020-12-20 01:00:00,0.296,200
2020-12-21 01:00:00,0.303,214
2020-12-22 01:00:00,0.301,220
2020-12-23 01:00:00,0.268,245
2020-12-24 01:00:00,0.315,288
2020-12-25 01:00:00,0.291,205
2020-12-26 01:00:00,0.293,213
2020-12-27 01:00:00,0.293,162
2020-12-28 01:00:00,0.274,196
2020-12-29 01:00:00,0.279,237
2020-12-30 01:00:00,0.272,250
2020-12-31 01:00:00,0.269,204
2021-01-01 01:00:00,0.281,212
2021-01-02 01:00:00,0.287,214
2021-01-03 01:00:00,0.291,246
2021-01-04 01:00:00,0.297,217
2021-01-05 01:00:00,0.299,198
2021-01-06 01:00:00,0.293,228
2021-01-07 01:00:00,0.297,235
2021-01-08 01:00:00,0.3,244
2021-01-09 01:00:00,0.302,260
2021-01-10 01:00:00,0.29,243
2021-01-11 01:00:00,0.287,251
2021-01-12 01:00:00,0.291,231
2021-01-13 01:00:00,0.279,222
2021-01-14 01:00:00,0.287,328
2021-01-15 01:00:00,0.29,223
2021-01-16 01:00:00,0.284,240
2021-01-17 01:00:00,0.285,232
2021-01-18 01:00:00,0.298,234
