date,price,volume
2013-11-29 01:00:00,1.38,1
2013-11-30 01:00:00,6.143,2
2013-12-01 01:00:00,1.04,1
2013-12-02 01:00:00,0.057,1
2013-12-03 01:00:00,1.99,1
2013-12-04 01:00:00,1.61,1
2013-12-05 01:00:00,1.274,1
2013-12-07 01:00:00,1.039,1
2013-12-08 01:00:00,0.332,2
2013-12-09 01:00:00,0.559,4
2013-12-10 01:00:00,0.571,4
2013-12-11 01:00:00,0.665,6
2013-12-12 01:00:00,0.808,2
2013-12-13 01:00:00,0.62,3
2013-12-14 01:00:00,0.466,3
2013-12-15 01:00:00,0.62,1
2013-12-16 01:00:00,0.56,2
2013-12-17 01:00:00,0.5,1
2013-12-18 01:00:00,0.399,1
2013-12-19 01:00:00,0.451,3
2013-12-20 01:00:00,0.39,6
2013-12-21 01:00:00,0.272,8
2013-12-22 01:00:00,0.243,5
2013-12-23 01:00:00,0.276,5
2013-12-24 01:00:00,0.381,3
2013-12-25 01:00:00,0.376,4
2013-12-26 01:00:00,0.278,6
2013-12-27 01:00:00,0.27,3
2013-12-28 01:00:00,0.238,10
2013-12-29 01:00:00,0.258,13
2013-12-30 01:00:00,0.188,3
2013-12-31 01:00:00,0.177,9
2014-01-01 01:00:00,0.256,7
2014-01-02 01:00:00,0.269,4
2014-01-03 01:00:00,0.255,3
2014-01-04 01:00:00,0.306,12
2014-01-05 01:00:00,0.276,7
2014-01-06 01:00:00,0.302,10
2014-01-07 01:00:00,0.278,2
2014-01-08 01:00:00,0.318,2
2014-01-09 01:00:00,0.225,4
2014-01-10 01:00:00,0.243,6
2014-01-11 01:00:00,0.212,8
2014-01-12 01:00:00,0.231,6
2014-01-13 01:00:00,0.245,5
2014-01-14 01:00:00,0.26,6
2014-01-15 01:00:00,0.252,2
2014-01-16 01:00:00,0.204,10
2014-01-17 01:00:00,0.249,11
2014-01-18 01:00:00,0.207,9
2014-01-19 01:00:00,0.236,16
2014-01-20 01:00:00,0.211,8
2014-01-21 01:00:00,0.183,7
2014-01-22 01:00:00,0.159,7
2014-01-23 01:00:00,0.22,6
2014-01-24 01:00:00,0.172,5
2014-01-25 01:00:00,0.143,5
2014-01-26 01:00:00,0.206,14
2014-01-27 01:00:00,0.189,10
2014-01-28 01:00:00,0.185,12
2014-01-29 01:00:00,0.161,9
2014-01-30 01:00:00,0.165,11
2014-01-31 01:00:00,0.151,11
2014-02-01 01:00:00,0.178,11
2014-02-02 01:00:00,0.159,20
2014-02-03 01:00:00,0.219,14
2014-02-04 01:00:00,0.205,5
2014-02-05 01:00:00,0.166,5
2014-02-06 01:00:00,0.154,25
2014-02-07 01:00:00,0.2,15
2014-02-08 01:00:00,0.22,14
2014-02-09 01:00:00,0.293,12
2014-02-10 01:00:00,0.263,9
2014-02-11 01:00:00,0.204,18
2014-02-12 01:00:00,0.212,19
2014-02-13 01:00:00,0.217,8
2014-02-14 01:00:00,0.241,27
2014-02-15 01:00:00,0.336,19
2014-02-16 01:00:00,0.228,21
2014-02-17 01:00:00,0.226,12
2014-02-18 01:00:00,0.19,14
2014-02-19 01:00:00,0.139,9
2014-02-20 01:00:00,0.169,7
2014-02-21 01:00:00,0.207,20
2014-02-22 01:00:00,0.228,22
2014-02-23 01:00:00,0.228,15
2014-02-24 01:00:00,0.206,8
2014-02-25 01:00:00,0.22,20
2014-02-26 01:00:00,0.176,13
2014-02-27 01:00:00,0.218,11
2014-02-28 01:00:00,0.229,18
2014-03-01 01:00:00,0.218,27
2014-03-02 01:00:00,0.218,14
2014-03-03 01:00:00,0.177,35
2014-03-04 01:00:00,0.253,15
2014-03-05 01:00:00,0.293,12
2014-03-06 01:00:00,0.304,10
2014-03-07 01:00:00,0.306,9
2014-03-08 01:00:00,0.245,13
2014-03-09 01:00:00,0.248,13
2014-03-10 01:00:00,0.248,13
2014-03-11 01:00:00,0.217,9
2014-03-12 01:00:00,0.298,26
2014-03-13 01:00:00,0.188,8
2014-03-14 01:00:00,0.233,17
2014-03-15 01:00:00,0.243,17
2014-03-16 01:00:00,0.19,22
2014-03-17 01:00:00,0.204,26
2014-03-18 01:00:00,0.237,15
2014-03-19 01:00:00,0.183,20
2014-03-20 01:00:00,0.184,11
2014-03-21 01:00:00,0.171,23
2014-03-22 01:00:00,0.206,29
2014-03-23 01:00:00,0.174,23
