date,price,volume
2014-07-02 01:00:00,0.3,876
2014-07-03 01:00:00,0.261,759
2014-07-04 01:00:00,0.31,527
2014-07-05 01:00:00,0.338,462
2014-07-06 01:00:00,0.335,445
2014-07-07 01:00:00,0.356,414
2014-07-08 01:00:00,0.367,341
2014-07-09 01:00:00,0.304,494
2014-07-10 01:00:00,0.181,623
2014-07-11 01:00:00,0.165,644
2014-07-12 01:00:00,0.18,600
2014-07-13 01:00:00,0.203,515
2014-07-14 01:00:00,0.196,497
2014-07-15 01:00:00,0.173,518
2014-07-16 01:00:00,0.178,513
2014-07-17 01:00:00,0.153,510
2014-07-18 01:00:00,0.136,586
2014-07-19 01:00:00,0.133,616
2014-07-20 01:00:00,0.141,586
2014-07-21 01:00:00,0.141,591
2014-07-22 01:00:00,0.138,543
2014-07-23 01:00:00,0.137,563
2014-07-24 01:00:00,0.135,493
2014-07-25 01:00:00,0.13,625
2014-07-26 01:00:00,0.124,570
2014-07-27 01:00:00,0.125,643
2014-07-28 01:00:00,0.125,666
2014-07-29 01:00:00,0.125,654
2014-07-30 01:00:00,0.129,652
2014-07-31 01:00:00,0.126,696
2014-08-01 01:00:00,0.124,705
2014-08-02 01:00:00,0.127,632
2014-08-03 01:00:00,0.123,745
2014-08-04 01:00:00,0.121,647
2014-08-05 01:00:00,0.108,737
2014-08-06 01:00:00,0.108,711
2014-08-07 01:00:00,0.116,659
2014-08-08 01:00:00,0.114,693
2014-08-09 01:00:00,0.113,677
2014-08-10 01:00:00,0.113,683
2014-08-11 01:00:00,0.113,803
2014-08-12 01:00:00,0.116,680
2014-08-13 01:00:00,0.116,738
2014-08-14 01:00:00,0.112,718
2014-08-15 01:00:00,0.105,743
2014-08-16 01:00:00,0.111,859
2014-08-17 01:00:00,0.09,935
2014-08-18 01:00:00,0.099,784
2014-08-19 01:00:00,0.11,767
2014-08-20 01:00:00,0.115,818
2014-08-21 01:00:00,0.117,738
2014-08-22 01:00:00,0.118,817
2014-08-23 01:00:00,0.12,801
2014-08-24 01:00:00,0.12,781
2014-08-25 01:00:00,0.117,864
2014-08-26 01:00:00,0.119,773
2014-08-27 01:00:00,0.121,778
2014-08-28 01:00:00,0.122,682
2014-08-29 01:00:00,0.118,880
2014-08-30 01:00:00,0.118,939
2014-08-31 01:00:00,0.117,889
2014-09-01 01:00:00,0.118,772
2014-09-02 01:00:00,0.116,780
2014-09-03 01:00:00,0.119,811
2014-09-04 01:00:00,0.118,697
2014-09-05 01:00:00,0.115,796
2014-09-06 01:00:00,0.119,890
2014-09-07 01:00:00,0.119,901
2014-09-08 01:00:00,0.12,710
2014-09-09 01:00:00,0.115,725
2014-09-10 01:00:00,0.114,753
2014-09-11 01:00:00,0.111,878
2014-09-12 01:00:00,0.1,973
2014-09-13 01:00:00,0.101,1097
2014-09-14 01:00:00,0.106,1162
2014-09-15 01:00:00,0.105,838
2014-09-16 01:00:00,0.102,938
2014-09-17 01:00:00,0.103,929
2014-09-18 01:00:00,0.105,910
2014-09-19 01:00:00,0.106,957
2014-09-20 01:00:00,0.105,1131
2014-09-21 01:00:00,0.102,1010
2014-09-22 01:00:00,0.1,936
2014-09-23 01:00:00,0.104,1003
2014-09-24 01:00:00,0.101,877
2014-09-25 01:00:00,0.108,908
2014-09-26 01:00:00,0.103,1019
2014-09-27 01:00:00,0.098,1202
2014-09-28 01:00:00,0.101,1237
2014-09-29 01:00:00,0.099,978
2014-09-30 01:00:00,0.095,1021
2014-10-01 01:00:00,0.104,1246
2014-10-02 01:00:00,0.106,1028
2014-10-03 01:00:00,0.107,1153
2014-10-04 01:00:00,0.105,1209
2014-10-05 01:00:00,0.106,1107
2014-10-06 01:00:00,0.105,888
2014-10-07 01:00:00,0.106,896
2014-10-08 01:00:00,0.103,875
2014-10-09 01:00:00,0.103,866
2014-10-10 01:00:00,0.102,1086
