date,price,volume
2014-07-02 01:00:00,2.838,111
2014-07-03 01:00:00,3.58,82
2014-07-04 01:00:00,3.573,54
2014-07-05 01:00:00,2.604,79
2014-07-06 01:00:00,2.957,48
2014-07-07 01:00:00,2.878,43
2014-07-08 01:00:00,2.856,61
2014-07-09 01:00:00,2.517,62
2014-07-10 01:00:00,3.197,75
2014-07-11 01:00:00,2.27,46
2014-07-12 01:00:00,1.815,91
2014-07-13 01:00:00,2.232,54
2014-07-14 01:00:00,2.124,50
2014-07-15 01:00:00,2.046,77
2014-07-16 01:00:00,1.838,66
2014-07-17 01:00:00,1.994,52
2014-07-18 01:00:00,2.083,49
2014-07-19 01:00:00,1.686,68
2014-07-20 01:00:00,1.686,78
2014-07-21 01:00:00,1.852,62
2014-07-22 01:00:00,2.102,67
2014-07-23 01:00:00,2.02,81
2014-07-24 01:00:00,1.965,30
2014-07-25 01:00:00,2.03,51
2014-07-26 01:00:00,1.64,76
2014-07-27 01:00:00,1.741,63
2014-07-28 01:00:00,1.843,47
2014-07-29 01:00:00,1.956,77
2014-07-30 01:00:00,1.884,57
2014-07-31 01:00:00,1.974,82
2014-08-01 01:00:00,1.975,52
2014-08-02 01:00:00,1.854,85
2014-08-03 01:00:00,1.892,77
2014-08-04 01:00:00,2.251,65
2014-08-05 01:00:00,1.699,105
2014-08-06 01:00:00,1.828,80
2014-08-07 01:00:00,1.742,62
2014-08-08 01:00:00,2.326,78
2014-08-09 01:00:00,1.895,93
2014-08-10 01:00:00,1.846,93
2014-08-11 01:00:00,2.074,74
2014-08-12 01:00:00,2.079,71
2014-08-13 01:00:00,1.97,94
2014-08-14 01:00:00,1.861,69
2014-08-15 01:00:00,1.877,77
2014-08-16 01:00:00,2.024,117
2014-08-17 01:00:00,2.013,126
2014-08-18 01:00:00,1.969,84
2014-08-19 01:00:00,1.947,79
2014-08-20 01:00:00,2.113,105
2014-08-21 01:00:00,2.087,111
2014-08-22 01:00:00,2.119,97
2014-08-23 01:00:00,1.898,93
2014-08-24 01:00:00,1.9,111
2014-08-25 01:00:00,2.177,126
2014-08-26 01:00:00,2.249,77
2014-08-27 01:00:00,1.947,104
2014-08-28 01:00:00,2.156,76
2014-08-29 01:00:00,2.045,84
