date,price,volume
2018-10-04 01:00:00,2.617,7
2018-10-05 01:00:00,2.803,8
2018-10-06 01:00:00,2.924,4
2018-10-07 01:00:00,2.271,9
2018-10-08 01:00:00,2.803,5
2018-10-09 01:00:00,2.951,5
2018-10-10 01:00:00,2.37,10
2018-10-11 01:00:00,1.921,4
2018-10-12 01:00:00,1.744,16
2018-10-13 01:00:00,1.982,16
2018-10-14 01:00:00,2.159,6
2018-10-15 01:00:00,1.689,8
2018-10-16 01:00:00,1.963,11
2018-10-17 01:00:00,1.639,6
2018-10-18 01:00:00,1.384,10
2018-10-19 01:00:00,1.296,11
2018-10-20 01:00:00,1.316,16
2018-10-21 01:00:00,1.277,12
2018-10-22 01:00:00,1.492,13
2018-10-23 01:00:00,1.698,6
2018-10-24 01:00:00,1.227,17
2018-10-25 01:00:00,1.356,13
2018-10-26 01:00:00,1.234,10
2018-10-27 01:00:00,1.137,5
2018-10-28 01:00:00,1.076,13
2018-10-29 01:00:00,1.109,7
2018-10-30 01:00:00,0.935,9
2018-10-31 01:00:00,0.791,19
2018-11-01 01:00:00,0.847,4
2018-11-02 01:00:00,0.919,20
2018-11-03 01:00:00,1.084,24
2018-11-04 01:00:00,0.984,15
2018-11-05 01:00:00,1.113,8
2018-11-06 01:00:00,1.036,11
2018-11-07 01:00:00,1.281,29
2018-11-08 01:00:00,1.265,7
2018-11-09 01:00:00,1.18,8
2018-11-10 01:00:00,0.898,12
2018-11-11 01:00:00,1.056,21
2018-11-12 01:00:00,1.12,4
2018-11-13 01:00:00,1.122,6
2018-11-14 01:00:00,1.183,12
2018-11-15 01:00:00,1.004,18
2018-11-16 01:00:00,0.962,6
2018-11-17 01:00:00,0.895,12
2018-11-18 01:00:00,0.869,21
2018-11-19 01:00:00,0.849,10
2018-11-20 01:00:00,0.818,12
2018-11-21 01:00:00,0.797,14
2018-11-22 01:00:00,0.735,20
2018-11-23 01:00:00,0.737,20
2018-11-24 01:00:00,0.704,14
2018-11-25 01:00:00,0.684,15
2018-11-26 01:00:00,0.66,7
2018-11-27 01:00:00,0.672,10
2018-11-28 01:00:00,0.627,22
2018-11-29 01:00:00,0.638,14
2018-11-30 01:00:00,0.673,25
2018-12-01 01:00:00,0.678,33
2018-12-02 01:00:00,0.763,10
2018-12-03 01:00:00,0.697,11
2018-12-04 01:00:00,0.686,25
2018-12-05 01:00:00,0.726,16
2018-12-06 01:00:00,0.69,24
2018-12-07 01:00:00,0.681,24
2018-12-08 01:00:00,0.754,12
2018-12-09 01:00:00,0.677,26
2018-12-10 01:00:00,0.729,19
2018-12-11 01:00:00,0.728,16
2018-12-12 01:00:00,0.744,21
2018-12-13 01:00:00,0.703,20
2018-12-14 01:00:00,0.7,31
2018-12-15 01:00:00,0.698,33
2018-12-16 01:00:00,0.767,33
