date,price,volume
2018-10-04 01:00:00,4.419,5
2018-10-05 01:00:00,3.92,14
2018-10-06 01:00:00,4.899,22
2018-10-07 01:00:00,5.175,26
2018-10-08 01:00:00,4.444,11
2018-10-09 01:00:00,4.217,8
2018-10-10 01:00:00,4.01,14
2018-10-11 01:00:00,3.249,22
2018-10-12 01:00:00,3.045,28
2018-10-13 01:00:00,2.971,23
2018-10-14 01:00:00,3.008,18
2018-10-15 01:00:00,3.109,18
2018-10-16 01:00:00,3.09,16
2018-10-17 01:00:00,2.701,21
2018-10-18 01:00:00,2.398,25
2018-10-19 01:00:00,2.354,25
2018-10-20 01:00:00,2.237,32
2018-10-21 01:00:00,2.827,19
2018-10-22 01:00:00,2.853,20
2018-10-23 01:00:00,3.145,13
2018-10-24 01:00:00,2.78,16
2018-10-25 01:00:00,2.37,14
2018-10-26 01:00:00,2.182,36
2018-10-27 01:00:00,2.153,26
2018-10-28 01:00:00,2.047,17
2018-10-29 01:00:00,1.862,16
2018-10-30 01:00:00,1.948,18
2018-10-31 01:00:00,1.713,23
2018-11-01 01:00:00,1.387,38
2018-11-02 01:00:00,1.593,29
2018-11-03 01:00:00,1.726,33
2018-11-04 01:00:00,1.805,40
2018-11-05 01:00:00,1.948,26
2018-11-06 01:00:00,2.067,19
2018-11-07 01:00:00,2.278,24
2018-11-08 01:00:00,1.966,28
2018-11-09 01:00:00,1.962,27
2018-11-10 01:00:00,1.774,34
2018-11-11 01:00:00,1.697,43
2018-11-12 01:00:00,1.9,14
2018-11-13 01:00:00,1.894,14
2018-11-14 01:00:00,1.819,27
2018-11-15 01:00:00,1.661,27
2018-11-16 01:00:00,1.662,30
2018-11-17 01:00:00,1.641,28
2018-11-18 01:00:00,1.426,32
2018-11-19 01:00:00,1.512,28
2018-11-20 01:00:00,1.63,30
2018-11-21 01:00:00,1.647,23
2018-11-22 01:00:00,1.412,29
2018-11-23 01:00:00,1.352,37
2018-11-24 01:00:00,1.355,34
2018-11-25 01:00:00,1.371,22
2018-11-26 01:00:00,1.362,27
2018-11-27 01:00:00,1.348,29
2018-11-28 01:00:00,1.361,32
2018-11-29 01:00:00,1.306,27
2018-11-30 01:00:00,1.462,42
2018-12-01 01:00:00,1.455,34
2018-12-02 01:00:00,1.498,35
2018-12-03 01:00:00,1.467,35
2018-12-04 01:00:00,1.44,24
2018-12-05 01:00:00,1.509,29
2018-12-06 01:00:00,1.387,28
2018-12-07 01:00:00,1.331,51
2018-12-08 01:00:00,1.339,60
2018-12-09 01:00:00,1.327,58
2018-12-10 01:00:00,1.383,39
2018-12-11 01:00:00,1.363,40
2018-12-12 01:00:00,1.302,47
2018-12-13 01:00:00,1.414,42
2018-12-14 01:00:00,1.322,64
2018-12-15 01:00:00,1.354,58
2018-12-16 01:00:00,1.449,45
2018-12-17 01:00:00,1.45,43
2018-12-18 01:00:00,1.506,37
2018-12-19 01:00:00,1.381,38
2018-12-20 01:00:00,1.27,51
2018-12-21 01:00:00,1.257,49
2018-12-22 01:00:00,1.241,60
2018-12-23 01:00:00,1.194,48
2018-12-24 01:00:00,1.175,54
2018-12-25 01:00:00,1.261,54
2018-12-26 01:00:00,1.29,54
2018-12-27 01:00:00,1.321,62
2018-12-28 01:00:00,1.437,57
2018-12-29 01:00:00,1.436,49
2018-12-30 01:00:00,1.211,59
2018-12-31 01:00:00,1.241,55
2019-01-01 01:00:00,1.304,51
2019-01-02 01:00:00,1.268,54
2019-01-03 01:00:00,1.309,50
2019-01-04 01:00:00,1.333,52
2019-01-05 01:00:00,1.398,38
2019-01-06 01:00:00,1.572,37
2019-01-07 01:00:00,1.517,64
2019-01-08 01:00:00,1.643,37
2019-01-09 01:00:00,1.432,51
2019-01-10 01:00:00,1.484,51
2019-01-11 01:00:00,1.478,45
2019-01-12 01:00:00,1.443,47
2019-01-13 01:00:00,1.504,48
2019-01-14 01:00:00,1.467,49
2019-01-15 01:00:00,1.573,42
2019-01-16 01:00:00,1.464,51
2019-01-17 01:00:00,1.454,42
2019-01-18 01:00:00,1.357,41
2019-01-19 01:00:00,1.458,61
2019-01-20 01:00:00,1.535,49
2019-01-21 01:00:00,1.517,49
2019-01-22 01:00:00,1.477,36
2019-01-23 01:00:00,1.445,44
2019-01-24 01:00:00,1.474,48
2019-01-25 01:00:00,1.391,58
2019-01-26 01:00:00,1.407,55
2019-01-27 01:00:00,1.477,56
2019-01-28 01:00:00,1.467,38
2019-01-29 01:00:00,1.465,53
2019-01-30 01:00:00,1.561,90
2019-01-31 01:00:00,1.628,56
2019-02-01 01:00:00,1.515,54
2019-02-02 01:00:00,1.524,74
2019-02-03 01:00:00,1.618,60
2019-02-04 01:00:00,1.669,55
2019-02-05 01:00:00,1.62,56
2019-02-06 01:00:00,1.423,56
2019-02-07 01:00:00,1.464,67
2019-02-08 01:00:00,1.367,59
2019-02-09 01:00:00,1.378,80
2019-02-10 01:00:00,1.357,64
2019-02-11 01:00:00,1.406,68
2019-02-12 01:00:00,1.42,50
2019-02-13 01:00:00,1.433,49
2019-02-14 01:00:00,1.486,53
2019-02-15 01:00:00,1.497,56
2019-02-16 01:00:00,1.425,53
2019-02-17 01:00:00,1.478,69
2019-02-18 01:00:00,1.535,35
2019-02-19 01:00:00,1.485,50
2019-02-20 01:00:00,1.436,48
2019-02-21 01:00:00,1.456,55
2019-02-22 01:00:00,1.461,52
2019-02-23 01:00:00,1.511,59
2019-02-24 01:00:00,1.509,62
2019-02-25 01:00:00,1.53,46
2019-02-26 01:00:00,1.523,40
2019-02-27 01:00:00,1.539,51
2019-02-28 01:00:00,1.553,55
2019-03-01 01:00:00,1.513,63
2019-03-02 01:00:00,1.522,88
2019-03-03 01:00:00,1.487,66
2019-03-04 01:00:00,1.567,59
2019-03-05 01:00:00,1.542,69
2019-03-06 01:00:00,1.527,54
2019-03-07 01:00:00,1.491,47
2019-03-08 01:00:00,1.423,67
2019-03-09 01:00:00,1.449,80
2019-03-10 01:00:00,1.426,65
2019-03-11 01:00:00,1.486,60
2019-03-12 01:00:00,1.586,57
2019-03-13 01:00:00,1.614,53
2019-03-14 01:00:00,1.462,75
2019-03-15 01:00:00,1.432,77
2019-03-16 01:00:00,1.455,89
2019-03-17 01:00:00,1.469,80
2019-03-18 01:00:00,1.426,73
2019-03-19 01:00:00,1.528,65
2019-03-20 01:00:00,1.385,64
2019-03-21 01:00:00,1.429,74
2019-03-22 01:00:00,1.39,70
2019-03-23 01:00:00,1.339,93
2019-03-24 01:00:00,1.331,92
2019-03-25 01:00:00,1.332,89
2019-03-26 01:00:00,1.31,58
2019-03-27 01:00:00,1.325,54
2019-03-28 01:00:00,1.275,63
2019-03-29 01:00:00,1.268,81
2019-03-30 01:00:00,1.235,82
2019-03-31 01:00:00,1.337,77
2019-04-01 01:00:00,1.256,71
2019-04-02 01:00:00,1.262,76
2019-04-03 01:00:00,1.276,69
2019-04-04 01:00:00,1.271,62
2019-04-05 01:00:00,1.298,81
2019-04-06 01:00:00,1.255,95
2019-04-07 01:00:00,1.228,96
2019-04-08 01:00:00,1.248,67
2019-04-09 01:00:00,1.264,80
2019-04-10 01:00:00,1.219,85
2019-04-11 01:00:00,1.261,88
2019-04-12 01:00:00,1.276,110
2019-04-13 01:00:00,1.331,79
2019-04-14 01:00:00,1.3,87
2019-04-15 01:00:00,1.347,64
2019-04-16 01:00:00,1.301,60
2019-04-17 01:00:00,1.317,73
2019-04-18 01:00:00,1.29,59
2019-04-19 01:00:00,1.31,80
2019-04-20 01:00:00,1.345,59
2019-04-21 01:00:00,1.336,86
2019-04-22 01:00:00,1.406,72
2019-04-23 01:00:00,1.37,58
2019-04-24 01:00:00,1.306,77
2019-04-25 01:00:00,1.305,65
2019-04-26 01:00:00,1.25,58
2019-04-27 01:00:00,1.262,82
2019-04-28 01:00:00,1.289,76
2019-04-29 01:00:00,1.286,57
2019-04-30 01:00:00,1.311,65
