date,price,volume
2022-07-01 01:00:00,26.652,13
2022-07-02 01:00:00,22.833,287
2022-07-03 01:00:00,17.583,231
2022-07-04 01:00:00,14.622,206
2022-07-05 01:00:00,13.765,173
2022-07-06 01:00:00,13.52,189
2022-07-07 01:00:00,14.361,145
2022-07-08 01:00:00,13.77,185
2022-07-09 01:00:00,15.068,199
2022-07-10 01:00:00,15.256,186
2022-07-11 01:00:00,13.702,184
2022-07-12 01:00:00,12.812,175
2022-07-13 01:00:00,14.644,107
2022-07-14 01:00:00,13.628,187
2022-07-15 01:00:00,13.491,168
2022-07-16 01:00:00,13.803,171
2022-07-17 01:00:00,13.877,193
2022-07-18 01:00:00,13.183,155
2022-07-19 01:00:00,13.232,171
2022-07-20 01:00:00,14.33,79
2022-07-21 01:00:00,13.938,208
2022-07-22 01:00:00,13.299,207
2022-07-23 01:00:00,12.048,162
2022-07-24 01:00:00,10.929,203
2022-07-25 01:00:00,10.201,196
2022-07-26 01:00:00,10.221,180
2022-07-27 01:00:00,10.943,206
2022-07-28 01:00:00,11.164,179
2022-07-29 01:00:00,11.499,195
2022-07-30 01:00:00,12.203,212
2022-07-31 01:00:00,12.113,222
2022-08-01 01:00:00,12.262,196
2022-08-02 01:00:00,12.497,206
2022-08-03 01:00:00,12.632,172
2022-08-04 01:00:00,12.702,165
2022-08-05 01:00:00,12.664,215
2022-08-06 01:00:00,12.783,187
2022-08-07 01:00:00,13.011,199
2022-08-08 01:00:00,12.691,162
2022-08-09 01:00:00,11.962,84
2022-08-10 01:00:00,11.804,237
2022-08-11 01:00:00,10.763,205
2022-08-12 01:00:00,10.652,230
2022-08-13 01:00:00,10.574,191
2022-08-14 01:00:00,10.878,212
2022-08-15 01:00:00,10.872,199
2022-08-16 01:00:00,10.954,209
2022-08-17 01:00:00,10.874,285
2022-08-18 01:00:00,10.776,220
2022-08-19 01:00:00,10.95,250
2022-08-20 01:00:00,11.059,230
2022-08-21 01:00:00,11.017,230
2022-08-22 01:00:00,10.812,191
2022-08-23 01:00:00,11.037,179
2022-08-24 01:00:00,10.907,218
2022-08-25 01:00:00,10.578,205
2022-08-26 01:00:00,10.86,200
2022-08-27 01:00:00,11.041,227
2022-08-28 01:00:00,11.322,232
2022-08-29 01:00:00,11.552,195
2022-08-30 01:00:00,11.783,201
2022-08-31 01:00:00,11.896,177
2022-09-01 01:00:00,11.817,213
2022-09-02 01:00:00,11.976,181
2022-09-03 01:00:00,11.805,224
2022-09-04 01:00:00,12.314,197
2022-09-05 01:00:00,12.455,195
2022-09-06 01:00:00,12.442,188
2022-09-07 01:00:00,12.154,193
2022-09-08 01:00:00,11.621,207
2022-09-09 01:00:00,11.492,181
2022-09-10 01:00:00,11.258,203
2022-09-11 01:00:00,10.987,191
2022-09-12 01:00:00,10.743,177
2022-09-13 01:00:00,10.652,177
2022-09-14 01:00:00,10.541,212
2022-09-15 01:00:00,10.377,186
2022-09-16 01:00:00,10.256,172
2022-09-17 01:00:00,10.084,168
2022-09-18 01:00:00,10.071,196
2022-09-19 01:00:00,9.889,159
2022-09-20 01:00:00,9.377,159
2022-09-21 01:00:00,8.848,163
2022-09-22 01:00:00,8.736,177
2022-09-23 01:00:00,8.121,187
2022-09-24 01:00:00,8.365,216
2022-09-25 01:00:00,8.547,195
2022-09-26 01:00:00,8.377,182
2022-09-27 01:00:00,8.275,204
2022-09-28 01:00:00,8.023,185
2022-09-29 01:00:00,7.87,202
2022-09-30 01:00:00,7.872,181
2022-10-01 01:00:00,7.749,227
2022-10-02 01:00:00,7.851,222
2022-10-03 01:00:00,7.878,189
2022-10-04 01:00:00,7.997,172
2022-10-05 01:00:00,8.211,191
2022-10-06 01:00:00,8.145,184
2022-10-07 01:00:00,8.253,196
2022-10-08 01:00:00,8.539,190
2022-10-09 01:00:00,8.421,204
2022-10-10 01:00:00,8.38,176
2022-10-11 01:00:00,8.06,174
2022-10-12 01:00:00,8.043,105
2022-10-13 01:00:00,8.117,183
2022-10-14 01:00:00,7.984,114
2022-10-15 01:00:00,8.159,204
2022-10-16 01:00:00,8.293,164
2022-10-17 01:00:00,8.435,155
2022-10-18 01:00:00,8.509,147
2022-10-19 01:00:00,8.551,172
2022-10-20 01:00:00,8.503,147
2022-10-21 01:00:00,8.357,193
2022-10-22 01:00:00,8.026,271
2022-10-23 01:00:00,7.797,190
2022-10-24 01:00:00,7.65,150
2022-10-25 01:00:00,7.851,173
2022-10-26 01:00:00,8.043,170
2022-10-27 01:00:00,8.106,196
2022-10-28 01:00:00,8.162,157
2022-10-29 01:00:00,8.118,217
2022-10-30 01:00:00,7.897,186
2022-10-31 01:00:00,7.946,161
2022-11-01 01:00:00,7.855,189
2022-11-02 01:00:00,7.746,154
2022-11-03 01:00:00,7.828,168
2022-11-04 01:00:00,7.81,167
2022-11-05 01:00:00,7.84,186
2022-11-06 01:00:00,7.873,177
2022-11-07 01:00:00,7.677,145
2022-11-08 01:00:00,7.689,171
2022-11-09 01:00:00,7.58,181
2022-11-10 01:00:00,7.581,158
2022-11-11 01:00:00,7.596,183
2022-11-12 01:00:00,7.652,152
2022-11-13 01:00:00,7.646,168
2022-11-14 01:00:00,7.653,142
2022-11-15 01:00:00,7.423,161
2022-11-16 01:00:00,7.462,137
2022-11-17 01:00:00,7.614,150
2022-11-18 01:00:00,7.503,142
2022-11-19 01:00:00,7.501,172
2022-11-20 01:00:00,7.448,184
2022-11-21 01:00:00,7.398,117
2022-11-22 01:00:00,7.325,129
2022-11-23 01:00:00,7.014,141
2022-11-24 01:00:00,6.917,143
2022-11-25 01:00:00,6.493,158
2022-11-26 01:00:00,6.097,156
2022-11-27 01:00:00,6.095,143
2022-11-28 01:00:00,5.968,165
2022-11-29 01:00:00,6.085,140
2022-11-30 01:00:00,6.087,160
2022-12-01 01:00:00,6.349,156
2022-12-02 01:00:00,6.775,187
2022-12-03 01:00:00,6.943,169
2022-12-04 01:00:00,7.066,192
2022-12-05 01:00:00,7.066,146
2022-12-06 01:00:00,6.919,159
2022-12-07 01:00:00,6.858,176
2022-12-08 01:00:00,6.77,172
2022-12-09 01:00:00,6.776,192
2022-12-10 01:00:00,6.725,174
2022-12-11 01:00:00,6.709,176
2022-12-12 01:00:00,6.611,150
2022-12-13 01:00:00,6.632,129
2022-12-14 01:00:00,6.627,155
2022-12-15 01:00:00,6.654,148
2022-12-16 01:00:00,6.559,171
2022-12-17 01:00:00,6.499,175
2022-12-18 01:00:00,6.467,177
2022-12-19 01:00:00,6.364,133
2022-12-20 01:00:00,6.316,168
2022-12-21 01:00:00,6.354,166
2022-12-22 01:00:00,6.155,175
2022-12-23 01:00:00,6.147,193
2022-12-24 01:00:00,6.086,233
2022-12-25 01:00:00,5.989,202
2022-12-26 01:00:00,6.023,176
2022-12-27 01:00:00,5.981,194
2022-12-28 01:00:00,5.934,199
2022-12-29 01:00:00,5.888,191
2022-12-30 01:00:00,5.776,190
2022-12-31 01:00:00,5.762,172
2023-01-01 01:00:00,5.723,182
2023-01-02 01:00:00,5.747,190
2023-01-03 01:00:00,5.717,165
2023-01-04 01:00:00,5.692,207
2023-01-05 01:00:00,5.778,172
2023-01-06 01:00:00,5.812,162
2023-01-07 01:00:00,5.712,215
2023-01-08 01:00:00,5.566,187
2023-01-09 01:00:00,5.577,183
2023-01-10 01:00:00,5.558,176
2023-01-11 01:00:00,5.702,202
2023-01-12 01:00:00,5.665,185
2023-01-13 01:00:00,5.915,214
2023-01-14 01:00:00,5.815,212
2023-01-15 01:00:00,5.862,198
2023-01-16 01:00:00,5.975,163
2023-01-17 01:00:00,6.02,174
2023-01-18 01:00:00,6.139,177
2023-01-19 01:00:00,6.129,181
2023-01-20 01:00:00,6.119,182
2023-01-21 01:00:00,6.108,223
2023-01-22 01:00:00,6.23,175
2023-01-23 01:00:00,6.268,184
2023-01-24 01:00:00,6.458,190
2023-01-25 01:00:00,6.929,185
2023-01-26 01:00:00,6.94,172
2023-01-27 01:00:00,6.824,207
2023-01-28 01:00:00,6.943,224
2023-01-29 01:00:00,6.664,225
2023-01-30 01:00:00,6.545,175
2023-01-31 01:00:00,6.42,183
2023-02-01 01:00:00,6.209,184
2023-02-02 01:00:00,6.188,171
2023-02-03 01:00:00,6.171,212
2023-02-04 01:00:00,6.313,229
2023-02-05 01:00:00,6.208,218
2023-02-06 01:00:00,6.339,182
2023-02-07 01:00:00,6.197,193
2023-02-08 01:00:00,6.208,187
2023-02-09 01:00:00,6.128,183
2023-02-10 01:00:00,6.125,317
2023-02-11 01:00:00,6.241,372
2023-02-12 01:00:00,6.232,372
2023-02-13 01:00:00,6.251,257
2023-02-14 01:00:00,6.369,262
2023-02-15 01:00:00,6.39,287
2023-02-16 01:00:00,6.379,280
2023-02-17 01:00:00,6.453,299
2023-02-18 01:00:00,6.437,291
2023-02-19 01:00:00,6.442,248
2023-02-20 01:00:00,6.441,247
2023-02-21 01:00:00,6.45,240
2023-02-22 01:00:00,6.352,277
2023-02-23 01:00:00,6.151,271
2023-02-24 01:00:00,5.991,329
2023-02-25 01:00:00,5.934,372
2023-02-26 01:00:00,5.978,313
2023-02-27 01:00:00,5.944,308
2023-02-28 01:00:00,5.997,267
2023-03-01 01:00:00,5.904,301
2023-03-02 01:00:00,5.951,289
2023-03-03 01:00:00,5.984,302
2023-03-04 01:00:00,5.981,381
2023-03-05 01:00:00,5.965,308
2023-03-06 01:00:00,5.961,266
2023-03-07 01:00:00,5.986,265
2023-03-08 01:00:00,5.949,311
2023-03-09 01:00:00,5.936,302
2023-03-10 01:00:00,5.963,319
2023-03-11 01:00:00,5.908,340
2023-03-12 01:00:00,5.934,297
2023-03-13 01:00:00,5.819,283
2023-03-14 01:00:00,5.921,267
2023-03-15 01:00:00,5.987,257
2023-03-16 01:00:00,5.907,271
2023-03-17 01:00:00,5.901,327
2023-03-18 01:00:00,5.834,356
2023-03-19 01:00:00,5.814,297
2023-03-20 01:00:00,5.792,321
2023-03-21 01:00:00,5.817,293
2023-03-22 01:00:00,5.716,359
2023-03-23 01:00:00,5.685,361
2023-03-24 01:00:00,5.637,366
2023-03-25 01:00:00,5.603,396
2023-03-26 01:00:00,5.568,385
2023-03-27 01:00:00,5.596,397
2023-03-28 01:00:00,5.631,416
2023-03-29 01:00:00,5.591,341
2023-03-30 01:00:00,5.583,335
2023-03-31 01:00:00,5.734,297
2023-04-01 01:00:00,5.828,426
2023-04-02 01:00:00,5.77,406
2023-04-03 01:00:00,5.8,421
2023-04-04 01:00:00,5.939,340
2023-04-05 01:00:00,6.106,340
2023-04-06 01:00:00,6.2,377
2023-04-07 01:00:00,6.25,341
2023-04-08 01:00:00,6.156,331
2023-04-09 01:00:00,6.379,375
2023-04-10 01:00:00,6.297,364
2023-04-11 01:00:00,6.291,379
2023-04-12 01:00:00,6.356,339
2023-04-13 01:00:00,6.447,334
2023-04-14 01:00:00,6.546,328
2023-04-15 01:00:00,6.569,283
2023-04-16 01:00:00,6.614,288
2023-04-17 01:00:00,6.692,374
2023-04-18 01:00:00,6.543,243
2023-04-19 01:00:00,6.582,247
2023-04-20 01:00:00,6.538,369
2023-04-21 01:00:00,6.636,424
2023-04-22 01:00:00,6.62,450
2023-04-23 01:00:00,6.549,403
2023-04-24 01:00:00,6.295,364
2023-04-25 01:00:00,6.011,630
2023-04-26 01:00:00,5.807,412
2023-04-27 01:00:00,5.793,387
2023-04-28 01:00:00,5.904,430
2023-04-29 01:00:00,5.976,421
2023-04-30 01:00:00,5.875,362
2023-05-01 01:00:00,5.893,332
2023-05-02 01:00:00,5.754,391
2023-05-03 01:00:00,5.753,335
2023-05-04 01:00:00,5.759,311
2023-05-05 01:00:00,5.724,545
2023-05-06 01:00:00,5.726,439
2023-05-07 01:00:00,5.649,441
2023-05-08 01:00:00,5.508,369
2023-05-09 01:00:00,5.489,346
2023-05-10 01:00:00,5.546,313
2023-05-11 01:00:00,5.47,314
2023-05-12 01:00:00,5.606,379
2023-05-13 01:00:00,5.509,379
2023-05-14 01:00:00,5.407,357
2023-05-15 01:00:00,5.217,298
2023-05-16 01:00:00,5.311,328
2023-05-17 01:00:00,5.459,365
2023-05-18 01:00:00,5.5,325
2023-05-19 01:00:00,5.548,370
2023-05-20 01:00:00,5.534,346
2023-05-21 01:00:00,5.523,384
2023-05-22 01:00:00,5.563,354
2023-05-23 01:00:00,5.543,307
2023-05-24 01:00:00,5.552,333
2023-05-25 01:00:00,5.497,339
2023-05-26 01:00:00,5.494,363
2023-05-27 01:00:00,5.462,394
2023-05-28 01:00:00,5.377,366
2023-05-29 01:00:00,5.398,368
2023-05-30 01:00:00,5.495,342
2023-05-31 01:00:00,5.524,349
2023-06-01 01:00:00,5.527,351
2023-06-02 01:00:00,5.644,373
2023-06-03 01:00:00,5.771,390
2023-06-04 01:00:00,5.743,380
2023-06-05 01:00:00,5.72,349
2023-06-06 01:00:00,5.76,335
2023-06-07 01:00:00,5.738,335
2023-06-08 01:00:00,5.756,336
2023-06-09 01:00:00,5.786,342
2023-06-10 01:00:00,5.743,306
2023-06-11 01:00:00,5.663,318
2023-06-12 01:00:00,5.742,267
2023-06-13 01:00:00,5.727,240
2023-06-14 01:00:00,5.678,299
2023-06-15 01:00:00,5.716,279
2023-06-16 01:00:00,5.747,277
2023-06-17 01:00:00,5.893,280
2023-06-18 01:00:00,5.811,248
2023-06-19 01:00:00,5.818,265
2023-06-20 01:00:00,5.698,272
2023-06-21 01:00:00,5.765,334
2023-06-22 01:00:00,5.789,264
2023-06-23 01:00:00,5.631,328
2023-06-24 01:00:00,5.65,255
2023-06-25 01:00:00,5.593,238
2023-06-26 01:00:00,5.554,236
2023-06-27 01:00:00,5.453,220
2023-06-28 01:00:00,5.399,304
2023-06-29 01:00:00,5.103,274
2023-06-30 01:00:00,4.846,284
2023-07-01 01:00:00,4.816,249
2023-07-02 01:00:00,4.787,285
2023-07-03 01:00:00,4.778,225
2023-07-04 01:00:00,4.745,168
2023-07-05 01:00:00,4.877,183
2023-07-06 01:00:00,4.885,184
2023-07-07 01:00:00,5.034,202
2023-07-08 01:00:00,5.032,168
2023-07-09 01:00:00,5.024,210
2023-07-10 01:00:00,5.001,148
2023-07-11 01:00:00,5.018,227
2023-07-12 01:00:00,4.94,333
2023-07-13 01:00:00,4.836,286
2023-07-14 01:00:00,4.86,279
2023-07-15 01:00:00,4.788,265
2023-07-16 01:00:00,4.769,290
2023-07-17 01:00:00,4.82,257
2023-07-18 01:00:00,4.694,233
2023-07-19 01:00:00,4.667,284
2023-07-20 01:00:00,4.758,264
2023-07-21 01:00:00,4.756,243
2023-07-22 01:00:00,4.837,307
2023-07-23 01:00:00,4.811,257
2023-07-24 01:00:00,4.788,254
2023-07-25 01:00:00,4.779,227
2023-07-26 01:00:00,4.763,293
2023-07-27 01:00:00,4.725,279
2023-07-28 01:00:00,4.73,298
2023-07-29 01:00:00,4.705,310
