date,price,volume
2016-06-16 01:00:00,5.4,283
2016-06-17 01:00:00,4.72,238
2016-06-18 01:00:00,3.783,262
2016-06-19 01:00:00,3.344,247
2016-06-20 01:00:00,3.176,181
2016-06-21 01:00:00,2.987,208
2016-06-22 01:00:00,2.725,218
2016-06-23 01:00:00,2.532,167
2016-06-24 01:00:00,2.668,169
2016-06-25 01:00:00,2.654,182
2016-06-26 01:00:00,2.412,174
2016-06-27 01:00:00,2.305,180
2016-06-28 01:00:00,2.322,175
2016-06-29 01:00:00,1.998,190
2016-06-30 01:00:00,2.217,268
2016-07-01 01:00:00,2.395,172
2016-07-02 01:00:00,2.241,184
2016-07-03 01:00:00,2.115,215
2016-07-04 01:00:00,1.998,197
2016-07-05 01:00:00,2.038,162
2016-07-06 01:00:00,2.077,188
2016-07-07 01:00:00,2.137,150
2016-07-08 01:00:00,2.131,209
2016-07-09 01:00:00,1.9,221
2016-07-10 01:00:00,1.943,195
2016-07-11 01:00:00,2.0,256
2016-07-12 01:00:00,2.06,228
2016-07-13 01:00:00,2.145,146
2016-07-14 01:00:00,2.018,216
2016-07-15 01:00:00,2.055,214
2016-07-16 01:00:00,2.084,212
2016-07-17 01:00:00,1.956,210
2016-07-18 01:00:00,1.93,200
2016-07-19 01:00:00,1.981,196
2016-07-20 01:00:00,1.937,167
2016-07-21 01:00:00,1.767,209
2016-07-22 01:00:00,1.745,173
2016-07-23 01:00:00,1.755,176
2016-07-24 01:00:00,1.549,172
2016-07-25 01:00:00,1.552,220
2016-07-26 01:00:00,1.595,215
2016-07-27 01:00:00,1.483,219
2016-07-28 01:00:00,1.55,206
2016-07-29 01:00:00,1.617,217
2016-07-30 01:00:00,1.674,164
2016-07-31 01:00:00,1.529,229
2016-08-01 01:00:00,1.543,226
2016-08-02 01:00:00,1.562,181
2016-08-03 01:00:00,1.42,232
2016-08-04 01:00:00,1.354,223
2016-08-05 01:00:00,1.352,172
2016-08-06 01:00:00,1.31,184
2016-08-07 01:00:00,1.359,198
2016-08-08 01:00:00,1.271,193
2016-08-09 01:00:00,1.277,198
2016-08-10 01:00:00,1.203,182
2016-08-11 01:00:00,1.184,219
2016-08-12 01:00:00,1.232,252
2016-08-13 01:00:00,1.186,206
2016-08-14 01:00:00,1.204,221
2016-08-15 01:00:00,1.254,185
2016-08-16 01:00:00,1.221,215
2016-08-17 01:00:00,1.185,216
2016-08-18 01:00:00,1.156,216
2016-08-19 01:00:00,1.07,217
2016-08-20 01:00:00,1.066,313
2016-08-21 01:00:00,1.061,266
2016-08-22 01:00:00,1.04,257
2016-08-23 01:00:00,0.991,261
2016-08-24 01:00:00,1.059,260
2016-08-25 01:00:00,1.076,191
2016-08-26 01:00:00,1.087,275
2016-08-27 01:00:00,1.091,219
2016-08-28 01:00:00,1.048,211
2016-08-29 01:00:00,1.028,203
2016-08-30 01:00:00,1.045,210
2016-08-31 01:00:00,1.023,196
2016-09-01 01:00:00,1.047,224
2016-09-02 01:00:00,1.011,197
2016-09-03 01:00:00,1.008,250
2016-09-04 01:00:00,0.952,260
2016-09-05 01:00:00,1.012,233
2016-09-06 01:00:00,0.98,158
2016-09-07 01:00:00,0.982,219
2016-09-08 01:00:00,0.977,224
2016-09-09 01:00:00,1.009,221
2016-09-10 01:00:00,1.041,256
2016-09-11 01:00:00,0.995,187
2016-09-12 01:00:00,0.939,204
2016-09-13 01:00:00,0.905,181
2016-09-14 01:00:00,0.895,182
2016-09-15 01:00:00,0.91,209
2016-09-16 01:00:00,0.881,202
2016-09-17 01:00:00,0.93,285
2016-09-18 01:00:00,0.941,228
2016-09-19 01:00:00,0.911,157
2016-09-20 01:00:00,0.934,211
2016-09-21 01:00:00,0.917,162
2016-09-22 01:00:00,0.923,155
2016-09-23 01:00:00,0.931,227
2016-09-24 01:00:00,0.877,271
2016-09-25 01:00:00,0.86,192
2016-09-26 01:00:00,0.872,142
2016-09-27 01:00:00,0.858,184
2016-09-28 01:00:00,0.876,149
2016-09-29 01:00:00,0.918,227
2016-09-30 01:00:00,0.848,196
2016-10-01 01:00:00,0.873,260
2016-10-02 01:00:00,0.905,153
2016-10-03 01:00:00,0.845,180
2016-10-04 01:00:00,0.838,189
2016-10-05 01:00:00,0.835,175
