date,price,volume
2013-11-29 01:00:00,10.005,1
2013-11-30 01:00:00,4.204,2
2013-12-02 01:00:00,3.75,1
2013-12-04 01:00:00,4.505,1
2013-12-05 01:00:00,3.11,1
2013-12-06 01:00:00,4.08,1
2013-12-07 01:00:00,0.314,1
2013-12-08 01:00:00,2.692,1
2013-12-09 01:00:00,1.644,2
2013-12-10 01:00:00,2.531,1
2013-12-11 01:00:00,0.069,1
2013-12-13 01:00:00,1.34,2
2013-12-14 01:00:00,1.331,1
2013-12-15 01:00:00,1.3,1
2013-12-16 01:00:00,1.223,1
2013-12-17 01:00:00,1.2,1
2013-12-18 01:00:00,0.633,2
2013-12-19 01:00:00,0.7,1
2013-12-20 01:00:00,1.092,2
2013-12-21 01:00:00,0.845,2
2013-12-22 01:00:00,0.86,2
2013-12-23 01:00:00,0.453,3
2013-12-24 01:00:00,0.7,1
2013-12-25 01:00:00,0.64,1
2013-12-26 01:00:00,0.527,2
2013-12-27 01:00:00,0.831,4
2013-12-28 01:00:00,0.89,3
2013-12-29 01:00:00,0.647,7
2013-12-30 01:00:00,0.722,4
2013-12-31 01:00:00,1.146,1
2014-01-01 01:00:00,1.275,2
2014-01-03 01:00:00,1.282,1
2014-01-04 01:00:00,1.027,3
2014-01-06 01:00:00,1.207,4
2014-01-07 01:00:00,0.619,2
2014-01-08 01:00:00,0.047,1
2014-01-09 01:00:00,0.885,3
2014-01-10 01:00:00,1.277,2
2014-01-11 01:00:00,1.283,1
2014-01-12 01:00:00,0.893,4
2014-01-13 01:00:00,0.887,2
2014-01-14 01:00:00,1.18,2
2014-01-15 01:00:00,1.225,1
2014-01-16 01:00:00,1.186,2
2014-01-18 01:00:00,1.1,1
2014-01-19 01:00:00,0.98,2
2014-01-21 01:00:00,0.95,1
2014-01-22 01:00:00,0.962,1
2014-01-23 01:00:00,0.957,4
2014-01-24 01:00:00,1.095,1
2014-01-26 01:00:00,1.145,2
2014-01-27 01:00:00,0.955,1
2014-01-29 01:00:00,1.16,1
2014-01-30 01:00:00,1.171,1
2014-01-31 01:00:00,1.226,2
2014-02-01 01:00:00,1.269,1
2014-02-03 01:00:00,0.892,3
2014-02-04 01:00:00,0.86,1
2014-02-05 01:00:00,0.79,2
2014-02-06 01:00:00,0.804,5
2014-02-07 01:00:00,0.781,4
2014-02-08 01:00:00,0.91,2
2014-02-09 01:00:00,0.717,7
2014-02-10 01:00:00,1.178,4
2014-02-11 01:00:00,1.174,4
2014-02-13 01:00:00,1.014,1
2014-02-14 01:00:00,1.107,2
2014-02-15 01:00:00,0.827,5
2014-02-16 01:00:00,1.075,2
2014-02-17 01:00:00,0.804,5
2014-02-18 01:00:00,0.994,2
2014-02-19 01:00:00,0.466,1
2014-02-20 01:00:00,0.567,2
2014-02-21 01:00:00,0.569,4
2014-02-22 01:00:00,0.514,6
2014-02-23 01:00:00,1.057,29
2014-02-24 01:00:00,5.726,3
2014-02-27 01:00:00,3.203,16
2014-02-28 01:00:00,2.693,9
2014-03-01 01:00:00,1.365,4
2014-03-03 01:00:00,2.215,1
2014-03-04 01:00:00,0.065,2
2014-03-05 01:00:00,0.416,3
2014-03-06 01:00:00,0.926,3
2014-03-07 01:00:00,1.15,5
2014-03-08 01:00:00,1.099,3
2014-03-10 01:00:00,0.892,3
2014-03-11 01:00:00,1.355,1
2014-03-12 01:00:00,1.06,1
2014-03-13 01:00:00,1.29,1
2014-03-14 01:00:00,1.39,1
2014-03-16 01:00:00,0.8,1
2014-03-17 01:00:00,0.971,2
2014-03-18 01:00:00,0.917,3
2014-03-19 01:00:00,1.022,5
2014-03-20 01:00:00,0.892,5
2014-03-21 01:00:00,0.932,4
2014-03-22 01:00:00,0.749,5
2014-03-23 01:00:00,0.814,1
2014-03-24 01:00:00,0.799,8
2014-03-25 01:00:00,0.955,3
2014-03-26 01:00:00,0.884,7
2014-03-27 01:00:00,0.902,3
2014-03-28 01:00:00,1.0,1
2014-03-29 01:00:00,0.665,6
2014-03-30 01:00:00,0.742,14
2014-04-01 01:00:00,0.874,1
2014-04-02 01:00:00,0.977,1
2014-04-03 01:00:00,0.776,4
2014-04-04 01:00:00,0.698,4
2014-04-05 01:00:00,0.625,5
2014-04-06 01:00:00,0.866,7
2014-04-07 01:00:00,0.932,1
2014-04-08 01:00:00,0.803,3
2014-04-09 01:00:00,0.818,3
2014-04-10 01:00:00,0.827,4
2014-04-11 01:00:00,0.86,16
2014-04-12 01:00:00,0.89,2
2014-04-13 01:00:00,0.706,7
2014-04-14 01:00:00,1.078,3
2014-04-15 01:00:00,0.807,3
2014-04-16 01:00:00,0.942,6
2014-04-17 01:00:00,0.869,3
2014-04-18 01:00:00,0.84,8
2014-04-19 01:00:00,0.89,3
2014-04-20 01:00:00,0.852,2
2014-04-21 01:00:00,0.707,8
2014-04-22 01:00:00,0.833,2
2014-04-23 01:00:00,0.595,4
2014-04-24 01:00:00,0.584,6
2014-04-25 01:00:00,0.71,3
2014-04-26 01:00:00,0.727,9
2014-04-27 01:00:00,0.898,6
2014-04-28 01:00:00,0.88,4
2014-04-29 01:00:00,0.728,5
2014-04-30 01:00:00,0.914,10
2014-05-01 01:00:00,0.682,8
2014-05-02 01:00:00,0.754,4
2014-05-03 01:00:00,0.58,2
2014-05-04 01:00:00,0.659,7
2014-05-05 01:00:00,0.698,1
