date,price,volume
2020-12-04 01:00:00,0.236,1
2020-12-07 01:00:00,0.096,1
2020-12-08 01:00:00,0.182,1
2020-12-11 01:00:00,0.272,1
2020-12-15 01:00:00,0.078,1
2020-12-16 01:00:00,0.136,1
2020-12-19 01:00:00,0.12,1
2020-12-20 01:00:00,0.153,1
2020-12-21 01:00:00,0.155,1
2020-12-22 01:00:00,0.079,2
2020-12-23 01:00:00,0.132,1
2020-12-25 01:00:00,0.148,2
2020-12-26 01:00:00,0.171,1
2020-12-27 01:00:00,0.154,1
2020-12-29 01:00:00,0.099,1
2021-01-04 01:00:00,0.283,2
2021-01-07 01:00:00,0.115,1
2021-01-08 01:00:00,0.14,3
2021-01-10 01:00:00,0.218,1
2021-01-11 01:00:00,0.219,1
2021-01-18 01:00:00,0.116,1
2021-01-19 01:00:00,0.239,1
2021-01-20 01:00:00,0.126,3
2021-01-23 01:00:00,0.204,1
2021-01-24 01:00:00,0.112,1
2021-01-25 01:00:00,0.194,2
2021-01-26 01:00:00,0.277,1
2021-01-30 01:00:00,0.115,1
2021-01-31 01:00:00,0.091,1
2021-02-01 01:00:00,0.057,1
2021-02-04 01:00:00,0.096,6
2021-02-06 01:00:00,0.126,1
2021-02-08 01:00:00,0.12,1
2021-02-10 01:00:00,0.126,5
2021-02-12 01:00:00,0.156,1
2021-02-15 01:00:00,0.138,2
2021-02-16 01:00:00,0.139,2
2021-02-17 01:00:00,0.155,1
2021-02-19 01:00:00,0.122,1
2021-02-20 01:00:00,0.289,7
2021-02-23 01:00:00,0.097,1
2021-02-24 01:00:00,0.12,1
2021-02-25 01:00:00,0.095,1
2021-02-27 01:00:00,0.136,2
2021-02-28 01:00:00,0.147,1
2021-03-01 01:00:00,0.235,2
2021-03-04 01:00:00,0.03,1
2021-03-07 01:00:00,0.108,1
2021-03-08 01:00:00,0.054,1
2021-03-09 01:00:00,0.143,1
2021-03-10 01:00:00,0.167,1
2021-03-12 01:00:00,0.095,1
2021-03-13 01:00:00,0.068,1
2021-03-14 01:00:00,0.135,1
2021-03-15 01:00:00,0.163,1
2021-03-17 01:00:00,0.084,4
2021-03-18 01:00:00,0.109,2
2021-03-19 01:00:00,0.121,2
2021-03-20 01:00:00,0.128,3
2021-03-21 01:00:00,0.095,1
2021-03-23 01:00:00,0.155,3
2021-03-24 01:00:00,0.188,6
2021-03-27 01:00:00,0.22,1
2021-03-28 01:00:00,0.212,1
2021-03-30 01:00:00,0.28,1
2021-03-31 01:00:00,0.199,1
2021-04-01 01:00:00,0.178,2
2021-04-02 01:00:00,0.132,1
2021-04-03 01:00:00,0.219,3
2021-04-06 01:00:00,0.177,3
2021-04-07 01:00:00,0.174,3
2021-04-10 01:00:00,0.216,1
2021-04-13 01:00:00,0.09,1
2021-04-18 01:00:00,0.079,1
2021-04-21 01:00:00,0.182,5
2021-04-22 01:00:00,0.243,1
2021-04-27 01:00:00,0.253,1
2021-04-29 01:00:00,0.253,4
2021-05-02 01:00:00,0.253,1
2021-05-04 01:00:00,0.159,1
2021-05-05 01:00:00,0.263,1
2021-05-06 01:00:00,0.212,1
2021-05-09 01:00:00,0.302,1
2021-05-10 01:00:00,0.218,1
2021-05-11 01:00:00,0.446,3
2021-05-17 01:00:00,0.439,6
2021-05-19 01:00:00,0.432,1
2021-05-21 01:00:00,0.475,1
2021-05-22 01:00:00,0.564,1
2021-05-25 01:00:00,0.474,1
2021-05-26 01:00:00,0.54,1
2021-05-27 01:00:00,0.469,1
2021-06-02 01:00:00,0.483,1
2021-06-03 01:00:00,0.545,1
2021-06-06 01:00:00,0.571,1
2021-06-07 01:00:00,0.487,2
2021-06-09 01:00:00,0.516,1
2021-06-11 01:00:00,0.453,2
2021-06-12 01:00:00,0.393,1
2021-06-15 01:00:00,0.429,3
2021-06-16 01:00:00,0.53,1
2021-06-22 01:00:00,0.44,1
2021-06-25 01:00:00,0.44,3
2021-06-28 01:00:00,0.442,1
2021-06-29 01:00:00,0.401,1
2021-07-03 01:00:00,0.476,1
2021-07-05 01:00:00,0.438,1
2021-07-23 01:00:00,0.406,1
2021-07-31 01:00:00,0.533,1
2021-08-04 01:00:00,0.299,1
2021-08-06 01:00:00,0.411,1
2021-08-20 01:00:00,0.456,1
2021-08-22 01:00:00,0.429,1
2021-08-28 01:00:00,0.52,1
2021-09-05 01:00:00,0.494,9
2021-09-06 01:00:00,0.817,1
2021-09-22 01:00:00,0.68,1
2021-09-23 01:00:00,1.136,6
2021-10-02 01:00:00,1.078,1
2021-10-03 01:00:00,0.387,1
2021-10-07 01:00:00,0.713,1
2021-10-10 01:00:00,0.705,1
2021-10-20 01:00:00,0.923,1
2021-10-25 01:00:00,0.485,1
2021-10-27 01:00:00,0.443,2
2021-11-06 01:00:00,0.46,1
2021-11-11 01:00:00,0.462,1
2021-11-30 01:00:00,0.295,1
2021-12-02 01:00:00,0.28,1
2021-12-04 01:00:00,0.565,1
2021-12-10 01:00:00,0.622,1
2021-12-14 01:00:00,0.32,1
2021-12-16 01:00:00,0.314,1
2021-12-19 01:00:00,0.364,1
2021-12-20 01:00:00,0.364,1
2021-12-22 01:00:00,0.404,1
2021-12-29 01:00:00,0.63,1
2022-03-02 01:00:00,0.535,1
2022-03-07 01:00:00,0.336,1
2022-03-13 01:00:00,0.626,1
2022-03-22 01:00:00,0.575,1
2022-03-24 01:00:00,0.398,1
2022-03-25 01:00:00,0.506,1
2022-03-28 01:00:00,0.555,2
2022-04-04 01:00:00,0.364,2
2022-04-23 01:00:00,0.186,1
2022-05-12 01:00:00,0.61,1
2022-05-13 01:00:00,0.611,1
2022-05-24 01:00:00,0.477,1
2022-06-14 01:00:00,0.432,1
2022-06-18 01:00:00,0.584,1
2022-07-01 01:00:00,0.548,1
2022-07-05 01:00:00,0.479,1
2022-07-15 01:00:00,0.538,1
2022-07-16 01:00:00,0.529,1
2022-08-01 01:00:00,0.569,2
