date,price,volume
2024-12-07 09:00:00,2.929,6
2024-12-07 10:00:00,3.375,14
2024-12-07 11:00:00,3.301,13
2024-12-07 12:00:00,3.288,8
2024-12-07 13:00:00,3.372,6
2024-12-07 14:00:00,3.42,31
2024-12-07 15:00:00,3.503,22
2024-12-07 16:00:00,3.53,21
2024-12-07 17:00:00,3.544,11
2024-12-07 18:00:00,3.54,5
2024-12-07 19:00:00,3.528,2
2024-12-07 20:00:00,3.532,1
2024-12-07 21:00:00,3.529,16
2024-12-07 22:00:00,3.533,12
2024-12-07 23:00:00,3.53,19
2024-12-08 00:00:00,3.53,7
2024-12-08 01:00:00,3.532,3
2024-12-08 02:00:00,3.52,2
2024-12-08 03:00:00,3.508,3
2024-12-08 04:00:00,3.53,6
2024-12-08 05:00:00,3.53,28
2024-12-08 06:00:00,3.527,7
2024-12-08 07:00:00,3.277,3
2024-12-08 08:00:00,3.499,6
2024-12-08 09:00:00,2.809,14
2024-12-08 10:00:00,2.783,9
2024-12-08 11:00:00,2.81,24
2024-12-08 12:00:00,2.761,26
2024-12-08 13:00:00,3.147,42
2024-12-08 14:00:00,3.161,20
2024-12-08 15:00:00,3.19,11
2024-12-08 16:00:00,3.273,33
2024-12-08 17:00:00,3.162,7
2024-12-08 18:00:00,3.175,17
2024-12-08 19:00:00,3.414,41
2024-12-08 20:00:00,3.414,54
2024-12-08 21:00:00,3.381,28
2024-12-08 22:00:00,3.39,19
2024-12-08 23:00:00,3.3,5
2024-12-09 00:00:00,3.336,18
2024-12-09 01:00:00,3.31,9
2024-12-09 02:00:00,3.33,11
2024-12-09 03:00:00,3.33,14
2024-12-09 04:00:00,3.381,10
2024-12-09 05:00:00,3.38,7
2024-12-09 06:00:00,3.35,20
2024-12-09 07:00:00,3.393,5
2024-12-09 08:00:00,3.396,20
2024-12-09 09:00:00,3.3,11
2024-12-09 10:00:00,2.888,7
2024-12-09 11:00:00,2.944,11
2024-12-09 12:00:00,2.999,5
2024-12-09 13:00:00,2.989,10
2024-12-09 14:00:00,2.988,7
2024-12-09 15:00:00,3.17,21
2024-12-09 16:00:00,3.343,24
2024-12-09 17:00:00,3.35,19
2024-12-09 18:00:00,3.409,7
2024-12-09 19:00:00,3.357,13
2024-12-09 20:00:00,3.404,16
2024-12-09 21:00:00,3.399,4
2024-12-09 22:00:00,3.363,6
2024-12-09 23:00:00,3.374,8
2024-12-10 00:00:00,3.304,2
2024-12-10 01:00:00,3.273,6
2024-12-10 02:00:00,3.384,17
2024-12-10 03:00:00,3.37,3
2024-12-10 04:00:00,3.311,1
2024-12-10 05:00:00,3.213,2
2024-12-10 06:00:00,3.276,1
2024-12-10 07:00:00,3.3,1
2024-12-10 08:00:00,3.271,4
2024-12-10 09:00:00,3.306,9
2024-12-10 10:00:00,3.311,3
2024-12-10 11:00:00,3.334,5
2024-12-10 12:00:00,3.366,6
2024-12-10 13:00:00,3.367,4
2024-12-10 14:00:00,3.386,3
2024-12-10 15:00:00,3.37,15
2024-12-10 16:00:00,3.39,45
2024-12-10 17:00:00,3.374,11
2024-12-10 18:00:00,3.381,10
2024-12-10 19:00:00,3.4,34
2024-12-10 20:00:00,3.372,15
2024-12-10 21:00:00,3.289,5
2024-12-10 22:00:00,3.442,49
2024-12-10 23:00:00,3.449,47
2024-12-11 00:00:00,3.45,47
2024-12-11 01:00:00,3.45,15
2024-12-11 02:00:00,3.45,10
2024-12-11 03:00:00,3.45,16
2024-12-11 04:00:00,3.45,30
2024-12-11 05:00:00,3.447,20
2024-12-11 06:00:00,3.448,11
2024-12-11 07:00:00,3.445,3
2024-12-11 08:00:00,3.447,7
2024-12-11 09:00:00,2.881,64
2024-12-11 10:00:00,2.875,48
2024-12-11 11:00:00,2.916,59
2024-12-11 12:00:00,2.995,57
2024-12-11 13:00:00,2.995,43
2024-12-11 14:00:00,2.88,27
2024-12-11 15:00:00,2.893,46
2024-12-11 16:00:00,2.887,34
2024-12-11 17:00:00,2.971,26
2024-12-11 18:00:00,3.11,50
2024-12-11 19:00:00,3.05,40
2024-12-11 20:00:00,2.947,30
2024-12-11 21:00:00,2.863,15
2024-12-11 22:00:00,2.85,13
2024-12-11 23:00:00,2.874,31
2024-12-12 00:00:00,2.944,36
2024-12-12 01:00:00,3.096,15
2024-12-12 02:00:00,2.94,9
