date,price,volume
2021-05-03 01:00:00,17.552,3343
2021-05-04 01:00:00,10.159,88924
2021-05-05 01:00:00,7.097,66458
2021-05-06 01:00:00,6.023,58019
2021-05-07 01:00:00,5.092,60564
2021-05-08 01:00:00,4.641,61851
2021-05-09 01:00:00,4.03,61051
2021-05-10 01:00:00,3.651,57838
2021-05-11 01:00:00,3.686,58777
2021-05-12 01:00:00,3.884,62317
2021-05-13 01:00:00,3.428,59798
2021-05-14 01:00:00,3.206,62160
2021-05-15 01:00:00,3.085,63244
2021-05-16 01:00:00,2.748,63257
2021-05-17 01:00:00,2.657,55095
2021-05-18 01:00:00,2.528,55596
2021-05-19 01:00:00,2.398,57365
2021-05-20 01:00:00,2.311,61579
2021-05-21 01:00:00,2.312,63127
2021-05-22 01:00:00,2.261,64963
2021-05-23 01:00:00,2.07,65533
2021-05-24 01:00:00,1.977,61958
2021-05-25 01:00:00,1.924,58595
2021-05-26 01:00:00,1.917,58804
2021-05-27 01:00:00,1.935,59521
2021-05-28 01:00:00,1.961,62212
2021-05-29 01:00:00,1.922,62951
2021-05-30 01:00:00,1.819,63233
2021-05-31 01:00:00,1.669,61688
2021-06-01 01:00:00,1.641,59328
2021-06-02 01:00:00,1.594,59611
2021-06-03 01:00:00,1.588,58723
2021-06-04 01:00:00,1.456,65310
2021-06-05 01:00:00,1.454,68363
2021-06-06 01:00:00,1.474,64512
2021-06-07 01:00:00,1.415,61961
2021-06-08 01:00:00,1.407,58421
2021-06-09 01:00:00,1.45,59503
2021-06-10 01:00:00,1.442,58742
2021-06-11 01:00:00,1.466,58895
2021-06-12 01:00:00,1.493,59869
2021-06-13 01:00:00,1.424,61340
2021-06-14 01:00:00,1.382,58981
2021-06-15 01:00:00,1.348,59344
2021-06-16 01:00:00,1.319,58393
2021-06-17 01:00:00,1.314,58218
2021-06-18 01:00:00,1.33,58539
2021-06-19 01:00:00,1.314,58338
2021-06-20 01:00:00,1.246,60309
2021-06-21 01:00:00,1.094,66902
2021-06-22 01:00:00,0.964,67594
2021-06-23 01:00:00,0.917,68105
2021-06-24 01:00:00,0.879,68599
2021-06-25 01:00:00,0.824,70004
2021-06-26 01:00:00,0.881,69789
2021-06-27 01:00:00,0.907,69194
2021-06-28 01:00:00,0.883,67494
2021-06-29 01:00:00,0.905,65412
2021-06-30 01:00:00,0.909,63481
2021-07-01 01:00:00,0.903,61651
2021-07-02 01:00:00,0.956,64575
2021-07-03 01:00:00,0.932,61031
2021-07-04 01:00:00,0.935,62481
2021-07-05 01:00:00,0.92,63768
2021-07-06 01:00:00,0.914,57423
2021-07-07 01:00:00,0.878,59320
2021-07-08 01:00:00,0.837,61292
2021-07-09 01:00:00,0.831,57598
2021-07-10 01:00:00,0.834,55128
2021-07-11 01:00:00,0.814,53929
2021-07-12 01:00:00,0.771,58326
2021-07-13 01:00:00,0.748,55021
2021-07-14 01:00:00,0.713,58900
2021-07-15 01:00:00,0.687,58789
2021-07-16 01:00:00,0.671,58889
2021-07-17 01:00:00,0.71,58960
2021-07-18 01:00:00,0.717,60777
2021-07-19 01:00:00,0.727,60560
2021-07-20 01:00:00,0.748,59668
2021-07-21 01:00:00,0.746,58243
2021-07-22 01:00:00,0.75,55779
2021-07-23 01:00:00,0.773,58027
2021-07-24 01:00:00,0.791,59547
2021-07-25 01:00:00,0.796,60518
2021-07-26 01:00:00,0.786,54384
2021-07-27 01:00:00,0.814,33758
2021-07-28 01:00:00,0.796,57276
2021-07-29 01:00:00,0.738,61263
2021-07-30 01:00:00,0.721,63420
2021-07-31 01:00:00,0.769,59001
2021-08-01 01:00:00,0.774,61887
2021-08-02 01:00:00,0.748,60006
2021-08-03 01:00:00,0.752,58560
2021-08-04 01:00:00,0.747,53791
2021-08-05 01:00:00,0.765,44616
2021-08-06 01:00:00,0.728,59382
2021-08-07 01:00:00,0.729,58982
2021-08-08 01:00:00,0.714,55399
2021-08-09 01:00:00,0.691,60790
2021-08-10 01:00:00,0.684,57696
2021-08-11 01:00:00,0.68,57479
2021-08-12 01:00:00,0.673,51899
2021-08-13 01:00:00,0.658,58405
2021-08-14 01:00:00,0.644,57706
2021-08-15 01:00:00,0.627,57531
2021-08-16 01:00:00,0.597,57302
2021-08-17 01:00:00,0.577,59533
2021-08-18 01:00:00,0.572,56135
2021-08-19 01:00:00,0.569,60519
2021-08-20 01:00:00,0.573,57611
2021-08-21 01:00:00,0.597,57769
2021-08-22 01:00:00,0.576,55470
2021-08-23 01:00:00,0.542,57733
2021-08-24 01:00:00,0.517,59465
2021-08-25 01:00:00,0.529,57502
2021-08-26 01:00:00,0.522,57217
2021-08-27 01:00:00,0.527,61441
2021-08-28 01:00:00,0.533,60410
2021-08-29 01:00:00,0.547,61021
2021-08-30 01:00:00,0.534,58724
2021-08-31 01:00:00,0.557,64322
2021-09-01 01:00:00,0.565,56546
2021-09-02 01:00:00,0.564,55451
