date,price,volume
2021-10-27 01:00:00,0.327,36
2021-10-28 01:00:00,0.306,117
2021-10-29 01:00:00,0.388,72
2021-10-30 01:00:00,0.311,141
2021-10-31 01:00:00,0.441,77
2021-11-01 01:00:00,0.325,79
2021-11-02 01:00:00,0.384,72
2021-11-03 01:00:00,0.382,66
2021-11-04 01:00:00,0.366,90
2021-11-05 01:00:00,0.367,93
2021-11-06 01:00:00,0.352,141
2021-11-07 01:00:00,0.352,116
2021-11-08 01:00:00,0.319,146
2021-11-09 01:00:00,0.363,85
2021-11-10 01:00:00,0.307,144
2021-11-11 01:00:00,0.305,75
2021-11-12 01:00:00,0.296,88
2021-11-13 01:00:00,0.31,90
2021-11-14 01:00:00,0.352,93
2021-11-15 01:00:00,0.339,116
2021-11-16 01:00:00,0.313,70
2021-11-17 01:00:00,0.318,83
2021-11-18 01:00:00,0.271,76
2021-11-19 01:00:00,0.261,82
2021-11-20 01:00:00,0.261,86
2021-11-21 01:00:00,0.265,105
2021-11-22 01:00:00,0.27,59
2021-11-23 01:00:00,0.267,67
2021-11-24 01:00:00,0.271,64
2021-11-25 01:00:00,0.258,72
2021-11-26 01:00:00,0.274,79
2021-11-27 01:00:00,0.282,69
2021-11-28 01:00:00,0.279,57
2021-11-29 01:00:00,0.67,62
2021-11-30 01:00:00,0.251,72
2021-12-01 01:00:00,0.214,79
2021-12-02 01:00:00,0.2,58
2021-12-03 01:00:00,0.907,57
2021-12-04 01:00:00,0.225,74
2021-12-05 01:00:00,0.248,68
2021-12-06 01:00:00,0.225,51
2021-12-07 01:00:00,0.242,61
2021-12-08 01:00:00,0.274,50
2021-12-09 01:00:00,0.245,38
2021-12-10 01:00:00,0.262,39
2021-12-11 01:00:00,0.262,56
2021-12-12 01:00:00,0.318,52
2021-12-13 01:00:00,0.264,44
2021-12-14 01:00:00,0.275,48
2021-12-15 01:00:00,0.257,33
2021-12-16 01:00:00,0.279,31
2021-12-17 01:00:00,0.265,49
2021-12-18 01:00:00,0.277,45
2021-12-19 01:00:00,0.313,39
2021-12-20 01:00:00,0.256,47
2021-12-21 01:00:00,0.255,40
2021-12-22 01:00:00,0.263,44
2021-12-23 01:00:00,0.272,29
2021-12-24 01:00:00,0.242,47
2021-12-25 01:00:00,0.236,30
2021-12-26 01:00:00,0.255,37
2021-12-27 01:00:00,0.261,35
2021-12-28 01:00:00,0.235,39
