date,price,volume
2013-11-28 01:00:00,12.504,2
2013-11-29 01:00:00,21.869,6
2013-11-30 01:00:00,4.984,18
2013-12-01 01:00:00,4.709,16
2013-12-02 01:00:00,3.322,8
2013-12-03 01:00:00,3.585,8
2013-12-04 01:00:00,4.283,3
2013-12-05 01:00:00,4.156,1
2013-12-06 01:00:00,3.766,2
2013-12-07 01:00:00,4.057,7
2013-12-08 01:00:00,4.218,2
2013-12-09 01:00:00,4.09,1
2013-12-10 01:00:00,3.716,7
2013-12-11 01:00:00,3.598,5
2013-12-12 01:00:00,4.148,3
2013-12-13 01:00:00,4.219,2
2013-12-14 01:00:00,4.102,1
2013-12-15 01:00:00,4.304,4
2013-12-17 01:00:00,3.503,8
2013-12-18 01:00:00,3.566,5
2013-12-19 01:00:00,2.571,3
2013-12-20 01:00:00,1.853,9
2013-12-21 01:00:00,1.522,6
2013-12-22 01:00:00,1.972,9
2013-12-24 01:00:00,2.976,1
2013-12-25 01:00:00,3.22,1
2013-12-27 01:00:00,2.597,3
2013-12-28 01:00:00,1.72,1
2013-12-30 01:00:00,2.894,1
2014-01-01 01:00:00,2.697,2
2014-01-04 01:00:00,2.642,2
2014-01-05 01:00:00,1.645,5
2014-01-06 01:00:00,3.518,2
2014-01-07 01:00:00,1.328,3
2014-01-08 01:00:00,1.638,4
2014-01-09 01:00:00,1.78,2
2014-01-10 01:00:00,2.185,3
2014-01-11 01:00:00,1.979,5
2014-01-12 01:00:00,2.141,2
2014-01-13 01:00:00,2.576,5
2014-01-15 01:00:00,1.845,2
2014-01-16 01:00:00,1.88,1
2014-01-17 01:00:00,1.907,1
2014-01-19 01:00:00,1.947,3
2014-01-21 01:00:00,1.809,6
2014-01-22 01:00:00,3.352,2
2014-01-23 01:00:00,2.127,2
2014-01-25 01:00:00,2.294,2
2014-01-26 01:00:00,2.531,1
2014-01-27 01:00:00,1.033,1
2014-01-28 01:00:00,0.984,2
2014-01-29 01:00:00,2.973,4
2014-01-30 01:00:00,1.53,3
2014-01-31 01:00:00,1.35,1
2014-02-01 01:00:00,1.813,4
2014-02-02 01:00:00,2.699,3
2014-02-04 01:00:00,3.196,2
2014-02-05 01:00:00,3.106,1
2014-02-08 01:00:00,3.74,1
2014-02-09 01:00:00,2.839,1
2014-02-10 01:00:00,2.561,2
2014-02-11 01:00:00,2.58,1
2014-02-12 01:00:00,1.992,1
2014-02-15 01:00:00,1.991,2
2014-02-16 01:00:00,1.4,2
2014-02-17 01:00:00,1.384,3
2014-02-18 01:00:00,2.016,3
2014-02-19 01:00:00,1.979,1
2014-02-20 01:00:00,1.981,2
2014-02-21 01:00:00,1.679,3
2014-02-22 01:00:00,1.495,1
2014-02-23 01:00:00,1.534,3
2014-02-24 01:00:00,1.8,1
2014-02-25 01:00:00,1.825,2
2014-02-27 01:00:00,1.502,2
2014-02-28 01:00:00,1.425,3
2014-03-01 01:00:00,1.516,2
2014-03-02 01:00:00,3.447,2
2014-03-03 01:00:00,1.817,6
2014-03-04 01:00:00,1.442,2
2014-03-06 01:00:00,3.059,2
2014-03-07 01:00:00,1.386,1
2014-03-08 01:00:00,1.287,3
2014-03-09 01:00:00,1.409,3
2014-03-10 01:00:00,2.015,4
2014-03-11 01:00:00,1.754,1
2014-03-12 01:00:00,1.913,3
2014-03-13 01:00:00,2.859,5
2014-03-14 01:00:00,3.0,4
2014-03-15 01:00:00,2.864,4
2014-03-16 01:00:00,2.464,13
2014-03-17 01:00:00,1.932,6
2014-03-18 01:00:00,1.643,6
2014-03-19 01:00:00,1.778,5
2014-03-21 01:00:00,2.305,2
2014-03-22 01:00:00,1.407,1
2014-03-23 01:00:00,2.414,1
2014-03-24 01:00:00,3.001,1
2014-03-25 01:00:00,1.57,1
2014-03-26 01:00:00,2.231,3
2014-03-27 01:00:00,1.168,5
2014-03-28 01:00:00,1.336,3
2014-03-29 01:00:00,1.453,5
2014-03-30 01:00:00,1.427,3
2014-03-31 01:00:00,1.7,1
2014-04-03 01:00:00,2.024,2
2014-04-04 01:00:00,2.441,2
2014-04-05 01:00:00,1.684,2
2014-04-06 01:00:00,1.679,3
2014-04-07 01:00:00,1.84,2
2014-04-08 01:00:00,1.638,2
2014-04-09 01:00:00,2.55,2
2014-04-10 01:00:00,2.386,3
2014-04-11 01:00:00,3.771,2
2014-04-13 01:00:00,2.094,1
2014-04-14 01:00:00,2.344,5
2014-04-15 01:00:00,2.343,3
2014-04-16 01:00:00,2.541,1
2014-04-17 01:00:00,1.951,2
2014-04-18 01:00:00,1.017,1
2014-04-19 01:00:00,1.152,4
2014-04-20 01:00:00,2.286,3
2014-04-21 01:00:00,2.532,2
2014-04-22 01:00:00,2.001,1
2014-04-23 01:00:00,2.871,2
2014-04-24 01:00:00,2.566,3
2014-04-25 01:00:00,3.137,1
2014-04-26 01:00:00,3.222,2
2014-04-28 01:00:00,3.158,3
2014-04-29 01:00:00,4.16,1
2014-04-30 01:00:00,0.958,2
2014-05-02 01:00:00,2.444,1
2014-05-03 01:00:00,2.499,2
2014-05-04 01:00:00,1.38,1
2014-05-05 01:00:00,1.584,4
2014-05-06 01:00:00,1.728,3
2014-05-07 01:00:00,1.921,1
2014-05-09 01:00:00,1.838,3
2014-05-11 01:00:00,2.178,4
2014-05-12 01:00:00,2.85,1
2014-05-14 01:00:00,2.04,1
2014-05-15 01:00:00,1.726,3
2014-05-16 01:00:00,2.179,2
2014-05-17 01:00:00,2.135,3
2014-05-18 01:00:00,2.061,2
2014-05-19 01:00:00,2.977,3
2014-05-21 01:00:00,2.669,1
2014-05-23 01:00:00,3.121,2
2014-05-24 01:00:00,4.05,1
2014-05-25 01:00:00,3.33,1
2014-05-26 01:00:00,3.513,3
2014-05-28 01:00:00,3.0,1
