date,price,volume
2021-10-27 01:00:00,0.293,20
2021-10-28 01:00:00,0.213,97
2021-10-29 01:00:00,0.168,79
2021-10-30 01:00:00,0.193,80
2021-10-31 01:00:00,0.171,75
2021-11-01 01:00:00,0.175,54
2021-11-02 01:00:00,0.285,67
2021-11-03 01:00:00,0.274,48
2021-11-04 01:00:00,0.209,54
2021-11-05 01:00:00,0.18,121
2021-11-06 01:00:00,0.182,133
2021-11-07 01:00:00,0.163,132
2021-11-08 01:00:00,0.159,144
2021-11-09 01:00:00,0.161,92
2021-11-10 01:00:00,0.116,161
2021-11-11 01:00:00,0.118,113
2021-11-12 01:00:00,0.119,75
2021-11-13 01:00:00,0.117,95
2021-11-14 01:00:00,0.108,73
2021-11-15 01:00:00,0.124,87
2021-11-16 01:00:00,0.103,88
2021-11-17 01:00:00,0.097,78
2021-11-18 01:00:00,0.1,81
2021-11-19 01:00:00,0.096,70
2021-11-20 01:00:00,0.107,72
2021-11-21 01:00:00,0.105,78
2021-11-22 01:00:00,0.112,66
2021-11-23 01:00:00,0.117,56
2021-11-24 01:00:00,0.108,57
2021-11-25 01:00:00,0.106,58
2021-11-26 01:00:00,0.101,47
2021-11-27 01:00:00,0.089,131
2021-11-28 01:00:00,0.121,90
2021-11-29 01:00:00,0.115,50
2021-11-30 01:00:00,0.097,72
2021-12-01 01:00:00,0.089,93
2021-12-02 01:00:00,0.089,59
2021-12-03 01:00:00,0.082,94
2021-12-04 01:00:00,0.082,68
2021-12-05 01:00:00,0.074,94
2021-12-06 01:00:00,0.082,51
2021-12-07 01:00:00,0.095,46
2021-12-08 01:00:00,0.099,78
2021-12-09 01:00:00,0.094,34
2021-12-10 01:00:00,0.129,45
2021-12-11 01:00:00,0.11,36
2021-12-12 01:00:00,0.11,39
2021-12-13 01:00:00,0.111,58
2021-12-14 01:00:00,0.102,41
2021-12-15 01:00:00,0.111,59
2021-12-16 01:00:00,0.099,45
2021-12-17 01:00:00,0.101,28
2021-12-18 01:00:00,0.121,30
2021-12-19 01:00:00,0.102,34
2021-12-20 01:00:00,0.106,37
2021-12-21 01:00:00,0.156,102
2021-12-22 01:00:00,0.153,30
2021-12-23 01:00:00,0.117,42
2021-12-24 01:00:00,0.107,23
2021-12-25 01:00:00,0.11,27
2021-12-26 01:00:00,0.117,46
2021-12-27 01:00:00,0.131,26
2021-12-28 01:00:00,0.095,60
2021-12-29 01:00:00,0.102,25
2021-12-30 01:00:00,3.808,33
2021-12-31 01:00:00,0.107,33
2022-01-01 01:00:00,0.104,46
2022-01-02 01:00:00,0.103,54
2022-01-03 01:00:00,0.086,35
2022-01-04 01:00:00,0.098,61
2022-01-05 01:00:00,0.123,32
2022-01-06 01:00:00,0.093,44
2022-01-07 01:00:00,0.105,42
2022-01-08 01:00:00,0.114,41
2022-01-09 01:00:00,0.132,45
2022-01-10 01:00:00,0.137,46
2022-01-11 01:00:00,0.13,27
2022-01-12 01:00:00,0.128,41
2022-01-13 01:00:00,0.12,41
2022-01-14 01:00:00,0.117,43
2022-01-15 01:00:00,0.134,58
2022-01-16 01:00:00,0.193,53
2022-01-17 01:00:00,0.133,31
2022-01-18 01:00:00,0.211,68
2022-01-19 01:00:00,0.241,16
2022-01-20 01:00:00,0.218,74
2022-01-21 01:00:00,0.2,35
2022-01-22 01:00:00,0.195,44
2022-01-23 01:00:00,0.178,55
2022-01-24 01:00:00,0.165,26
2022-01-25 01:00:00,0.178,25
2022-01-26 01:00:00,0.17,50
2022-01-27 01:00:00,0.161,43
2022-01-28 01:00:00,0.156,89
2022-01-29 01:00:00,0.139,38
2022-01-30 01:00:00,0.144,33
2022-01-31 01:00:00,0.132,48
2022-02-01 01:00:00,0.126,24
2022-02-02 01:00:00,0.128,33
2022-02-03 01:00:00,0.135,33
2022-02-04 01:00:00,0.133,41
2022-02-05 01:00:00,0.125,59
2022-02-06 01:00:00,0.117,63
2022-02-07 01:00:00,0.12,50
2022-02-08 01:00:00,0.122,49
2022-02-09 01:00:00,0.122,39
2022-02-10 01:00:00,0.117,100
2022-02-11 01:00:00,0.119,61
2022-02-12 01:00:00,0.12,59
2022-02-13 01:00:00,0.121,50
2022-02-14 01:00:00,0.123,43
2022-02-15 01:00:00,0.115,39
2022-02-16 01:00:00,0.113,38
2022-02-17 01:00:00,0.114,25
2022-02-18 01:00:00,0.12,45
2022-02-19 01:00:00,0.123,47
2022-02-20 01:00:00,0.121,48
2022-02-21 01:00:00,0.124,32
2022-02-22 01:00:00,0.114,72
2022-02-23 01:00:00,0.14,40
2022-02-24 01:00:00,0.115,34
2022-02-25 01:00:00,0.111,42
2022-02-26 01:00:00,0.111,50
2022-02-27 01:00:00,0.127,32
2022-02-28 01:00:00,0.11,48
2022-03-01 01:00:00,0.106,72
2022-03-02 01:00:00,0.188,109
2022-03-03 01:00:00,0.153,45
