date,price,volume
2021-10-27 01:00:00,0.035,10
2021-10-28 01:00:00,0.043,55
2021-10-29 01:00:00,0.032,76
2021-10-30 01:00:00,0.031,80
2021-10-31 01:00:00,0.04,74
2021-11-01 01:00:00,0.045,35
2021-11-02 01:00:00,0.037,50
2021-11-03 01:00:00,0.041,58
2021-11-04 01:00:00,0.045,51
2021-11-05 01:00:00,0.039,87
2021-11-06 01:00:00,0.034,122
2021-11-07 01:00:00,0.03,138
2021-11-08 01:00:00,0.03,110
2021-11-09 01:00:00,0.03,60
2021-11-10 01:00:00,0.905,103
2021-11-11 01:00:00,0.434,37
2021-11-12 01:00:00,0.03,66
2021-11-13 01:00:00,0.538,153
2021-11-14 01:00:00,0.03,61
2021-11-15 01:00:00,0.03,79
2021-11-16 01:00:00,0.03,77
2021-11-17 01:00:00,0.03,94
2021-11-18 01:00:00,0.03,97
2021-11-19 01:00:00,0.03,69
2021-11-20 01:00:00,0.03,69
2021-11-21 01:00:00,0.03,112
2021-11-22 01:00:00,2.669,108
2021-11-23 01:00:00,0.03,81
2021-11-24 01:00:00,0.03,58
2021-11-25 01:00:00,0.03,112
2021-11-26 01:00:00,0.03,113
2021-11-27 01:00:00,0.03,57
2021-11-28 01:00:00,2.643,68
2021-11-29 01:00:00,0.03,116
2021-11-30 01:00:00,0.03,73
2021-12-01 01:00:00,0.923,48
2021-12-02 01:00:00,4.797,298
2021-12-03 01:00:00,0.04,39
2021-12-04 01:00:00,0.037,56
2021-12-05 01:00:00,0.03,38
2021-12-06 01:00:00,0.6,27
2021-12-07 01:00:00,0.03,26
2021-12-08 01:00:00,0.03,29
2021-12-09 01:00:00,0.03,61
2021-12-10 01:00:00,0.03,49
2021-12-11 01:00:00,0.03,71
2021-12-12 01:00:00,0.382,113
2021-12-13 01:00:00,1.362,36
2021-12-14 01:00:00,0.036,16
2021-12-15 01:00:00,0.03,34
2021-12-16 01:00:00,0.03,23
2021-12-17 01:00:00,0.03,38
2021-12-18 01:00:00,0.03,32
2021-12-19 01:00:00,0.03,28
2021-12-20 01:00:00,0.03,38
2021-12-21 01:00:00,0.03,23
2021-12-22 01:00:00,0.03,26
2021-12-23 01:00:00,0.03,21
2021-12-24 01:00:00,0.03,26
2021-12-25 01:00:00,0.03,38
2021-12-26 01:00:00,0.262,61
2021-12-27 01:00:00,0.03,22
2021-12-28 01:00:00,0.03,20
2021-12-29 01:00:00,3.38,50
2021-12-30 01:00:00,0.03,52
2021-12-31 01:00:00,0.03,29
2022-01-01 01:00:00,0.03,41
2022-01-02 01:00:00,0.03,53
2022-01-03 01:00:00,4.957,105
2022-01-04 01:00:00,0.03,81
2022-01-05 01:00:00,0.03,75
2022-01-06 01:00:00,0.03,64
2022-01-07 01:00:00,0.03,46
2022-01-08 01:00:00,0.03,55
2022-01-09 01:00:00,0.03,70
2022-01-10 01:00:00,0.03,49
2022-01-11 01:00:00,1.454,57
2022-01-12 01:00:00,3.405,57
2022-01-13 01:00:00,0.03,47
2022-01-14 01:00:00,0.111,261
2022-01-15 01:00:00,0.072,53
2022-01-16 01:00:00,0.043,52
2022-01-17 01:00:00,0.03,31
2022-01-18 01:00:00,0.031,33
2022-01-19 01:00:00,0.03,30
2022-01-20 01:00:00,0.526,38
2022-01-21 01:00:00,0.03,47
2022-01-22 01:00:00,0.031,48
2022-01-23 01:00:00,2.846,81
2022-01-24 01:00:00,0.038,32
2022-01-25 01:00:00,0.03,50
2022-01-26 01:00:00,0.03,36
2022-01-27 01:00:00,0.03,50
2022-01-28 01:00:00,1.541,65
2022-01-29 01:00:00,0.033,28
2022-01-30 01:00:00,0.03,42
2022-01-31 01:00:00,0.489,32
2022-02-01 01:00:00,0.03,60
2022-02-02 01:00:00,0.03,101
2022-02-03 01:00:00,0.03,77
2022-02-04 01:00:00,0.139,94
2022-02-05 01:00:00,0.095,38
2022-02-06 01:00:00,0.062,53
2022-02-07 01:00:00,0.274,60
2022-02-08 01:00:00,0.03,39
2022-02-09 01:00:00,0.03,50
2022-02-10 01:00:00,1.194,81
2022-02-11 01:00:00,0.251,34
2022-02-12 01:00:00,0.03,56
2022-02-13 01:00:00,0.603,46
2022-02-14 01:00:00,0.03,47
2022-02-15 01:00:00,0.03,38
2022-02-16 01:00:00,0.03,74
2022-02-17 01:00:00,0.03,42
2022-02-18 01:00:00,0.03,42
2022-02-19 01:00:00,0.03,37
2022-02-20 01:00:00,0.03,75
2022-02-21 01:00:00,0.03,65
2022-02-22 01:00:00,0.03,36
2022-02-23 01:00:00,0.03,34
2022-02-24 01:00:00,0.03,38
2022-02-25 01:00:00,0.03,29
2022-02-26 01:00:00,0.03,46
2022-02-27 01:00:00,0.759,53
2022-02-28 01:00:00,0.03,63
2022-03-01 01:00:00,0.03,43
2022-03-02 01:00:00,0.03,85
