date,price,volume
2014-08-14 01:00:00,0.267,1
2014-08-15 01:00:00,0.7,1
2014-08-16 01:00:00,0.7,1
2014-08-17 01:00:00,1.465,10
2014-08-19 01:00:00,1.003,1
2014-08-20 01:00:00,1.012,1
2014-08-22 01:00:00,1.484,1
2014-08-27 01:00:00,1.088,2
2014-08-29 01:00:00,0.575,1
2014-08-30 01:00:00,1.29,1
2014-09-01 01:00:00,1.244,4
2014-09-03 01:00:00,1.57,1
2014-09-05 01:00:00,1.079,1
2014-09-14 01:00:00,0.929,1
2014-09-17 01:00:00,0.931,1
2014-09-20 01:00:00,0.805,1
2014-09-21 01:00:00,0.908,1
2014-09-22 01:00:00,0.591,1
2014-09-25 01:00:00,0.46,1
2014-09-29 01:00:00,0.8,1
2014-10-07 01:00:00,0.701,1
2014-10-09 01:00:00,0.717,1
2014-10-12 01:00:00,0.545,1
2014-10-13 01:00:00,0.572,1
2014-10-15 01:00:00,0.55,1
2014-10-18 01:00:00,0.555,3
2014-10-21 01:00:00,0.644,2
2014-10-24 01:00:00,0.828,1
2014-10-25 01:00:00,0.85,1
2014-10-31 01:00:00,0.755,1
2014-11-01 01:00:00,0.873,2
2014-11-06 01:00:00,1.617,1
2014-11-10 01:00:00,1.469,1
2014-11-14 01:00:00,0.748,1
2014-11-22 01:00:00,0.62,2
2014-11-28 01:00:00,0.521,6
2014-11-29 01:00:00,0.962,3
2014-11-30 01:00:00,0.632,3
2014-12-01 01:00:00,0.63,1
2014-12-02 01:00:00,0.599,1
2014-12-03 01:00:00,0.499,1
2014-12-04 01:00:00,0.536,3
2014-12-06 01:00:00,0.362,2
2014-12-08 01:00:00,0.417,1
2014-12-10 01:00:00,0.356,2
2014-12-12 01:00:00,0.33,2
2014-12-13 01:00:00,0.373,1
2014-12-14 01:00:00,0.267,1
2014-12-15 01:00:00,0.323,2
2014-12-16 01:00:00,0.35,1
2014-12-17 01:00:00,0.311,3
2014-12-18 01:00:00,0.299,3
2014-12-19 01:00:00,0.34,3
2014-12-20 01:00:00,0.295,1
2014-12-21 01:00:00,0.378,1
2014-12-22 01:00:00,0.447,1
2014-12-23 01:00:00,0.391,2
2014-12-25 01:00:00,0.37,6
2014-12-26 01:00:00,0.469,2
2014-12-29 01:00:00,0.472,3
2014-12-30 01:00:00,0.45,1
2014-12-31 01:00:00,0.484,1
