date,price,volume
2021-10-27 01:00:00,0.088,488
2021-10-28 01:00:00,0.058,588
2021-10-29 01:00:00,0.057,486
2021-10-30 01:00:00,0.055,531
2021-10-31 01:00:00,0.06,411
2021-11-01 01:00:00,0.07,306
2021-11-02 01:00:00,0.07,314
2021-11-03 01:00:00,0.072,375
2021-11-04 01:00:00,0.066,348
2021-11-05 01:00:00,0.064,398
2021-11-06 01:00:00,0.06,414
2021-11-07 01:00:00,0.055,650
2021-11-08 01:00:00,0.039,977
2021-11-09 01:00:00,0.04,495
2021-11-10 01:00:00,0.035,693
2021-11-11 01:00:00,0.035,470
2021-11-12 01:00:00,0.037,321
2021-11-13 01:00:00,0.04,378
2021-11-14 01:00:00,0.043,331
2021-11-15 01:00:00,0.044,334
2021-11-16 01:00:00,0.039,301
2021-11-17 01:00:00,0.041,209
2021-11-18 01:00:00,0.038,296
2021-11-19 01:00:00,0.041,252
2021-11-20 01:00:00,0.044,239
2021-11-21 01:00:00,0.042,250
2021-11-22 01:00:00,0.04,232
2021-11-23 01:00:00,0.042,200
2021-11-24 01:00:00,0.041,182
2021-11-25 01:00:00,0.04,205
2021-11-26 01:00:00,0.037,224
2021-11-27 01:00:00,0.035,246
2021-11-28 01:00:00,0.038,192
2021-11-29 01:00:00,0.036,152
2021-11-30 01:00:00,0.03,245
2021-12-01 01:00:00,0.03,209
2021-12-02 01:00:00,0.03,239
2021-12-03 01:00:00,0.032,187
2021-12-04 01:00:00,0.035,191
2021-12-05 01:00:00,0.033,233
2021-12-06 01:00:00,0.036,231
2021-12-07 01:00:00,0.041,148
2021-12-08 01:00:00,0.037,139
2021-12-09 01:00:00,0.042,154
2021-12-10 01:00:00,0.045,123
2021-12-11 01:00:00,0.041,181
2021-12-12 01:00:00,0.041,166
2021-12-13 01:00:00,0.041,123
2021-12-14 01:00:00,0.04,138
2021-12-15 01:00:00,0.039,135
2021-12-16 01:00:00,0.038,135
2021-12-17 01:00:00,0.038,110
2021-12-18 01:00:00,0.044,114
2021-12-19 01:00:00,0.039,179
2021-12-20 01:00:00,0.043,112
2021-12-21 01:00:00,0.037,95
2021-12-22 01:00:00,0.043,105
2021-12-23 01:00:00,0.043,114
2021-12-24 01:00:00,0.041,116
2021-12-25 01:00:00,0.041,107
2021-12-26 01:00:00,0.047,119
2021-12-27 01:00:00,0.046,93
2021-12-28 01:00:00,0.041,127
2021-12-29 01:00:00,0.043,136
2021-12-30 01:00:00,0.043,122
2021-12-31 01:00:00,0.043,108
2022-01-01 01:00:00,0.047,143
2022-01-02 01:00:00,0.046,146
2022-01-03 01:00:00,0.043,148
2022-01-04 01:00:00,0.044,122
2022-01-05 01:00:00,0.043,132
2022-01-06 01:00:00,0.047,162
2022-01-07 01:00:00,0.044,179
2022-01-08 01:00:00,0.046,138
2022-01-09 01:00:00,0.05,127
2022-01-10 01:00:00,0.046,117
2022-01-11 01:00:00,0.049,112
2022-01-12 01:00:00,0.042,157
2022-01-13 01:00:00,0.046,127
2022-01-14 01:00:00,0.046,130
2022-01-15 01:00:00,0.048,148
2022-01-16 01:00:00,0.048,159
2022-01-17 01:00:00,0.047,130
2022-01-18 01:00:00,0.05,115
2022-01-19 01:00:00,0.057,114
2022-01-20 01:00:00,0.47,122
2022-01-21 01:00:00,0.055,158
2022-01-22 01:00:00,0.056,169
2022-01-23 01:00:00,0.06,131
2022-01-24 01:00:00,0.062,188
2022-01-25 01:00:00,0.057,145
2022-01-26 01:00:00,0.059,136
2022-01-27 01:00:00,0.058,129
2022-01-28 01:00:00,0.057,127
2022-01-29 01:00:00,0.06,161
2022-01-30 01:00:00,0.064,137
2022-01-31 01:00:00,0.063,123
2022-02-01 01:00:00,0.066,141
2022-02-02 01:00:00,0.06,110
2022-02-03 01:00:00,0.056,148
2022-02-04 01:00:00,0.055,126
2022-02-05 01:00:00,0.059,161
2022-02-06 01:00:00,0.061,139
2022-02-07 01:00:00,0.062,149
2022-02-08 01:00:00,0.062,115
2022-02-09 01:00:00,0.064,143
2022-02-10 01:00:00,0.066,143
2022-02-11 01:00:00,0.063,155
2022-02-12 01:00:00,0.061,142
2022-02-13 01:00:00,0.071,154
2022-02-14 01:00:00,0.066,205
2022-02-15 01:00:00,0.065,140
2022-02-16 01:00:00,0.064,128
2022-02-17 01:00:00,0.065,124
2022-02-18 01:00:00,0.062,115
2022-02-19 01:00:00,0.062,126
2022-02-20 01:00:00,0.07,155
2022-02-21 01:00:00,0.064,115
2022-02-22 01:00:00,0.064,105
2022-02-23 01:00:00,0.064,144
2022-02-24 01:00:00,0.065,101
2022-02-25 01:00:00,0.066,110
2022-02-26 01:00:00,0.061,145
2022-02-27 01:00:00,0.069,143
2022-02-28 01:00:00,0.071,100
2022-03-01 01:00:00,0.064,91
2022-03-02 01:00:00,0.066,136
2022-03-03 01:00:00,0.065,125
2022-03-04 01:00:00,0.067,140
2022-03-05 01:00:00,0.068,141
2022-03-06 01:00:00,0.07,150
2022-03-07 01:00:00,0.066,135
2022-03-08 01:00:00,0.058,154
2022-03-09 01:00:00,0.066,134
2022-03-10 01:00:00,0.065,108
2022-03-11 01:00:00,0.072,105
2022-03-12 01:00:00,0.066,156
2022-03-13 01:00:00,0.069,129
2022-03-14 01:00:00,0.07,149
2022-03-15 01:00:00,0.068,117
2022-03-16 01:00:00,0.075,115
2022-03-17 01:00:00,0.075,114
2022-03-18 01:00:00,0.073,114
2022-03-19 01:00:00,0.078,125
2022-03-20 01:00:00,0.076,122
2022-03-21 01:00:00,0.076,84
2022-03-22 01:00:00,0.071,117
2022-03-23 01:00:00,0.077,104
2022-03-24 01:00:00,0.082,120
2022-03-25 01:00:00,0.082,108
2022-03-26 01:00:00,0.077,112
