date,price,volume
2018-09-06 01:00:00,1.138,2
2018-09-07 01:00:00,0.44,18
2018-09-08 01:00:00,0.463,17
2018-09-09 01:00:00,0.36,11
2018-09-10 01:00:00,0.368,12
2018-09-11 01:00:00,0.368,9
2018-09-12 01:00:00,0.442,4
2018-09-13 01:00:00,0.379,6
2018-09-14 01:00:00,0.318,14
2018-09-15 01:00:00,0.361,13
2018-09-16 01:00:00,0.405,13
2018-09-17 01:00:00,0.353,9
2018-09-18 01:00:00,0.417,8
2018-09-19 01:00:00,0.331,11
2018-09-20 01:00:00,0.274,11
2018-09-21 01:00:00,0.293,15
2018-09-22 01:00:00,0.329,8
2018-09-23 01:00:00,0.408,24
2018-09-24 01:00:00,0.289,12
2018-09-25 01:00:00,0.304,13
2018-09-26 01:00:00,0.364,9
2018-09-27 01:00:00,0.337,16
2018-09-28 01:00:00,0.331,7
2018-09-29 01:00:00,0.217,26
2018-09-30 01:00:00,0.261,15
2018-10-01 01:00:00,0.351,9
2018-10-02 01:00:00,0.352,10
2018-10-03 01:00:00,0.314,9
2018-10-04 01:00:00,0.325,8
2018-10-05 01:00:00,0.254,5
2018-10-06 01:00:00,0.288,13
2018-10-07 01:00:00,0.287,9
2018-10-08 01:00:00,0.217,13
2018-10-09 01:00:00,0.259,10
2018-10-10 01:00:00,0.294,4
2018-10-11 01:00:00,0.28,7
2018-10-12 01:00:00,0.288,11
2018-10-13 01:00:00,0.264,11
2018-10-14 01:00:00,0.345,11
2018-10-15 01:00:00,0.285,9
2018-10-16 01:00:00,0.278,9
2018-10-17 01:00:00,0.267,8
2018-10-18 01:00:00,0.289,5
2018-10-19 01:00:00,0.319,6
2018-10-20 01:00:00,0.254,9
2018-10-21 01:00:00,0.223,5
2018-10-22 01:00:00,0.254,10
2018-10-23 01:00:00,0.289,3
2018-10-24 01:00:00,0.257,3
2018-10-25 01:00:00,0.376,9
2018-10-26 01:00:00,0.29,5
2018-10-27 01:00:00,0.338,5
2018-10-28 01:00:00,0.196,4
2018-10-29 01:00:00,0.236,6
