date,price,volume
2021-10-27 01:00:00,0.185,149
2021-10-28 01:00:00,0.146,182
2021-10-29 01:00:00,0.146,139
2021-10-30 01:00:00,0.125,157
2021-10-31 01:00:00,0.12,159
2021-11-01 01:00:00,0.148,119
2021-11-02 01:00:00,0.135,121
2021-11-03 01:00:00,0.125,126
2021-11-04 01:00:00,0.126,150
2021-11-05 01:00:00,0.117,177
2021-11-06 01:00:00,0.114,230
2021-11-07 01:00:00,0.111,241
2021-11-08 01:00:00,0.107,550
2021-11-09 01:00:00,0.105,214
2021-11-10 01:00:00,0.083,270
2021-11-11 01:00:00,0.076,206
2021-11-12 01:00:00,0.076,157
2021-11-13 01:00:00,0.077,143
2021-11-14 01:00:00,0.076,185
2021-11-15 01:00:00,0.078,158
2021-11-16 01:00:00,0.073,166
2021-11-17 01:00:00,0.071,117
2021-11-18 01:00:00,0.063,154
2021-11-19 01:00:00,0.064,132
2021-11-20 01:00:00,0.063,120
2021-11-21 01:00:00,0.063,143
2021-11-22 01:00:00,0.062,120
2021-11-23 01:00:00,0.066,115
2021-11-24 01:00:00,0.071,113
2021-11-25 01:00:00,0.09,100
2021-11-26 01:00:00,0.065,94
2021-11-27 01:00:00,0.062,138
2021-11-28 01:00:00,0.064,104
2021-11-29 01:00:00,0.058,96
2021-11-30 01:00:00,0.065,140
2021-12-01 01:00:00,0.065,116
2021-12-02 01:00:00,0.064,127
2021-12-03 01:00:00,0.064,96
2021-12-04 01:00:00,0.064,130
2021-12-05 01:00:00,0.061,104
2021-12-06 01:00:00,0.067,90
2021-12-07 01:00:00,0.062,70
2021-12-08 01:00:00,0.063,80
2021-12-09 01:00:00,0.067,77
2021-12-10 01:00:00,0.07,119
2021-12-11 01:00:00,0.092,145
2021-12-12 01:00:00,0.087,99
2021-12-13 01:00:00,0.078,123
2021-12-14 01:00:00,0.081,72
2021-12-15 01:00:00,0.068,67
2021-12-16 01:00:00,0.062,75
2021-12-17 01:00:00,0.067,65
2021-12-18 01:00:00,0.071,71
2021-12-19 01:00:00,0.071,111
2021-12-20 01:00:00,0.066,80
2021-12-21 01:00:00,0.058,81
2021-12-22 01:00:00,0.06,81
2021-12-23 01:00:00,0.058,95
2021-12-24 01:00:00,0.066,103
2021-12-25 01:00:00,0.063,88
2021-12-26 01:00:00,0.061,78
2021-12-27 01:00:00,0.065,73
2021-12-28 01:00:00,0.074,81
2021-12-29 01:00:00,0.082,73
2021-12-30 01:00:00,0.073,79
2021-12-31 01:00:00,0.067,61
2022-01-01 01:00:00,0.069,74
2022-01-02 01:00:00,0.069,71
2022-01-03 01:00:00,0.062,100
2022-01-04 01:00:00,0.07,65
2022-01-05 01:00:00,0.066,66
2022-01-06 01:00:00,0.07,79
2022-01-07 01:00:00,0.065,87
2022-01-08 01:00:00,0.067,94
2022-01-09 01:00:00,0.07,106
2022-01-10 01:00:00,0.07,95
2022-01-11 01:00:00,0.067,85
2022-01-12 01:00:00,0.068,93
2022-01-13 01:00:00,0.068,94
2022-01-14 01:00:00,0.069,90
2022-01-15 01:00:00,0.065,83
2022-01-16 01:00:00,0.066,96
2022-01-17 01:00:00,0.07,81
2022-01-18 01:00:00,0.065,95
2022-01-19 01:00:00,0.072,94
2022-01-20 01:00:00,0.075,68
2022-01-21 01:00:00,0.069,101
2022-01-22 01:00:00,0.078,84
2022-01-23 01:00:00,0.077,117
2022-01-24 01:00:00,0.075,84
2022-01-25 01:00:00,0.079,105
2022-01-26 01:00:00,0.081,90
2022-01-27 01:00:00,0.076,109
2022-01-28 01:00:00,0.236,94
2022-01-29 01:00:00,0.076,78
2022-01-30 01:00:00,0.083,111
2022-01-31 01:00:00,0.076,77
2022-02-01 01:00:00,0.081,85
2022-02-02 01:00:00,0.077,77
2022-02-03 01:00:00,0.074,107
2022-02-04 01:00:00,0.076,78
2022-02-05 01:00:00,0.075,91
2022-02-06 01:00:00,0.075,112
2022-02-07 01:00:00,0.077,95
2022-02-08 01:00:00,0.078,76
2022-02-09 01:00:00,0.082,85
2022-02-10 01:00:00,0.086,62
2022-02-11 01:00:00,0.091,99
2022-02-12 01:00:00,0.105,73
2022-02-13 01:00:00,0.102,92
2022-02-14 01:00:00,0.095,57
2022-02-15 01:00:00,0.097,76
2022-02-16 01:00:00,0.094,85
2022-02-17 01:00:00,0.102,71
2022-02-18 01:00:00,0.096,70
2022-02-19 01:00:00,0.104,71
2022-02-20 01:00:00,0.108,83
2022-02-21 01:00:00,0.101,71
2022-02-22 01:00:00,0.096,100
2022-02-23 01:00:00,0.094,72
2022-02-24 01:00:00,0.096,66
2022-02-25 01:00:00,0.098,78
2022-02-26 01:00:00,0.091,87
2022-02-27 01:00:00,0.105,99
2022-02-28 01:00:00,0.12,50
2022-03-01 01:00:00,0.11,43
2022-03-02 01:00:00,0.111,88
2022-03-03 01:00:00,0.122,46
2022-03-04 01:00:00,0.097,95
2022-03-05 01:00:00,0.104,71
2022-03-06 01:00:00,0.1,78
2022-03-07 01:00:00,0.097,95
2022-03-08 01:00:00,0.085,71
2022-03-09 01:00:00,0.088,61
2022-03-10 01:00:00,0.09,67
2022-03-11 01:00:00,0.144,70
2022-03-12 01:00:00,0.099,101
2022-03-13 01:00:00,0.101,91
2022-03-14 01:00:00,0.098,75
2022-03-15 01:00:00,0.108,72
2022-03-16 01:00:00,0.105,65
2022-03-17 01:00:00,0.103,57
2022-03-18 01:00:00,0.11,53
2022-03-19 01:00:00,0.105,56
2022-03-20 01:00:00,0.105,63
2022-03-21 01:00:00,0.107,75
2022-03-22 01:00:00,0.109,60
2022-03-23 01:00:00,0.115,58
2022-03-24 01:00:00,0.106,60
2022-03-25 01:00:00,0.114,64
2022-03-26 01:00:00,0.135,99
2022-03-27 01:00:00,0.135,71
2022-03-28 01:00:00,0.124,68
2022-03-29 01:00:00,0.11,49
2022-03-30 01:00:00,0.114,60
2022-03-31 01:00:00,0.112,63
2022-04-01 01:00:00,0.11,73
2022-04-02 01:00:00,0.109,52
2022-04-03 01:00:00,0.108,63
2022-04-04 01:00:00,0.1,53
2022-04-05 01:00:00,0.111,65
2022-04-06 01:00:00,0.106,62
2022-04-07 01:00:00,0.106,40
2022-04-08 01:00:00,0.117,106
2022-04-09 01:00:00,0.111,61
2022-04-10 01:00:00,0.112,71
2022-04-11 01:00:00,0.118,102
2022-04-12 01:00:00,0.138,69
2022-04-13 01:00:00,0.118,124
2022-04-14 01:00:00,0.128,52
2022-04-15 01:00:00,0.147,92
2022-04-16 01:00:00,0.146,83
2022-04-17 01:00:00,0.175,31
2022-04-18 01:00:00,0.145,118
2022-04-19 01:00:00,0.155,62
2022-04-20 01:00:00,0.16,74
2022-04-21 01:00:00,0.148,66
2022-04-22 01:00:00,0.145,70
2022-04-23 01:00:00,0.143,30
2022-04-24 01:00:00,0.116,57
2022-04-25 01:00:00,0.11,41
2022-04-26 01:00:00,0.109,61
2022-04-27 01:00:00,0.109,41
2022-04-28 01:00:00,0.105,71
2022-04-29 01:00:00,0.1,42
2022-04-30 01:00:00,0.094,86
2022-05-01 01:00:00,0.094,114
2022-05-02 01:00:00,0.142,76
2022-05-03 01:00:00,0.105,77
2022-05-04 01:00:00,0.09,64
2022-05-05 01:00:00,0.074,104
2022-05-06 01:00:00,0.074,63
2022-05-07 01:00:00,0.073,149
2022-05-08 01:00:00,0.074,86
2022-05-09 01:00:00,0.075,76
2022-05-10 01:00:00,0.074,95
2022-05-11 01:00:00,0.07,73
2022-05-12 01:00:00,0.07,62
2022-05-13 01:00:00,0.068,111
2022-05-14 01:00:00,0.064,113
2022-05-15 01:00:00,0.065,118
2022-05-16 01:00:00,0.066,79
2022-05-17 01:00:00,0.062,115
2022-05-18 01:00:00,0.064,155
2022-05-19 01:00:00,0.068,167
2022-05-20 01:00:00,0.065,200
2022-05-21 01:00:00,0.058,144
2022-05-22 01:00:00,0.059,124
2022-05-23 01:00:00,0.05,154
2022-05-24 01:00:00,0.052,128
2022-05-25 01:00:00,0.051,122
2022-05-26 01:00:00,0.057,110
2022-05-27 01:00:00,0.059,95
2022-05-28 01:00:00,0.058,136
2022-05-29 01:00:00,0.06,116
2022-05-30 01:00:00,0.058,86
2022-05-31 01:00:00,0.056,86
2022-06-01 01:00:00,0.056,94
2022-06-02 01:00:00,0.056,100
2022-06-03 01:00:00,0.05,154
2022-06-04 01:00:00,0.049,105
2022-06-05 01:00:00,0.054,135
2022-06-06 01:00:00,0.141,120
2022-06-07 01:00:00,0.052,118
2022-06-08 01:00:00,0.052,65
2022-06-09 01:00:00,0.054,77
2022-06-10 01:00:00,0.051,132
2022-06-11 01:00:00,0.052,102
2022-06-12 01:00:00,0.054,98
2022-06-13 01:00:00,0.052,91
2022-06-14 01:00:00,0.053,66
2022-06-15 01:00:00,0.056,79
2022-06-16 01:00:00,0.052,93
2022-06-17 01:00:00,0.056,94
2022-06-18 01:00:00,0.054,75
2022-06-19 01:00:00,0.053,105
2022-06-20 01:00:00,0.051,76
2022-06-21 01:00:00,0.071,228
2022-06-22 01:00:00,0.074,74
2022-06-23 01:00:00,0.062,70
2022-06-24 01:00:00,0.053,75
2022-06-25 01:00:00,0.052,90
2022-06-26 01:00:00,0.052,69
2022-06-27 01:00:00,0.052,74
2022-06-28 01:00:00,0.052,67
2022-06-29 01:00:00,0.055,88
2022-06-30 01:00:00,0.054,66
2022-07-01 01:00:00,0.052,62
2022-07-02 01:00:00,0.05,89
2022-07-03 01:00:00,0.048,78
2022-07-04 01:00:00,0.048,72
2022-07-05 01:00:00,0.047,86
2022-07-06 01:00:00,0.046,77
2022-07-07 01:00:00,0.057,145
2022-07-08 01:00:00,0.063,208
2022-07-09 01:00:00,0.06,68
2022-07-10 01:00:00,0.062,59
2022-07-11 01:00:00,0.056,35
2022-07-12 01:00:00,0.056,76
2022-07-13 01:00:00,0.062,88
2022-07-14 01:00:00,0.062,54
2022-07-15 01:00:00,0.054,82
2022-07-16 01:00:00,0.061,68
2022-07-17 01:00:00,0.061,188
2022-07-18 01:00:00,0.065,87
2022-07-19 01:00:00,1.238,47
2022-07-20 01:00:00,0.067,62
2022-07-21 01:00:00,0.066,83
2022-07-22 01:00:00,0.063,71
2022-07-23 01:00:00,0.065,84
2022-07-24 01:00:00,0.06,61
2022-07-25 01:00:00,0.094,61
2022-07-26 01:00:00,0.067,56
2022-07-27 01:00:00,0.057,63
2022-07-28 01:00:00,0.062,48
2022-07-29 01:00:00,0.06,61
2022-07-30 01:00:00,0.063,54
2022-07-31 01:00:00,0.062,59
2022-08-01 01:00:00,0.068,87
2022-08-02 01:00:00,0.073,47
2022-08-03 01:00:00,0.07,69
2022-08-04 01:00:00,0.065,47
2022-08-05 01:00:00,0.067,54
2022-08-06 01:00:00,0.063,60
2022-08-07 01:00:00,0.071,68
2022-08-08 01:00:00,0.069,52
2022-08-09 01:00:00,0.073,29
2022-08-10 01:00:00,0.069,66
2022-08-11 01:00:00,0.067,43
2022-08-12 01:00:00,0.07,50
2022-08-13 01:00:00,0.068,57
2022-08-14 01:00:00,0.069,65
2022-08-15 01:00:00,0.07,56
2022-08-16 01:00:00,0.071,47
2022-08-17 01:00:00,0.072,55
2022-08-18 01:00:00,0.067,52
2022-08-19 01:00:00,0.067,56
2022-08-20 01:00:00,0.066,58
2022-08-21 01:00:00,0.067,57
2022-08-22 01:00:00,0.07,50
2022-08-23 01:00:00,0.068,51
2022-08-24 01:00:00,0.062,54
2022-08-25 01:00:00,0.065,52
2022-08-26 01:00:00,0.063,47
2022-08-27 01:00:00,0.067,85
2022-08-28 01:00:00,0.067,64
2022-08-29 01:00:00,0.068,72
2022-08-30 01:00:00,0.065,66
2022-08-31 01:00:00,0.069,60
2022-09-01 01:00:00,0.066,64
2022-09-02 01:00:00,0.068,56
