date,price,volume
2021-10-27 01:00:00,0.03,3
2021-10-28 01:00:00,0.03,74
2021-10-29 01:00:00,0.031,80
2021-10-30 01:00:00,0.039,66
2021-10-31 01:00:00,0.038,56
2021-11-01 01:00:00,0.037,34
2021-11-02 01:00:00,0.051,46
2021-11-03 01:00:00,0.047,30
2021-11-04 01:00:00,0.043,36
2021-11-05 01:00:00,0.04,79
2021-11-06 01:00:00,0.036,91
2021-11-07 01:00:00,0.034,91
2021-11-08 01:00:00,0.175,114
2021-11-09 01:00:00,0.031,65
2021-11-10 01:00:00,0.03,78
2021-11-11 01:00:00,0.03,86
2021-11-12 01:00:00,0.03,111
2021-11-13 01:00:00,0.03,91
2021-11-14 01:00:00,0.03,63
2021-11-15 01:00:00,0.033,59
2021-11-16 01:00:00,0.033,83
2021-11-17 01:00:00,0.03,100
2021-11-18 01:00:00,0.03,44
2021-11-19 01:00:00,0.03,49
2021-11-20 01:00:00,0.03,70
2021-11-21 01:00:00,0.03,67
2021-11-22 01:00:00,0.03,40
2021-11-23 01:00:00,0.03,36
2021-11-24 01:00:00,0.03,34
2021-11-25 01:00:00,0.03,76
2021-11-26 01:00:00,0.03,54
2021-11-27 01:00:00,0.288,78
2021-11-28 01:00:00,0.03,66
2021-11-29 01:00:00,0.03,34
2021-11-30 01:00:00,1.814,65
2021-12-01 01:00:00,0.03,50
2021-12-02 01:00:00,0.03,65
2021-12-03 01:00:00,0.03,70
2021-12-04 01:00:00,0.03,42
2021-12-05 01:00:00,0.03,45
2021-12-06 01:00:00,0.03,85
2021-12-07 01:00:00,0.03,51
2021-12-08 01:00:00,0.03,41
2021-12-09 01:00:00,0.03,30
2021-12-10 01:00:00,0.03,46
2021-12-11 01:00:00,0.03,44
2021-12-12 01:00:00,0.03,62
2021-12-13 01:00:00,0.03,55
2021-12-14 01:00:00,0.03,32
2021-12-15 01:00:00,0.03,80
2021-12-16 01:00:00,0.03,46
2021-12-17 01:00:00,0.03,47
2021-12-18 01:00:00,0.03,39
2021-12-19 01:00:00,0.03,25
2021-12-20 01:00:00,0.03,33
2021-12-21 01:00:00,0.03,30
2021-12-22 01:00:00,0.03,44
2021-12-23 01:00:00,0.03,24
2021-12-24 01:00:00,0.03,28
2021-12-25 01:00:00,0.114,19
2021-12-26 01:00:00,12.912,54
2021-12-27 01:00:00,0.03,37
2021-12-28 01:00:00,0.03,48
2021-12-29 01:00:00,0.03,41
2021-12-30 01:00:00,0.086,27
2021-12-31 01:00:00,0.03,26
2022-01-01 01:00:00,0.107,31
2022-01-02 01:00:00,1.426,24
2022-01-03 01:00:00,0.03,31
2022-01-04 01:00:00,0.03,63
2022-01-05 01:00:00,0.03,186
2022-01-06 01:00:00,0.036,72
2022-01-07 01:00:00,0.072,30
2022-01-08 01:00:00,0.035,27
2022-01-09 01:00:00,0.032,35
2022-01-10 01:00:00,0.03,30
2022-01-11 01:00:00,0.066,26
2022-01-12 01:00:00,0.03,30
2022-01-13 01:00:00,0.109,23
2022-01-14 01:00:00,0.03,39
2022-01-15 01:00:00,0.03,71
2022-01-16 01:00:00,0.03,63
2022-01-17 01:00:00,0.03,23
2022-01-18 01:00:00,0.032,33
2022-01-19 01:00:00,0.032,28
2022-01-20 01:00:00,0.037,58
2022-01-21 01:00:00,0.036,39
2022-01-22 01:00:00,0.034,43
2022-01-23 01:00:00,1.19,47
2022-01-24 01:00:00,0.03,35
