date,price,volume
2021-10-27 01:00:00,0.155,63
2021-10-28 01:00:00,0.132,61
2021-10-29 01:00:00,0.152,55
2021-10-30 01:00:00,0.146,55
2021-10-31 01:00:00,0.161,46
2021-11-01 01:00:00,0.205,36
2021-11-02 01:00:00,0.15,46
2021-11-03 01:00:00,0.156,40
2021-11-04 01:00:00,0.19,47
2021-11-05 01:00:00,0.204,28
2021-11-06 01:00:00,0.211,46
2021-11-07 01:00:00,0.198,29
2021-11-08 01:00:00,0.16,74
2021-11-09 01:00:00,0.162,34
2021-11-10 01:00:00,0.149,50
2021-11-11 01:00:00,0.154,34
2021-11-12 01:00:00,0.154,24
2021-11-13 01:00:00,0.156,36
2021-11-14 01:00:00,0.175,22
2021-11-15 01:00:00,0.179,27
2021-11-16 01:00:00,0.173,23
2021-11-17 01:00:00,0.191,18
2021-11-18 01:00:00,0.198,14
2021-11-19 01:00:00,0.182,27
2021-11-20 01:00:00,0.193,31
2021-11-21 01:00:00,0.212,25
2021-11-22 01:00:00,0.214,18
2021-11-23 01:00:00,0.183,20
2021-11-24 01:00:00,0.188,26
2021-11-25 01:00:00,0.183,18
2021-11-26 01:00:00,0.183,15
2021-11-27 01:00:00,0.177,28
2021-11-28 01:00:00,0.18,21
2021-11-29 01:00:00,0.179,21
2021-11-30 01:00:00,0.334,46
2021-12-01 01:00:00,0.176,20
2021-12-02 01:00:00,0.162,23
2021-12-03 01:00:00,0.173,18
2021-12-04 01:00:00,0.194,24
2021-12-05 01:00:00,0.189,18
2021-12-06 01:00:00,0.19,11
2021-12-07 01:00:00,0.185,19
2021-12-08 01:00:00,0.209,17
2021-12-09 01:00:00,0.198,17
2021-12-10 01:00:00,0.218,17
2021-12-11 01:00:00,0.178,34
2021-12-12 01:00:00,0.182,18
2021-12-13 01:00:00,0.189,12
2021-12-14 01:00:00,0.2,15
2021-12-15 01:00:00,0.194,12
2021-12-16 01:00:00,0.191,24
2021-12-17 01:00:00,0.189,16
2021-12-18 01:00:00,0.196,18
2021-12-19 01:00:00,0.184,12
2021-12-20 01:00:00,0.208,16
2021-12-21 01:00:00,0.202,17
2021-12-22 01:00:00,0.216,27
2021-12-23 01:00:00,0.245,14
2021-12-24 01:00:00,0.214,9
2021-12-25 01:00:00,0.237,12
2021-12-26 01:00:00,0.239,11
2021-12-27 01:00:00,0.249,7
2021-12-28 01:00:00,0.193,14
2021-12-29 01:00:00,0.206,21
2021-12-30 01:00:00,0.209,49
2021-12-31 01:00:00,0.509,2
2022-01-01 01:00:00,0.335,10
2022-01-02 01:00:00,0.248,10
2022-01-03 01:00:00,0.243,9
2022-01-04 01:00:00,0.246,22
2022-01-05 01:00:00,0.219,24
2022-01-06 01:00:00,0.216,20
2022-01-07 01:00:00,0.2,20
2022-01-08 01:00:00,0.195,19
2022-01-09 01:00:00,0.209,15
2022-01-10 01:00:00,0.201,23
2022-01-11 01:00:00,0.214,14
2022-01-12 01:00:00,0.199,17
2022-01-13 01:00:00,0.189,19
2022-01-14 01:00:00,0.2,18
2022-01-15 01:00:00,0.196,17
2022-01-16 01:00:00,0.214,16
2022-01-17 01:00:00,0.226,22
2022-01-18 01:00:00,0.218,21
2022-01-19 01:00:00,0.205,39
2022-01-20 01:00:00,0.223,12
2022-01-21 01:00:00,0.219,27
2022-01-22 01:00:00,0.207,22
2022-01-23 01:00:00,0.225,16
2022-01-24 01:00:00,0.21,17
2022-01-25 01:00:00,0.208,18
2022-01-26 01:00:00,0.187,11
2022-01-27 01:00:00,0.216,10
2022-01-28 01:00:00,0.222,17
2022-01-29 01:00:00,0.208,22
2022-01-30 01:00:00,0.209,14
2022-01-31 01:00:00,0.204,12
2022-02-01 01:00:00,0.213,18
2022-02-02 01:00:00,0.212,22
2022-02-03 01:00:00,0.204,15
2022-02-04 01:00:00,0.211,22
2022-02-05 01:00:00,0.226,12
2022-02-06 01:00:00,0.222,23
2022-02-07 01:00:00,1.973,31
2022-02-08 01:00:00,0.281,27
2022-02-09 01:00:00,0.313,5
