date,price,volume
2014-08-14 01:00:00,0.746,7
2014-08-15 01:00:00,0.392,34
2014-08-16 01:00:00,0.381,12
2014-08-17 01:00:00,8.452,22
2014-08-18 01:00:00,0.25,2
2014-08-19 01:00:00,0.304,8
2014-08-20 01:00:00,0.316,6
2014-08-21 01:00:00,0.298,5
2014-08-22 01:00:00,0.283,6
2014-08-23 01:00:00,0.326,6
2014-08-24 01:00:00,0.304,14
2014-08-25 01:00:00,0.312,4
2014-08-26 01:00:00,0.3,6
2014-08-27 01:00:00,0.386,8
2014-08-28 01:00:00,0.412,2
2014-08-29 01:00:00,0.333,8
2014-08-30 01:00:00,0.298,8
2014-08-31 01:00:00,0.311,3
2014-09-01 01:00:00,0.332,8
2014-09-02 01:00:00,0.378,2
2014-09-03 01:00:00,0.499,13
2014-09-04 01:00:00,0.447,5
2014-09-05 01:00:00,0.461,1
2014-09-06 01:00:00,0.463,2
2014-09-07 01:00:00,0.369,3
2014-09-08 01:00:00,0.365,3
2014-09-09 01:00:00,0.401,7
2014-09-10 01:00:00,0.336,2
2014-09-11 01:00:00,0.338,3
2014-09-12 01:00:00,0.255,5
2014-09-13 01:00:00,0.271,5
2014-09-14 01:00:00,0.326,6
2014-09-15 01:00:00,0.308,4
2014-09-16 01:00:00,0.294,3
2014-09-17 01:00:00,0.28,4
2014-09-18 01:00:00,0.378,7
2014-09-19 01:00:00,0.327,2
2014-09-20 01:00:00,0.47,1
2014-09-21 01:00:00,0.354,5
2014-09-22 01:00:00,0.265,7
2014-09-23 01:00:00,0.254,4
2014-09-24 01:00:00,0.308,7
2014-09-25 01:00:00,0.343,2
2014-09-26 01:00:00,0.336,4
2014-09-27 01:00:00,0.321,5
2014-09-28 01:00:00,0.254,4
2014-09-29 01:00:00,0.343,2
2014-09-30 01:00:00,0.328,4
2014-10-01 01:00:00,0.385,6
2014-10-02 01:00:00,0.341,4
2014-10-03 01:00:00,0.358,6
2014-10-04 01:00:00,0.378,5
2014-10-05 01:00:00,0.365,5
2014-10-06 01:00:00,0.378,8
2014-10-07 01:00:00,0.406,6
2014-10-08 01:00:00,0.376,4
2014-10-09 01:00:00,0.434,7
2014-10-10 01:00:00,0.432,1
2014-10-11 01:00:00,0.455,6
2014-10-12 01:00:00,0.572,7
2014-10-13 01:00:00,1.023,1
2014-10-14 01:00:00,0.544,3
2014-10-15 01:00:00,0.492,5
2014-10-16 01:00:00,0.531,1
2014-10-17 01:00:00,0.564,2
2014-10-18 01:00:00,0.513,7
2014-10-19 01:00:00,0.376,4
2014-10-20 01:00:00,0.346,10
2014-10-21 01:00:00,0.361,6
2014-10-22 01:00:00,0.437,5
2014-10-23 01:00:00,0.467,4
2014-10-24 01:00:00,0.387,7
2014-10-25 01:00:00,0.391,5
2014-10-26 01:00:00,0.418,9
2014-10-27 01:00:00,0.451,6
2014-10-28 01:00:00,0.562,1
2014-10-29 01:00:00,0.552,5
2014-10-30 01:00:00,0.419,3
2014-10-31 01:00:00,0.456,6
2014-11-01 01:00:00,0.445,6
2014-11-02 01:00:00,0.477,2
2014-11-03 01:00:00,0.358,4
2014-11-04 01:00:00,0.427,6
2014-11-05 01:00:00,0.404,5
2014-11-06 01:00:00,0.365,4
2014-11-07 01:00:00,0.45,6
2014-11-08 01:00:00,0.464,5
2014-11-09 01:00:00,0.538,2
2014-11-10 01:00:00,0.47,3
2014-11-11 01:00:00,0.597,2
2014-11-12 01:00:00,0.318,2
2014-11-13 01:00:00,0.3,6
2014-11-14 01:00:00,0.323,9
2014-11-15 01:00:00,0.306,6
2014-11-16 01:00:00,0.563,5
2014-11-17 01:00:00,0.418,5
2014-11-18 01:00:00,0.38,3
2014-11-19 01:00:00,0.406,8
2014-11-20 01:00:00,0.338,2
2014-11-21 01:00:00,0.428,3
2014-11-22 01:00:00,0.44,5
2014-11-23 01:00:00,0.351,3
2014-11-24 01:00:00,0.305,2
2014-11-25 01:00:00,0.439,1
2014-11-26 01:00:00,0.4,1
2014-11-27 01:00:00,0.319,9
2014-11-28 01:00:00,0.255,34
2014-11-29 01:00:00,0.44,6
2014-11-30 01:00:00,0.219,43
2014-12-01 01:00:00,0.2,31
2014-12-02 01:00:00,0.237,31
2014-12-03 01:00:00,0.332,12
2014-12-04 01:00:00,0.28,15
2014-12-05 01:00:00,0.267,28
2014-12-06 01:00:00,0.277,34
2014-12-07 01:00:00,0.316,17
2014-12-08 01:00:00,0.31,10
2014-12-09 01:00:00,0.351,6
2014-12-10 01:00:00,0.304,11
2014-12-11 01:00:00,0.328,11
2014-12-12 01:00:00,0.299,11
2014-12-13 01:00:00,0.276,18
2014-12-14 01:00:00,0.286,13
2014-12-15 01:00:00,0.263,8
2014-12-16 01:00:00,0.284,10
2014-12-17 01:00:00,0.254,13
2014-12-18 01:00:00,0.34,13
2014-12-19 01:00:00,0.274,14
2014-12-20 01:00:00,0.286,17
2014-12-21 01:00:00,0.283,14
2014-12-22 01:00:00,0.275,12
2014-12-23 01:00:00,0.238,18
2014-12-24 01:00:00,0.309,10
2014-12-25 01:00:00,0.285,13
2014-12-26 01:00:00,0.274,21
2014-12-27 01:00:00,0.288,18
2014-12-28 01:00:00,0.33,16
2014-12-29 01:00:00,0.339,22
2014-12-30 01:00:00,0.361,20
2014-12-31 01:00:00,0.324,32
2015-01-01 01:00:00,0.355,17
2015-01-02 01:00:00,0.33,26
2015-01-03 01:00:00,0.368,19
2015-01-04 01:00:00,0.36,13
2015-01-05 01:00:00,0.415,17
2015-01-06 01:00:00,0.322,10
2015-01-07 01:00:00,0.435,17
2015-01-08 01:00:00,0.349,17
2015-01-09 01:00:00,0.336,22
2015-01-10 01:00:00,0.379,20
2015-01-11 01:00:00,0.377,23
2015-01-12 01:00:00,0.354,21
2015-01-13 01:00:00,5.761,16
2015-01-14 01:00:00,0.386,19
2015-01-15 01:00:00,1.961,31
2015-01-16 01:00:00,0.399,23
2015-01-17 01:00:00,0.393,28
2015-01-18 01:00:00,3.207,22
2015-01-19 01:00:00,5.353,28
2015-01-20 01:00:00,0.505,11
2015-01-21 01:00:00,2.116,16
2015-01-22 01:00:00,0.601,14
2015-01-23 01:00:00,0.676,5
2015-01-24 01:00:00,0.607,14
2015-01-25 01:00:00,0.502,13
