date,price,volume
2024-10-10 01:00:00,14.234,18
2024-10-11 01:00:00,6.458,32
2024-10-12 01:00:00,5.184,35
2024-10-13 01:00:00,4.911,53
2024-10-14 01:00:00,4.979,52
2024-10-15 01:00:00,5.422,39
2024-10-16 01:00:00,5.014,41
2024-10-17 01:00:00,5.352,28
2024-10-18 01:00:00,5.288,32
2024-10-19 01:00:00,4.29,60
2024-10-20 01:00:00,3.484,93
2024-10-21 01:00:00,2.744,75
2024-10-22 01:00:00,2.598,84
2024-10-23 01:00:00,2.532,71
2024-10-24 01:00:00,2.664,36
2024-10-25 01:00:00,2.101,63
2024-10-26 01:00:00,2.089,54
2024-10-27 01:00:00,2.176,50
2024-10-28 01:00:00,1.998,58
2024-10-29 01:00:00,2.033,59
2024-10-30 01:00:00,2.181,55
2024-10-31 01:00:00,2.277,63
2024-11-01 01:00:00,2.335,58
2024-11-02 01:00:00,2.269,42
2024-11-03 01:00:00,2.364,55
2024-11-04 01:00:00,2.667,55
2024-11-05 01:00:00,2.577,45
2024-11-06 01:00:00,2.541,44
2024-11-07 01:00:00,2.645,48
2024-11-08 01:00:00,2.751,72
2024-11-09 01:00:00,2.912,48
2024-11-10 01:00:00,2.892,48
2024-11-11 01:00:00,2.962,45
2024-11-12 01:00:00,2.941,32
2024-11-13 03:00:00,3.131,1
2024-11-13 05:00:00,3.137,1
2024-11-13 09:00:00,3.184,9
2024-11-13 10:00:00,2.699,2
2024-11-13 11:00:00,3.095,2
2024-11-13 14:00:00,2.943,4
2024-11-13 15:00:00,2.84,2
2024-11-13 16:00:00,2.92,8
2024-11-13 17:00:00,2.9,3
2024-11-13 18:00:00,2.993,3
2024-11-13 19:00:00,2.67,4
2024-11-13 20:00:00,2.6,3
2024-11-13 21:00:00,2.702,3
2024-11-13 22:00:00,3.009,4
2024-11-13 23:00:00,2.92,3
2024-11-14 00:00:00,2.72,1
2024-11-14 01:00:00,2.712,2
2024-11-14 04:00:00,2.902,1
2024-11-14 06:00:00,2.596,2
2024-11-14 07:00:00,2.811,2
2024-11-14 08:00:00,2.91,1
2024-11-14 09:00:00,2.956,2
2024-11-14 10:00:00,2.925,2
2024-11-14 11:00:00,2.8,2
2024-11-14 12:00:00,2.7,1
2024-11-14 13:00:00,2.74,2
2024-11-14 15:00:00,2.805,2
2024-11-14 16:00:00,2.885,2
2024-11-14 17:00:00,2.807,2
2024-11-14 19:00:00,2.749,3
2024-11-14 21:00:00,2.866,7
2024-11-14 22:00:00,2.83,3
2024-11-14 23:00:00,2.73,1
2024-11-15 01:00:00,2.822,8
2024-11-15 02:00:00,2.96,3
2024-11-15 03:00:00,2.91,1
2024-11-15 04:00:00,2.953,2
2024-11-15 05:00:00,2.99,1
2024-11-15 06:00:00,2.88,1
2024-11-15 07:00:00,2.915,2
2024-11-15 09:00:00,3.002,1
2024-11-15 10:00:00,2.79,3
2024-11-15 11:00:00,2.843,3
2024-11-15 12:00:00,2.701,4
2024-11-15 13:00:00,2.9,1
2024-11-15 14:00:00,2.82,2
2024-11-15 16:00:00,2.72,2
2024-11-15 17:00:00,2.802,2
2024-11-15 18:00:00,2.862,2
2024-11-15 19:00:00,2.838,5
2024-11-15 20:00:00,2.829,4
2024-11-15 21:00:00,2.73,1
2024-11-15 22:00:00,2.939,3
2024-11-15 23:00:00,2.992,1
2024-11-16 00:00:00,2.95,3
2024-11-16 01:00:00,3.025,6
2024-11-16 02:00:00,3.284,1
2024-11-16 03:00:00,3.166,1
2024-11-16 04:00:00,3.33,1
2024-11-16 05:00:00,2.875,3
2024-11-16 07:00:00,3.265,5
2024-11-16 08:00:00,2.994,1
2024-11-16 09:00:00,3.285,4
2024-11-16 11:00:00,3.22,1
2024-11-16 13:00:00,2.98,3
2024-11-16 15:00:00,3.19,3
2024-11-16 17:00:00,2.96,1
2024-11-16 18:00:00,3.259,8
2024-11-16 19:00:00,3.343,1
2024-11-16 20:00:00,3.342,1
2024-11-16 22:00:00,3.34,1
2024-11-16 23:00:00,2.968,3
2024-11-17 01:00:00,2.842,2
2024-11-17 04:00:00,3.014,1
2024-11-17 05:00:00,3.11,1
2024-11-17 06:00:00,3.161,3
2024-11-17 07:00:00,3.31,3
2024-11-17 10:00:00,2.702,4
2024-11-17 12:00:00,3.133,4
2024-11-17 13:00:00,3.084,2
2024-11-17 14:00:00,3.3,9
2024-11-17 15:00:00,3.375,2
2024-11-17 17:00:00,3.17,1
2024-11-17 19:00:00,2.78,3
2024-11-17 20:00:00,3.12,3
2024-11-17 21:00:00,3.049,4
2024-11-17 22:00:00,2.942,2
2024-11-17 23:00:00,2.527,1
2024-11-18 00:00:00,3.098,4
2024-11-18 01:00:00,2.6,1
2024-11-18 02:00:00,3.09,2
2024-11-18 03:00:00,3.095,2
2024-11-18 05:00:00,3.06,2
2024-11-18 06:00:00,3.04,1
2024-11-18 07:00:00,3.13,1
2024-11-18 08:00:00,3.302,6
2024-11-18 09:00:00,3.62,1
2024-11-18 11:00:00,3.59,1
2024-11-18 12:00:00,2.85,1
2024-11-18 14:00:00,2.85,1
2024-11-18 16:00:00,2.762,4
2024-11-18 17:00:00,3.002,6
2024-11-18 18:00:00,3.13,3
2024-11-18 19:00:00,2.88,5
2024-11-18 20:00:00,3.13,3
2024-11-18 21:00:00,3.155,2
2024-11-18 23:00:00,3.1,1
2024-11-19 00:00:00,3.118,2
2024-11-19 02:00:00,2.61,2
2024-11-19 06:00:00,2.995,1
2024-11-19 08:00:00,3.04,1
2024-11-19 09:00:00,2.762,2
2024-11-19 10:00:00,3.042,4
2024-11-19 11:00:00,2.706,2
2024-11-19 12:00:00,3.05,1
2024-11-19 13:00:00,2.92,2
2024-11-19 15:00:00,3.007,2
2024-11-19 16:00:00,3.06,2
2024-11-19 17:00:00,3.024,5
2024-11-19 18:00:00,3.06,2
2024-11-19 19:00:00,2.953,4
2024-11-19 20:00:00,3.105,2
2024-11-19 21:00:00,3.024,4
2024-11-19 22:00:00,3.076,2
2024-11-19 23:00:00,3.07,1
2024-11-20 00:00:00,3.0,3
2024-11-20 01:00:00,3.116,6
2024-11-20 02:00:00,3.17,1
2024-11-20 06:00:00,3.328,2
2024-11-20 08:00:00,2.934,4
2024-11-20 10:00:00,3.039,2
2024-11-20 11:00:00,2.8,1
2024-11-20 12:00:00,3.041,6
2024-11-20 13:00:00,3.043,4
2024-11-20 14:00:00,3.058,1
2024-11-20 15:00:00,3.03,9
2024-11-20 16:00:00,3.06,1
2024-11-20 17:00:00,3.03,3
2024-11-20 18:00:00,3.06,1
