date,price,volume
2017-09-15 01:00:00,11.145,74
2017-09-16 01:00:00,8.909,83
2017-09-17 01:00:00,8.214,83
2017-09-18 01:00:00,7.496,64
2017-09-19 01:00:00,6.882,63
2017-09-20 01:00:00,7.253,53
2017-09-21 01:00:00,7.507,44
2017-09-22 01:00:00,7.369,52
2017-09-23 01:00:00,6.859,68
2017-09-24 01:00:00,6.243,67
2017-09-25 01:00:00,6.683,69
2017-09-26 01:00:00,6.129,60
2017-09-27 01:00:00,5.681,70
2017-09-28 01:00:00,5.571,56
2017-09-29 01:00:00,5.821,61
2017-09-30 01:00:00,5.821,70
2017-10-01 01:00:00,5.141,69
2017-10-02 01:00:00,5.076,64
2017-10-03 01:00:00,4.933,55
2017-10-04 01:00:00,4.66,64
2017-10-05 01:00:00,4.45,51
2017-10-06 01:00:00,4.867,69
2017-10-07 01:00:00,4.93,82
2017-10-08 01:00:00,4.84,56
2017-10-09 01:00:00,4.527,66
2017-10-10 01:00:00,4.867,56
2017-10-11 01:00:00,4.658,66
2017-10-12 01:00:00,4.849,67
2017-10-13 01:00:00,4.596,60
2017-10-14 01:00:00,4.283,66
2017-10-15 01:00:00,4.318,81
2017-10-16 01:00:00,4.367,65
2017-10-17 01:00:00,4.423,59
2017-10-18 01:00:00,4.205,57
2017-10-19 01:00:00,3.826,58
2017-10-20 01:00:00,3.758,79
2017-10-21 01:00:00,4.069,69
2017-10-22 01:00:00,3.825,76
2017-10-23 01:00:00,3.701,70
2017-10-24 01:00:00,3.731,55
2017-10-25 01:00:00,3.711,63
2017-10-26 01:00:00,3.841,70
2017-10-27 01:00:00,3.718,75
2017-10-28 01:00:00,3.655,73
2017-10-29 01:00:00,3.407,88
2017-10-30 01:00:00,3.502,70
2017-10-31 01:00:00,3.489,61
2017-11-01 01:00:00,3.599,57
2017-11-02 01:00:00,3.573,60
2017-11-03 01:00:00,3.544,68
2017-11-04 01:00:00,3.524,89
2017-11-05 01:00:00,3.749,77
2017-11-06 01:00:00,3.905,63
2017-11-07 01:00:00,3.602,63
2017-11-08 01:00:00,3.397,52
2017-11-09 01:00:00,3.503,48
2017-11-10 01:00:00,3.674,63
2017-11-11 01:00:00,3.79,66
2017-11-12 01:00:00,3.478,64
2017-11-13 01:00:00,3.712,55
2017-11-14 01:00:00,3.704,51
2017-11-15 01:00:00,3.459,67
2017-11-16 01:00:00,3.624,57
2017-11-17 01:00:00,3.319,55
2017-11-18 01:00:00,3.245,74
2017-11-19 01:00:00,3.371,69
2017-11-20 01:00:00,3.345,51
2017-11-21 01:00:00,3.211,62
2017-11-22 01:00:00,3.055,53
2017-11-23 01:00:00,2.987,61
2017-11-24 01:00:00,3.02,69
2017-11-25 01:00:00,3.064,68
2017-11-26 01:00:00,3.298,65
2017-11-27 01:00:00,3.127,59
2017-11-28 01:00:00,3.061,56
2017-11-29 01:00:00,2.983,64
2017-11-30 01:00:00,3.114,64
2017-12-01 01:00:00,3.117,69
2017-12-02 01:00:00,3.097,79
2017-12-03 01:00:00,3.005,63
2017-12-04 01:00:00,3.164,84
2017-12-05 01:00:00,3.243,67
2017-12-06 01:00:00,3.237,57
2017-12-07 01:00:00,3.158,51
2017-12-08 01:00:00,3.096,71
2017-12-09 01:00:00,3.043,102
2017-12-10 01:00:00,3.181,69
2017-12-11 01:00:00,2.958,76
2017-12-12 01:00:00,3.19,61
2017-12-13 01:00:00,3.065,59
2017-12-14 01:00:00,2.96,63
2017-12-15 01:00:00,2.972,76
2017-12-16 01:00:00,3.199,78
2017-12-17 01:00:00,3.299,67
2017-12-18 01:00:00,3.181,66
2017-12-19 01:00:00,3.057,48
2017-12-20 01:00:00,2.938,56
2017-12-21 01:00:00,3.164,65
2017-12-22 01:00:00,2.797,77
2017-12-23 01:00:00,2.995,79
2017-12-24 01:00:00,2.951,82
2017-12-25 01:00:00,3.256,107
2017-12-26 01:00:00,3.174,107
2017-12-27 01:00:00,3.623,94
2017-12-28 01:00:00,3.447,94
2017-12-29 01:00:00,3.32,107
2017-12-30 01:00:00,3.299,87
2017-12-31 01:00:00,3.253,71
2018-01-01 01:00:00,3.043,87
2018-01-02 01:00:00,2.957,104
2018-01-03 01:00:00,3.079,105
2018-01-04 01:00:00,3.039,88
2018-01-05 01:00:00,3.113,93
2018-01-06 01:00:00,3.059,88
2018-01-07 01:00:00,3.216,91
2018-01-08 01:00:00,3.071,80
2018-01-09 01:00:00,3.19,80
2018-01-10 01:00:00,3.162,86
2018-01-11 01:00:00,3.013,100
2018-01-12 01:00:00,3.121,100
2018-01-13 01:00:00,3.169,126
2018-01-14 01:00:00,3.089,102
2018-01-15 01:00:00,3.074,111
2018-01-16 01:00:00,3.21,109
2018-01-17 01:00:00,3.2,93
2018-01-18 01:00:00,3.248,89
2018-01-19 01:00:00,3.23,81
