date,price,volume
2020-08-07 01:00:00,14.003,35
2020-08-08 01:00:00,10.943,52
2020-08-09 01:00:00,8.35,65
2020-08-10 01:00:00,6.027,50
2020-08-11 01:00:00,5.737,38
2020-08-12 01:00:00,5.829,31
2020-08-13 01:00:00,5.795,38
2020-08-14 01:00:00,6.507,23
2020-08-15 01:00:00,6.157,49
2020-08-16 01:00:00,6.373,27
2020-08-17 01:00:00,5.838,27
2020-08-18 01:00:00,5.423,43
2020-08-19 01:00:00,5.492,37
2020-08-20 01:00:00,5.644,42
2020-08-21 01:00:00,5.503,41
2020-08-22 01:00:00,5.602,38
2020-08-23 01:00:00,5.034,43
2020-08-24 01:00:00,5.0,37
2020-08-25 01:00:00,5.398,57
2020-08-26 01:00:00,5.35,41
2020-08-27 01:00:00,5.182,46
2020-08-28 01:00:00,4.6,44
2020-08-29 01:00:00,4.235,48
2020-08-30 01:00:00,4.033,35
2020-08-31 01:00:00,3.865,45
2020-09-01 01:00:00,3.444,28
2020-09-02 01:00:00,3.547,40
2020-09-03 01:00:00,3.569,40
2020-09-04 01:00:00,3.603,56
2020-09-05 01:00:00,3.67,37
2020-09-06 01:00:00,3.82,36
2020-09-07 01:00:00,3.762,49
2020-09-08 01:00:00,3.774,35
2020-09-09 01:00:00,3.739,33
2020-09-10 01:00:00,3.864,36
2020-09-11 01:00:00,3.8,45
2020-09-12 01:00:00,3.868,49
2020-09-13 01:00:00,3.65,45
2020-09-14 01:00:00,3.825,50
2020-09-15 01:00:00,3.947,41
2020-09-16 01:00:00,4.226,30
2020-09-17 01:00:00,4.224,39
2020-09-18 01:00:00,3.903,49
2020-09-19 01:00:00,3.927,40
2020-09-20 01:00:00,3.892,52
2020-09-21 01:00:00,3.76,44
2020-09-22 01:00:00,3.689,40
2020-09-23 01:00:00,3.741,43
2020-09-24 01:00:00,3.456,56
2020-09-25 01:00:00,3.516,47
2020-09-26 01:00:00,3.528,78
2020-09-27 01:00:00,3.534,54
2020-09-28 01:00:00,3.351,49
2020-09-29 01:00:00,3.427,47
2020-09-30 01:00:00,3.261,40
2020-10-01 01:00:00,3.141,54
2020-10-02 01:00:00,3.09,46
2020-10-03 01:00:00,3.072,53
2020-10-04 01:00:00,3.052,41
2020-10-05 01:00:00,2.94,60
2020-10-06 01:00:00,2.956,40
2020-10-07 01:00:00,3.046,43
2020-10-08 01:00:00,2.909,46
2020-10-09 01:00:00,3.02,57
2020-10-10 01:00:00,3.001,50
2020-10-11 01:00:00,2.99,62
2020-10-12 01:00:00,2.909,41
2020-10-13 01:00:00,3.071,39
2020-10-14 01:00:00,2.897,41
2020-10-15 01:00:00,2.888,38
2020-10-16 01:00:00,2.819,50
2020-10-17 01:00:00,2.88,46
2020-10-18 01:00:00,2.812,69
