date,price,volume
2016-06-16 01:00:00,1.709,62
2016-06-17 01:00:00,1.28,75
2016-06-18 01:00:00,1.004,43
2016-06-19 01:00:00,1.031,50
2016-06-20 01:00:00,0.81,64
2016-06-21 01:00:00,1.006,29
2016-06-22 01:00:00,0.78,40
2016-06-23 01:00:00,0.797,69
2016-06-24 01:00:00,0.741,29
2016-06-25 01:00:00,0.681,46
2016-06-26 01:00:00,0.558,39
2016-06-27 01:00:00,0.535,72
2016-06-28 01:00:00,0.562,50
2016-06-29 01:00:00,0.551,63
2016-06-30 01:00:00,0.554,33
2016-07-01 01:00:00,0.575,36
2016-07-02 01:00:00,0.564,36
2016-07-03 01:00:00,0.478,62
2016-07-04 01:00:00,0.496,68
2016-07-05 01:00:00,0.524,59
2016-07-06 01:00:00,0.508,59
2016-07-07 01:00:00,0.551,57
2016-07-08 01:00:00,0.54,69
2016-07-09 01:00:00,0.528,79
2016-07-10 01:00:00,0.485,47
2016-07-11 01:00:00,0.473,78
2016-07-12 01:00:00,0.479,69
2016-07-13 01:00:00,0.508,68
2016-07-14 01:00:00,0.551,39
2016-07-15 01:00:00,0.466,56
2016-07-16 01:00:00,0.521,67
2016-07-17 01:00:00,0.559,58
2016-07-18 01:00:00,0.526,48
2016-07-19 01:00:00,0.512,92
2016-07-20 01:00:00,0.463,47
2016-07-21 01:00:00,0.415,90
2016-07-22 01:00:00,0.463,49
2016-07-23 01:00:00,0.511,61
2016-07-24 01:00:00,0.467,63
2016-07-25 01:00:00,0.442,68
2016-07-26 01:00:00,0.435,69
2016-07-27 01:00:00,0.477,84
2016-07-28 01:00:00,0.513,45
2016-07-29 01:00:00,0.423,62
2016-07-30 01:00:00,0.422,87
2016-07-31 01:00:00,0.45,67
2016-08-01 01:00:00,0.416,94
2016-08-02 01:00:00,0.445,83
2016-08-03 01:00:00,0.441,74
2016-08-04 01:00:00,0.427,59
2016-08-05 01:00:00,0.395,64
2016-08-06 01:00:00,0.385,81
2016-08-07 01:00:00,0.405,86
2016-08-08 01:00:00,0.363,66
2016-08-09 01:00:00,0.383,82
2016-08-10 01:00:00,0.383,76
2016-08-11 01:00:00,0.345,52
2016-08-12 01:00:00,0.337,65
2016-08-13 01:00:00,0.348,83
2016-08-14 01:00:00,0.334,61
2016-08-15 01:00:00,0.326,65
2016-08-16 01:00:00,0.326,98
2016-08-17 01:00:00,0.335,84
2016-08-18 01:00:00,0.348,68
2016-08-19 01:00:00,0.323,72
2016-08-20 01:00:00,0.308,121
2016-08-21 01:00:00,0.31,132
2016-08-22 01:00:00,0.326,101
2016-08-23 01:00:00,0.32,103
2016-08-24 01:00:00,0.317,76
2016-08-25 01:00:00,0.308,105
2016-08-26 01:00:00,0.324,98
2016-08-27 01:00:00,0.314,79
2016-08-28 01:00:00,0.326,88
2016-08-29 01:00:00,0.353,106
2016-08-30 01:00:00,0.345,69
2016-08-31 01:00:00,0.321,88
2016-09-01 01:00:00,0.329,93
2016-09-02 01:00:00,0.31,71
2016-09-03 01:00:00,0.32,105
2016-09-04 01:00:00,0.308,102
2016-09-05 01:00:00,0.318,91
2016-09-06 01:00:00,0.311,48
2016-09-07 01:00:00,0.302,86
2016-09-08 01:00:00,0.301,97
2016-09-09 01:00:00,0.319,83
2016-09-10 01:00:00,0.291,68
2016-09-11 01:00:00,0.29,99
2016-09-12 01:00:00,0.298,113
2016-09-13 01:00:00,0.296,63
2016-09-14 01:00:00,0.279,70
2016-09-15 01:00:00,0.298,67
2016-09-16 01:00:00,0.294,67
2016-09-17 01:00:00,0.271,117
2016-09-18 01:00:00,0.263,112
2016-09-19 01:00:00,0.266,77
2016-09-20 01:00:00,0.264,82
2016-09-21 01:00:00,0.279,86
2016-09-22 01:00:00,0.286,70
2016-09-23 01:00:00,0.274,87
2016-09-24 01:00:00,0.281,107
2016-09-25 01:00:00,0.286,97
2016-09-26 01:00:00,0.293,76
2016-09-27 01:00:00,0.276,66
2016-09-28 01:00:00,0.271,56
2016-09-29 01:00:00,0.267,57
2016-09-30 01:00:00,0.244,86
2016-10-01 01:00:00,0.268,110
2016-10-02 01:00:00,0.273,83
2016-10-03 01:00:00,0.274,53
2016-10-04 01:00:00,0.265,72
2016-10-05 01:00:00,0.271,65
2016-10-06 01:00:00,0.259,70
2016-10-07 01:00:00,0.257,88
2016-10-08 01:00:00,0.25,114
2016-10-09 01:00:00,0.253,86
2016-10-10 01:00:00,0.25,91
2016-10-11 01:00:00,0.258,71
2016-10-12 01:00:00,0.261,60
2016-10-13 01:00:00,0.271,73
2016-10-14 01:00:00,0.262,73
2016-10-15 01:00:00,0.264,87
2016-10-16 01:00:00,0.252,85
2016-10-17 01:00:00,0.259,55
2016-10-18 01:00:00,0.252,71
2016-10-19 01:00:00,0.251,65
2016-10-20 01:00:00,0.25,46
2016-10-21 01:00:00,0.251,66
2016-10-22 01:00:00,0.254,64
2016-10-23 01:00:00,0.249,65
2016-10-24 01:00:00,0.239,98
2016-10-25 01:00:00,0.248,87
2016-10-26 01:00:00,0.246,73
