date,price,volume
2022-01-21 01:00:00,13.238,19
2022-01-22 01:00:00,14.994,14
2022-01-23 01:00:00,16.447,17
2022-01-24 01:00:00,14.264,15
2022-01-25 01:00:00,11.065,9
2022-01-26 01:00:00,11.062,10
2022-01-27 01:00:00,11.291,13
2022-01-28 01:00:00,9.047,19
2022-01-29 01:00:00,9.035,17
2022-01-30 01:00:00,8.8,10
2022-01-31 01:00:00,8.15,18
2022-02-01 01:00:00,7.605,11
2022-02-02 01:00:00,6.912,11
2022-02-03 01:00:00,6.954,17
2022-02-04 01:00:00,7.704,27
2022-02-05 01:00:00,8.421,16
2022-02-06 01:00:00,8.92,17
2022-02-07 01:00:00,8.604,10
2022-02-08 01:00:00,7.332,13
2022-02-09 01:00:00,8.883,17
2022-02-10 01:00:00,7.725,13
2022-02-11 01:00:00,7.448,13
2022-02-12 01:00:00,7.415,9
2022-02-13 01:00:00,7.353,20
2022-02-14 01:00:00,6.951,11
2022-02-15 01:00:00,7.057,13
2022-02-16 01:00:00,7.511,10
2022-02-17 01:00:00,6.723,10
2022-02-18 01:00:00,7.334,28
2022-02-19 01:00:00,8.172,21
2022-02-20 01:00:00,8.006,12
2022-02-21 01:00:00,8.323,10
2022-02-22 01:00:00,7.626,20
2022-02-23 01:00:00,8.168,8
2022-02-24 01:00:00,7.472,10
2022-02-25 01:00:00,6.794,8
2022-02-26 01:00:00,6.689,20
2022-02-27 01:00:00,6.694,17
2022-02-28 01:00:00,8.659,13
2022-03-01 01:00:00,7.127,8
2022-03-02 01:00:00,6.955,12
2022-03-03 01:00:00,7.014,12
2022-03-04 01:00:00,7.287,12
2022-03-05 01:00:00,7.367,9
2022-03-06 01:00:00,7.049,23
2022-03-07 01:00:00,7.239,19
2022-03-08 01:00:00,8.955,15
2022-03-09 01:00:00,6.138,7
2022-03-10 01:00:00,5.887,8
2022-03-11 01:00:00,5.972,14
2022-03-12 01:00:00,5.963,11
2022-03-13 01:00:00,6.111,20
2022-03-14 01:00:00,6.395,9
2022-03-15 01:00:00,7.208,14
2022-03-16 01:00:00,5.855,15
2022-03-17 01:00:00,5.692,19
2022-03-18 01:00:00,5.893,10
2022-03-19 01:00:00,5.889,11
2022-03-20 01:00:00,5.823,13
2022-03-21 01:00:00,6.789,6
2022-03-22 01:00:00,5.649,6
2022-03-23 01:00:00,5.588,13
2022-03-24 01:00:00,5.629,6
2022-03-25 01:00:00,5.557,11
2022-03-26 01:00:00,5.753,13
2022-03-27 01:00:00,5.235,14
2022-03-28 01:00:00,4.981,10
2022-03-29 01:00:00,5.33,10
2022-03-30 01:00:00,5.249,13
2022-03-31 01:00:00,5.253,15
2022-04-01 01:00:00,5.497,10
2022-04-02 01:00:00,5.315,15
2022-04-03 01:00:00,5.222,13
2022-04-04 01:00:00,5.018,12
2022-04-05 01:00:00,4.577,15
2022-04-06 01:00:00,4.633,13
2022-04-07 01:00:00,4.471,14
2022-04-08 01:00:00,4.597,16
2022-04-09 01:00:00,4.642,8
2022-04-10 01:00:00,4.425,10
2022-04-11 01:00:00,4.378,11
2022-04-12 01:00:00,4.589,12
2022-04-13 01:00:00,4.675,9
2022-04-14 01:00:00,4.593,11
2022-04-15 01:00:00,4.838,7
2022-04-16 01:00:00,4.545,7
2022-04-17 01:00:00,4.591,14
2022-04-18 01:00:00,4.653,5
2022-04-19 01:00:00,4.773,5
2022-04-20 01:00:00,4.803,16
2022-04-21 01:00:00,4.633,9
2022-04-22 01:00:00,4.706,14
2022-04-23 01:00:00,4.849,8
2022-04-24 01:00:00,4.835,11
2022-04-25 01:00:00,4.744,11
2022-04-26 01:00:00,5.041,14
2022-04-27 01:00:00,4.311,9
2022-04-28 01:00:00,5.033,7
2022-04-29 01:00:00,4.659,16
2022-04-30 01:00:00,4.257,10
2022-05-01 01:00:00,4.779,10
2022-05-02 01:00:00,4.638,20
2022-05-03 01:00:00,4.199,10
2022-05-04 01:00:00,4.069,13
2022-05-05 01:00:00,4.091,14
2022-05-06 01:00:00,3.947,10
2022-05-07 01:00:00,5.154,13
2022-05-08 01:00:00,4.084,13
2022-05-09 01:00:00,4.062,4
2022-05-10 01:00:00,3.954,12
2022-05-11 01:00:00,3.896,17
2022-05-12 01:00:00,4.056,16
2022-05-13 01:00:00,3.591,5
2022-05-14 01:00:00,3.631,15
2022-05-15 01:00:00,3.502,9
2022-05-16 01:00:00,3.51,19
2022-05-17 01:00:00,3.443,6
2022-05-18 01:00:00,3.29,11
2022-05-19 01:00:00,3.578,24
2022-05-20 01:00:00,3.81,11
2022-05-21 01:00:00,3.6,15
2022-05-22 01:00:00,3.346,14
2022-05-23 01:00:00,4.495,8
2022-05-24 01:00:00,4.049,11
2022-05-25 01:00:00,3.489,7
2022-05-26 01:00:00,3.58,17
2022-05-27 01:00:00,3.752,10
2022-05-28 01:00:00,3.291,11
2022-05-29 01:00:00,3.471,13
2022-05-30 01:00:00,3.488,16
2022-05-31 01:00:00,3.539,19
2022-06-01 01:00:00,3.486,11
2022-06-02 01:00:00,3.589,15
2022-06-03 01:00:00,4.481,13
2022-06-04 01:00:00,3.444,17
2022-06-05 01:00:00,3.627,21
2022-06-06 01:00:00,3.463,10
2022-06-07 01:00:00,3.218,13
2022-06-08 01:00:00,3.3,9
2022-06-09 01:00:00,3.384,11
2022-06-10 01:00:00,3.774,10
2022-06-11 01:00:00,3.443,17
2022-06-12 01:00:00,3.365,13
2022-06-13 01:00:00,3.662,17
2022-06-14 01:00:00,3.468,10
2022-06-15 01:00:00,4.797,13
2022-06-16 01:00:00,3.913,14
2022-06-17 01:00:00,3.648,19
2022-06-18 01:00:00,3.854,9
2022-06-19 01:00:00,3.65,10
2022-06-20 01:00:00,3.341,7
2022-06-21 01:00:00,3.681,16
2022-06-22 01:00:00,3.423,6
2022-06-23 01:00:00,3.421,14
2022-06-24 01:00:00,3.653,9
2022-06-25 01:00:00,3.518,9
2022-06-26 01:00:00,3.523,9
2022-06-27 01:00:00,3.274,11
2022-06-28 01:00:00,3.518,9
2022-06-29 01:00:00,3.434,17
2022-06-30 01:00:00,3.545,11
2022-07-01 01:00:00,3.421,8
2022-07-02 01:00:00,3.363,14
2022-07-03 01:00:00,3.31,14
2022-07-04 01:00:00,3.124,11
2022-07-05 01:00:00,3.371,21
2022-07-06 01:00:00,3.19,8
2022-07-07 01:00:00,3.213,15
2022-07-08 01:00:00,3.121,12
2022-07-09 01:00:00,3.123,9
2022-07-10 01:00:00,3.271,8
2022-07-11 01:00:00,3.156,17
2022-07-12 01:00:00,3.023,14
2022-07-13 01:00:00,2.688,5
2022-07-14 01:00:00,2.848,18
2022-07-15 01:00:00,3.11,10
2022-07-16 01:00:00,3.3,17
2022-07-17 01:00:00,2.908,13
2022-07-18 01:00:00,3.095,15
2022-07-19 01:00:00,3.164,9
2022-07-20 01:00:00,3.345,5
2022-07-21 01:00:00,3.181,16
2022-07-22 01:00:00,3.305,18
2022-07-23 01:00:00,3.654,10
2022-07-24 01:00:00,3.043,24
2022-07-25 01:00:00,3.252,5
2022-07-26 01:00:00,3.35,11
2022-07-27 01:00:00,3.277,19
2022-07-28 01:00:00,3.15,9
2022-07-29 01:00:00,3.134,11
2022-07-30 01:00:00,3.072,15
2022-07-31 01:00:00,3.133,16
2022-08-01 01:00:00,2.928,12
2022-08-02 01:00:00,3.067,13
2022-08-03 01:00:00,2.998,13
2022-08-04 01:00:00,2.925,19
2022-08-05 01:00:00,2.986,11
2022-08-06 01:00:00,2.474,11
2022-08-07 01:00:00,2.868,13
2022-08-08 01:00:00,2.96,15
2022-08-09 01:00:00,2.995,12
2022-08-10 01:00:00,3.261,20
2022-08-11 01:00:00,2.889,13
2022-08-12 01:00:00,2.848,9
2022-08-13 01:00:00,2.71,9
2022-08-14 01:00:00,2.954,11
2022-08-15 01:00:00,2.7,9
2022-08-16 01:00:00,2.767,14
2022-08-17 01:00:00,2.773,13
2022-08-18 01:00:00,2.775,18
2022-08-19 01:00:00,2.836,18
2022-08-20 01:00:00,2.787,12
2022-08-21 01:00:00,2.634,17
2022-08-22 01:00:00,2.684,20
2022-08-23 01:00:00,2.858,19
2022-08-24 01:00:00,2.768,17
2022-08-25 01:00:00,2.674,17
2022-08-26 01:00:00,2.657,9
2022-08-27 01:00:00,2.638,16
2022-08-28 01:00:00,2.646,22
2022-08-29 01:00:00,2.614,16
2022-08-30 01:00:00,2.549,15
2022-08-31 01:00:00,2.946,14
2022-09-01 01:00:00,2.884,16
2022-09-02 01:00:00,2.609,9
2022-09-03 01:00:00,2.57,20
2022-09-04 01:00:00,2.973,19
2022-09-05 01:00:00,2.867,18
2022-09-06 01:00:00,3.161,11
2022-09-07 01:00:00,2.773,16
2022-09-08 01:00:00,2.962,19
2022-09-09 01:00:00,2.658,20
2022-09-10 01:00:00,2.736,16
2022-09-11 01:00:00,2.67,20
2022-09-12 01:00:00,2.81,20
2022-09-13 01:00:00,2.566,13
2022-09-14 01:00:00,2.716,15
2022-09-15 01:00:00,2.749,10
2022-09-16 01:00:00,2.343,17
2022-09-17 01:00:00,2.566,20
2022-09-18 01:00:00,2.664,7
2022-09-19 01:00:00,2.724,13
2022-09-20 01:00:00,2.661,11
2022-09-21 01:00:00,2.604,15
2022-09-22 01:00:00,2.668,15
2022-09-23 01:00:00,2.629,14
2022-09-24 01:00:00,2.634,13
2022-09-25 01:00:00,2.535,11
2022-09-26 01:00:00,3.018,13
2022-09-27 01:00:00,2.513,22
2022-09-28 01:00:00,2.793,12
2022-09-29 01:00:00,2.82,21
2022-09-30 01:00:00,2.541,25
2022-10-01 01:00:00,2.42,17
2022-10-02 01:00:00,2.554,15
2022-10-03 01:00:00,2.461,15
2022-10-04 01:00:00,2.834,13
2022-10-05 01:00:00,2.515,8
2022-10-06 01:00:00,2.508,20
2022-10-07 01:00:00,2.466,16
2022-10-08 01:00:00,2.618,17
2022-10-09 01:00:00,2.721,13
2022-10-10 01:00:00,2.49,9
2022-10-11 01:00:00,2.564,12
2022-10-12 01:00:00,2.517,13
2022-10-13 01:00:00,2.588,12
2022-10-14 01:00:00,2.586,9
2022-10-15 01:00:00,2.615,11
2022-10-16 01:00:00,2.507,15
2022-10-17 01:00:00,2.604,11
2022-10-18 01:00:00,2.474,11
2022-10-19 01:00:00,2.345,17
2022-10-20 01:00:00,2.571,18
2022-10-21 01:00:00,2.517,17
2022-10-22 01:00:00,2.408,26
2022-10-23 01:00:00,2.358,16
2022-10-24 01:00:00,2.349,7
2022-10-25 01:00:00,2.238,16
2022-10-26 01:00:00,2.394,21
2022-10-27 01:00:00,2.323,11
2022-10-28 01:00:00,2.103,13
2022-10-29 01:00:00,2.192,10
2022-10-30 01:00:00,2.356,16
2022-10-31 01:00:00,2.458,12
2022-11-01 01:00:00,2.426,8
2022-11-02 01:00:00,2.247,14
2022-11-03 01:00:00,2.334,9
2022-11-04 01:00:00,2.381,13
2022-11-05 01:00:00,2.405,23
2022-11-06 01:00:00,2.484,9
2022-11-07 01:00:00,2.466,10
2022-11-08 01:00:00,2.446,12
2022-11-09 01:00:00,2.527,21
2022-11-10 01:00:00,2.586,8
2022-11-11 01:00:00,2.351,9
2022-11-12 01:00:00,2.473,17
2022-11-13 01:00:00,2.546,24
2022-11-14 01:00:00,2.589,14
2022-11-15 01:00:00,2.687,13
2022-11-16 01:00:00,2.34,17
2022-11-17 01:00:00,2.476,9
2022-11-18 01:00:00,2.268,15
2022-11-19 01:00:00,2.66,13
2022-11-20 01:00:00,2.208,15
2022-11-21 01:00:00,2.172,11
2022-11-22 01:00:00,2.046,19
2022-11-23 01:00:00,2.009,13
2022-11-24 01:00:00,1.968,20
2022-11-25 01:00:00,2.332,12
2022-11-26 01:00:00,2.059,15
2022-11-27 01:00:00,2.036,15
2022-11-28 01:00:00,2.067,8
2022-11-29 01:00:00,2.27,14
2022-11-30 01:00:00,2.113,16
2022-12-01 01:00:00,2.018,15
2022-12-02 01:00:00,2.262,22
2022-12-03 01:00:00,2.255,11
2022-12-04 01:00:00,2.333,15
2022-12-05 01:00:00,2.252,10
2022-12-06 01:00:00,2.357,17
2022-12-07 01:00:00,2.339,14
2022-12-08 01:00:00,2.474,16
2022-12-09 01:00:00,2.464,12
2022-12-10 01:00:00,2.334,12
2022-12-11 01:00:00,2.427,20
2022-12-12 01:00:00,2.278,9
2022-12-13 01:00:00,2.281,12
2022-12-14 01:00:00,2.219,6
2022-12-15 01:00:00,2.403,17
2022-12-16 01:00:00,2.338,14
2022-12-17 01:00:00,2.303,12
2022-12-18 01:00:00,2.243,22
2022-12-19 01:00:00,2.282,9
2022-12-20 01:00:00,2.329,14
2022-12-21 01:00:00,2.314,18
2022-12-22 01:00:00,2.556,15
2022-12-23 01:00:00,2.256,22
2022-12-24 01:00:00,2.274,20
2022-12-25 01:00:00,2.352,18
2022-12-26 01:00:00,2.2,15
2022-12-27 01:00:00,2.213,26
2022-12-28 01:00:00,2.151,18
2022-12-29 01:00:00,2.201,18
2022-12-30 01:00:00,2.178,14
2022-12-31 01:00:00,2.134,10
2023-01-01 01:00:00,2.174,17
2023-01-02 01:00:00,2.138,19
2023-01-03 01:00:00,2.131,19
2023-01-04 01:00:00,2.142,18
2023-01-05 01:00:00,1.946,18
2023-01-06 01:00:00,2.088,13
2023-01-07 01:00:00,2.158,19
2023-01-08 01:00:00,2.091,21
2023-01-09 01:00:00,2.146,21
2023-01-10 01:00:00,2.112,19
2023-01-11 01:00:00,2.132,16
2023-01-12 01:00:00,2.046,16
2023-01-13 01:00:00,2.13,19
2023-01-14 01:00:00,2.117,17
2023-01-15 01:00:00,2.517,22
2023-01-16 01:00:00,2.263,21
2023-01-17 01:00:00,2.158,19
2023-01-18 01:00:00,2.235,21
2023-01-19 01:00:00,2.207,28
2023-01-20 01:00:00,2.392,25
2023-01-21 01:00:00,2.276,22
2023-01-22 01:00:00,2.256,20
2023-01-23 01:00:00,2.295,13
2023-01-24 01:00:00,2.223,18
2023-01-25 01:00:00,2.285,18
2023-01-26 01:00:00,2.235,18
2023-01-27 01:00:00,2.303,22
2023-01-28 01:00:00,2.426,27
2023-01-29 01:00:00,2.615,19
2023-01-30 01:00:00,2.43,15
2023-01-31 01:00:00,2.421,26
2023-02-01 01:00:00,2.435,31
2023-02-02 01:00:00,2.346,19
2023-02-03 01:00:00,2.181,22
2023-02-04 01:00:00,2.274,20
2023-02-05 01:00:00,2.253,21
2023-02-06 01:00:00,1.953,19
2023-02-07 01:00:00,2.104,23
