date,price,volume
2016-02-18 01:00:00,1.331,267
2016-02-19 01:00:00,1.255,294
2016-02-20 01:00:00,1.176,218
2016-02-21 01:00:00,1.315,184
2016-02-22 01:00:00,1.563,95
2016-02-23 01:00:00,1.489,78
2016-02-24 01:00:00,1.367,103
2016-02-25 01:00:00,1.452,120
2016-02-26 01:00:00,0.993,177
2016-02-27 01:00:00,0.896,169
2016-02-28 01:00:00,0.904,145
2016-02-29 01:00:00,0.934,117
2016-03-01 01:00:00,0.815,160
2016-03-02 01:00:00,0.969,122
2016-03-03 01:00:00,0.885,124
2016-03-04 01:00:00,0.813,173
2016-03-05 01:00:00,0.827,204
2016-03-06 01:00:00,0.715,208
2016-03-07 01:00:00,0.679,138
2016-03-08 01:00:00,0.691,133
2016-03-09 01:00:00,0.719,133
2016-03-10 01:00:00,0.809,84
2016-03-11 01:00:00,0.885,104
2016-03-12 01:00:00,0.803,141
2016-03-13 01:00:00,0.734,152
2016-03-14 01:00:00,0.693,120
2016-03-15 01:00:00,0.709,107
2016-03-16 01:00:00,0.746,133
2016-03-17 01:00:00,0.736,106
2016-03-18 01:00:00,0.654,154
2016-03-19 01:00:00,0.682,157
2016-03-20 01:00:00,0.641,138
2016-03-21 01:00:00,0.64,147
2016-03-22 01:00:00,0.68,123
2016-03-23 01:00:00,0.676,114
2016-03-24 01:00:00,0.679,124
2016-03-25 01:00:00,0.693,152
2016-03-26 01:00:00,0.73,125
2016-03-27 01:00:00,0.671,155
2016-03-28 01:00:00,0.669,134
2016-03-29 01:00:00,0.623,152
2016-03-30 01:00:00,0.639,170
2016-03-31 01:00:00,0.646,147
2016-04-01 01:00:00,0.624,168
2016-04-02 01:00:00,0.675,177
2016-04-03 01:00:00,0.603,135
2016-04-04 01:00:00,0.598,145
2016-04-05 01:00:00,0.603,156
2016-04-06 01:00:00,0.59,130
2016-04-07 01:00:00,0.649,160
2016-04-08 01:00:00,0.663,178
2016-04-09 01:00:00,0.671,211
2016-04-10 01:00:00,0.648,185
2016-04-11 01:00:00,0.664,175
2016-04-12 01:00:00,0.648,124
2016-04-13 01:00:00,0.724,137
2016-04-14 01:00:00,0.68,141
2016-04-15 01:00:00,0.739,131
2016-04-16 01:00:00,0.684,152
2016-04-17 01:00:00,0.638,175
2016-04-18 01:00:00,0.583,129
2016-04-19 01:00:00,0.6,148
2016-04-20 01:00:00,0.658,150
2016-04-21 01:00:00,0.622,147
2016-04-22 01:00:00,0.613,165
2016-04-23 01:00:00,0.624,149
2016-04-24 01:00:00,0.611,203
2016-04-25 01:00:00,0.581,134
2016-04-26 01:00:00,0.594,152
2016-04-27 01:00:00,0.598,130
2016-04-28 01:00:00,0.589,171
2016-04-29 01:00:00,0.582,202
2016-04-30 01:00:00,0.622,183
2016-05-01 01:00:00,0.561,222
2016-05-02 01:00:00,0.651,191
2016-05-03 01:00:00,0.575,166
2016-05-04 01:00:00,0.659,169
2016-05-05 01:00:00,0.589,145
2016-05-06 01:00:00,0.599,169
2016-05-07 01:00:00,0.608,154
2016-05-08 01:00:00,0.585,158
2016-05-09 01:00:00,0.545,137
2016-05-10 01:00:00,0.55,163
2016-05-11 01:00:00,0.528,145
2016-05-12 01:00:00,0.512,145
2016-05-13 01:00:00,0.492,147
2016-05-14 01:00:00,0.541,173
2016-05-15 01:00:00,0.54,156
2016-05-16 01:00:00,0.515,143
2016-05-17 01:00:00,0.505,141
2016-05-18 01:00:00,0.484,104
2016-05-19 01:00:00,0.435,122
2016-05-20 01:00:00,0.482,201
2016-05-21 01:00:00,0.51,171
2016-05-22 01:00:00,0.498,146
2016-05-23 01:00:00,0.476,151
2016-05-24 01:00:00,0.484,119
2016-05-25 01:00:00,0.544,127
2016-05-26 01:00:00,0.541,107
2016-05-27 01:00:00,0.485,139
2016-05-28 01:00:00,0.499,167
2016-05-29 01:00:00,0.523,153
2016-05-30 01:00:00,0.537,142
2016-05-31 01:00:00,0.54,153
2016-06-01 01:00:00,0.529,109
2016-06-02 01:00:00,0.481,129
2016-06-03 01:00:00,0.501,136
2016-06-04 01:00:00,0.523,156
2016-06-05 01:00:00,0.476,161
2016-06-06 01:00:00,0.486,134
2016-06-07 01:00:00,0.459,134
2016-06-08 01:00:00,0.435,140
2016-06-09 01:00:00,0.436,135
2016-06-10 01:00:00,0.458,137
2016-06-11 01:00:00,0.526,111
2016-06-12 01:00:00,0.484,155
2016-06-13 01:00:00,0.445,151
2016-06-14 01:00:00,0.488,134
2016-06-15 01:00:00,0.473,112
2016-06-16 01:00:00,0.454,155
2016-06-17 01:00:00,0.46,138
2016-06-18 01:00:00,0.451,162
2016-06-19 01:00:00,0.445,170
2016-06-20 01:00:00,0.435,166
2016-06-21 01:00:00,0.442,160
2016-06-22 01:00:00,0.481,138
2016-06-23 01:00:00,0.4,125
2016-06-24 01:00:00,0.369,174
2016-06-25 01:00:00,0.334,164
2016-06-26 01:00:00,0.326,154
2016-06-27 01:00:00,0.329,186
2016-06-28 01:00:00,0.351,160
2016-06-29 01:00:00,0.374,146
2016-06-30 01:00:00,0.384,123
2016-07-01 01:00:00,0.393,132
2016-07-02 01:00:00,0.383,146
2016-07-03 01:00:00,0.369,115
2016-07-04 01:00:00,0.375,144
2016-07-05 01:00:00,0.423,127
2016-07-06 01:00:00,0.43,125
2016-07-07 01:00:00,0.424,123
2016-07-08 01:00:00,0.448,176
2016-07-09 01:00:00,0.477,129
2016-07-10 01:00:00,0.429,140
2016-07-11 01:00:00,0.42,119
2016-07-12 01:00:00,0.455,96
2016-07-13 01:00:00,0.466,96
2016-07-14 01:00:00,0.454,131
2016-07-15 01:00:00,0.448,120
2016-07-16 01:00:00,0.474,139
2016-07-17 01:00:00,0.471,122
2016-07-18 01:00:00,0.513,127
2016-07-19 01:00:00,0.507,84
2016-07-20 01:00:00,0.467,99
2016-07-21 01:00:00,0.462,101
2016-07-22 01:00:00,0.493,106
2016-07-23 01:00:00,0.482,96
2016-07-24 01:00:00,0.486,93
2016-07-25 01:00:00,0.468,106
2016-07-26 01:00:00,0.471,119
2016-07-27 01:00:00,0.494,113
2016-07-28 01:00:00,0.541,113
2016-07-29 01:00:00,0.585,107
2016-07-30 01:00:00,0.569,116
2016-07-31 01:00:00,0.541,104
2016-08-01 01:00:00,0.533,95
2016-08-02 01:00:00,0.518,124
2016-08-03 01:00:00,0.488,111
2016-08-04 01:00:00,0.524,101
2016-08-05 01:00:00,0.52,86
2016-08-06 01:00:00,0.529,97
2016-08-07 01:00:00,0.493,104
2016-08-08 01:00:00,0.449,94
2016-08-09 01:00:00,0.449,112
2016-08-10 01:00:00,0.456,97
2016-08-11 01:00:00,0.47,85
2016-08-12 01:00:00,0.473,80
2016-08-13 01:00:00,0.479,73
2016-08-14 01:00:00,0.479,95
2016-08-15 01:00:00,0.485,85
2016-08-16 01:00:00,0.488,86
2016-08-17 01:00:00,0.496,84
2016-08-18 01:00:00,0.49,100
2016-08-19 01:00:00,0.463,115
2016-08-20 01:00:00,0.474,126
2016-08-21 01:00:00,0.454,136
2016-08-22 01:00:00,0.462,126
2016-08-23 01:00:00,0.445,94
2016-08-24 01:00:00,0.453,108
2016-08-25 01:00:00,0.459,95
2016-08-26 01:00:00,0.455,85
2016-08-27 01:00:00,0.459,113
2016-08-28 01:00:00,0.466,96
2016-08-29 01:00:00,0.468,106
2016-08-30 01:00:00,0.469,116
2016-08-31 01:00:00,0.456,106
2016-09-01 01:00:00,0.465,85
2016-09-02 01:00:00,0.48,90
2016-09-03 01:00:00,0.455,102
2016-09-04 01:00:00,0.474,123
2016-09-05 01:00:00,0.493,90
2016-09-06 01:00:00,0.488,95
