date,price,volume
2022-07-02 01:00:00,2.387,100
2022-07-03 01:00:00,1.833,83
2022-07-04 01:00:00,1.622,61
2022-07-05 01:00:00,1.4,84
2022-07-06 01:00:00,1.291,58
2022-07-07 01:00:00,1.182,58
2022-07-08 01:00:00,1.138,60
2022-07-09 01:00:00,1.241,83
2022-07-10 01:00:00,1.371,84
2022-07-11 01:00:00,1.243,73
2022-07-12 01:00:00,1.121,59
2022-07-13 01:00:00,1.229,35
2022-07-14 01:00:00,1.233,81
2022-07-15 01:00:00,1.226,70
2022-07-16 01:00:00,1.322,60
2022-07-17 01:00:00,1.323,69
2022-07-18 01:00:00,1.321,60
2022-07-19 01:00:00,1.353,71
2022-07-20 01:00:00,1.179,33
2022-07-21 01:00:00,1.247,90
2022-07-22 01:00:00,1.304,82
2022-07-23 01:00:00,1.318,57
2022-07-24 01:00:00,1.209,70
2022-07-25 01:00:00,1.096,78
2022-07-26 01:00:00,1.066,81
2022-07-27 01:00:00,0.892,58
2022-07-28 01:00:00,0.836,70
2022-07-29 01:00:00,0.843,84
2022-07-30 01:00:00,0.788,60
2022-07-31 01:00:00,0.82,73
2022-08-01 01:00:00,0.807,72
2022-08-02 01:00:00,0.858,59
2022-08-03 01:00:00,0.893,80
2022-08-04 01:00:00,0.887,84
2022-08-05 01:00:00,0.934,83
2022-08-06 01:00:00,0.971,88
2022-08-07 01:00:00,0.958,56
2022-08-08 01:00:00,0.989,54
2022-08-09 01:00:00,0.944,25
2022-08-10 01:00:00,0.955,75
2022-08-11 01:00:00,0.92,74
2022-08-12 01:00:00,0.929,64
2022-08-13 01:00:00,0.88,51
2022-08-14 01:00:00,0.885,112
2022-08-15 01:00:00,0.863,55
2022-08-16 01:00:00,0.82,73
2022-08-17 01:00:00,0.752,81
2022-08-18 01:00:00,0.725,81
2022-08-19 01:00:00,0.728,74
2022-08-20 01:00:00,0.677,84
2022-08-21 01:00:00,0.708,105
2022-08-22 01:00:00,0.67,76
2022-08-23 01:00:00,0.773,66
2022-08-24 01:00:00,0.758,93
2022-08-25 01:00:00,0.787,63
2022-08-26 01:00:00,0.799,88
2022-08-27 01:00:00,0.783,75
2022-08-28 01:00:00,0.791,78
2022-08-29 01:00:00,0.801,72
2022-08-30 01:00:00,0.816,68
2022-08-31 01:00:00,0.833,73
2022-09-01 01:00:00,0.805,65
2022-09-02 01:00:00,0.756,71
2022-09-03 01:00:00,0.769,70
2022-09-04 01:00:00,0.759,51
2022-09-05 01:00:00,0.776,78
2022-09-06 01:00:00,0.771,73
2022-09-07 01:00:00,0.75,49
2022-09-08 01:00:00,0.776,72
2022-09-09 01:00:00,0.724,83
2022-09-10 01:00:00,0.744,68
2022-09-11 01:00:00,0.786,61
2022-09-12 01:00:00,0.752,69
2022-09-13 01:00:00,0.729,54
2022-09-14 01:00:00,0.729,66
2022-09-15 01:00:00,0.715,74
2022-09-16 01:00:00,0.721,75
2022-09-17 01:00:00,0.702,119
2022-09-18 01:00:00,0.678,81
2022-09-19 01:00:00,0.672,57
2022-09-20 01:00:00,0.666,68
2022-09-21 01:00:00,0.66,73
2022-09-22 01:00:00,0.624,66
2022-09-23 01:00:00,0.609,68
2022-09-24 01:00:00,0.577,81
2022-09-25 01:00:00,0.577,86
2022-09-26 01:00:00,0.568,90
2022-09-27 01:00:00,0.568,82
2022-09-28 01:00:00,0.581,85
2022-09-29 01:00:00,0.633,73
2022-09-30 01:00:00,0.627,86
2022-10-01 01:00:00,0.594,90
2022-10-02 01:00:00,0.635,135
2022-10-03 01:00:00,0.598,68
2022-10-04 01:00:00,0.595,71
2022-10-05 01:00:00,0.607,52
2022-10-06 01:00:00,0.596,88
2022-10-07 01:00:00,0.571,78
2022-10-08 01:00:00,0.569,65
2022-10-09 01:00:00,0.588,74
2022-10-10 01:00:00,0.608,86
2022-10-11 01:00:00,0.585,75
2022-10-12 01:00:00,0.579,67
2022-10-13 01:00:00,0.581,74
2022-10-14 01:00:00,0.561,45
2022-10-15 01:00:00,0.569,79
2022-10-16 01:00:00,0.552,84
2022-10-17 01:00:00,0.565,80
2022-10-18 01:00:00,0.584,64
2022-10-19 01:00:00,0.591,80
2022-10-20 01:00:00,0.573,76
2022-10-21 01:00:00,0.58,80
2022-10-22 01:00:00,0.563,84
2022-10-23 01:00:00,0.557,79
2022-10-24 01:00:00,0.545,63
2022-10-25 01:00:00,0.545,43
2022-10-26 01:00:00,0.558,66
2022-10-27 01:00:00,0.533,74
2022-10-28 01:00:00,0.519,58
2022-10-29 01:00:00,0.53,107
2022-10-30 01:00:00,0.503,79
2022-10-31 01:00:00,0.469,119
2022-11-01 01:00:00,0.557,90
2022-11-02 01:00:00,0.567,86
2022-11-03 01:00:00,0.597,69
2022-11-04 01:00:00,0.59,65
2022-11-05 01:00:00,0.569,54
2022-11-06 01:00:00,0.558,58
2022-11-07 01:00:00,0.561,57
2022-11-08 01:00:00,0.555,67
2022-11-09 01:00:00,0.562,75
2022-11-10 01:00:00,0.542,75
2022-11-11 01:00:00,0.54,69
2022-11-12 01:00:00,0.535,79
2022-11-13 01:00:00,0.544,78
2022-11-14 01:00:00,0.539,56
2022-11-15 01:00:00,0.528,60
2022-11-16 01:00:00,0.521,65
2022-11-17 01:00:00,0.501,47
2022-11-18 01:00:00,0.511,111
2022-11-19 01:00:00,0.507,80
2022-11-20 01:00:00,0.495,83
2022-11-21 01:00:00,0.498,59
2022-11-22 01:00:00,0.477,50
2022-11-23 01:00:00,0.477,53
2022-11-24 01:00:00,0.456,52
2022-11-25 01:00:00,0.434,110
2022-11-26 01:00:00,0.423,71
2022-11-27 01:00:00,0.423,90
2022-11-28 01:00:00,0.444,61
2022-11-29 01:00:00,0.441,63
2022-11-30 01:00:00,0.435,70
2022-12-01 01:00:00,0.433,62
2022-12-02 01:00:00,0.455,67
2022-12-03 01:00:00,0.468,68
2022-12-04 01:00:00,0.46,70
2022-12-05 01:00:00,0.476,57
2022-12-06 01:00:00,0.466,81
2022-12-07 01:00:00,0.474,70
2022-12-08 01:00:00,0.461,52
2022-12-09 01:00:00,0.465,80
2022-12-10 01:00:00,0.459,75
2022-12-11 01:00:00,0.448,89
2022-12-12 01:00:00,0.439,62
2022-12-13 01:00:00,0.442,64
2022-12-14 01:00:00,0.432,73
2022-12-15 01:00:00,0.426,83
2022-12-16 01:00:00,0.414,65
2022-12-17 01:00:00,0.41,71
2022-12-18 01:00:00,0.406,49
2022-12-19 01:00:00,0.412,94
2022-12-20 01:00:00,0.416,78
2022-12-21 01:00:00,0.419,71
2022-12-22 01:00:00,0.415,80
2022-12-23 01:00:00,0.411,85
2022-12-24 01:00:00,0.401,71
2022-12-25 01:00:00,0.404,85
2022-12-26 01:00:00,0.405,72
2022-12-27 01:00:00,0.399,70
2022-12-28 01:00:00,0.422,100
2022-12-29 01:00:00,0.415,85
2022-12-30 01:00:00,0.408,131
2022-12-31 01:00:00,0.379,74
2023-01-01 01:00:00,0.376,74
2023-01-02 01:00:00,0.399,114
2023-01-03 01:00:00,0.401,83
2023-01-04 01:00:00,0.402,95
2023-01-05 01:00:00,0.388,95
2023-01-06 01:00:00,0.384,113
2023-01-07 01:00:00,0.384,70
2023-01-08 01:00:00,0.396,113
2023-01-09 01:00:00,0.375,97
2023-01-10 01:00:00,0.382,65
2023-01-11 01:00:00,0.396,69
2023-01-12 01:00:00,0.387,62
2023-01-13 01:00:00,0.393,99
2023-01-14 01:00:00,0.406,131
2023-01-15 01:00:00,0.414,133
2023-01-16 01:00:00,0.429,183
2023-01-17 01:00:00,0.452,120
2023-01-18 01:00:00,0.448,80
2023-01-19 01:00:00,0.447,79
2023-01-20 01:00:00,0.473,82
2023-01-21 01:00:00,0.454,106
2023-01-22 01:00:00,0.461,94
2023-01-23 01:00:00,0.444,80
2023-01-24 01:00:00,0.461,75
2023-01-25 01:00:00,0.465,83
2023-01-26 01:00:00,0.466,76
2023-01-27 01:00:00,0.473,83
2023-01-28 01:00:00,0.45,112
2023-01-29 01:00:00,0.44,96
2023-01-30 01:00:00,0.472,69
2023-01-31 01:00:00,0.455,72
2023-02-01 01:00:00,0.454,96
2023-02-02 01:00:00,0.46,106
2023-02-03 01:00:00,0.47,72
2023-02-04 01:00:00,0.449,121
2023-02-05 01:00:00,0.464,100
2023-02-06 01:00:00,0.465,86
2023-02-07 01:00:00,0.459,68
2023-02-08 01:00:00,0.462,87
2023-02-09 01:00:00,0.469,62
2023-02-10 01:00:00,0.449,77
2023-02-11 01:00:00,0.457,126
2023-02-12 01:00:00,0.458,183
2023-02-13 01:00:00,0.463,120
2023-02-14 01:00:00,0.496,87
2023-02-15 01:00:00,0.485,99
2023-02-16 01:00:00,0.48,107
2023-02-17 01:00:00,0.482,115
2023-02-18 01:00:00,0.488,167
2023-02-19 01:00:00,0.485,110
2023-02-20 01:00:00,0.462,97
2023-02-21 01:00:00,0.459,92
2023-02-22 01:00:00,0.454,110
2023-02-23 01:00:00,0.451,170
2023-02-24 01:00:00,0.433,128
2023-02-25 01:00:00,0.427,153
2023-02-26 01:00:00,0.424,138
2023-02-27 01:00:00,0.417,153
2023-02-28 01:00:00,0.42,123
2023-03-01 01:00:00,0.436,116
2023-03-02 01:00:00,0.419,109
2023-03-03 01:00:00,0.421,120
2023-03-04 01:00:00,0.586,729
2023-03-05 01:00:00,1.139,421
2023-03-06 01:00:00,0.928,196
2023-03-07 01:00:00,0.681,123
2023-03-08 01:00:00,0.461,129
2023-03-09 01:00:00,0.427,139
2023-03-10 01:00:00,0.428,165
2023-03-11 01:00:00,0.424,166
2023-03-12 01:00:00,0.448,208
2023-03-13 01:00:00,0.444,101
2023-03-14 01:00:00,0.438,174
2023-03-15 01:00:00,0.426,145
2023-03-16 01:00:00,0.418,157
2023-03-17 01:00:00,0.422,184
2023-03-18 01:00:00,0.427,178
2023-03-19 01:00:00,0.424,173
2023-03-20 01:00:00,0.414,167
2023-03-21 01:00:00,0.431,160
2023-03-22 01:00:00,0.43,142
2023-03-23 01:00:00,0.422,151
2023-03-24 01:00:00,0.415,195
2023-03-25 01:00:00,0.41,151
2023-03-26 01:00:00,0.419,198
2023-03-27 01:00:00,0.433,182
2023-03-28 01:00:00,0.43,184
2023-03-29 01:00:00,0.417,175
2023-03-30 01:00:00,0.432,175
2023-03-31 01:00:00,0.444,152
2023-04-01 01:00:00,0.447,166
2023-04-02 01:00:00,0.471,177
2023-04-03 01:00:00,0.472,241
2023-04-04 01:00:00,0.469,131
2023-04-05 01:00:00,0.484,175
2023-04-06 01:00:00,0.496,155
2023-04-07 01:00:00,0.498,127
2023-04-08 01:00:00,0.498,150
2023-04-09 01:00:00,0.511,237
2023-04-10 01:00:00,0.504,167
2023-04-11 01:00:00,0.526,150
2023-04-12 01:00:00,0.56,130
2023-04-13 01:00:00,0.555,145
2023-04-14 01:00:00,0.55,134
2023-04-15 01:00:00,0.551,123
2023-04-16 01:00:00,0.575,144
2023-04-17 01:00:00,0.572,133
2023-04-18 01:00:00,0.581,154
2023-04-19 01:00:00,0.585,155
2023-04-20 01:00:00,0.585,203
2023-04-21 01:00:00,0.595,164
2023-04-22 01:00:00,0.533,152
2023-04-23 01:00:00,0.549,247
2023-04-24 01:00:00,0.564,194
2023-04-25 01:00:00,0.522,244
2023-04-26 01:00:00,0.523,171
2023-04-27 01:00:00,0.488,206
2023-04-28 01:00:00,0.485,176
2023-04-29 01:00:00,0.488,165
2023-04-30 01:00:00,0.477,165
2023-05-01 01:00:00,0.495,182
2023-05-02 01:00:00,0.482,135
2023-05-03 01:00:00,0.465,122
2023-05-04 01:00:00,0.47,134
2023-05-05 01:00:00,0.456,205
2023-05-06 01:00:00,0.682,160
2023-05-07 01:00:00,0.441,202
2023-05-08 01:00:00,0.439,151
2023-05-09 01:00:00,0.434,137
2023-05-10 01:00:00,0.43,147
2023-05-11 01:00:00,0.436,157
2023-05-12 01:00:00,0.429,171
2023-05-13 01:00:00,0.413,164
2023-05-14 01:00:00,0.436,208
