date,price,volume
2015-04-16 01:00:00,2.52,356
2015-04-17 01:00:00,1.984,298
2015-04-18 01:00:00,1.407,462
2015-04-19 01:00:00,1.307,328
2015-04-20 01:00:00,1.159,338
2015-04-21 01:00:00,1.161,293
2015-04-22 01:00:00,1.211,258
2015-04-23 01:00:00,1.159,356
2015-04-24 01:00:00,1.135,324
2015-04-25 01:00:00,1.091,372
2015-04-26 01:00:00,1.047,412
2015-04-27 01:00:00,0.977,326
2015-04-28 01:00:00,0.997,296
2015-04-29 01:00:00,0.935,343
2015-04-30 01:00:00,0.953,349
2015-05-01 01:00:00,0.89,365
2015-05-02 01:00:00,0.877,442
2015-05-03 01:00:00,0.874,403
2015-05-04 01:00:00,0.806,390
2015-05-05 01:00:00,0.782,360
2015-05-06 01:00:00,0.809,383
2015-05-07 01:00:00,0.863,326
2015-05-08 01:00:00,0.857,408
2015-05-09 01:00:00,0.815,493
2015-05-10 01:00:00,0.768,464
2015-05-11 01:00:00,0.76,385
2015-05-12 01:00:00,0.734,395
2015-05-13 01:00:00,0.708,367
2015-05-14 01:00:00,0.714,435
2015-05-15 01:00:00,0.692,468
2015-05-16 01:00:00,0.734,452
2015-05-17 01:00:00,0.716,470
2015-05-18 01:00:00,0.691,396
2015-05-19 01:00:00,0.7,349
2015-05-20 01:00:00,0.661,396
2015-05-21 01:00:00,0.641,423
2015-05-22 01:00:00,0.658,393
2015-05-23 01:00:00,0.651,493
2015-05-24 01:00:00,0.641,480
2015-05-25 01:00:00,0.614,463
2015-05-26 01:00:00,0.615,404
2015-05-27 01:00:00,0.355,631
2015-05-28 01:00:00,0.412,629
2015-05-29 01:00:00,0.471,537
2015-05-30 01:00:00,0.477,582
2015-05-31 01:00:00,0.49,600
2015-06-01 01:00:00,0.505,599
2015-06-02 01:00:00,0.497,523
2015-06-03 01:00:00,0.485,541
2015-06-04 01:00:00,0.45,572
2015-06-05 01:00:00,0.419,530
2015-06-06 01:00:00,0.435,595
2015-06-07 01:00:00,0.437,654
2015-06-08 01:00:00,0.445,438
2015-06-09 01:00:00,0.429,517
2015-06-10 01:00:00,0.434,630
2015-06-11 01:00:00,0.413,503
2015-06-12 01:00:00,0.363,557
2015-06-13 01:00:00,0.376,599
2015-06-14 01:00:00,0.365,627
2015-06-15 01:00:00,0.37,616
2015-06-16 01:00:00,0.363,497
2015-06-17 01:00:00,0.345,550
2015-06-18 01:00:00,0.341,543
2015-06-19 01:00:00,0.362,517
2015-06-20 01:00:00,0.375,648
2015-06-21 01:00:00,0.352,604
2015-06-22 01:00:00,0.382,608
2015-06-23 01:00:00,0.382,518
2015-06-24 01:00:00,0.417,507
2015-06-25 01:00:00,0.392,548
2015-06-26 01:00:00,0.405,545
2015-06-27 01:00:00,0.402,562
2015-06-28 01:00:00,0.401,510
2015-06-29 01:00:00,0.396,556
2015-06-30 01:00:00,0.381,591
2015-07-01 01:00:00,0.367,592
2015-07-02 01:00:00,0.365,713
2015-07-03 01:00:00,0.368,498
2015-07-04 01:00:00,0.373,533
2015-07-05 01:00:00,0.387,564
2015-07-06 01:00:00,0.374,519
2015-07-07 01:00:00,0.368,580
2015-07-08 01:00:00,0.362,533
2015-07-09 01:00:00,0.352,628
2015-07-10 01:00:00,0.36,663
2015-07-11 01:00:00,0.35,646
2015-07-12 01:00:00,0.352,628
2015-07-13 01:00:00,0.346,656
2015-07-14 01:00:00,0.35,606
2015-07-15 01:00:00,0.334,643
2015-07-16 01:00:00,0.336,643
2015-07-17 01:00:00,0.337,657
2015-07-18 01:00:00,0.338,615
2015-07-19 01:00:00,0.33,660
2015-07-20 01:00:00,0.334,644
2015-07-21 01:00:00,0.333,625
2015-07-22 01:00:00,0.32,599
2015-07-23 01:00:00,0.301,726
2015-07-24 01:00:00,0.313,643
2015-07-25 01:00:00,0.31,562
2015-07-26 01:00:00,0.313,629
2015-07-27 01:00:00,0.305,728
2015-07-28 01:00:00,0.315,657
2015-07-29 01:00:00,0.313,579
2015-07-30 01:00:00,0.311,656
2015-07-31 01:00:00,0.312,638
2015-08-01 01:00:00,0.3,628
2015-08-02 01:00:00,0.297,618
2015-08-03 01:00:00,0.287,654
2015-08-04 01:00:00,0.293,642
2015-08-05 01:00:00,0.287,637
2015-08-06 01:00:00,0.284,686
2015-08-07 01:00:00,0.266,656
2015-08-08 01:00:00,0.28,695
2015-08-09 01:00:00,0.285,644
2015-08-10 01:00:00,0.279,654
2015-08-11 01:00:00,0.284,631
2015-08-12 01:00:00,0.281,637
2015-08-13 01:00:00,0.28,633
2015-08-14 01:00:00,0.27,684
2015-08-15 01:00:00,0.215,805
2015-08-16 01:00:00,0.218,792
2015-08-17 01:00:00,0.238,796
2015-08-18 01:00:00,0.248,654
2015-08-19 01:00:00,0.23,585
2015-08-20 01:00:00,0.249,772
2015-08-21 01:00:00,0.238,742
2015-08-22 01:00:00,0.239,786
2015-08-23 01:00:00,0.2,909
2015-08-24 01:00:00,0.227,768
2015-08-25 01:00:00,0.261,660
2015-08-26 01:00:00,0.277,721
2015-08-27 01:00:00,0.281,690
2015-08-28 01:00:00,0.271,731
2015-08-29 01:00:00,0.288,717
2015-08-30 01:00:00,0.277,758
2015-08-31 01:00:00,0.275,795
2015-09-01 01:00:00,0.294,693
2015-09-02 01:00:00,0.282,653
2015-09-03 01:00:00,0.274,682
2015-09-04 01:00:00,0.269,632
2015-09-05 01:00:00,0.279,866
2015-09-06 01:00:00,0.272,790
2015-09-07 01:00:00,0.267,720
2015-09-08 01:00:00,0.275,603
2015-09-09 01:00:00,0.261,607
2015-09-10 01:00:00,0.266,714
2015-09-11 01:00:00,0.26,726
2015-09-12 01:00:00,0.267,858
2015-09-13 01:00:00,0.257,852
2015-09-14 01:00:00,0.256,744
2015-09-15 01:00:00,0.268,691
2015-09-16 01:00:00,0.26,705
2015-09-17 01:00:00,0.262,623
2015-09-18 01:00:00,0.262,970
2015-09-19 01:00:00,0.266,956
2015-09-20 01:00:00,0.273,1052
2015-09-21 01:00:00,0.273,866
2015-09-22 01:00:00,0.278,824
2015-09-23 01:00:00,0.284,806
2015-09-24 01:00:00,0.289,727
2015-09-25 01:00:00,0.285,796
2015-09-26 01:00:00,0.297,924
2015-09-27 01:00:00,0.289,868
2015-09-28 01:00:00,0.279,770
2015-09-29 01:00:00,0.279,674
2015-09-30 01:00:00,0.272,673
2015-10-01 01:00:00,0.263,737
2015-10-02 01:00:00,0.27,856
2015-10-03 01:00:00,0.275,823
2015-10-04 01:00:00,0.28,854
2015-10-05 01:00:00,0.27,690
2015-10-06 01:00:00,0.269,687
2015-10-07 01:00:00,0.269,769
2015-10-08 01:00:00,0.284,699
2015-10-09 01:00:00,0.283,668
2015-10-10 01:00:00,0.285,798
2015-10-11 01:00:00,0.28,842
2015-10-12 01:00:00,0.277,634
2015-10-13 01:00:00,0.274,604
2015-10-14 01:00:00,0.269,697
2015-10-15 01:00:00,0.255,633
2015-10-16 01:00:00,0.258,643
2015-10-17 01:00:00,0.268,933
2015-10-18 01:00:00,0.254,738
2015-10-19 01:00:00,0.237,573
2015-10-20 01:00:00,0.242,576
2015-10-21 01:00:00,0.231,748
2015-10-22 01:00:00,0.222,512
2015-10-23 01:00:00,0.225,738
2015-10-24 01:00:00,0.231,896
2015-10-25 01:00:00,0.232,764
2015-10-26 01:00:00,0.224,603
2015-10-27 01:00:00,0.229,694
2015-10-28 01:00:00,0.222,680
2015-10-29 01:00:00,0.22,689
2015-10-30 01:00:00,0.219,876
2015-10-31 01:00:00,0.229,981
2015-11-01 01:00:00,0.187,979
2015-11-02 01:00:00,0.199,845
2015-11-03 01:00:00,0.228,659
2015-11-04 01:00:00,0.233,633
2015-11-05 01:00:00,0.236,699
2015-11-06 01:00:00,0.253,693
2015-11-07 01:00:00,0.249,813
2015-11-08 01:00:00,0.249,763
2015-11-09 01:00:00,0.245,611
2015-11-10 01:00:00,0.24,555
2015-11-11 01:00:00,0.246,592
2015-11-12 01:00:00,0.254,444
2015-11-13 01:00:00,0.243,611
2015-11-14 01:00:00,0.252,805
2015-11-15 01:00:00,0.247,742
2015-11-16 01:00:00,0.246,577
2015-11-17 01:00:00,0.236,605
2015-11-18 01:00:00,0.236,506
2015-11-19 01:00:00,0.244,511
2015-11-20 01:00:00,0.246,600
2015-11-21 01:00:00,0.25,739
2015-11-22 01:00:00,0.23,563
2015-11-23 01:00:00,0.229,517
2015-11-24 01:00:00,0.248,615
2015-11-25 01:00:00,0.228,688
2015-11-26 01:00:00,0.201,677
2015-11-27 01:00:00,0.195,767
2015-11-28 01:00:00,0.196,989
2015-11-29 01:00:00,0.202,816
2015-11-30 01:00:00,0.199,680
2015-12-01 01:00:00,0.205,648
2015-12-02 01:00:00,0.231,542
2015-12-03 01:00:00,0.251,558
2015-12-04 01:00:00,0.283,697
2015-12-05 01:00:00,0.278,822
2015-12-06 01:00:00,0.286,862
2015-12-07 01:00:00,0.282,520
2015-12-08 01:00:00,0.271,630
2015-12-09 01:00:00,0.245,620
2015-12-10 01:00:00,0.251,670
2015-12-11 01:00:00,0.266,714
2015-12-12 01:00:00,0.279,866
2015-12-13 01:00:00,0.276,840
2015-12-14 01:00:00,0.283,701
2015-12-15 01:00:00,0.295,588
2015-12-16 01:00:00,0.294,577
2015-12-17 01:00:00,0.284,573
2015-12-18 01:00:00,0.285,626
2015-12-19 01:00:00,0.27,655
2015-12-20 01:00:00,0.255,680
2015-12-21 01:00:00,0.246,627
2015-12-22 01:00:00,0.247,608
2015-12-23 01:00:00,0.194,854
2015-12-24 01:00:00,0.198,799
2015-12-25 01:00:00,0.224,789
2015-12-26 01:00:00,0.228,775
2015-12-27 01:00:00,0.219,903
2015-12-28 01:00:00,0.223,934
2015-12-29 01:00:00,0.217,873
2015-12-30 01:00:00,0.213,779
2015-12-31 01:00:00,0.214,842
2016-01-01 01:00:00,0.216,863
2016-01-02 01:00:00,0.195,939
2016-01-03 01:00:00,0.192,875
2016-01-04 01:00:00,0.191,819
2016-01-05 01:00:00,0.222,666
2016-01-06 01:00:00,0.229,601
2016-01-07 01:00:00,0.226,628
2016-01-08 01:00:00,0.24,769
2016-01-09 01:00:00,0.242,744
2016-01-10 01:00:00,0.242,717
2016-01-11 01:00:00,0.234,654
2016-01-12 01:00:00,0.238,617
2016-01-13 01:00:00,0.24,561
2016-01-14 01:00:00,0.237,563
2016-01-15 01:00:00,0.231,692
2016-01-16 01:00:00,0.235,779
2016-01-17 01:00:00,0.226,756
2016-01-18 01:00:00,0.228,605
2016-01-19 01:00:00,0.224,612
2016-01-20 01:00:00,0.22,703
2016-01-21 01:00:00,0.224,562
2016-01-22 01:00:00,0.227,744
2016-01-23 01:00:00,0.228,848
2016-01-24 01:00:00,0.232,791
2016-01-25 01:00:00,0.226,662
2016-01-26 01:00:00,0.226,604
2016-01-27 01:00:00,0.225,678
2016-01-28 01:00:00,0.229,648
2016-01-29 01:00:00,0.232,697
2016-01-30 01:00:00,0.228,848
2016-01-31 01:00:00,0.23,881
2016-02-01 01:00:00,0.231,745
2016-02-02 01:00:00,0.234,654
2016-02-03 01:00:00,0.233,578
2016-02-04 01:00:00,0.234,699
2016-02-05 01:00:00,0.231,716
2016-02-06 01:00:00,0.206,973
2016-02-07 01:00:00,0.194,846
2016-02-08 01:00:00,0.191,689
2016-02-09 01:00:00,0.194,636
2016-02-10 01:00:00,0.192,670
2016-02-11 01:00:00,0.192,726
2016-02-12 01:00:00,0.201,854
2016-02-13 01:00:00,0.216,1030
2016-02-14 01:00:00,0.224,886
2016-02-15 01:00:00,0.231,691
2016-02-16 01:00:00,0.231,701
2016-02-17 01:00:00,0.224,672
2016-02-18 01:00:00,0.188,978
2016-02-19 01:00:00,0.19,1021
2016-02-20 01:00:00,0.209,1139
2016-02-21 01:00:00,0.21,938
2016-02-22 01:00:00,0.213,814
2016-02-23 01:00:00,0.227,927
2016-02-24 01:00:00,0.224,708
2016-02-25 01:00:00,0.223,696
2016-02-26 01:00:00,0.219,800
2016-02-27 01:00:00,0.221,995
2016-02-28 01:00:00,0.224,696
2016-02-29 01:00:00,0.224,735
2016-03-01 01:00:00,0.221,722
2016-03-02 01:00:00,0.22,643
2016-03-03 01:00:00,0.218,670
2016-03-04 01:00:00,0.224,873
2016-03-05 01:00:00,0.223,939
2016-03-06 01:00:00,0.214,918
2016-03-07 01:00:00,0.217,732
2016-03-08 01:00:00,0.213,728
2016-03-09 01:00:00,0.217,613
2016-03-10 01:00:00,0.219,566
2016-03-11 01:00:00,0.224,676
2016-03-12 01:00:00,0.242,719
2016-03-13 01:00:00,0.258,600
2016-03-14 01:00:00,0.259,532
2016-03-15 01:00:00,0.268,450
2016-03-16 01:00:00,0.275,484
2016-03-17 01:00:00,0.27,480
2016-03-18 01:00:00,0.249,540
2016-03-19 01:00:00,0.256,630
2016-03-20 01:00:00,0.253,639
2016-03-21 01:00:00,0.261,480
2016-03-22 01:00:00,0.26,450
2016-03-23 01:00:00,0.258,427
2016-03-24 01:00:00,0.254,480
2016-03-25 01:00:00,0.251,571
2016-03-26 01:00:00,0.248,559
2016-03-27 01:00:00,0.235,562
2016-03-28 01:00:00,0.233,506
2016-03-29 01:00:00,0.232,463
2016-03-30 01:00:00,0.23,586
2016-03-31 01:00:00,0.232,639
2016-04-01 01:00:00,0.249,673
2016-04-02 01:00:00,0.265,571
2016-04-03 01:00:00,0.226,767
2016-04-04 01:00:00,0.234,554
2016-04-05 01:00:00,0.245,499
2016-04-06 01:00:00,0.243,551
2016-04-07 01:00:00,0.252,478
2016-04-08 01:00:00,0.269,529
2016-04-09 01:00:00,0.282,667
2016-04-10 01:00:00,0.267,658
2016-04-11 01:00:00,0.259,494
2016-04-12 01:00:00,0.251,582
2016-04-13 01:00:00,0.245,509
2016-04-14 01:00:00,0.253,489
2016-04-15 01:00:00,0.256,494
2016-04-16 01:00:00,0.266,579
2016-04-17 01:00:00,0.263,566
2016-04-18 01:00:00,0.254,446
2016-04-19 01:00:00,0.251,449
2016-04-20 01:00:00,0.252,524
2016-04-21 01:00:00,0.251,417
2016-04-22 01:00:00,0.251,460
2016-04-23 01:00:00,0.249,569
2016-04-24 01:00:00,0.248,683
2016-04-25 01:00:00,0.251,539
2016-04-26 01:00:00,0.241,552
2016-04-27 01:00:00,0.252,549
2016-04-28 01:00:00,0.256,560
2016-04-29 01:00:00,0.26,689
2016-04-30 01:00:00,0.261,665
2016-05-01 01:00:00,0.268,803
2016-05-02 01:00:00,0.267,595
2016-05-03 01:00:00,0.281,584
2016-05-04 01:00:00,0.269,597
2016-05-05 01:00:00,0.267,570
2016-05-06 01:00:00,0.271,578
2016-05-07 01:00:00,0.276,658
2016-05-08 01:00:00,0.275,630
2016-05-09 01:00:00,0.27,459
2016-05-10 01:00:00,0.258,533
2016-05-11 01:00:00,0.261,519
2016-05-12 01:00:00,0.257,520
2016-05-13 01:00:00,0.261,551
2016-05-14 01:00:00,0.264,608
2016-05-15 01:00:00,0.262,587
2016-05-16 01:00:00,0.258,504
2016-05-17 01:00:00,0.242,493
2016-05-18 01:00:00,0.239,429
2016-05-19 01:00:00,0.232,511
2016-05-20 01:00:00,0.207,578
2016-05-21 01:00:00,0.205,703
2016-05-22 01:00:00,0.208,624
2016-05-23 01:00:00,0.216,501
2016-05-24 01:00:00,0.213,469
2016-05-25 01:00:00,0.218,542
2016-05-26 01:00:00,0.222,520
2016-05-27 01:00:00,0.222,500
2016-05-28 01:00:00,0.224,548
2016-05-29 01:00:00,0.225,593
2016-05-30 01:00:00,0.221,542
2016-05-31 01:00:00,0.226,428
2016-06-01 01:00:00,0.224,523
2016-06-02 01:00:00,0.219,501
2016-06-03 01:00:00,0.217,624
2016-06-04 01:00:00,0.218,613
2016-06-05 01:00:00,0.217,578
2016-06-06 01:00:00,0.217,541
2016-06-07 01:00:00,0.22,359
2016-06-08 01:00:00,0.219,466
2016-06-09 01:00:00,0.217,524
2016-06-10 01:00:00,0.212,492
2016-06-11 01:00:00,0.217,495
2016-06-12 01:00:00,0.223,484
2016-06-13 01:00:00,0.217,453
2016-06-14 01:00:00,0.213,436
2016-06-15 01:00:00,0.214,450
2016-06-16 01:00:00,0.208,527
2016-06-17 01:00:00,0.219,674
2016-06-18 01:00:00,0.222,600
2016-06-19 01:00:00,0.225,674
2016-06-20 01:00:00,0.226,605
2016-06-21 01:00:00,0.227,586
2016-06-22 01:00:00,0.226,517
2016-06-23 01:00:00,0.207,577
2016-06-24 01:00:00,0.179,572
2016-06-25 01:00:00,0.178,576
2016-06-26 01:00:00,0.178,590
2016-06-27 01:00:00,0.181,513
2016-06-28 01:00:00,0.183,636
2016-06-29 01:00:00,0.192,452
2016-06-30 01:00:00,0.195,433
2016-07-01 01:00:00,0.2,513
2016-07-02 01:00:00,0.205,487
2016-07-03 01:00:00,0.202,531
2016-07-04 01:00:00,0.193,539
2016-07-05 01:00:00,0.21,498
2016-07-06 01:00:00,0.225,514
2016-07-07 01:00:00,0.229,490
2016-07-08 01:00:00,0.231,504
2016-07-09 01:00:00,0.236,474
2016-07-10 01:00:00,0.223,611
2016-07-11 01:00:00,0.219,434
2016-07-12 01:00:00,0.237,437
2016-07-13 01:00:00,0.243,418
2016-07-14 01:00:00,0.241,472
2016-07-15 01:00:00,0.254,421
2016-07-16 01:00:00,0.257,426
2016-07-17 01:00:00,0.259,387
2016-07-18 01:00:00,0.266,420
2016-07-19 01:00:00,0.266,403
2016-07-20 01:00:00,0.265,406
2016-07-21 01:00:00,0.267,396
2016-07-22 01:00:00,0.265,335
2016-07-23 01:00:00,0.265,310
2016-07-24 01:00:00,0.266,357
2016-07-25 01:00:00,0.269,368
2016-07-26 01:00:00,0.274,337
2016-07-27 01:00:00,0.276,351
2016-07-28 01:00:00,0.274,425
2016-07-29 01:00:00,0.282,400
2016-07-30 01:00:00,0.278,375
2016-07-31 01:00:00,0.283,388
2016-08-01 01:00:00,0.291,387
2016-08-02 01:00:00,0.295,365
2016-08-03 01:00:00,0.298,401
2016-08-04 01:00:00,0.288,363
2016-08-05 01:00:00,0.282,317
2016-08-06 01:00:00,0.27,402
2016-08-07 01:00:00,0.273,329
2016-08-08 01:00:00,0.267,354
2016-08-09 01:00:00,0.272,355
2016-08-10 01:00:00,0.276,309
2016-08-11 01:00:00,0.274,334
2016-08-12 01:00:00,0.27,315
2016-08-13 01:00:00,0.264,329
2016-08-14 01:00:00,0.275,352
2016-08-15 01:00:00,0.281,309
2016-08-16 01:00:00,0.288,337
2016-08-17 01:00:00,0.293,319
2016-08-18 01:00:00,0.298,290
2016-08-19 01:00:00,0.287,416
2016-08-20 01:00:00,0.284,423
2016-08-21 01:00:00,0.277,425
2016-08-22 01:00:00,0.275,425
2016-08-23 01:00:00,0.273,454
2016-08-24 01:00:00,0.274,408
2016-08-25 01:00:00,0.278,409
2016-08-26 01:00:00,0.291,412
2016-08-27 01:00:00,0.307,395
2016-08-28 01:00:00,0.302,378
2016-08-29 01:00:00,0.305,447
2016-08-30 01:00:00,0.307,407
2016-08-31 01:00:00,0.307,341
2016-09-01 01:00:00,0.315,360
2016-09-02 01:00:00,0.307,354
2016-09-03 01:00:00,0.313,392
2016-09-04 01:00:00,0.307,369
2016-09-05 01:00:00,0.303,334
2016-09-06 01:00:00,0.3,287
2016-09-07 01:00:00,0.295,328
2016-09-08 01:00:00,0.291,333
2016-09-09 01:00:00,0.296,418
2016-09-10 01:00:00,0.294,394
2016-09-11 01:00:00,0.292,420
2016-09-12 01:00:00,0.281,341
2016-09-13 01:00:00,0.279,309
2016-09-14 01:00:00,0.278,287
2016-09-15 01:00:00,0.28,290
2016-09-16 01:00:00,0.268,343
2016-09-17 01:00:00,0.268,431
2016-09-18 01:00:00,0.261,367
2016-09-19 01:00:00,0.251,325
2016-09-20 01:00:00,0.254,301
2016-09-21 01:00:00,0.26,278
2016-09-22 01:00:00,0.264,307
2016-09-23 01:00:00,0.266,340
2016-09-24 01:00:00,0.263,374
2016-09-25 01:00:00,0.262,396
2016-09-26 01:00:00,0.262,275
2016-09-27 01:00:00,0.275,251
2016-09-28 01:00:00,0.274,277
2016-09-29 01:00:00,0.268,290
2016-09-30 01:00:00,0.268,360
2016-10-01 01:00:00,0.271,377
2016-10-02 01:00:00,0.275,402
2016-10-03 01:00:00,0.271,300
2016-10-04 01:00:00,0.28,288
2016-10-05 01:00:00,0.281,264
2016-10-06 01:00:00,0.275,303
2016-10-07 01:00:00,0.264,343
2016-10-08 01:00:00,0.261,400
2016-10-09 01:00:00,0.261,355
2016-10-10 01:00:00,0.252,295
2016-10-11 01:00:00,0.248,273
2016-10-12 01:00:00,0.253,295
2016-10-13 01:00:00,0.246,273
2016-10-14 01:00:00,0.244,342
2016-10-15 01:00:00,0.244,362
2016-10-16 01:00:00,0.237,344
2016-10-17 01:00:00,0.236,284
2016-10-18 01:00:00,0.236,251
2016-10-19 01:00:00,0.232,318
2016-10-20 01:00:00,0.233,261
2016-10-21 01:00:00,0.231,281
2016-10-22 01:00:00,0.228,362
2016-10-23 01:00:00,0.228,426
2016-10-24 01:00:00,0.223,309
2016-10-25 01:00:00,0.224,311
2016-10-26 01:00:00,0.226,272
2016-10-27 01:00:00,0.218,287
2016-10-28 01:00:00,0.222,313
2016-10-29 01:00:00,0.218,361
2016-10-30 01:00:00,0.213,350
2016-10-31 01:00:00,0.214,286
2016-11-01 01:00:00,0.206,302
2016-11-02 01:00:00,0.215,295
2016-11-03 01:00:00,0.225,251
2016-11-04 01:00:00,0.227,357
2016-11-05 01:00:00,0.225,400
2016-11-06 01:00:00,0.229,405
2016-11-07 01:00:00,0.23,317
2016-11-08 01:00:00,0.233,256
2016-11-09 01:00:00,0.231,255
2016-11-10 01:00:00,0.23,233
2016-11-11 01:00:00,0.234,343
2016-11-12 01:00:00,0.232,342
2016-11-13 01:00:00,0.237,412
2016-11-14 01:00:00,0.23,262
2016-11-15 01:00:00,0.229,264
2016-11-16 01:00:00,0.235,247
2016-11-17 01:00:00,0.234,211
2016-11-18 01:00:00,0.237,357
2016-11-19 01:00:00,0.247,326
2016-11-20 01:00:00,0.237,379
2016-11-21 01:00:00,0.236,236
2016-11-22 01:00:00,0.234,237
2016-11-23 01:00:00,0.232,263
2016-11-24 01:00:00,0.215,320
2016-11-25 01:00:00,0.2,354
2016-11-26 01:00:00,0.197,396
2016-11-27 01:00:00,0.198,331
2016-11-28 01:00:00,0.199,297
2016-11-29 01:00:00,0.203,335
2016-11-30 01:00:00,0.215,383
2016-12-01 01:00:00,0.226,404
2016-12-02 01:00:00,0.243,406
2016-12-03 01:00:00,0.257,467
2016-12-04 01:00:00,0.28,430
2016-12-05 01:00:00,0.276,367
2016-12-06 01:00:00,0.283,249
2016-12-07 01:00:00,0.272,258
2016-12-08 01:00:00,0.264,296
2016-12-09 01:00:00,0.262,309
2016-12-10 01:00:00,0.265,364
2016-12-11 01:00:00,0.265,373
2016-12-12 01:00:00,0.261,269
2016-12-13 01:00:00,0.253,285
2016-12-14 01:00:00,0.244,264
2016-12-15 01:00:00,0.228,325
2016-12-16 01:00:00,0.23,333
2016-12-17 01:00:00,0.232,365
2016-12-18 01:00:00,0.231,317
2016-12-19 01:00:00,0.231,304
2016-12-20 01:00:00,0.224,253
2016-12-21 01:00:00,0.226,275
2016-12-22 01:00:00,0.215,314
2016-12-23 01:00:00,0.202,319
2016-12-24 01:00:00,0.203,401
2016-12-25 01:00:00,0.205,464
2016-12-26 01:00:00,0.221,423
2016-12-27 01:00:00,0.225,424
2016-12-28 01:00:00,0.223,457
2016-12-29 01:00:00,0.222,406
2016-12-30 01:00:00,0.228,449
2016-12-31 01:00:00,0.222,393
2017-01-01 01:00:00,0.22,423
2017-01-02 01:00:00,0.223,500
2017-01-03 01:00:00,0.233,382
2017-01-04 01:00:00,0.238,326
2017-01-05 01:00:00,0.245,342
2017-01-06 01:00:00,0.245,394
2017-01-07 01:00:00,0.246,438
2017-01-08 01:00:00,0.253,419
2017-01-09 01:00:00,0.259,326
2017-01-10 01:00:00,0.265,308
2017-01-11 01:00:00,0.268,281
2017-01-12 01:00:00,0.257,292
2017-01-13 01:00:00,0.245,358
2017-01-14 01:00:00,0.245,354
2017-01-15 01:00:00,0.253,363
2017-01-16 01:00:00,0.251,318
