date,price,volume
2024-02-07 01:00:00,5.121,82
2024-02-08 01:00:00,6.311,52
2024-02-09 01:00:00,6.399,45
2024-02-10 01:00:00,7.73,21
2024-02-11 01:00:00,7.797,32
2024-02-12 01:00:00,9.348,50
2024-02-13 01:00:00,9.015,28
2024-02-14 01:00:00,6.966,63
2024-02-15 01:00:00,5.454,37
2024-02-16 01:00:00,4.685,30
2024-02-17 01:00:00,4.995,41
2024-02-18 01:00:00,5.404,40
2024-02-19 01:00:00,5.279,32
2024-02-20 01:00:00,5.842,34
2024-02-21 01:00:00,5.084,63
2024-02-22 01:00:00,4.454,48
2024-02-23 01:00:00,4.567,61
2024-02-24 01:00:00,4.75,40
2024-02-25 01:00:00,4.066,44
2024-02-26 01:00:00,4.455,31
2024-02-27 01:00:00,4.351,37
2024-02-28 01:00:00,4.47,39
2024-02-29 01:00:00,3.848,42
2024-03-01 01:00:00,4.093,32
2024-03-02 01:00:00,4.527,36
2024-03-03 01:00:00,4.294,30
2024-03-04 01:00:00,4.266,41
2024-03-05 01:00:00,4.534,27
2024-03-06 01:00:00,4.582,52
2024-03-07 01:00:00,4.43,34
2024-03-08 01:00:00,3.826,35
2024-03-09 01:00:00,4.01,41
2024-03-10 01:00:00,4.162,34
2024-03-11 01:00:00,4.186,19
2024-03-12 01:00:00,4.341,52
2024-03-13 01:00:00,4.319,31
2024-03-14 01:00:00,3.861,45
2024-03-15 01:00:00,3.831,34
2024-03-16 01:00:00,3.815,33
2024-03-17 01:00:00,3.669,50
2024-03-18 01:00:00,3.554,22
2024-03-19 01:00:00,3.536,36
2024-03-20 01:00:00,3.858,35
2024-03-21 01:00:00,3.771,57
2024-03-22 01:00:00,3.813,47
2024-03-23 01:00:00,3.804,31
2024-03-24 01:00:00,3.818,40
2024-03-25 01:00:00,3.683,29
2024-03-26 01:00:00,3.785,27
2024-03-27 01:00:00,3.829,41
2024-03-28 01:00:00,3.715,54
2024-03-29 01:00:00,4.014,51
2024-03-30 01:00:00,3.908,34
2024-03-31 01:00:00,3.765,36
2024-04-01 01:00:00,3.506,49
2024-04-02 01:00:00,3.463,54
2024-04-03 01:00:00,3.236,36
2024-04-04 01:00:00,3.153,62
2024-04-05 01:00:00,3.296,54
2024-04-06 01:00:00,3.374,60
2024-04-07 01:00:00,3.379,42
2024-04-08 01:00:00,3.21,47
2024-04-09 01:00:00,3.173,30
2024-04-10 01:00:00,3.224,42
2024-04-11 01:00:00,3.232,42
2024-04-12 01:00:00,3.181,45
2024-04-13 01:00:00,3.13,36
2024-04-14 01:00:00,3.118,45
2024-04-15 01:00:00,3.11,41
2024-04-16 01:00:00,3.13,26
2024-04-17 01:00:00,3.108,56
2024-04-18 01:00:00,2.853,35
2024-04-19 01:00:00,2.981,46
2024-04-20 01:00:00,2.833,38
2024-04-21 01:00:00,2.93,46
2024-04-22 01:00:00,2.806,29
2024-04-23 01:00:00,2.636,22
2024-04-24 01:00:00,2.528,40
2024-04-25 01:00:00,2.493,43
2024-04-26 01:00:00,2.283,58
2024-04-27 01:00:00,2.249,26
2024-04-28 01:00:00,2.25,30
2024-04-29 01:00:00,2.089,37
2024-04-30 01:00:00,2.213,42
2024-05-01 01:00:00,2.398,39
2024-05-02 01:00:00,2.513,40
2024-05-03 01:00:00,2.46,27
2024-05-04 01:00:00,2.329,41
2024-05-05 01:00:00,2.306,51
2024-05-06 01:00:00,2.373,26
2024-05-07 01:00:00,2.386,47
2024-05-08 01:00:00,2.382,44
2024-05-09 01:00:00,2.411,52
2024-05-10 01:00:00,2.25,36
2024-05-11 01:00:00,2.34,45
2024-05-12 01:00:00,2.396,48
2024-05-13 01:00:00,2.278,39
2024-05-14 01:00:00,2.221,41
2024-05-15 01:00:00,2.368,32
2024-05-16 01:00:00,2.454,56
2024-05-17 01:00:00,2.521,47
2024-05-18 01:00:00,2.468,27
2024-05-19 01:00:00,2.444,27
2024-05-20 01:00:00,2.333,41
2024-05-21 01:00:00,2.248,47
2024-05-22 01:00:00,2.257,43
2024-05-23 01:00:00,2.225,49
2024-05-24 01:00:00,2.111,42
2024-05-25 01:00:00,2.084,38
2024-05-26 01:00:00,2.111,25
2024-05-27 01:00:00,2.083,29
2024-05-28 01:00:00,2.055,25
2024-05-29 01:00:00,2.053,25
2024-05-30 01:00:00,2.036,42
2024-05-31 01:00:00,2.037,38
2024-06-01 01:00:00,2.068,23
2024-06-02 01:00:00,2.109,37
2024-06-03 01:00:00,2.111,32
2024-06-04 01:00:00,2.232,31
2024-06-05 01:00:00,2.209,35
2024-06-06 01:00:00,2.246,39
2024-06-07 01:00:00,2.165,26
2024-06-08 01:00:00,2.101,17
2024-06-09 01:00:00,1.945,30
2024-06-10 01:00:00,1.996,23
2024-06-11 01:00:00,2.032,24
2024-06-12 01:00:00,1.962,27
2024-06-13 01:00:00,1.865,34
2024-06-14 01:00:00,1.822,27
2024-06-15 01:00:00,1.926,29
2024-06-16 01:00:00,1.984,17
2024-06-17 01:00:00,1.985,29
2024-06-18 01:00:00,1.843,25
2024-06-19 01:00:00,1.759,29
2024-06-20 01:00:00,1.7,28
2024-06-21 01:00:00,1.773,29
2024-06-22 01:00:00,1.864,24
2024-06-23 01:00:00,1.933,57
2024-06-24 01:00:00,1.855,20
2024-06-25 01:00:00,1.871,29
2024-06-26 01:00:00,1.832,19
2024-06-27 01:00:00,1.819,28
2024-06-28 01:00:00,1.795,32
2024-06-29 01:00:00,1.82,40
2024-06-30 01:00:00,1.845,35
2024-07-01 01:00:00,1.859,20
2024-07-02 01:00:00,1.828,27
2024-07-03 01:00:00,1.734,25
2024-07-04 01:00:00,1.832,22
2024-07-05 01:00:00,1.868,32
2024-07-06 01:00:00,1.777,31
2024-07-07 01:00:00,1.747,35
2024-07-08 01:00:00,1.826,20
2024-07-09 01:00:00,1.838,18
2024-07-10 01:00:00,1.817,24
2024-07-11 01:00:00,1.751,26
2024-07-12 01:00:00,1.747,23
2024-07-13 01:00:00,1.66,22
2024-07-14 01:00:00,1.737,23
2024-07-15 01:00:00,1.709,26
2024-07-16 01:00:00,1.743,26
2024-07-17 01:00:00,1.716,26
2024-07-18 01:00:00,1.797,30
2024-07-19 01:00:00,1.757,24
2024-07-20 01:00:00,1.714,33
2024-07-21 01:00:00,1.812,31
2024-07-22 01:00:00,1.805,18
2024-07-23 01:00:00,1.905,37
2024-07-24 01:00:00,1.759,25
2024-07-25 01:00:00,1.774,26
2024-07-26 01:00:00,1.838,18
2024-07-27 01:00:00,1.773,28
2024-07-28 01:00:00,1.932,33
2024-07-29 01:00:00,1.858,39
2024-07-30 01:00:00,1.926,29
2024-07-31 01:00:00,1.94,66
2024-08-01 01:00:00,1.991,32
2024-08-02 01:00:00,2.037,32
2024-08-03 01:00:00,2.078,15
2024-08-04 01:00:00,2.0,25
2024-08-05 01:00:00,2.053,27
2024-08-06 01:00:00,2.011,32
2024-08-07 01:00:00,2.014,28
2024-08-08 01:00:00,1.974,33
2024-08-09 01:00:00,2.021,36
2024-08-10 01:00:00,1.947,38
2024-08-11 01:00:00,1.921,29
2024-08-12 01:00:00,1.895,33
2024-08-13 01:00:00,1.914,31
2024-08-14 01:00:00,1.89,24
2024-08-15 01:00:00,2.02,45
2024-08-16 01:00:00,2.034,35
2024-08-17 01:00:00,2.002,29
2024-08-18 01:00:00,1.906,31
2024-08-19 01:00:00,1.805,14
2024-08-20 01:00:00,1.704,27
2024-08-21 01:00:00,1.708,38
2024-08-22 01:00:00,1.715,40
2024-08-23 01:00:00,1.719,35
2024-08-24 01:00:00,1.855,31
2024-08-25 01:00:00,1.689,25
2024-08-26 01:00:00,1.806,37
2024-08-27 01:00:00,1.863,48
2024-08-28 01:00:00,1.911,29
2024-08-29 01:00:00,1.931,24
2024-08-30 01:00:00,2.029,68
2024-08-31 01:00:00,2.08,38
2024-09-01 01:00:00,2.01,30
2024-09-02 01:00:00,2.294,56
2024-09-03 01:00:00,2.105,25
2024-09-04 01:00:00,1.989,31
2024-09-05 01:00:00,1.915,38
2024-09-06 01:00:00,2.197,44
2024-09-07 01:00:00,2.214,30
2024-09-08 01:00:00,2.197,49
2024-09-09 01:00:00,2.246,44
2024-09-10 01:00:00,2.293,18
2024-09-11 01:00:00,2.235,31
2024-09-12 01:00:00,2.193,33
2024-09-13 01:00:00,2.223,37
2024-09-14 01:00:00,2.251,60
2024-09-15 01:00:00,2.25,28
2024-09-16 01:00:00,2.198,36
2024-09-17 01:00:00,2.176,46
2024-09-18 01:00:00,2.15,30
2024-09-19 01:00:00,2.307,57
2024-09-20 01:00:00,2.293,31
2024-09-21 01:00:00,2.065,36
2024-09-22 01:00:00,2.116,31
2024-09-23 01:00:00,2.149,29
2024-09-24 01:00:00,2.164,28
2024-09-25 01:00:00,2.146,30
2024-09-26 01:00:00,2.183,32
2024-09-27 01:00:00,2.162,20
2024-09-28 01:00:00,2.17,34
2024-09-29 01:00:00,2.109,45
2024-09-30 01:00:00,2.127,39
2024-10-01 01:00:00,2.18,32
2024-10-02 01:00:00,2.19,37
2024-10-03 01:00:00,2.044,22
2024-10-04 01:00:00,1.975,23
2024-10-05 01:00:00,1.976,19
2024-10-06 01:00:00,2.095,24
2024-10-07 01:00:00,2.08,14
2024-10-08 01:00:00,2.124,11
2024-10-09 01:00:00,2.149,17
2024-10-10 01:00:00,2.149,18
2024-10-11 01:00:00,2.196,37
2024-10-12 01:00:00,2.174,23
2024-10-13 01:00:00,2.152,47
2024-10-14 01:00:00,2.08,20
2024-10-15 01:00:00,2.191,23
2024-10-16 01:00:00,2.203,32
2024-10-17 01:00:00,2.172,19
2024-10-18 01:00:00,2.15,23
2024-10-19 01:00:00,2.039,30
2024-10-20 01:00:00,2.022,23
2024-10-21 01:00:00,2.094,18
2024-10-22 01:00:00,2.064,22
2024-10-23 01:00:00,2.153,35
2024-10-24 01:00:00,2.135,24
2024-10-25 01:00:00,2.032,39
2024-10-26 01:00:00,2.213,40
2024-10-27 01:00:00,2.266,22
2024-10-28 01:00:00,2.338,29
2024-10-29 01:00:00,2.301,13
2024-10-30 01:00:00,2.279,16
2024-10-31 01:00:00,2.134,22
2024-11-01 01:00:00,2.256,26
2024-11-02 01:00:00,2.252,22
2024-11-03 01:00:00,2.089,23
2024-11-04 01:00:00,2.282,28
2024-11-05 01:00:00,2.26,32
2024-11-06 01:00:00,2.232,21
2024-11-07 01:00:00,2.261,29
2024-11-08 01:00:00,2.208,34
2024-11-09 01:00:00,2.19,21
2024-11-10 01:00:00,2.206,25
2024-11-11 01:00:00,2.195,15
2024-11-12 01:00:00,2.159,20
2024-11-13 01:00:00,2.2,7
2024-11-13 07:00:00,2.27,2
2024-11-13 09:00:00,2.18,1
2024-11-13 12:00:00,2.27,1
2024-11-13 13:00:00,2.291,1
2024-11-13 15:00:00,2.18,1
2024-11-13 17:00:00,2.24,1
2024-11-13 18:00:00,2.13,1
2024-11-13 19:00:00,2.195,2
2024-11-13 21:00:00,2.25,1
2024-11-13 23:00:00,2.27,3
2024-11-14 00:00:00,2.1,2
2024-11-14 02:00:00,2.0,1
2024-11-14 04:00:00,2.27,1
2024-11-14 05:00:00,2.245,2
2024-11-14 06:00:00,2.27,1
2024-11-14 08:00:00,2.293,1
2024-11-14 09:00:00,2.26,2
2024-11-14 10:00:00,2.22,1
2024-11-14 11:00:00,2.26,3
2024-11-14 12:00:00,2.279,2
2024-11-14 14:00:00,2.19,1
2024-11-14 15:00:00,2.24,1
2024-11-14 16:00:00,2.165,2
2024-11-14 17:00:00,2.291,1
2024-11-14 20:00:00,1.674,2
2024-11-14 21:00:00,2.25,3
2024-11-14 22:00:00,2.285,2
2024-11-14 23:00:00,2.25,1
2024-11-15 02:00:00,2.26,1
2024-11-15 03:00:00,2.27,1
2024-11-15 07:00:00,1.851,2
2024-11-15 08:00:00,2.21,1
2024-11-15 09:00:00,2.26,2
2024-11-15 10:00:00,2.245,2
2024-11-15 12:00:00,2.293,1
2024-11-15 13:00:00,2.18,5
2024-11-15 15:00:00,2.27,1
2024-11-15 17:00:00,2.27,1
2024-11-15 18:00:00,2.23,3
2024-11-15 20:00:00,2.27,1
2024-11-15 21:00:00,1.213,1
2024-11-15 22:00:00,2.12,1
2024-11-15 23:00:00,1.997,2
2024-11-16 03:00:00,2.24,4
2024-11-16 07:00:00,2.24,2
2024-11-16 08:00:00,2.25,1
2024-11-16 09:00:00,2.26,2
2024-11-16 10:00:00,2.26,4
2024-11-16 12:00:00,2.16,1
2024-11-16 13:00:00,2.12,1
2024-11-16 14:00:00,2.13,1
2024-11-16 17:00:00,2.285,6
2024-11-16 19:00:00,2.12,2
2024-11-16 20:00:00,2.07,1
2024-11-16 22:00:00,2.251,2
2024-11-16 23:00:00,2.195,2
2024-11-17 01:00:00,2.0,1
2024-11-17 02:00:00,2.27,1
2024-11-17 06:00:00,2.0,1
