date,price,volume
2016-04-28 01:00:00,6.145,63
2016-04-29 01:00:00,4.726,70
2016-04-30 01:00:00,3.924,70
2016-05-01 01:00:00,3.186,99
2016-05-02 01:00:00,2.994,65
2016-05-03 01:00:00,2.954,51
2016-05-04 01:00:00,3.087,49
2016-05-05 01:00:00,2.587,48
2016-05-06 01:00:00,2.595,64
2016-05-07 01:00:00,2.419,62
2016-05-08 01:00:00,2.346,64
2016-05-09 01:00:00,2.487,43
2016-05-10 01:00:00,2.299,42
2016-05-11 01:00:00,2.453,64
2016-05-12 01:00:00,2.381,40
2016-05-13 01:00:00,2.168,50
2016-05-14 01:00:00,1.938,84
2016-05-15 01:00:00,1.986,73
2016-05-16 01:00:00,1.921,61
2016-05-17 01:00:00,1.818,46
2016-05-18 01:00:00,1.731,61
2016-05-19 01:00:00,1.849,59
2016-05-20 01:00:00,1.822,51
2016-05-21 01:00:00,1.854,62
2016-05-22 01:00:00,1.803,69
2016-05-23 01:00:00,1.643,52
2016-05-24 01:00:00,1.646,41
2016-05-25 01:00:00,1.64,71
2016-05-26 01:00:00,1.648,51
2016-05-27 01:00:00,1.53,72
2016-05-28 01:00:00,1.533,73
2016-05-29 01:00:00,1.547,76
2016-05-30 01:00:00,1.563,54
2016-05-31 01:00:00,1.596,65
2016-06-01 01:00:00,1.484,71
2016-06-02 01:00:00,1.564,64
2016-06-03 01:00:00,1.515,65
2016-06-04 01:00:00,1.552,84
2016-06-05 01:00:00,1.606,62
2016-06-06 01:00:00,1.601,55
2016-06-07 01:00:00,1.537,43
2016-06-08 01:00:00,1.431,67
2016-06-09 01:00:00,1.471,77
2016-06-10 01:00:00,1.499,61
2016-06-11 01:00:00,1.445,69
2016-06-12 01:00:00,1.363,59
2016-06-13 01:00:00,1.249,76
2016-06-14 01:00:00,1.229,90
2016-06-15 01:00:00,1.278,66
2016-06-16 01:00:00,1.258,69
2016-06-17 01:00:00,1.177,90
2016-06-18 01:00:00,1.196,103
2016-06-19 01:00:00,1.125,79
2016-06-20 01:00:00,1.109,83
2016-06-21 01:00:00,1.137,87
2016-06-22 01:00:00,0.997,99
2016-06-23 01:00:00,0.936,107
2016-06-24 01:00:00,0.943,100
2016-06-25 01:00:00,0.879,111
2016-06-26 01:00:00,0.757,122
2016-06-27 01:00:00,0.783,119
2016-06-28 01:00:00,0.833,100
2016-06-29 01:00:00,0.836,96
2016-06-30 01:00:00,0.965,100
2016-07-01 01:00:00,0.969,79
2016-07-02 01:00:00,1.005,99
2016-07-03 01:00:00,1.013,93
2016-07-04 01:00:00,0.949,82
2016-07-05 01:00:00,0.993,83
2016-07-06 01:00:00,0.957,107
2016-07-07 01:00:00,0.979,107
2016-07-08 01:00:00,1.08,88
2016-07-09 01:00:00,1.113,85
2016-07-10 01:00:00,1.063,87
2016-07-11 01:00:00,1.076,82
2016-07-12 01:00:00,1.09,78
2016-07-13 01:00:00,1.041,82
2016-07-14 01:00:00,1.059,90
2016-07-15 01:00:00,1.053,84
2016-07-16 01:00:00,1.049,81
2016-07-17 01:00:00,1.015,81
2016-07-18 01:00:00,1.085,84
2016-07-19 01:00:00,1.113,82
2016-07-20 01:00:00,1.137,80
2016-07-21 01:00:00,1.041,80
2016-07-22 01:00:00,1.045,78
2016-07-23 01:00:00,1.077,70
2016-07-24 01:00:00,1.0,71
2016-07-25 01:00:00,1.067,80
2016-07-26 01:00:00,1.132,74
2016-07-27 01:00:00,1.11,74
2016-07-28 01:00:00,1.061,79
2016-07-29 01:00:00,1.112,77
2016-07-30 01:00:00,1.175,57
2016-07-31 01:00:00,1.117,74
2016-08-01 01:00:00,1.09,90
2016-08-02 01:00:00,1.103,80
2016-08-03 01:00:00,1.114,68
2016-08-04 01:00:00,1.107,63
2016-08-05 01:00:00,1.069,73
2016-08-06 01:00:00,1.079,67
2016-08-07 01:00:00,1.097,45
2016-08-08 01:00:00,1.006,65
2016-08-09 01:00:00,0.993,60
2016-08-10 01:00:00,0.973,66
2016-08-11 01:00:00,1.01,82
2016-08-12 01:00:00,1.071,51
2016-08-13 01:00:00,0.931,67
2016-08-14 01:00:00,0.966,85
2016-08-15 01:00:00,1.049,64
2016-08-16 01:00:00,1.037,70
2016-08-17 01:00:00,1.07,67
2016-08-18 01:00:00,1.089,66
2016-08-19 01:00:00,1.049,77
2016-08-20 01:00:00,1.044,100
2016-08-21 01:00:00,0.992,81
2016-08-22 01:00:00,0.982,79
2016-08-23 01:00:00,1.015,67
2016-08-24 01:00:00,1.022,73
2016-08-25 01:00:00,1.055,78
2016-08-26 01:00:00,1.091,76
2016-08-27 01:00:00,1.191,77
2016-08-28 01:00:00,1.151,74
2016-08-29 01:00:00,1.174,78
2016-08-30 01:00:00,1.087,51
2016-08-31 01:00:00,1.012,68
2016-09-01 01:00:00,1.043,70
2016-09-02 01:00:00,1.078,48
2016-09-03 01:00:00,1.027,75
2016-09-04 01:00:00,1.026,90
2016-09-05 01:00:00,1.013,73
2016-09-06 01:00:00,1.034,60
2016-09-07 01:00:00,1.121,57
2016-09-08 01:00:00,1.202,64
2016-09-09 01:00:00,1.185,65
2016-09-10 01:00:00,1.099,67
2016-09-11 01:00:00,1.053,78
2016-09-12 01:00:00,1.076,66
2016-09-13 01:00:00,1.074,57
2016-09-14 01:00:00,1.066,61
2016-09-15 01:00:00,1.092,59
2016-09-16 01:00:00,1.067,58
2016-09-17 01:00:00,1.1,59
2016-09-18 01:00:00,1.018,70
2016-09-19 01:00:00,0.991,57
2016-09-20 01:00:00,0.996,52
2016-09-21 01:00:00,1.0,67
2016-09-22 01:00:00,1.039,54
2016-09-23 01:00:00,1.065,60
2016-09-24 01:00:00,1.013,80
2016-09-25 01:00:00,0.998,79
2016-09-26 01:00:00,0.997,59
2016-09-27 01:00:00,0.987,64
2016-09-28 01:00:00,1.025,53
2016-09-29 01:00:00,1.033,65
2016-09-30 01:00:00,1.018,63
