date,price,volume
2020-08-07 01:00:00,2.183,195
2020-08-08 01:00:00,1.316,154
2020-08-09 01:00:00,1.081,129
2020-08-10 01:00:00,0.858,155
2020-08-11 01:00:00,0.788,118
2020-08-12 01:00:00,0.736,135
2020-08-13 01:00:00,0.795,121
2020-08-14 01:00:00,0.778,133
2020-08-15 01:00:00,0.835,123
2020-08-16 01:00:00,0.761,148
2020-08-17 01:00:00,0.744,139
2020-08-18 01:00:00,0.702,157
2020-08-19 01:00:00,0.698,119
2020-08-20 01:00:00,0.65,151
2020-08-21 01:00:00,0.668,168
2020-08-22 01:00:00,0.671,138
2020-08-23 01:00:00,0.629,133
2020-08-24 01:00:00,0.627,153
2020-08-25 01:00:00,0.614,130
2020-08-26 01:00:00,0.596,139
2020-08-27 01:00:00,0.475,142
2020-08-28 01:00:00,0.466,146
2020-08-29 01:00:00,0.458,155
2020-08-30 01:00:00,0.404,138
2020-08-31 01:00:00,0.374,142
2020-09-01 01:00:00,0.362,155
2020-09-02 01:00:00,0.355,138
2020-09-03 01:00:00,0.354,110
2020-09-04 01:00:00,0.369,153
2020-09-05 01:00:00,0.376,120
2020-09-06 01:00:00,0.371,134
2020-09-07 01:00:00,3.331,99
2020-09-08 01:00:00,0.392,109
2020-09-09 01:00:00,0.392,111
2020-09-10 01:00:00,0.368,138
2020-09-11 01:00:00,0.356,139
2020-09-12 01:00:00,0.379,168
2020-09-13 01:00:00,0.386,149
2020-09-14 01:00:00,0.406,111
2020-09-15 01:00:00,0.41,155
2020-09-16 01:00:00,0.449,144
2020-09-17 01:00:00,0.437,106
2020-09-18 01:00:00,0.436,123
2020-09-19 01:00:00,0.42,130
2020-09-20 01:00:00,0.394,130
2020-09-21 01:00:00,0.393,129
2020-09-22 01:00:00,0.4,120
2020-09-23 01:00:00,0.374,119
2020-09-24 01:00:00,0.392,132
2020-09-25 01:00:00,0.357,142
2020-09-26 01:00:00,0.351,146
2020-09-27 01:00:00,0.362,220
2020-09-28 01:00:00,0.359,130
2020-09-29 01:00:00,0.34,131
2020-09-30 01:00:00,0.345,177
2020-10-01 01:00:00,0.35,169
2020-10-02 01:00:00,0.321,136
2020-10-03 01:00:00,0.34,222
2020-10-04 01:00:00,0.323,162
2020-10-05 01:00:00,0.311,149
2020-10-06 01:00:00,0.309,128
2020-10-07 01:00:00,0.318,195
2020-10-08 01:00:00,0.324,146
2020-10-09 01:00:00,0.326,146
2020-10-10 01:00:00,0.33,160
2020-10-11 01:00:00,0.331,164
2020-10-12 01:00:00,0.313,187
2020-10-13 01:00:00,0.322,165
2020-10-14 01:00:00,0.324,246
2020-10-15 01:00:00,0.298,112
2020-10-16 01:00:00,0.302,133
2020-10-17 01:00:00,0.326,176
2020-10-18 01:00:00,3.251,120
2020-10-19 01:00:00,0.31,127
2020-10-20 01:00:00,0.321,141
2020-10-21 01:00:00,0.326,118
2020-10-22 01:00:00,0.341,231
2020-10-23 01:00:00,0.303,152
2020-10-24 01:00:00,0.321,193
2020-10-25 01:00:00,0.324,153
2020-10-26 01:00:00,0.299,142
2020-10-27 01:00:00,0.29,130
2020-10-28 01:00:00,0.284,169
2020-10-29 01:00:00,0.28,208
2020-10-30 01:00:00,0.282,196
2020-10-31 01:00:00,0.275,222
2020-11-01 01:00:00,0.277,166
2020-11-02 01:00:00,0.271,123
2020-11-03 01:00:00,0.264,128
2020-11-04 01:00:00,0.263,119
2020-11-05 01:00:00,0.27,157
2020-11-06 01:00:00,0.269,136
2020-11-07 01:00:00,0.259,115
2020-11-08 01:00:00,0.251,190
2020-11-09 01:00:00,0.256,243
2020-11-10 01:00:00,0.249,110
2020-11-11 01:00:00,0.25,180
2020-11-12 01:00:00,0.261,214
2020-11-13 01:00:00,0.249,142
2020-11-14 01:00:00,0.251,196
2020-11-15 01:00:00,0.247,178
2020-11-16 01:00:00,0.253,200
2020-11-17 01:00:00,0.257,211
2020-11-18 01:00:00,0.249,185
2020-11-19 01:00:00,0.252,198
2020-11-20 01:00:00,0.255,235
2020-11-21 01:00:00,0.249,165
2020-11-22 01:00:00,0.242,182
2020-11-23 01:00:00,0.24,164
2020-11-24 01:00:00,0.25,173
2020-11-25 01:00:00,0.246,152
2020-11-26 01:00:00,0.239,181
2020-11-27 01:00:00,0.233,172
2020-11-28 01:00:00,0.216,172
2020-11-29 01:00:00,0.213,199
2020-11-30 01:00:00,0.21,186
2020-12-01 01:00:00,0.211,159
2020-12-02 01:00:00,0.207,130
2020-12-03 01:00:00,0.191,164
2020-12-04 01:00:00,0.173,192
2020-12-05 01:00:00,0.165,184
2020-12-06 01:00:00,0.171,169
2020-12-07 01:00:00,0.161,226
2020-12-08 01:00:00,0.165,144
2020-12-09 01:00:00,0.172,185
2020-12-10 01:00:00,0.164,237
2020-12-11 01:00:00,0.171,230
2020-12-12 01:00:00,0.182,242
2020-12-13 01:00:00,0.165,157
2020-12-14 01:00:00,0.173,144
2020-12-15 01:00:00,0.164,150
2020-12-16 01:00:00,0.189,379
2020-12-17 01:00:00,0.175,160
2020-12-18 01:00:00,0.181,260
2020-12-19 01:00:00,0.175,167
2020-12-20 01:00:00,0.187,207
2020-12-21 01:00:00,0.185,199
2020-12-22 01:00:00,0.172,145
2020-12-23 01:00:00,0.18,192
2020-12-24 01:00:00,0.171,167
2020-12-25 01:00:00,0.172,150
2020-12-26 01:00:00,0.17,156
