date,price,volume
2022-01-21 01:00:00,4.641,138
2022-01-22 01:00:00,3.021,112
2022-01-23 01:00:00,2.833,104
2022-01-24 01:00:00,2.132,66
2022-01-25 01:00:00,1.954,68
2022-01-26 01:00:00,1.78,95
2022-01-27 01:00:00,1.652,88
2022-01-28 01:00:00,1.631,93
2022-01-29 01:00:00,1.5,91
2022-01-30 01:00:00,1.651,98
2022-01-31 01:00:00,1.514,70
2022-02-01 01:00:00,1.439,107
2022-02-02 01:00:00,1.419,82
2022-02-03 01:00:00,1.469,82
2022-02-04 01:00:00,1.51,91
2022-02-05 01:00:00,1.581,99
2022-02-06 01:00:00,1.86,111
2022-02-07 01:00:00,1.672,110
2022-02-08 01:00:00,1.453,97
2022-02-09 01:00:00,1.369,78
2022-02-10 01:00:00,1.369,89
2022-02-11 01:00:00,1.311,123
2022-02-12 01:00:00,1.27,109
2022-02-13 01:00:00,1.307,140
2022-02-14 01:00:00,1.277,80
2022-02-15 01:00:00,1.254,94
2022-02-16 01:00:00,1.276,110
2022-02-17 01:00:00,1.251,107
2022-02-18 01:00:00,1.343,131
2022-02-19 01:00:00,1.262,106
2022-02-20 01:00:00,1.149,130
2022-02-21 01:00:00,1.105,92
2022-02-22 01:00:00,1.108,102
2022-02-23 01:00:00,1.137,94
2022-02-24 01:00:00,1.086,81
2022-02-25 01:00:00,1.081,77
2022-02-26 01:00:00,1.057,145
2022-02-27 01:00:00,1.049,122
2022-02-28 01:00:00,1.032,101
2022-03-01 01:00:00,1.043,99
2022-03-02 01:00:00,0.975,69
2022-03-03 01:00:00,0.941,122
2022-03-04 01:00:00,0.962,87
2022-03-05 01:00:00,1.078,84
2022-03-06 01:00:00,1.074,91
2022-03-07 01:00:00,1.031,85
2022-03-08 01:00:00,1.034,117
2022-03-09 01:00:00,1.03,86
2022-03-10 01:00:00,1.077,114
2022-03-11 01:00:00,1.031,97
2022-03-12 01:00:00,1.037,93
2022-03-13 01:00:00,1.039,82
2022-03-14 01:00:00,1.033,73
2022-03-15 01:00:00,1.024,120
2022-03-16 01:00:00,0.957,92
2022-03-17 01:00:00,1.009,103
2022-03-18 01:00:00,0.974,83
2022-03-19 01:00:00,0.923,138
2022-03-20 01:00:00,0.911,102
2022-03-21 01:00:00,0.922,122
2022-03-22 01:00:00,0.927,95
2022-03-23 01:00:00,0.923,121
2022-03-24 01:00:00,0.908,75
2022-03-25 01:00:00,0.913,85
2022-03-26 01:00:00,0.915,89
2022-03-27 01:00:00,0.932,85
2022-03-28 01:00:00,0.906,82
2022-03-29 01:00:00,0.911,100
2022-03-30 01:00:00,0.889,60
2022-03-31 01:00:00,0.904,93
2022-04-01 01:00:00,0.904,97
2022-04-02 01:00:00,0.884,81
2022-04-03 01:00:00,0.905,82
2022-04-04 01:00:00,0.904,108
2022-04-05 01:00:00,0.896,128
2022-04-06 01:00:00,0.872,75
2022-04-07 01:00:00,0.862,100
2022-04-08 01:00:00,0.877,59
2022-04-09 01:00:00,0.88,94
2022-04-10 01:00:00,0.864,96
2022-04-11 01:00:00,0.876,94
2022-04-12 01:00:00,0.855,77
2022-04-13 01:00:00,0.856,71
2022-04-14 01:00:00,0.87,74
2022-04-15 01:00:00,0.87,71
2022-04-16 01:00:00,0.873,64
2022-04-17 01:00:00,0.838,81
2022-04-18 01:00:00,0.849,62
2022-04-19 01:00:00,0.857,154
2022-04-20 01:00:00,0.84,90
2022-04-21 01:00:00,0.835,97
2022-04-22 01:00:00,0.841,70
2022-04-23 01:00:00,0.836,64
2022-04-24 01:00:00,0.818,73
2022-04-25 01:00:00,0.834,73
2022-04-26 01:00:00,0.805,81
2022-04-27 01:00:00,0.841,82
2022-04-28 01:00:00,0.822,92
2022-04-29 01:00:00,0.813,95
2022-04-30 01:00:00,0.816,73
2022-05-01 01:00:00,0.795,100
2022-05-02 01:00:00,0.809,113
2022-05-03 01:00:00,0.799,95
2022-05-04 01:00:00,0.785,100
2022-05-05 01:00:00,0.764,89
2022-05-06 01:00:00,0.752,82
2022-05-07 01:00:00,0.728,78
2022-05-08 01:00:00,0.722,76
2022-05-09 01:00:00,0.718,80
2022-05-10 01:00:00,0.713,50
2022-05-11 01:00:00,0.684,67
2022-05-12 01:00:00,0.693,82
2022-05-13 01:00:00,0.687,81
2022-05-14 01:00:00,0.658,84
2022-05-15 01:00:00,0.651,126
2022-05-16 01:00:00,0.634,96
2022-05-17 01:00:00,0.623,69
2022-05-18 01:00:00,0.626,104
2022-05-19 01:00:00,0.596,76
2022-05-20 01:00:00,0.577,106
2022-05-21 01:00:00,0.556,70
2022-05-22 01:00:00,0.559,83
2022-05-23 01:00:00,0.526,79
2022-05-24 01:00:00,0.538,83
2022-05-25 01:00:00,0.545,101
2022-05-26 01:00:00,0.54,74
2022-05-27 01:00:00,0.549,96
2022-05-28 01:00:00,0.545,84
2022-05-29 01:00:00,0.557,85
2022-05-30 01:00:00,0.539,72
2022-05-31 01:00:00,0.561,141
2022-06-01 01:00:00,0.545,52
2022-06-02 01:00:00,0.613,74
2022-06-03 01:00:00,0.625,97
2022-06-04 01:00:00,0.648,91
2022-06-05 01:00:00,0.664,151
2022-06-06 01:00:00,0.621,80
2022-06-07 01:00:00,0.608,95
2022-06-08 01:00:00,0.624,79
2022-06-09 01:00:00,0.647,79
2022-06-10 01:00:00,0.59,62
2022-06-11 01:00:00,0.614,66
2022-06-12 01:00:00,0.603,63
2022-06-13 01:00:00,0.576,62
2022-06-14 01:00:00,0.584,72
2022-06-15 01:00:00,0.543,58
2022-06-16 01:00:00,0.562,86
2022-06-17 01:00:00,0.547,67
2022-06-18 01:00:00,0.549,70
2022-06-19 01:00:00,0.534,93
2022-06-20 01:00:00,0.525,84
2022-06-21 01:00:00,0.544,100
2022-06-22 01:00:00,0.519,84
2022-06-23 01:00:00,0.528,71
2022-06-24 01:00:00,0.527,76
2022-06-25 01:00:00,0.525,77
2022-06-26 01:00:00,0.543,98
2022-06-27 01:00:00,0.528,93
2022-06-28 01:00:00,0.515,85
