date,price,volume
2017-03-16 01:00:00,3.377,83
2017-03-17 01:00:00,2.376,89
2017-03-18 01:00:00,2.064,94
2017-03-19 01:00:00,1.731,86
2017-03-20 01:00:00,1.589,69
2017-03-21 01:00:00,1.569,67
2017-03-22 01:00:00,1.47,76
2017-03-23 01:00:00,1.535,59
2017-03-24 01:00:00,1.408,96
2017-03-25 01:00:00,1.263,87
2017-03-26 01:00:00,1.244,103
2017-03-27 01:00:00,1.24,99
2017-03-28 01:00:00,1.258,72
2017-03-29 01:00:00,1.243,68
2017-03-30 01:00:00,1.201,85
2017-03-31 01:00:00,1.19,89
2017-04-01 01:00:00,1.28,103
2017-04-02 01:00:00,1.348,105
2017-04-03 01:00:00,1.226,80
2017-04-04 01:00:00,1.146,99
2017-04-05 01:00:00,1.143,112
2017-04-06 01:00:00,1.104,102
2017-04-07 01:00:00,1.142,105
2017-04-08 01:00:00,1.138,103
2017-04-09 01:00:00,1.144,102
2017-04-10 01:00:00,1.055,84
2017-04-11 01:00:00,0.995,99
2017-04-12 01:00:00,0.948,118
2017-04-13 01:00:00,1.027,133
2017-04-14 01:00:00,1.074,108
2017-04-15 01:00:00,1.084,98
2017-04-16 01:00:00,1.062,106
2017-04-17 01:00:00,1.047,107
2017-04-18 01:00:00,1.068,93
2017-04-19 01:00:00,1.034,91
2017-04-20 01:00:00,1.047,107
2017-04-21 01:00:00,1.071,105
2017-04-22 01:00:00,1.021,125
2017-04-23 01:00:00,0.984,103
2017-04-24 01:00:00,0.934,91
2017-04-25 01:00:00,0.907,87
2017-04-26 01:00:00,0.907,83
2017-04-27 01:00:00,0.933,87
2017-04-28 01:00:00,0.915,122
2017-04-29 01:00:00,0.918,130
2017-04-30 01:00:00,0.916,134
2017-05-01 01:00:00,0.892,114
2017-05-02 01:00:00,0.859,106
2017-05-03 01:00:00,0.857,106
2017-05-04 01:00:00,0.853,105
2017-05-05 01:00:00,0.839,112
2017-05-06 01:00:00,0.845,115
2017-05-07 01:00:00,0.827,125
2017-05-08 01:00:00,0.81,110
2017-05-09 01:00:00,0.751,80
2017-05-10 01:00:00,0.759,102
2017-05-11 01:00:00,0.782,113
2017-05-12 01:00:00,0.798,122
2017-05-13 01:00:00,0.803,144
2017-05-14 01:00:00,0.795,119
2017-05-15 01:00:00,0.779,102
2017-05-16 01:00:00,0.755,94
2017-05-17 01:00:00,0.763,105
2017-05-18 01:00:00,0.761,100
2017-05-19 01:00:00,0.728,134
2017-05-20 01:00:00,0.748,127
2017-05-21 01:00:00,0.746,129
2017-05-22 01:00:00,0.697,104
2017-05-23 01:00:00,0.692,113
2017-05-24 01:00:00,0.565,191
2017-05-25 01:00:00,0.566,158
2017-05-26 01:00:00,0.617,163
2017-05-27 01:00:00,0.652,155
2017-05-28 01:00:00,0.637,144
2017-05-29 01:00:00,0.617,145
2017-05-30 01:00:00,0.619,121
2017-05-31 01:00:00,0.583,138
2017-06-01 01:00:00,0.594,138
2017-06-02 01:00:00,0.598,169
2017-06-03 01:00:00,0.605,159
2017-06-04 01:00:00,0.599,162
2017-06-05 01:00:00,0.601,154
2017-06-06 01:00:00,0.594,131
2017-06-07 01:00:00,0.61,147
2017-06-08 01:00:00,0.589,122
2017-06-09 01:00:00,0.577,142
2017-06-10 01:00:00,0.591,186
2017-06-11 01:00:00,0.55,155
2017-06-12 01:00:00,0.545,142
2017-06-13 01:00:00,0.561,129
2017-06-14 01:00:00,0.544,137
2017-06-15 01:00:00,0.549,140
2017-06-16 01:00:00,0.539,139
2017-06-17 01:00:00,0.534,133
2017-06-18 01:00:00,0.526,128
2017-06-19 01:00:00,0.528,133
2017-06-20 01:00:00,0.553,140
2017-06-21 01:00:00,0.555,131
2017-06-22 01:00:00,0.515,152
2017-06-23 01:00:00,0.406,170
2017-06-24 01:00:00,0.442,147
2017-06-25 01:00:00,0.431,171
2017-06-26 01:00:00,0.457,161
2017-06-27 01:00:00,0.462,138
2017-06-28 01:00:00,0.465,152
2017-06-29 01:00:00,0.452,171
2017-06-30 01:00:00,0.452,157
2017-07-01 01:00:00,0.469,147
2017-07-02 01:00:00,0.446,137
2017-07-03 01:00:00,0.448,152
2017-07-04 01:00:00,0.45,177
2017-07-05 01:00:00,0.471,178
2017-07-06 01:00:00,0.501,169
2017-07-07 01:00:00,0.545,155
2017-07-08 01:00:00,0.489,170
2017-07-09 01:00:00,0.488,162
2017-07-10 01:00:00,0.5,187
2017-07-11 01:00:00,0.509,147
2017-07-12 01:00:00,0.521,119
2017-07-13 01:00:00,0.513,120
2017-07-14 01:00:00,0.514,137
2017-07-15 01:00:00,0.495,150
2017-07-16 01:00:00,0.485,186
2017-07-17 01:00:00,0.521,187
2017-07-18 01:00:00,0.519,175
2017-07-19 01:00:00,0.526,136
