date,price,volume
2020-08-07 01:00:00,2.544,66
2020-08-08 01:00:00,1.159,55
2020-08-09 01:00:00,1.021,71
2020-08-10 01:00:00,0.907,59
2020-08-11 01:00:00,0.794,77
2020-08-12 01:00:00,0.813,50
2020-08-13 01:00:00,0.73,56
2020-08-14 01:00:00,0.741,59
2020-08-15 01:00:00,0.733,56
2020-08-16 01:00:00,0.766,58
2020-08-17 01:00:00,0.726,50
2020-08-18 01:00:00,0.678,56
2020-08-19 01:00:00,0.651,62
2020-08-20 01:00:00,0.656,67
2020-08-21 01:00:00,0.605,48
2020-08-22 01:00:00,0.533,65
2020-08-23 01:00:00,0.56,69
2020-08-24 01:00:00,0.542,56
2020-08-25 01:00:00,0.542,65
2020-08-26 01:00:00,0.501,59
2020-08-27 01:00:00,0.509,79
2020-08-28 01:00:00,0.532,59
2020-08-29 01:00:00,0.496,78
2020-08-30 01:00:00,0.477,82
2020-08-31 01:00:00,0.477,101
2020-09-01 01:00:00,0.499,57
2020-09-02 01:00:00,0.447,60
2020-09-03 01:00:00,0.436,71
2020-09-04 01:00:00,0.44,73
2020-09-05 01:00:00,0.43,72
2020-09-06 01:00:00,0.429,70
2020-09-07 01:00:00,0.413,54
2020-09-08 01:00:00,0.401,74
2020-09-09 01:00:00,0.375,114
2020-09-10 01:00:00,0.398,78
2020-09-11 01:00:00,0.415,78
2020-09-12 01:00:00,0.415,72
2020-09-13 01:00:00,0.406,75
2020-09-14 01:00:00,0.438,69
2020-09-15 01:00:00,0.421,74
2020-09-16 01:00:00,0.416,71
2020-09-17 01:00:00,0.408,78
2020-09-18 01:00:00,0.399,83
2020-09-19 01:00:00,0.387,89
2020-09-20 01:00:00,0.397,99
2020-09-21 01:00:00,0.412,79
2020-09-22 01:00:00,0.391,83
2020-09-23 01:00:00,0.381,81
2020-09-24 01:00:00,0.394,76
2020-09-25 01:00:00,0.378,75
2020-09-26 01:00:00,0.387,92
2020-09-27 01:00:00,0.395,91
2020-09-28 01:00:00,0.37,68
2020-09-29 01:00:00,0.352,80
2020-09-30 01:00:00,0.341,90
2020-10-01 01:00:00,0.352,93
2020-10-02 01:00:00,0.338,109
2020-10-03 01:00:00,0.35,77
2020-10-04 01:00:00,0.329,86
2020-10-05 01:00:00,0.342,101
2020-10-06 01:00:00,0.319,104
2020-10-07 01:00:00,0.301,97
2020-10-08 01:00:00,0.317,73
2020-10-09 01:00:00,0.326,98
2020-10-10 01:00:00,0.329,94
2020-10-11 01:00:00,0.324,117
2020-10-12 01:00:00,0.331,101
2020-10-13 01:00:00,0.336,100
2020-10-14 01:00:00,0.321,91
2020-10-15 01:00:00,0.321,108
2020-10-16 01:00:00,0.326,94
2020-10-17 01:00:00,0.316,76
2020-10-18 01:00:00,0.352,115
2020-10-19 01:00:00,0.351,71
2020-10-20 01:00:00,0.356,61
2020-10-21 01:00:00,0.334,104
2020-10-22 01:00:00,0.35,88
2020-10-23 01:00:00,0.334,85
2020-10-24 01:00:00,0.345,85
2020-10-25 01:00:00,0.354,103
2020-10-26 01:00:00,0.339,103
2020-10-27 01:00:00,0.347,115
2020-10-28 01:00:00,0.325,94
2020-10-29 01:00:00,0.323,99
2020-10-30 01:00:00,0.313,116
2020-10-31 01:00:00,0.321,96
2020-11-01 01:00:00,0.297,113
2020-11-02 01:00:00,0.312,93
2020-11-03 01:00:00,0.319,95
2020-11-04 01:00:00,0.312,110
2020-11-05 01:00:00,0.314,105
2020-11-06 01:00:00,0.318,108
2020-11-07 01:00:00,0.315,129
2020-11-08 01:00:00,0.317,130
2020-11-09 01:00:00,0.315,120
2020-11-10 01:00:00,0.313,130
2020-11-11 01:00:00,0.312,114
2020-11-12 01:00:00,0.321,91
2020-11-13 01:00:00,0.319,110
2020-11-14 01:00:00,0.321,116
2020-11-15 01:00:00,0.31,128
2020-11-16 01:00:00,0.312,108
2020-11-17 01:00:00,0.313,128
2020-11-18 01:00:00,0.3,123
2020-11-19 01:00:00,0.302,118
2020-11-20 01:00:00,0.313,128
2020-11-21 01:00:00,0.309,168
2020-11-22 01:00:00,0.309,137
2020-11-23 01:00:00,0.314,126
2020-11-24 01:00:00,0.31,120
2020-11-25 01:00:00,0.303,132
2020-11-26 01:00:00,0.277,138
2020-11-27 01:00:00,0.28,155
2020-11-28 01:00:00,0.28,116
2020-11-29 01:00:00,0.274,139
2020-11-30 01:00:00,0.276,119
2020-12-01 01:00:00,0.28,134
2020-12-02 01:00:00,0.284,127
2020-12-03 01:00:00,0.292,146
2020-12-04 01:00:00,0.238,191
2020-12-05 01:00:00,0.234,159
2020-12-06 01:00:00,0.248,117
2020-12-07 01:00:00,0.253,153
2020-12-08 01:00:00,0.25,116
2020-12-09 01:00:00,0.252,102
2020-12-10 01:00:00,0.249,118
2020-12-11 01:00:00,0.249,120
2020-12-12 01:00:00,0.249,142
2020-12-13 01:00:00,0.244,147
2020-12-14 01:00:00,0.249,123
2020-12-15 01:00:00,0.251,125
2020-12-16 01:00:00,0.245,156
2020-12-17 01:00:00,0.256,125
2020-12-18 01:00:00,0.258,169
2020-12-19 01:00:00,0.242,127
2020-12-20 01:00:00,0.25,133
2020-12-21 01:00:00,0.257,152
2020-12-22 01:00:00,0.245,161
2020-12-23 01:00:00,0.237,156
2020-12-24 01:00:00,0.246,159
2020-12-25 01:00:00,0.253,168
2020-12-26 01:00:00,0.251,160
2020-12-27 01:00:00,0.264,117
2020-12-28 01:00:00,0.251,153
2020-12-29 01:00:00,0.257,150
2020-12-30 01:00:00,0.265,177
2020-12-31 01:00:00,0.26,149
2021-01-01 01:00:00,0.264,156
2021-01-02 01:00:00,0.264,150
2021-01-03 01:00:00,0.258,199
2021-01-04 01:00:00,0.263,190
2021-01-05 01:00:00,0.257,173
2021-01-06 01:00:00,0.264,166
2021-01-07 01:00:00,0.273,166
2021-01-08 01:00:00,0.273,164
2021-01-09 01:00:00,0.269,174
2021-01-10 01:00:00,0.277,198
2021-01-11 01:00:00,0.264,169
2021-01-12 01:00:00,0.277,168
2021-01-13 01:00:00,0.282,187
2021-01-14 01:00:00,0.28,166
2021-01-15 01:00:00,0.281,190
2021-01-16 01:00:00,0.285,196
2021-01-17 01:00:00,0.291,161
2021-01-18 01:00:00,0.287,163
2021-01-19 01:00:00,0.285,181
2021-01-20 01:00:00,0.286,164
2021-01-21 01:00:00,0.294,167
2021-01-22 01:00:00,0.29,191
