date,price,volume
2024-10-10 01:00:00,6.001,11
2024-10-11 01:00:00,5.181,28
2024-10-12 01:00:00,5.142,49
2024-10-13 01:00:00,3.68,60
2024-10-14 01:00:00,4.445,50
2024-10-15 01:00:00,4.047,47
2024-10-16 01:00:00,4.387,40
2024-10-17 01:00:00,4.23,51
2024-10-18 01:00:00,4.234,42
2024-10-19 01:00:00,3.55,87
2024-10-20 01:00:00,2.985,73
2024-10-21 01:00:00,2.545,56
2024-10-22 01:00:00,2.237,74
2024-10-23 01:00:00,2.147,71
2024-10-24 01:00:00,2.091,35
2024-10-25 01:00:00,1.933,66
2024-10-26 01:00:00,1.773,66
2024-10-27 01:00:00,1.949,62
2024-10-28 01:00:00,1.838,57
2024-10-29 01:00:00,1.748,62
2024-10-30 01:00:00,1.958,51
2024-10-31 01:00:00,2.019,81
2024-11-01 01:00:00,2.251,58
2024-11-02 01:00:00,2.209,63
2024-11-03 01:00:00,2.142,63
2024-11-04 01:00:00,2.303,71
2024-11-05 01:00:00,2.377,59
2024-11-06 01:00:00,2.547,36
2024-11-07 01:00:00,2.406,65
2024-11-08 01:00:00,2.494,54
2024-11-09 01:00:00,2.7,37
2024-11-10 01:00:00,2.557,54
2024-11-11 01:00:00,2.623,46
2024-11-12 01:00:00,2.666,42
2024-11-13 06:00:00,2.55,2
2024-11-13 08:00:00,2.55,1
2024-11-13 10:00:00,2.16,1
2024-11-13 11:00:00,2.32,3
2024-11-13 12:00:00,2.337,2
2024-11-13 13:00:00,2.633,11
2024-11-13 14:00:00,2.63,2
2024-11-13 16:00:00,2.34,5
2024-11-13 17:00:00,2.439,9
2024-11-13 18:00:00,2.706,7
2024-11-13 19:00:00,2.58,2
2024-11-13 20:00:00,2.425,2
2024-11-13 21:00:00,2.335,2
2024-11-13 22:00:00,2.392,2
2024-11-13 23:00:00,2.32,1
2024-11-14 00:00:00,2.29,2
2024-11-14 01:00:00,2.195,2
2024-11-14 03:00:00,2.695,8
2024-11-14 04:00:00,2.38,1
2024-11-14 08:00:00,2.36,3
2024-11-14 09:00:00,2.235,2
2024-11-14 10:00:00,2.205,2
2024-11-14 11:00:00,2.57,1
2024-11-14 12:00:00,2.431,2
2024-11-14 13:00:00,2.37,1
2024-11-14 14:00:00,2.53,1
2024-11-14 15:00:00,2.47,3
2024-11-14 16:00:00,2.21,1
2024-11-14 17:00:00,2.561,3
2024-11-14 18:00:00,2.34,1
2024-11-14 19:00:00,2.601,4
2024-11-14 20:00:00,2.19,1
2024-11-14 21:00:00,2.8,12
2024-11-14 22:00:00,2.34,1
2024-11-14 23:00:00,2.296,4
2024-11-15 00:00:00,2.602,2
2024-11-15 01:00:00,2.48,5
2024-11-15 02:00:00,2.404,3
2024-11-15 06:00:00,2.35,3
2024-11-15 07:00:00,2.404,1
2024-11-15 08:00:00,2.93,5
2024-11-15 09:00:00,2.548,3
2024-11-15 11:00:00,2.5,1
2024-11-15 12:00:00,2.692,6
2024-11-15 14:00:00,2.44,3
2024-11-15 15:00:00,2.996,1
2024-11-15 16:00:00,2.93,2
2024-11-15 17:00:00,2.96,3
2024-11-15 18:00:00,2.89,1
2024-11-15 19:00:00,2.12,1
2024-11-15 20:00:00,2.22,4
2024-11-15 21:00:00,2.465,2
2024-11-15 22:00:00,2.97,12
2024-11-15 23:00:00,2.55,3
2024-11-16 00:00:00,2.62,2
2024-11-16 01:00:00,2.786,2
2024-11-16 03:00:00,2.65,1
2024-11-16 06:00:00,2.79,1
2024-11-16 09:00:00,2.8,5
2024-11-16 10:00:00,2.728,5
2024-11-16 11:00:00,2.62,1
2024-11-16 12:00:00,2.81,3
2024-11-16 13:00:00,2.8,3
2024-11-16 15:00:00,3.01,10
2024-11-16 16:00:00,3.14,3
2024-11-16 17:00:00,2.925,3
2024-11-16 18:00:00,2.791,8
2024-11-16 19:00:00,2.93,1
2024-11-16 20:00:00,2.956,6
2024-11-16 22:00:00,3.07,4
2024-11-16 23:00:00,2.859,2
2024-11-17 02:00:00,2.54,1
2024-11-17 03:00:00,2.67,1
2024-11-17 04:00:00,2.69,1
2024-11-17 05:00:00,2.495,2
2024-11-17 06:00:00,3.05,9
2024-11-17 08:00:00,3.6,2
2024-11-17 09:00:00,3.155,2
2024-11-17 10:00:00,3.56,3
2024-11-17 13:00:00,2.71,2
2024-11-17 14:00:00,3.055,10
2024-11-17 15:00:00,3.11,1
2024-11-17 16:00:00,2.865,3
2024-11-17 20:00:00,2.73,1
2024-11-17 22:00:00,2.73,4
2024-11-17 23:00:00,2.73,3
2024-11-18 02:00:00,2.785,10
2024-11-18 03:00:00,2.702,1
2024-11-18 04:00:00,3.1,3
2024-11-18 05:00:00,3.99,1
2024-11-18 06:00:00,2.68,1
