date,price,volume
2020-08-07 01:00:00,2.438,97
2020-08-08 01:00:00,1.506,75
2020-08-09 01:00:00,1.433,93
2020-08-10 01:00:00,1.134,67
2020-08-11 01:00:00,1.019,80
2020-08-12 01:00:00,0.957,63
2020-08-13 01:00:00,0.87,74
2020-08-14 01:00:00,0.892,123
2020-08-15 01:00:00,0.982,71
2020-08-16 01:00:00,0.879,79
2020-08-17 01:00:00,0.859,83
2020-08-18 01:00:00,0.805,87
2020-08-19 01:00:00,0.778,78
2020-08-20 01:00:00,0.78,68
2020-08-21 01:00:00,0.752,85
2020-08-22 01:00:00,0.772,90
2020-08-23 01:00:00,0.765,64
2020-08-24 01:00:00,0.73,94
2020-08-25 01:00:00,0.772,77
2020-08-26 01:00:00,0.716,91
2020-08-27 01:00:00,0.68,84
2020-08-28 01:00:00,0.629,83
2020-08-29 01:00:00,0.625,106
2020-08-30 01:00:00,0.598,93
2020-08-31 01:00:00,0.562,86
2020-09-01 01:00:00,0.584,91
2020-09-02 01:00:00,0.528,79
2020-09-03 01:00:00,0.505,94
2020-09-04 01:00:00,0.526,94
2020-09-05 01:00:00,0.561,70
2020-09-06 01:00:00,0.531,64
2020-09-07 01:00:00,0.493,78
2020-09-08 01:00:00,0.541,77
2020-09-09 01:00:00,0.531,88
2020-09-10 01:00:00,0.557,88
2020-09-11 01:00:00,0.505,84
2020-09-12 01:00:00,0.533,102
2020-09-13 01:00:00,0.517,183
2020-09-14 01:00:00,0.527,80
2020-09-15 01:00:00,0.529,92
2020-09-16 01:00:00,0.526,96
2020-09-17 01:00:00,0.576,79
2020-09-18 01:00:00,0.613,95
2020-09-19 01:00:00,0.601,93
2020-09-20 01:00:00,0.606,96
2020-09-21 01:00:00,0.647,100
2020-09-22 01:00:00,0.552,64
2020-09-23 01:00:00,0.552,99
2020-09-24 01:00:00,0.572,83
2020-09-25 01:00:00,0.493,83
2020-09-26 01:00:00,0.503,76
2020-09-27 01:00:00,0.494,147
2020-09-28 01:00:00,0.479,71
2020-09-29 01:00:00,0.445,108
2020-09-30 01:00:00,0.438,80
2020-10-01 01:00:00,0.44,85
2020-10-02 01:00:00,0.423,85
2020-10-03 01:00:00,0.405,102
2020-10-04 01:00:00,0.388,129
2020-10-05 01:00:00,0.38,122
2020-10-06 01:00:00,0.392,90
2020-10-07 01:00:00,0.385,91
2020-10-08 01:00:00,0.379,119
2020-10-09 01:00:00,0.377,106
2020-10-10 01:00:00,0.387,108
2020-10-11 01:00:00,0.398,103
2020-10-12 01:00:00,0.41,95
2020-10-13 01:00:00,0.426,94
2020-10-14 01:00:00,0.442,110
2020-10-15 01:00:00,0.418,68
2020-10-16 01:00:00,0.495,110
2020-10-17 01:00:00,0.444,97
2020-10-18 01:00:00,0.447,106
2020-10-19 01:00:00,0.439,90
2020-10-20 01:00:00,0.445,92
2020-10-21 01:00:00,0.45,85
2020-10-22 01:00:00,0.445,75
2020-10-23 01:00:00,0.42,103
2020-10-24 01:00:00,0.424,94
2020-10-25 01:00:00,0.407,92
2020-10-26 01:00:00,0.39,136
2020-10-27 01:00:00,0.369,98
2020-10-28 01:00:00,0.377,133
2020-10-29 01:00:00,0.381,121
2020-10-30 01:00:00,0.343,134
2020-10-31 01:00:00,0.358,129
2020-11-01 01:00:00,0.362,137
2020-11-02 01:00:00,0.352,96
2020-11-03 01:00:00,0.347,122
2020-11-04 01:00:00,0.353,93
2020-11-05 01:00:00,0.348,107
2020-11-06 01:00:00,0.356,80
2020-11-07 01:00:00,0.365,115
2020-11-08 01:00:00,0.339,117
